,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,32166,28.0,1.0,21.0,2.0,3930.0,303.0,2.0,40.0,2.0,2.0,False,37228
1,32167,52.0,2.0,21.0,1.0,726.0,55.0,1.0,60.0,2.0,1.0,True,118483
2,32168,59.0,1.0,19.0,1.0,51.0,6.0,0.0,40.0,2.0,1.0,True,108990
3,32169,74.0,1.0,19.0,1.0,5840.0,19.0,0.0,35.0,1.0,1.0,True,55654
4,32170,38.0,1.0,22.0,2.0,2002.0,210.0,0.0,20.0,2.0,2.0,False,98230
5,32171,27.0,1.0,19.0,2.0,7950.0,6.0,0.0,40.0,1.0,2.0,False,92025
6,32172,51.0,1.0,18.0,1.0,3655.0,303.0,1.0,20.0,2.0,2.0,False,110251
7,32173,45.0,1.0,16.0,1.0,4700.0,303.0,1.0,40.0,1.0,2.0,False,14902
8,32174,34.0,3.0,21.0,2.0,2310.0,303.0,2.0,40.0,1.0,2.0,False,165485
9,32175,49.0,1.0,16.0,2.0,5240.0,6.0,0.0,40.0,2.0,2.0,False,185717
10,32176,37.0,2.0,22.0,2.0,2920.0,1.0,0.0,50.0,1.0,1.0,True,154322
11,32177,25.0,1.0,21.0,2.0,51.0,6.0,12.0,40.0,2.0,2.0,False,52629
12,32178,26.0,1.0,21.0,1.0,3255.0,6.0,1.0,40.0,2.0,2.0,False,85698
13,32179,33.0,1.0,21.0,2.0,1320.0,301.0,0.0,45.0,1.0,1.0,True,165508
14,32180,55.0,6.0,19.0,1.0,440.0,6.0,0.0,50.0,1.0,1.0,True,16501
15,32181,45.0,1.0,16.0,1.0,7750.0,6.0,12.0,40.0,2.0,1.0,False,159949
16,32182,60.0,1.0,16.0,2.0,2360.0,23.0,0.0,40.0,2.0,1.0,True,50814
17,32183,62.0,1.0,18.0,1.0,9130.0,6.0,0.0,12.0,1.0,2.0,False,83576
18,32184,76.0,7.0,24.0,1.0,1360.0,4.0,0.0,45.0,1.0,1.0,True,67445
19,32185,50.0,1.0,16.0,2.0,3500.0,6.0,0.0,40.0,2.0,2.0,True,165497
20,32186,50.0,1.0,20.0,1.0,136.0,233.0,1.0,40.0,2.0,2.0,True,187835
21,32187,55.0,1.0,21.0,2.0,1530.0,19.0,0.0,40.0,1.0,1.0,True,106845
22,32188,72.0,6.0,23.0,2.0,2100.0,24.0,0.0,6.0,1.0,1.0,False,54073
23,32189,39.0,1.0,20.0,2.0,4510.0,6.0,0.0,45.0,2.0,1.0,False,71180
24,32190,37.0,1.0,16.0,1.0,2905.0,6.0,0.0,40.0,1.0,1.0,True,128318
25,32191,35.0,2.0,22.0,2.0,5400.0,6.0,0.0,40.0,2.0,2.0,False,86681
26,32192,70.0,1.0,22.0,1.0,52.0,6.0,1.0,40.0,1.0,1.0,True,9986
27,32193,22.0,1.0,16.0,2.0,4030.0,6.0,11.0,40.0,1.0,1.0,False,111561
28,32194,27.0,1.0,9.0,2.0,4720.0,303.0,13.0,35.0,2.0,2.0,False,151041
29,32195,71.0,2.0,21.0,1.0,1031.0,6.0,0.0,20.0,1.0,1.0,True,129610
30,32196,42.0,1.0,9.0,2.0,6050.0,6.0,11.0,40.0,1.0,1.0,False,49851
31,32197,44.0,1.0,1.0,1.0,2545.0,223.0,1.0,4.0,2.0,2.0,False,103646
32,32198,41.0,6.0,22.0,2.0,2011.0,6.0,0.0,50.0,2.0,1.0,True,101940
33,32199,40.0,1.0,22.0,1.0,300.0,17.0,1.0,40.0,1.0,1.0,True,124362
34,32200,60.0,3.0,21.0,2.0,5860.0,48.0,0.0,56.0,2.0,2.0,False,190997
35,32201,60.0,1.0,18.0,1.0,4810.0,48.0,1.0,40.0,2.0,1.0,True,88170
36,32202,46.0,1.0,19.0,1.0,440.0,215.0,0.0,40.0,1.0,1.0,True,150274
37,32203,67.0,2.0,22.0,1.0,2360.0,6.0,0.0,17.0,2.0,1.0,False,146536
38,32204,25.0,1.0,16.0,2.0,4000.0,6.0,0.0,35.0,1.0,2.0,False,108338
