,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,15651,51.0,6.0,18.0,2.0,3602.0,6.0,0.0,21.0,2.0,2.0,False
1,15652,20.0,1.0,16.0,1.0,8990.0,6.0,9.0,45.0,1.0,2.0,False
2,15653,49.0,1.0,21.0,1.0,800.0,333.0,0.0,55.0,2.0,2.0,True
3,15654,48.0,1.0,16.0,2.0,4251.0,303.0,0.0,50.0,1.0,1.0,False
4,15655,54.0,6.0,21.0,2.0,1306.0,49.0,0.0,45.0,1.0,1.0,True
5,15656,70.0,1.0,21.0,1.0,3603.0,8.0,0.0,24.0,2.0,2.0,False
6,15657,50.0,2.0,21.0,1.0,2320.0,34.0,1.0,40.0,2.0,1.0,False
7,15658,32.0,1.0,23.0,1.0,3261.0,17.0,0.0,30.0,2.0,2.0,False
8,15659,25.0,1.0,18.0,2.0,310.0,8.0,0.0,50.0,1.0,1.0,False
9,15660,29.0,1.0,16.0,1.0,4530.0,8.0,0.0,40.0,2.0,1.0,False
10,15661,30.0,2.0,21.0,2.0,5710.0,6.0,13.0,30.0,2.0,1.0,False
11,15662,39.0,1.0,20.0,1.0,3640.0,8.0,1.0,32.0,2.0,1.0,False
12,15663,51.0,5.0,19.0,1.0,2825.0,55.0,0.0,40.0,1.0,1.0,True
13,15664,62.0,7.0,24.0,1.0,2100.0,17.0,1.0,40.0,1.0,1.0,True
14,15665,19.0,1.0,16.0,2.0,4110.0,8.0,17.0,35.0,2.0,1.0,False
15,15666,42.0,2.0,22.0,2.0,2002.0,29.0,0.0,45.0,2.0,1.0,False
16,15667,17.0,1.0,13.0,2.0,4720.0,8.0,2.0,10.0,2.0,1.0,False
17,15668,37.0,1.0,20.0,1.0,4621.0,8.0,0.0,18.0,1.0,1.0,True
18,15669,26.0,1.0,17.0,2.0,20.0,6.0,12.0,40.0,1.0,2.0,False
19,15670,51.0,1.0,16.0,1.0,5160.0,8.0,1.0,25.0,2.0,2.0,False
20,15671,57.0,1.0,16.0,2.0,5400.0,303.0,5.0,20.0,2.0,1.0,False
21,15672,66.0,1.0,19.0,2.0,4850.0,8.0,13.0,40.0,1.0,1.0,True
22,15673,44.0,1.0,20.0,1.0,4850.0,17.0,0.0,60.0,1.0,1.0,True
23,15674,38.0,1.0,16.0,1.0,4110.0,303.0,1.0,50.0,1.0,2.0,False
24,15675,24.0,2.0,17.0,2.0,4940.0,6.0,16.0,40.0,2.0,1.0,False
25,15676,59.0,8.0,16.0,1.0,725.0,55.0,0.0,24.0,2.0,1.0,False
26,15677,21.0,1.0,16.0,2.0,220.0,13.0,2.0,25.0,2.0,1.0,False
27,15678,63.0,6.0,16.0,1.0,205.0,55.0,1.0,60.0,1.0,1.0,True
28,15679,61.0,1.0,16.0,1.0,340.0,35.0,1.0,20.0,2.0,1.0,False
29,15680,40.0,1.0,22.0,2.0,51.0,25.0,0.0,50.0,2.0,1.0,True
30,15681,25.0,1.0,17.0,1.0,3603.0,8.0,0.0,20.0,2.0,1.0,False
31,15682,20.0,1.0,16.0,2.0,4760.0,8.0,2.0,30.0,1.0,1.0,False
32,15683,39.0,1.0,18.0,2.0,3545.0,20.0,0.0,36.0,2.0,1.0,False
33,15684,36.0,4.0,21.0,1.0,5000.0,12.0,0.0,45.0,2.0,2.0,True
34,15685,52.0,1.0,16.0,1.0,9050.0,4.0,1.0,30.0,2.0,1.0,False
35,15686,41.0,3.0,23.0,1.0,2100.0,29.0,0.0,60.0,1.0,1.0,True
36,15687,61.0,4.0,20.0,2.0,3700.0,8.0,6.0,20.0,2.0,1.0,False
37,15688,53.0,6.0,19.0,1.0,4600.0,228.0,1.0,52.0,2.0,2.0,False
38,15689,62.0,2.0,20.0,1.0,2310.0,4.0,1.0,40.0,2.0,1.0,False
39,15690,38.0,6.0,22.0,1.0,2850.0,8.0,0.0,20.0,2.0,1.0,True
40,15691,49.0,1.0,24.0,2.0,1065.0,206.0,10.0,45.0,1.0,2.0,True
41,15692,24.0,1.0,20.0,2.0,51.0,48.0,10.0,40.0,1.0,2.0,False
42,15693,64.0,1.0,20.0,1.0,3255.0,8.0,0.0,25.0,2.0,1.0,False
43,15694,84.0,1.0,16.0,2.0,3602.0,8.0,0.0,5.0,2.0,1.0,False
44,15695,55.0,1.0,19.0,2.0,3500.0,8.0,0.0,40.0,2.0,1.0,False
45,15696,31.0,1.0,24.0,2.0,110.0,8.0,0.0,40.0,1.0,1.0,False
46,15697,42.0,1.0,16.0,2.0,4720.0,6.0,2.0,30.0,2.0,1.0,False
47,15698,51.0,2.0,22.0,1.0,2310.0,8.0,2.0,60.0,2.0,1.0,True
48,15699,57.0,1.0,20.0,2.0,5000.0,55.0,0.0,40.0,2.0,1.0,False
49,15700,71.0,7.0,18.0,1.0,5550.0,8.0,0.0,12.0,2.0,1.0,True
50,15701,66.0,1.0,20.0,1.0,5240.0,20.0,0.0,20.0,2.0,1.0,False
51,15702,39.0,1.0,18.0,1.0,4700.0,48.0,1.0,45.0,1.0,1.0,True
52,15703,20.0,1.0,20.0,2.0,4622.0,8.0,2.0,24.0,1.0,1.0,False
53,15704,20.0,3.0,16.0,1.0,4230.0,8.0,0.0,25.0,2.0,1.0,False
54,15705,32.0,1.0,19.0,2.0,101.0,8.0,2.0,40.0,1.0,1.0,False
55,15706,26.0,1.0,21.0,1.0,7315.0,8.0,1.0,40.0,1.0,1.0,False
56,15707,31.0,1.0,22.0,1.0,2205.0,207.0,0.0,8.0,1.0,2.0,False
57,15708,38.0,1.0,21.0,1.0,52.0,27.0,0.0,55.0,1.0,1.0,True
58,15709,68.0,3.0,22.0,2.0,2310.0,39.0,0.0,50.0,1.0,2.0,True
59,15710,51.0,1.0,20.0,2.0,5740.0,301.0,13.0,40.0,2.0,1.0,True
60,15711,49.0,1.0,21.0,1.0,845.0,26.0,1.0,40.0,1.0,1.0,True
61,15712,24.0,1.0,21.0,2.0,9640.0,8.0,2.0,20.0,2.0,1.0,False
62,15713,50.0,1.0,23.0,1.0,2310.0,25.0,1.0,50.0,1.0,1.0,False
63,15714,39.0,1.0,18.0,2.0,4230.0,53.0,17.0,40.0,2.0,2.0,False
64,15715,36.0,2.0,20.0,1.0,5860.0,8.0,0.0,40.0,2.0,1.0,False
65,15716,39.0,7.0,22.0,2.0,4710.0,128.0,0.0,76.0,2.0,1.0,True
66,15717,63.0,6.0,16.0,1.0,4510.0,48.0,0.0,40.0,2.0,1.0,False
67,15718,48.0,6.0,21.0,1.0,5000.0,39.0,1.0,60.0,1.0,1.0,True
68,15719,69.0,3.0,22.0,2.0,2350.0,8.0,0.0,20.0,1.0,1.0,True
69,15720,24.0,1.0,21.0,2.0,4010.0,8.0,12.0,30.0,2.0,1.0,False
70,15721,50.0,2.0,11.0,2.0,3870.0,8.0,0.0,40.0,2.0,2.0,False
71,15722,53.0,5.0,21.0,1.0,5250.0,151.0,1.0,37.0,2.0,1.0,False
72,15723,28.0,2.0,21.0,2.0,2850.0,51.0,13.0,45.0,2.0,1.0,False
73,15724,22.0,3.0,16.0,2.0,3870.0,8.0,0.0,40.0,2.0,1.0,False
74,15725,77.0,1.0,20.0,2.0,4750.0,8.0,13.0,35.0,1.0,1.0,False
75,15726,29.0,1.0,16.0,1.0,9620.0,40.0,1.0,40.0,2.0,1.0,False
76,15727,26.0,4.0,21.0,1.0,2205.0,48.0,1.0,20.0,2.0,1.0,False
77,15728,25.0,3.0,21.0,1.0,1530.0,229.0,0.0,40.0,1.0,2.0,True
78,15729,40.0,2.0,20.0,2.0,2205.0,8.0,2.0,15.0,2.0,1.0,False
79,15730,53.0,1.0,16.0,1.0,4700.0,19.0,0.0,40.0,2.0,1.0,False
80,15731,44.0,1.0,21.0,2.0,4230.0,303.0,13.0,39.0,2.0,2.0,False
81,15732,22.0,1.0,16.0,2.0,8990.0,8.0,2.0,30.0,1.0,1.0,False
82,15733,67.0,1.0,22.0,2.0,2830.0,17.0,0.0,35.0,1.0,1.0,True
83,15734,58.0,7.0,19.0,1.0,440.0,8.0,1.0,40.0,1.0,1.0,False
84,15735,34.0,5.0,16.0,1.0,9040.0,53.0,1.0,40.0,1.0,1.0,True
85,15736,32.0,1.0,21.0,2.0,1006.0,8.0,13.0,32.0,1.0,2.0,False
86,15737,38.0,2.0,19.0,2.0,5110.0,8.0,0.0,40.0,2.0,1.0,False
87,15738,30.0,1.0,1.0,2.0,5610.0,6.0,0.0,40.0,1.0,1.0,False
88,15739,47.0,1.0,21.0,1.0,120.0,53.0,0.0,50.0,1.0,1.0,True
89,15740,56.0,6.0,19.0,1.0,6260.0,8.0,1.0,45.0,1.0,1.0,False
90,15741,42.0,7.0,23.0,1.0,440.0,40.0,0.0,20.0,2.0,2.0,False
91,15742,55.0,1.0,12.0,1.0,9645.0,303.0,6.0,45.0,2.0,2.0,False
92,15743,31.0,1.0,15.0,2.0,6230.0,303.0,0.0,40.0,1.0,2.0,False
93,15744,26.0,2.0,21.0,2.0,9645.0,8.0,13.0,30.0,2.0,2.0,False
94,15745,42.0,1.0,22.0,1.0,3150.0,42.0,1.0,35.0,2.0,1.0,True
95,15746,56.0,4.0,18.0,1.0,6200.0,8.0,1.0,40.0,2.0,1.0,False
96,15747,23.0,6.0,21.0,2.0,4600.0,19.0,0.0,25.0,2.0,2.0,False
97,15748,47.0,1.0,22.0,1.0,2012.0,23.0,1.0,45.0,2.0,2.0,True
98,15749,25.0,3.0,18.0,2.0,2545.0,6.0,13.0,40.0,2.0,1.0,False
99,15750,23.0,1.0,21.0,2.0,4700.0,28.0,5.0,40.0,2.0,1.0,False
100,15751,26.0,6.0,21.0,2.0,4760.0,247.0,2.0,50.0,1.0,2.0,True
101,15752,51.0,1.0,11.0,1.0,8255.0,207.0,0.0,40.0,1.0,2.0,False
102,15753,61.0,1.0,16.0,2.0,410.0,31.0,0.0,60.0,2.0,1.0,False
103,15754,44.0,4.0,21.0,2.0,2002.0,27.0,0.0,40.0,1.0,1.0,False
104,15755,47.0,6.0,21.0,1.0,2360.0,8.0,1.0,15.0,2.0,1.0,False
105,15756,18.0,1.0,14.0,2.0,4020.0,17.0,2.0,10.0,2.0,1.0,False
