,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,82435,51.0,1.0,16.0,1.0,310.0,34.0,0.0,50.0,2.0,1.0,False
1,82436,53.0,1.0,16.0,1.0,540.0,12.0,1.0,40.0,1.0,1.0,False
2,82437,58.0,1.0,21.0,1.0,1006.0,12.0,1.0,40.0,2.0,2.0,True
3,82438,28.0,1.0,16.0,2.0,9640.0,12.0,2.0,40.0,1.0,1.0,False
4,82439,39.0,3.0,22.0,1.0,2310.0,25.0,1.0,45.0,2.0,1.0,False
5,82440,41.0,1.0,21.0,1.0,1050.0,48.0,0.0,45.0,2.0,1.0,True
6,82441,18.0,1.0,18.0,2.0,4140.0,36.0,2.0,36.0,1.0,2.0,False
7,82442,52.0,1.0,21.0,1.0,4850.0,37.0,0.0,48.0,1.0,1.0,True
8,82443,29.0,1.0,21.0,1.0,1320.0,6.0,1.0,40.0,2.0,1.0,True
9,82444,66.0,1.0,19.0,1.0,9645.0,17.0,0.0,30.0,1.0,1.0,True
10,82445,43.0,1.0,20.0,2.0,4040.0,12.0,0.0,25.0,2.0,2.0,False
11,82446,24.0,4.0,21.0,2.0,2310.0,12.0,0.0,36.0,2.0,1.0,False
12,82447,59.0,7.0,17.0,1.0,9130.0,36.0,0.0,40.0,2.0,1.0,False
13,82448,53.0,7.0,16.0,1.0,220.0,12.0,0.0,70.0,1.0,1.0,True
14,82449,37.0,1.0,20.0,1.0,5940.0,36.0,0.0,40.0,1.0,2.0,False
15,82450,58.0,4.0,21.0,1.0,440.0,12.0,0.0,45.0,1.0,1.0,True
16,82451,57.0,1.0,19.0,1.0,4220.0,12.0,1.0,40.0,1.0,1.0,False
17,82452,59.0,1.0,19.0,1.0,5240.0,36.0,0.0,40.0,2.0,1.0,True
18,82453,35.0,1.0,16.0,2.0,4020.0,303.0,10.0,40.0,1.0,2.0,False
19,82454,30.0,1.0,16.0,2.0,4000.0,327.0,7.0,40.0,2.0,1.0,False
