,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,0,57.0,1.0,16.0,1.0,9130.0,6.0,0.0,65.0,1.0,1.0,False,3791
1,1,40.0,1.0,19.0,2.0,7700.0,16.0,0.0,84.0,1.0,1.0,True,1205
2,2,47.0,2.0,20.0,2.0,2850.0,32.0,0.0,25.0,2.0,1.0,False,379
3,3,47.0,1.0,17.0,2.0,6115.0,53.0,11.0,30.0,2.0,1.0,False,8164
4,4,55.0,1.0,21.0,1.0,5610.0,16.0,1.0,20.0,2.0,1.0,False,5390
5,5,21.0,1.0,16.0,2.0,4720.0,16.0,2.0,40.0,2.0,1.0,False,6893
6,6,35.0,1.0,19.0,2.0,6260.0,16.0,0.0,35.0,1.0,1.0,False,8219
7,7,48.0,1.0,17.0,1.0,6260.0,49.0,1.0,45.0,1.0,1.0,False,3168
8,8,59.0,1.0,16.0,1.0,9130.0,42.0,1.0,40.0,2.0,1.0,False,6562
9,9,33.0,1.0,21.0,2.0,2014.0,6.0,0.0,40.0,2.0,1.0,False,1753
10,10,30.0,5.0,21.0,2.0,6120.0,16.0,2.0,40.0,1.0,1.0,False,7156
11,11,27.0,1.0,16.0,1.0,4760.0,16.0,0.0,50.0,1.0,1.0,True,1248
12,12,47.0,3.0,24.0,1.0,2100.0,56.0,1.0,40.0,1.0,1.0,True,7172
13,13,24.0,1.0,19.0,1.0,4600.0,16.0,9.0,20.0,2.0,1.0,False,5558
14,14,69.0,1.0,23.0,2.0,440.0,53.0,0.0,40.0,1.0,1.0,True,5140
15,15,68.0,6.0,16.0,1.0,6240.0,16.0,0.0,40.0,1.0,1.0,False,4749
16,16,74.0,2.0,21.0,2.0,4640.0,39.0,0.0,8.0,2.0,1.0,False,2011
17,17,67.0,6.0,16.0,2.0,9620.0,16.0,11.0,2.0,1.0,1.0,False,3293
18,18,20.0,1.0,16.0,2.0,4720.0,6.0,17.0,42.0,1.0,1.0,False,147
19,19,52.0,1.0,19.0,2.0,5110.0,6.0,0.0,40.0,2.0,1.0,False,4273
20,20,17.0,1.0,14.0,2.0,4540.0,16.0,2.0,6.0,2.0,1.0,False,4567
21,21,43.0,6.0,21.0,1.0,4621.0,8.0,1.0,10.0,2.0,1.0,False,3569
22,22,65.0,6.0,19.0,1.0,4820.0,301.0,0.0,25.0,1.0,1.0,True,1406
23,23,53.0,6.0,20.0,1.0,3500.0,49.0,0.0,38.0,2.0,1.0,False,6299
24,24,21.0,1.0,16.0,2.0,4110.0,6.0,2.0,20.0,2.0,1.0,False,7896
25,25,26.0,1.0,20.0,2.0,3424.0,16.0,0.0,40.0,2.0,2.0,False,4189
