,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,32028,21.0,1.0,16.0,2.0,4055.0,17.0,2.0,36.0,2.0,2.0,False,12500
1,32029,29.0,6.0,21.0,1.0,2360.0,17.0,0.0,26.0,2.0,1.0,False,22413
2,32030,33.0,1.0,1.0,1.0,310.0,17.0,0.0,50.0,2.0,1.0,False,66461
3,32031,17.0,1.0,14.0,2.0,4130.0,17.0,2.0,15.0,1.0,1.0,False,53552
4,32032,30.0,1.0,19.0,2.0,5120.0,17.0,0.0,40.0,2.0,1.0,False,44602
5,32033,21.0,1.0,18.0,2.0,8990.0,17.0,2.0,40.0,1.0,1.0,False,15635
6,32034,61.0,1.0,18.0,1.0,4710.0,17.0,1.0,60.0,1.0,1.0,True,52275
7,32035,28.0,1.0,13.0,2.0,9760.0,17.0,3.0,21.0,2.0,2.0,False,28657
8,32036,25.0,1.0,19.0,1.0,7200.0,26.0,0.0,60.0,1.0,1.0,False,39329
9,32037,62.0,3.0,16.0,2.0,4130.0,17.0,2.0,12.0,2.0,1.0,False,66983
10,32038,38.0,1.0,18.0,2.0,8990.0,17.0,0.0,40.0,1.0,1.0,True,62579
11,32039,43.0,2.0,22.0,1.0,2555.0,17.0,0.0,40.0,2.0,1.0,True,41452
12,32040,18.0,2.0,16.0,2.0,4540.0,6.0,17.0,40.0,1.0,1.0,False,1086
13,32041,50.0,1.0,16.0,1.0,6730.0,17.0,1.0,40.0,1.0,1.0,False,29597
14,32042,38.0,1.0,19.0,2.0,4020.0,17.0,0.0,20.0,2.0,1.0,False,2871
15,32043,17.0,1.0,14.0,2.0,9645.0,17.0,2.0,20.0,1.0,1.0,False,21266
16,32044,37.0,1.0,21.0,1.0,1106.0,29.0,0.0,45.0,1.0,1.0,True,27650
17,32045,57.0,1.0,16.0,1.0,5120.0,17.0,1.0,40.0,2.0,1.0,False,24161
18,32046,64.0,4.0,17.0,2.0,2545.0,17.0,0.0,40.0,2.0,1.0,False,9084
19,32047,42.0,1.0,18.0,1.0,20.0,17.0,0.0,50.0,1.0,1.0,True,27290
20,32048,44.0,7.0,19.0,1.0,4920.0,17.0,1.0,30.0,2.0,1.0,True,44736
21,32049,46.0,1.0,21.0,1.0,120.0,17.0,0.0,40.0,1.0,1.0,True,19435
22,32050,56.0,1.0,20.0,2.0,900.0,17.0,0.0,40.0,1.0,1.0,False,39214
23,32051,51.0,1.0,21.0,1.0,1450.0,17.0,1.0,45.0,1.0,1.0,True,25724
24,32052,29.0,1.0,18.0,2.0,5160.0,17.0,11.0,35.0,2.0,1.0,False,18346
25,32053,32.0,1.0,18.0,1.0,565.0,110.0,0.0,50.0,2.0,1.0,True,20047
26,32054,45.0,1.0,11.0,2.0,4720.0,17.0,5.0,16.0,2.0,1.0,False,11972
27,32055,53.0,6.0,16.0,1.0,2910.0,17.0,1.0,89.0,1.0,1.0,False,32952
28,32056,57.0,1.0,1.0,2.0,7040.0,210.0,10.0,40.0,1.0,2.0,False,7881
29,32057,51.0,1.0,18.0,2.0,9620.0,17.0,15.0,36.0,2.0,1.0,False,8652
30,32058,33.0,1.0,18.0,1.0,5240.0,17.0,0.0,40.0,1.0,2.0,False,13662
31,32059,46.0,1.0,21.0,1.0,5630.0,17.0,0.0,40.0,1.0,1.0,True,38018
32,32060,29.0,1.0,22.0,1.0,440.0,17.0,0.0,40.0,1.0,2.0,False,39266
33,32061,45.0,2.0,22.0,1.0,2310.0,17.0,1.0,35.0,2.0,1.0,True,60165
34,32062,45.0,4.0,21.0,1.0,2014.0,17.0,0.0,60.0,2.0,2.0,True,46709
35,32063,25.0,3.0,21.0,2.0,2320.0,17.0,12.0,65.0,1.0,2.0,True,6239
36,32064,23.0,2.0,19.0,2.0,1108.0,17.0,2.0,19.0,2.0,1.0,False,54106
37,32065,40.0,1.0,16.0,2.0,8990.0,17.0,10.0,44.0,1.0,2.0,False,13301
38,32066,47.0,1.0,16.0,1.0,4965.0,17.0,0.0,41.0,2.0,1.0,False,22242
39,32067,35.0,2.0,16.0,1.0,5400.0,310.0,0.0,40.0,2.0,2.0,False,26826
40,32068,51.0,1.0,18.0,1.0,10.0,17.0,1.0,50.0,1.0,1.0,True,6786
41,32069,29.0,2.0,21.0,2.0,4000.0,17.0,2.0,40.0,2.0,1.0,False,23912
42,32070,43.0,1.0,12.0,2.0,440.0,303.0,13.0,50.0,1.0,1.0,False,31407
43,32071,55.0,3.0,21.0,1.0,810.0,17.0,0.0,50.0,2.0,1.0,False,12595
44,32072,44.0,1.0,19.0,2.0,3500.0,17.0,0.0,36.0,2.0,2.0,False,42534
45,32073,47.0,3.0,22.0,1.0,2310.0,17.0,0.0,45.0,2.0,1.0,True,23069
46,32074,35.0,1.0,16.0,2.0,5610.0,17.0,13.0,40.0,1.0,1.0,False,4491
47,32075,28.0,1.0,19.0,2.0,3645.0,22.0,0.0,35.0,2.0,1.0,False,2782
48,32076,22.0,1.0,20.0,2.0,440.0,17.0,2.0,45.0,2.0,1.0,False,15089
49,32077,25.0,1.0,16.0,2.0,6230.0,17.0,0.0,40.0,1.0,1.0,False,48741
50,32078,62.0,1.0,22.0,1.0,1460.0,18.0,1.0,50.0,1.0,1.0,False,19985
51,32079,50.0,1.0,20.0,1.0,7000.0,17.0,0.0,50.0,1.0,1.0,True,21675
52,32080,50.0,7.0,16.0,2.0,4220.0,17.0,0.0,40.0,2.0,1.0,False,15481
53,32081,56.0,1.0,21.0,2.0,710.0,6.0,0.0,50.0,2.0,1.0,True,56849
54,32082,51.0,1.0,16.0,1.0,8990.0,17.0,1.0,40.0,1.0,1.0,False,54343
55,32083,58.0,1.0,22.0,1.0,705.0,36.0,1.0,55.0,1.0,1.0,True,25856
56,32084,53.0,1.0,15.0,1.0,310.0,119.0,1.0,40.0,2.0,1.0,False,18683
57,32085,17.0,1.0,14.0,2.0,4020.0,31.0,2.0,10.0,1.0,1.0,False,65605
58,32086,46.0,6.0,23.0,1.0,2100.0,30.0,0.0,80.0,1.0,1.0,True,64867
59,32087,53.0,2.0,23.0,2.0,2100.0,39.0,0.0,47.0,2.0,1.0,True,61853
60,32088,52.0,3.0,18.0,1.0,440.0,17.0,0.0,35.0,2.0,1.0,True,13274
61,32089,48.0,6.0,15.0,1.0,6230.0,128.0,0.0,40.0,1.0,1.0,True,4650
62,32090,61.0,1.0,16.0,1.0,710.0,17.0,0.0,30.0,1.0,1.0,True,20662
63,32091,23.0,1.0,16.0,2.0,4720.0,17.0,2.0,25.0,1.0,1.0,False,44292
64,32092,56.0,1.0,21.0,1.0,4965.0,17.0,0.0,40.0,1.0,1.0,True,37124
65,32093,46.0,1.0,14.0,1.0,4720.0,17.0,0.0,20.0,2.0,1.0,False,54995
66,32094,21.0,1.0,19.0,2.0,5860.0,17.0,17.0,3.0,2.0,1.0,False,442
67,32095,50.0,1.0,17.0,2.0,8990.0,17.0,13.0,40.0,1.0,1.0,False,31272
68,32096,34.0,2.0,21.0,2.0,2040.0,39.0,0.0,35.0,1.0,1.0,False,22943
69,32097,45.0,1.0,16.0,2.0,8990.0,17.0,0.0,40.0,2.0,1.0,False,66317
70,32098,56.0,3.0,16.0,1.0,6260.0,17.0,1.0,18.0,1.0,1.0,False,41349
71,32099,39.0,1.0,12.0,1.0,6410.0,303.0,0.0,40.0,2.0,1.0,False,27233
72,32100,54.0,1.0,22.0,2.0,1010.0,17.0,0.0,40.0,1.0,1.0,False,53335
73,32101,53.0,1.0,15.0,2.0,9620.0,303.0,6.0,40.0,2.0,1.0,False,10825
74,32102,44.0,1.0,16.0,1.0,7330.0,17.0,0.0,55.0,1.0,1.0,True,2098
75,32103,31.0,1.0,21.0,2.0,1021.0,17.0,0.0,45.0,1.0,1.0,True,55520
76,32104,19.0,3.0,18.0,2.0,1050.0,19.0,17.0,10.0,1.0,1.0,False,840
77,32105,51.0,1.0,20.0,1.0,4850.0,18.0,0.0,50.0,1.0,1.0,True,21268
78,32106,40.0,7.0,19.0,2.0,6410.0,72.0,0.0,12.0,2.0,2.0,False,6970
79,32107,38.0,1.0,12.0,1.0,6230.0,303.0,0.0,40.0,1.0,1.0,False,2023
80,32108,31.0,1.0,21.0,1.0,3255.0,17.0,1.0,36.0,1.0,1.0,True,15222
81,32109,54.0,1.0,20.0,1.0,5240.0,38.0,1.0,42.0,2.0,1.0,False,61280
82,32110,52.0,3.0,19.0,2.0,5740.0,17.0,0.0,40.0,2.0,2.0,False,13970
83,32111,61.0,6.0,22.0,1.0,2752.0,17.0,1.0,25.0,2.0,1.0,False,28542
84,32112,29.0,1.0,18.0,1.0,6230.0,17.0,0.0,35.0,1.0,1.0,True,64654
85,32113,48.0,1.0,16.0,1.0,4220.0,17.0,0.0,70.0,1.0,1.0,True,58948
86,32114,30.0,1.0,22.0,1.0,1010.0,210.0,0.0,40.0,1.0,2.0,True,44796
87,32115,57.0,1.0,22.0,1.0,440.0,9.0,0.0,50.0,1.0,1.0,True,21464
88,32116,24.0,7.0,14.0,2.0,4020.0,303.0,0.0,35.0,2.0,2.0,False,30749
89,32117,54.0,1.0,21.0,2.0,1010.0,55.0,0.0,50.0,1.0,1.0,True,34077
90,32118,53.0,4.0,21.0,1.0,440.0,17.0,1.0,40.0,1.0,1.0,True,12953
91,32119,18.0,1.0,18.0,2.0,4600.0,6.0,17.0,10.0,2.0,1.0,False,546
92,32120,28.0,1.0,19.0,1.0,4800.0,17.0,0.0,40.0,1.0,2.0,False,53040
