,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,0,51.0,1.0,17.0,2.0,6520.0,18.0,13.0,60.0,1.0,1.0,True,19127
1,1,27.0,1.0,16.0,2.0,5610.0,18.0,0.0,50.0,1.0,1.0,False,4441
2,2,32.0,1.0,21.0,2.0,440.0,48.0,2.0,40.0,2.0,1.0,True,3459
3,3,34.0,1.0,16.0,2.0,9645.0,18.0,2.0,40.0,2.0,1.0,False,25473
4,4,21.0,1.0,16.0,2.0,4850.0,18.0,2.0,25.0,1.0,1.0,False,17668
5,5,51.0,1.0,21.0,2.0,1010.0,18.0,13.0,50.0,1.0,1.0,True,5646
6,6,45.0,1.0,19.0,1.0,6305.0,17.0,1.0,40.0,1.0,2.0,True,32253
7,7,56.0,1.0,21.0,1.0,1050.0,18.0,1.0,40.0,1.0,1.0,False,14949
8,8,50.0,1.0,19.0,2.0,9130.0,18.0,0.0,50.0,1.0,1.0,False,7267
9,9,52.0,1.0,21.0,2.0,350.0,18.0,13.0,80.0,2.0,1.0,True,20725
10,10,35.0,1.0,16.0,2.0,8740.0,18.0,2.0,40.0,2.0,1.0,False,16077
11,11,62.0,3.0,16.0,1.0,3802.0,18.0,1.0,60.0,2.0,1.0,False,27875
12,12,39.0,2.0,20.0,2.0,3220.0,18.0,0.0,40.0,1.0,1.0,False,22742
13,13,59.0,3.0,21.0,1.0,10.0,18.0,0.0,50.0,1.0,1.0,True,26941
14,14,33.0,4.0,21.0,1.0,2002.0,1.0,1.0,40.0,2.0,1.0,False,11948
15,15,71.0,6.0,23.0,1.0,2145.0,18.0,1.0,35.0,1.0,1.0,True,13935
16,16,66.0,1.0,18.0,2.0,1010.0,18.0,0.0,40.0,1.0,1.0,True,15048
17,17,32.0,1.0,21.0,2.0,8320.0,12.0,0.0,40.0,2.0,1.0,False,19323
18,18,54.0,2.0,19.0,2.0,5400.0,18.0,0.0,45.0,2.0,1.0,False,12891
19,19,31.0,4.0,21.0,1.0,2310.0,18.0,0.0,45.0,1.0,1.0,False,7152
20,20,53.0,2.0,21.0,1.0,2040.0,303.0,0.0,40.0,1.0,1.0,False,26811
21,21,55.0,2.0,20.0,2.0,3649.0,26.0,0.0,20.0,2.0,1.0,False,1814
22,22,45.0,1.0,16.0,2.0,6410.0,18.0,0.0,28.0,2.0,1.0,False,21036
23,23,47.0,1.0,16.0,1.0,6040.0,18.0,1.0,45.0,2.0,1.0,False,21631
24,24,60.0,1.0,16.0,1.0,8000.0,18.0,1.0,56.0,1.0,1.0,True,10647
25,25,41.0,1.0,21.0,1.0,705.0,25.0,0.0,41.0,1.0,1.0,True,16653
26,26,27.0,1.0,19.0,2.0,7750.0,18.0,7.0,40.0,1.0,1.0,False,25662
27,27,24.0,6.0,16.0,1.0,9645.0,18.0,0.0,70.0,2.0,1.0,False,22947
28,28,26.0,1.0,20.0,2.0,4110.0,18.0,0.0,99.0,2.0,1.0,False,33789
29,29,21.0,1.0,16.0,2.0,2545.0,240.0,17.0,12.0,2.0,2.0,False,574
30,30,30.0,1.0,16.0,2.0,4020.0,303.0,0.0,40.0,2.0,2.0,False,4988
31,31,36.0,1.0,20.0,1.0,3500.0,6.0,0.0,40.0,1.0,1.0,False,30356
32,32,57.0,1.0,19.0,1.0,8030.0,29.0,0.0,48.0,1.0,1.0,False,24777
33,33,50.0,1.0,16.0,2.0,6260.0,18.0,0.0,45.0,1.0,1.0,True,5878
34,34,22.0,1.0,21.0,2.0,4220.0,18.0,7.0,40.0,1.0,1.0,False,24966
35,35,21.0,1.0,13.0,2.0,7750.0,18.0,2.0,50.0,1.0,1.0,True,21634
36,36,20.0,1.0,11.0,2.0,6260.0,18.0,2.0,30.0,1.0,1.0,False,31318
37,37,22.0,1.0,16.0,2.0,310.0,18.0,2.0,55.0,1.0,2.0,False,33172
38,38,53.0,3.0,17.0,1.0,4600.0,18.0,1.0,35.0,2.0,1.0,False,21074
39,39,47.0,2.0,19.0,2.0,4230.0,18.0,2.0,40.0,2.0,1.0,False,27981
40,40,70.0,1.0,19.0,1.0,220.0,12.0,1.0,55.0,1.0,1.0,True,23442
