,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,23541,44.0,3.0,21.0,1.0,5521.0,18.0,1.0,24.0,2.0,1.0,False,2686
1,23542,27.0,1.0,20.0,1.0,3602.0,26.0,9.0,40.0,2.0,1.0,False,9974
2,23543,34.0,1.0,22.0,1.0,220.0,447.0,1.0,40.0,1.0,1.0,True,9397
3,23544,59.0,1.0,20.0,1.0,5000.0,26.0,0.0,40.0,2.0,1.0,False,3660
4,23545,39.0,6.0,16.0,1.0,3630.0,26.0,0.0,20.0,2.0,1.0,False,14564
5,23546,25.0,1.0,19.0,2.0,4000.0,26.0,0.0,40.0,1.0,2.0,False,18737
6,23547,65.0,3.0,21.0,2.0,5420.0,26.0,0.0,3.0,2.0,1.0,False,45838
7,23548,31.0,1.0,19.0,2.0,5240.0,17.0,0.0,45.0,1.0,1.0,True,26295
8,23549,46.0,3.0,21.0,1.0,4965.0,26.0,0.0,37.0,2.0,1.0,False,13372
9,23550,18.0,3.0,14.0,2.0,2865.0,26.0,2.0,6.0,1.0,1.0,False,4171
10,23551,26.0,1.0,21.0,1.0,800.0,26.0,0.0,35.0,1.0,1.0,False,14505
11,23552,58.0,7.0,16.0,1.0,2360.0,42.0,1.0,60.0,1.0,1.0,True,9589
12,23553,58.0,6.0,16.0,1.0,4251.0,26.0,0.0,40.0,1.0,1.0,False,44931
13,23554,24.0,1.0,16.0,2.0,2360.0,26.0,0.0,22.0,1.0,1.0,False,45715
14,23555,23.0,1.0,16.0,2.0,4720.0,36.0,2.0,29.0,1.0,1.0,False,33650
15,23556,48.0,5.0,18.0,1.0,4220.0,20.0,1.0,40.0,1.0,2.0,False,19087
16,23557,28.0,1.0,21.0,1.0,7340.0,215.0,0.0,40.0,1.0,2.0,False,11913
17,23558,18.0,1.0,16.0,2.0,4150.0,26.0,17.0,15.0,2.0,1.0,False,1482
18,23559,51.0,1.0,21.0,1.0,300.0,26.0,0.0,55.0,1.0,1.0,True,30042
19,23560,42.0,1.0,17.0,1.0,4020.0,17.0,16.0,40.0,1.0,2.0,False,775
20,23561,53.0,1.0,20.0,2.0,5310.0,26.0,0.0,38.0,2.0,2.0,False,24018
21,23562,27.0,4.0,21.0,1.0,5220.0,26.0,1.0,40.0,2.0,1.0,False,15477
22,23563,22.0,1.0,19.0,2.0,4010.0,26.0,12.0,19.0,2.0,1.0,False,38566
23,23564,55.0,1.0,12.0,1.0,7750.0,247.0,5.0,50.0,1.0,2.0,False,31541
24,23565,64.0,1.0,16.0,2.0,8990.0,26.0,0.0,20.0,2.0,2.0,False,40337
25,23566,50.0,1.0,20.0,1.0,3620.0,301.0,1.0,40.0,1.0,1.0,True,30153
26,23567,27.0,1.0,17.0,2.0,7360.0,26.0,0.0,15.0,2.0,1.0,False,17813
27,23568,28.0,1.0,21.0,1.0,530.0,49.0,1.0,40.0,1.0,1.0,True,8146
28,23569,52.0,1.0,19.0,1.0,350.0,26.0,1.0,35.0,2.0,1.0,False,7884
29,23570,35.0,1.0,18.0,1.0,6250.0,26.0,1.0,40.0,1.0,1.0,False,32812
30,23571,64.0,1.0,16.0,2.0,4521.0,26.0,0.0,14.0,2.0,1.0,False,28455
31,23572,33.0,1.0,21.0,1.0,220.0,26.0,1.0,40.0,1.0,1.0,True,41457
32,23573,62.0,1.0,19.0,1.0,5610.0,26.0,0.0,40.0,1.0,1.0,False,21932
33,23574,41.0,4.0,22.0,1.0,2310.0,26.0,1.0,35.0,1.0,1.0,True,19667
34,23575,46.0,7.0,22.0,1.0,350.0,26.0,0.0,40.0,2.0,1.0,False,35694
35,23576,50.0,1.0,21.0,1.0,440.0,26.0,1.0,50.0,1.0,1.0,True,24997
36,23577,50.0,3.0,21.0,1.0,2545.0,26.0,1.0,32.0,2.0,1.0,False,17725
