,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,20680,58.0,1.0,22.0,1.0,1050.0,17.0,1.0,40.0,1.0,1.0,True
1,20681,19.0,1.0,16.0,2.0,9620.0,27.0,2.0,40.0,1.0,1.0,False
2,20682,58.0,1.0,21.0,1.0,440.0,17.0,1.0,45.0,1.0,1.0,True
3,20683,56.0,7.0,16.0,1.0,8500.0,27.0,1.0,45.0,1.0,1.0,True
4,20684,49.0,1.0,16.0,2.0,3603.0,416.0,0.0,70.0,2.0,2.0,False
5,20685,56.0,2.0,16.0,1.0,4220.0,27.0,1.0,40.0,2.0,1.0,False
6,20686,52.0,1.0,21.0,1.0,4700.0,27.0,1.0,40.0,1.0,1.0,False
7,20687,62.0,1.0,15.0,1.0,8320.0,206.0,6.0,40.0,2.0,2.0,False
8,20688,50.0,1.0,1.0,2.0,4965.0,223.0,0.0,40.0,2.0,2.0,False
9,20689,31.0,2.0,21.0,2.0,440.0,1.0,12.0,47.0,2.0,2.0,False
10,20690,24.0,1.0,20.0,2.0,7750.0,27.0,2.0,40.0,2.0,1.0,False
11,20691,20.0,1.0,20.0,2.0,800.0,27.0,2.0,41.0,2.0,1.0,False
12,20692,20.0,1.0,16.0,2.0,5610.0,27.0,2.0,30.0,1.0,2.0,False
13,20693,39.0,2.0,16.0,2.0,3603.0,429.0,0.0,40.0,2.0,2.0,False
14,20694,52.0,1.0,19.0,1.0,440.0,27.0,1.0,50.0,1.0,1.0,True
15,20695,62.0,1.0,21.0,2.0,5850.0,27.0,0.0,40.0,2.0,1.0,False
16,20696,25.0,1.0,21.0,2.0,2830.0,27.0,0.0,40.0,1.0,1.0,False
17,20697,26.0,4.0,22.0,2.0,2205.0,138.0,0.0,50.0,2.0,1.0,False
18,20698,53.0,1.0,20.0,2.0,3602.0,27.0,0.0,45.0,2.0,2.0,False
19,20699,60.0,2.0,21.0,1.0,3255.0,38.0,1.0,40.0,2.0,1.0,True
20,20700,17.0,1.0,14.0,2.0,4030.0,27.0,2.0,15.0,2.0,1.0,False
21,20701,33.0,1.0,14.0,2.0,5240.0,303.0,0.0,40.0,2.0,2.0,False
22,20702,52.0,1.0,16.0,1.0,3500.0,27.0,1.0,35.0,2.0,1.0,False
23,20703,17.0,1.0,12.0,2.0,3602.0,27.0,2.0,20.0,2.0,1.0,False
24,20704,66.0,1.0,18.0,2.0,8610.0,27.0,0.0,55.0,1.0,1.0,True
25,20705,59.0,1.0,21.0,1.0,1360.0,55.0,1.0,50.0,1.0,1.0,True
26,20706,68.0,2.0,11.0,2.0,4251.0,27.0,17.0,20.0,1.0,1.0,False
27,20707,62.0,1.0,16.0,1.0,4720.0,31.0,0.0,24.0,2.0,1.0,False
28,20708,28.0,1.0,21.0,1.0,9122.0,53.0,1.0,40.0,1.0,1.0,False
29,20709,50.0,1.0,21.0,1.0,3655.0,27.0,1.0,40.0,1.0,1.0,False
30,20710,57.0,3.0,16.0,1.0,5250.0,27.0,0.0,35.0,2.0,1.0,False
31,20711,33.0,1.0,18.0,2.0,9640.0,48.0,16.0,58.0,1.0,2.0,False
32,20712,34.0,1.0,16.0,2.0,7855.0,27.0,0.0,40.0,1.0,1.0,False
33,20713,25.0,1.0,19.0,2.0,1541.0,27.0,0.0,40.0,1.0,1.0,False
34,20714,60.0,1.0,16.0,1.0,4700.0,27.0,1.0,38.0,2.0,1.0,False
35,20715,54.0,7.0,21.0,1.0,4850.0,17.0,1.0,45.0,2.0,1.0,True
36,20716,23.0,4.0,21.0,2.0,5850.0,51.0,2.0,15.0,2.0,1.0,False
37,20717,22.0,2.0,16.0,1.0,540.0,27.0,9.0,30.0,2.0,2.0,False
38,20718,18.0,1.0,19.0,2.0,4350.0,27.0,12.0,20.0,2.0,1.0,False
39,20719,49.0,3.0,19.0,1.0,3740.0,27.0,1.0,56.0,1.0,1.0,True
40,20720,55.0,2.0,21.0,1.0,2012.0,27.0,0.0,44.0,2.0,1.0,False
41,20721,59.0,1.0,16.0,1.0,9610.0,27.0,1.0,12.0,2.0,1.0,False
42,20722,68.0,1.0,22.0,1.0,2360.0,12.0,1.0,20.0,2.0,1.0,False
43,20723,59.0,1.0,19.0,1.0,8130.0,27.0,1.0,45.0,1.0,1.0,True
44,20724,83.0,1.0,16.0,1.0,9130.0,55.0,0.0,80.0,1.0,1.0,True
45,20725,31.0,2.0,20.0,1.0,4220.0,27.0,1.0,2.0,2.0,1.0,False
46,20726,42.0,1.0,21.0,1.0,5150.0,27.0,0.0,40.0,2.0,1.0,True
47,20727,50.0,3.0,22.0,1.0,2310.0,27.0,0.0,40.0,2.0,1.0,True
48,20728,44.0,1.0,20.0,1.0,8256.0,27.0,0.0,40.0,1.0,1.0,True
49,20729,44.0,1.0,21.0,1.0,52.0,27.0,1.0,45.0,2.0,1.0,True
50,20730,33.0,1.0,21.0,2.0,3255.0,27.0,13.0,36.0,2.0,1.0,True
51,20731,57.0,1.0,18.0,1.0,5240.0,20.0,0.0,20.0,2.0,1.0,False
52,20732,55.0,6.0,16.0,1.0,6260.0,53.0,1.0,50.0,1.0,1.0,False
53,20733,48.0,1.0,18.0,1.0,5740.0,27.0,0.0,40.0,2.0,1.0,False
54,20734,44.0,1.0,16.0,1.0,9130.0,27.0,0.0,68.0,1.0,1.0,True
55,20735,33.0,1.0,14.0,1.0,4700.0,37.0,1.0,40.0,1.0,1.0,False
56,20736,55.0,2.0,24.0,1.0,3090.0,6.0,1.0,45.0,1.0,1.0,True
57,20737,28.0,3.0,20.0,2.0,4251.0,27.0,13.0,45.0,1.0,1.0,False
58,20738,51.0,1.0,21.0,2.0,9760.0,429.0,0.0,40.0,1.0,2.0,False
59,20739,60.0,1.0,15.0,2.0,7700.0,46.0,13.0,40.0,2.0,1.0,False
60,20740,54.0,1.0,16.0,1.0,6200.0,27.0,1.0,40.0,1.0,1.0,True
61,20741,29.0,1.0,16.0,2.0,4700.0,27.0,13.0,40.0,2.0,1.0,False
62,20742,29.0,1.0,19.0,2.0,5240.0,32.0,13.0,40.0,1.0,1.0,False
63,20743,25.0,5.0,21.0,1.0,900.0,27.0,1.0,40.0,1.0,1.0,True
64,20744,56.0,1.0,22.0,2.0,350.0,27.0,2.0,40.0,1.0,1.0,False
65,20745,44.0,3.0,21.0,2.0,3255.0,427.0,0.0,80.0,2.0,2.0,True
66,20746,56.0,4.0,19.0,1.0,5740.0,17.0,1.0,40.0,2.0,1.0,False
67,20747,61.0,3.0,22.0,1.0,2014.0,17.0,1.0,40.0,2.0,2.0,True
68,20748,35.0,4.0,20.0,1.0,2001.0,27.0,0.0,40.0,1.0,2.0,False
69,20749,34.0,1.0,19.0,1.0,4760.0,17.0,0.0,40.0,1.0,1.0,False
70,20750,64.0,3.0,22.0,1.0,2310.0,46.0,0.0,40.0,2.0,1.0,True
71,20751,48.0,3.0,20.0,2.0,2310.0,55.0,10.0,50.0,2.0,1.0,True
72,20752,69.0,4.0,22.0,1.0,2310.0,38.0,0.0,8.0,2.0,1.0,False
73,20753,46.0,2.0,21.0,1.0,3255.0,27.0,1.0,40.0,2.0,1.0,False
74,20754,35.0,1.0,16.0,2.0,205.0,27.0,2.0,18.0,1.0,1.0,False
75,20755,61.0,2.0,1.0,2.0,4230.0,27.0,0.0,40.0,2.0,1.0,False
76,20756,18.0,1.0,18.0,2.0,4030.0,27.0,17.0,8.0,2.0,2.0,False
77,20757,44.0,4.0,21.0,1.0,4700.0,27.0,1.0,23.0,2.0,1.0,False
78,20758,54.0,5.0,13.0,2.0,4720.0,6.0,0.0,30.0,2.0,2.0,False
79,20759,26.0,1.0,16.0,2.0,6515.0,27.0,0.0,40.0,1.0,1.0,False
80,20760,30.0,4.0,22.0,2.0,6730.0,27.0,0.0,40.0,1.0,1.0,False
81,20761,18.0,1.0,19.0,2.0,4720.0,17.0,17.0,20.0,2.0,1.0,False
82,20762,69.0,6.0,16.0,1.0,9130.0,27.0,1.0,40.0,1.0,1.0,True
