,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,2936,61.0,3.0,19.0,1.0,3870.0,48.0,0.0,55.0,1.0,1.0,True,537
1,2937,47.0,2.0,18.0,1.0,3603.0,38.0,0.0,60.0,2.0,1.0,False,1332
2,2938,21.0,1.0,12.0,2.0,4720.0,38.0,0.0,32.0,2.0,2.0,False,3281
3,2939,35.0,1.0,17.0,2.0,6305.0,47.0,16.0,70.0,1.0,1.0,True,19
4,2940,70.0,6.0,19.0,1.0,6260.0,38.0,1.0,40.0,1.0,1.0,True,366
5,2941,22.0,1.0,16.0,2.0,4600.0,38.0,2.0,35.0,2.0,1.0,False,3191
6,2942,39.0,6.0,17.0,1.0,2640.0,27.0,1.0,50.0,1.0,1.0,False,3840
7,2943,69.0,6.0,15.0,1.0,205.0,38.0,0.0,70.0,1.0,1.0,True,3242
8,2944,66.0,6.0,16.0,1.0,9130.0,38.0,1.0,50.0,1.0,1.0,True,2882
9,2945,37.0,6.0,16.0,1.0,9130.0,35.0,0.0,60.0,1.0,1.0,False,528
10,2946,60.0,1.0,20.0,1.0,4700.0,38.0,1.0,40.0,2.0,1.0,False,1169
11,2947,66.0,1.0,19.0,1.0,1310.0,38.0,0.0,40.0,1.0,1.0,True,4097
12,2948,78.0,6.0,19.0,1.0,205.0,38.0,0.0,40.0,1.0,1.0,True,3291
13,2949,23.0,1.0,19.0,2.0,9365.0,4.0,12.0,40.0,1.0,1.0,False,2112
14,2950,31.0,1.0,19.0,2.0,7640.0,333.0,0.0,75.0,1.0,2.0,True,1552
15,2951,46.0,1.0,16.0,2.0,6442.0,38.0,0.0,35.0,1.0,1.0,True,1250
16,2952,38.0,2.0,21.0,2.0,2310.0,38.0,0.0,40.0,2.0,1.0,False,1353
17,2953,56.0,2.0,17.0,1.0,4330.0,38.0,0.0,40.0,1.0,1.0,True,937
18,2954,20.0,5.0,16.0,2.0,3710.0,1.0,0.0,40.0,1.0,2.0,False,618
19,2955,26.0,1.0,21.0,2.0,3255.0,38.0,0.0,38.0,1.0,1.0,True,3161
20,2956,25.0,3.0,21.0,2.0,3870.0,38.0,0.0,48.0,1.0,1.0,False,1807
21,2957,41.0,1.0,21.0,2.0,3255.0,38.0,0.0,40.0,2.0,2.0,False,1276
22,2958,77.0,5.0,13.0,2.0,4600.0,38.0,0.0,19.0,2.0,1.0,False,817
23,2959,18.0,1.0,16.0,2.0,4720.0,38.0,17.0,30.0,2.0,1.0,False,23
