,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,8985,34.0,1.0,21.0,2.0,1006.0,31.0,0.0,50.0,1.0,1.0,False
1,8986,41.0,1.0,22.0,1.0,136.0,303.0,0.0,60.0,1.0,1.0,True
2,8987,68.0,2.0,20.0,2.0,2300.0,31.0,0.0,40.0,2.0,1.0,False
3,8988,52.0,1.0,18.0,1.0,440.0,31.0,1.0,40.0,2.0,1.0,False
4,8989,28.0,1.0,19.0,2.0,9130.0,31.0,0.0,40.0,1.0,2.0,False
5,8990,26.0,1.0,19.0,2.0,4040.0,55.0,13.0,35.0,1.0,1.0,False
6,8991,55.0,3.0,22.0,1.0,2310.0,31.0,0.0,60.0,2.0,1.0,True
7,8992,42.0,1.0,21.0,1.0,910.0,19.0,0.0,50.0,1.0,1.0,True
8,8993,57.0,1.0,16.0,2.0,7855.0,31.0,0.0,36.0,2.0,1.0,False
9,8994,21.0,1.0,16.0,2.0,4760.0,31.0,2.0,24.0,1.0,1.0,False
10,8995,62.0,2.0,21.0,1.0,1007.0,6.0,1.0,60.0,1.0,1.0,True
11,8996,61.0,6.0,16.0,1.0,205.0,19.0,0.0,60.0,1.0,1.0,True
12,8997,31.0,4.0,21.0,2.0,2205.0,31.0,12.0,43.0,1.0,1.0,False
13,8998,41.0,1.0,20.0,2.0,9620.0,31.0,0.0,35.0,2.0,1.0,False
14,8999,69.0,7.0,21.0,2.0,9142.0,31.0,0.0,63.0,1.0,1.0,False
15,9000,73.0,3.0,19.0,1.0,4220.0,31.0,1.0,8.0,1.0,1.0,True
16,9001,64.0,1.0,16.0,2.0,4700.0,20.0,13.0,63.0,2.0,1.0,False
17,9002,31.0,1.0,21.0,1.0,20.0,17.0,0.0,45.0,1.0,1.0,True
18,9003,49.0,2.0,22.0,2.0,420.0,31.0,0.0,80.0,2.0,1.0,True
19,9004,61.0,1.0,19.0,1.0,9130.0,27.0,0.0,50.0,1.0,1.0,False
20,9005,56.0,1.0,17.0,2.0,7340.0,31.0,0.0,45.0,1.0,1.0,False
21,9006,38.0,4.0,22.0,2.0,2205.0,21.0,0.0,35.0,1.0,1.0,False
22,9007,46.0,7.0,21.0,1.0,2205.0,31.0,1.0,42.0,2.0,1.0,True
23,9008,28.0,7.0,5.0,2.0,4200.0,303.0,0.0,30.0,2.0,1.0,False
24,9009,53.0,1.0,20.0,1.0,8140.0,31.0,1.0,55.0,1.0,1.0,True
25,9010,52.0,3.0,19.0,1.0,5940.0,8.0,1.0,30.0,2.0,1.0,False
26,9011,32.0,1.0,19.0,1.0,120.0,31.0,1.0,50.0,1.0,1.0,True
27,9012,47.0,1.0,19.0,1.0,5000.0,48.0,1.0,40.0,2.0,1.0,True
28,9013,54.0,1.0,18.0,1.0,4700.0,31.0,0.0,51.0,2.0,1.0,True
29,9014,25.0,1.0,16.0,2.0,310.0,31.0,12.0,55.0,1.0,1.0,False
30,9015,35.0,3.0,24.0,1.0,5000.0,31.0,1.0,40.0,2.0,1.0,True
31,9016,21.0,1.0,19.0,2.0,5240.0,31.0,2.0,40.0,1.0,2.0,False
32,9017,29.0,1.0,16.0,2.0,6520.0,31.0,2.0,40.0,1.0,1.0,False
33,9018,47.0,2.0,20.0,2.0,3610.0,109.0,0.0,40.0,2.0,1.0,False
34,9019,46.0,7.0,20.0,1.0,7200.0,31.0,1.0,50.0,1.0,1.0,True
35,9020,64.0,2.0,19.0,1.0,5740.0,19.0,1.0,40.0,2.0,1.0,False
36,9021,60.0,4.0,21.0,1.0,2310.0,31.0,1.0,16.0,2.0,1.0,False
37,9022,65.0,1.0,16.0,2.0,4030.0,31.0,11.0,40.0,1.0,1.0,False
38,9023,28.0,1.0,16.0,1.0,9645.0,36.0,1.0,40.0,1.0,1.0,False
39,9024,22.0,1.0,20.0,2.0,4710.0,31.0,13.0,40.0,2.0,1.0,False
40,9025,55.0,1.0,21.0,1.0,2320.0,31.0,1.0,50.0,2.0,1.0,False
41,9026,58.0,3.0,20.0,2.0,5740.0,31.0,0.0,40.0,2.0,1.0,False
42,9027,31.0,1.0,18.0,1.0,4700.0,31.0,1.0,54.0,1.0,1.0,False
43,9028,62.0,2.0,20.0,1.0,3500.0,19.0,0.0,45.0,2.0,1.0,True
44,9029,47.0,6.0,20.0,2.0,205.0,31.0,0.0,99.0,1.0,1.0,False
45,9030,38.0,1.0,22.0,1.0,5860.0,31.0,0.0,40.0,2.0,1.0,False
46,9031,27.0,2.0,16.0,2.0,8990.0,31.0,2.0,40.0,1.0,1.0,False
47,9032,23.0,2.0,1.0,2.0,4600.0,31.0,2.0,15.0,2.0,2.0,False
48,9033,51.0,1.0,18.0,1.0,3401.0,55.0,0.0,60.0,1.0,1.0,False
49,9034,19.0,2.0,16.0,2.0,3603.0,31.0,2.0,20.0,1.0,1.0,False
50,9035,22.0,1.0,16.0,2.0,2545.0,312.0,0.0,40.0,2.0,2.0,False
51,9036,61.0,1.0,20.0,1.0,110.0,31.0,0.0,45.0,1.0,1.0,True
52,9037,27.0,2.0,24.0,1.0,3050.0,31.0,1.0,40.0,2.0,1.0,True
53,9038,64.0,3.0,21.0,1.0,2310.0,31.0,1.0,20.0,2.0,1.0,True
54,9039,39.0,2.0,21.0,1.0,2014.0,29.0,1.0,40.0,2.0,1.0,True
55,9040,18.0,1.0,18.0,2.0,4110.0,31.0,17.0,4.0,2.0,1.0,False
56,9041,40.0,1.0,19.0,1.0,5000.0,19.0,0.0,50.0,1.0,1.0,True
57,9042,53.0,1.0,21.0,2.0,7750.0,31.0,0.0,45.0,1.0,1.0,False
58,9043,53.0,1.0,18.0,1.0,4600.0,31.0,1.0,50.0,2.0,1.0,False
59,9044,51.0,1.0,16.0,2.0,9640.0,31.0,5.0,40.0,1.0,1.0,False
60,9045,44.0,1.0,19.0,2.0,5240.0,19.0,0.0,40.0,2.0,1.0,True
61,9046,30.0,1.0,22.0,1.0,1021.0,425.0,1.0,40.0,1.0,2.0,True
62,9047,53.0,3.0,18.0,2.0,140.0,31.0,0.0,50.0,2.0,1.0,False
63,9048,43.0,1.0,21.0,2.0,3910.0,48.0,0.0,40.0,1.0,1.0,False
64,9049,19.0,2.0,16.0,2.0,4350.0,31.0,3.0,25.0,2.0,1.0,False
65,9050,26.0,5.0,22.0,1.0,3820.0,31.0,0.0,40.0,2.0,2.0,True
66,9051,43.0,1.0,20.0,1.0,5240.0,54.0,1.0,40.0,1.0,1.0,False
67,9052,36.0,1.0,21.0,1.0,310.0,31.0,1.0,45.0,2.0,1.0,False
68,9053,30.0,1.0,22.0,1.0,1970.0,19.0,0.0,40.0,1.0,1.0,True
69,9054,28.0,1.0,17.0,2.0,220.0,36.0,5.0,50.0,2.0,2.0,False
70,9055,21.0,1.0,16.0,2.0,4020.0,31.0,2.0,48.0,1.0,1.0,False
71,9056,34.0,1.0,20.0,1.0,6050.0,31.0,0.0,48.0,1.0,1.0,True
72,9057,52.0,5.0,22.0,2.0,565.0,110.0,2.0,40.0,2.0,1.0,False
73,9058,41.0,1.0,16.0,1.0,8990.0,31.0,0.0,40.0,1.0,2.0,True
74,9059,47.0,1.0,16.0,2.0,3421.0,31.0,0.0,40.0,2.0,1.0,False
75,9060,30.0,4.0,10.0,1.0,3230.0,205.0,1.0,40.0,2.0,2.0,True
76,9061,26.0,1.0,19.0,1.0,4110.0,31.0,1.0,20.0,2.0,1.0,False
77,9062,33.0,1.0,20.0,1.0,2001.0,31.0,1.0,40.0,2.0,1.0,False
78,9063,47.0,3.0,21.0,1.0,3870.0,31.0,1.0,45.0,1.0,1.0,True
79,9064,21.0,1.0,19.0,2.0,6260.0,31.0,12.0,40.0,1.0,1.0,False
80,9065,59.0,1.0,14.0,1.0,9130.0,31.0,1.0,50.0,1.0,1.0,False
81,9066,37.0,1.0,21.0,1.0,7000.0,56.0,1.0,47.0,1.0,1.0,False
82,9067,22.0,2.0,21.0,2.0,3255.0,27.0,0.0,10.0,2.0,1.0,False
83,9068,60.0,1.0,22.0,1.0,800.0,17.0,0.0,40.0,1.0,1.0,True
84,9069,41.0,1.0,22.0,1.0,120.0,31.0,0.0,50.0,1.0,1.0,True
85,9070,26.0,1.0,19.0,1.0,9430.0,31.0,1.0,25.0,1.0,1.0,False
86,9071,18.0,1.0,14.0,2.0,4720.0,31.0,13.0,20.0,2.0,1.0,False
87,9072,55.0,2.0,13.0,1.0,7340.0,31.0,0.0,40.0,1.0,1.0,False
88,9073,51.0,7.0,16.0,1.0,6230.0,17.0,1.0,32.0,1.0,2.0,True
89,9074,24.0,1.0,21.0,2.0,2205.0,31.0,2.0,20.0,2.0,1.0,False
90,9075,18.0,2.0,16.0,2.0,5860.0,13.0,17.0,5.0,2.0,1.0,False
91,9076,59.0,3.0,18.0,1.0,5820.0,31.0,0.0,35.0,2.0,1.0,False
92,9077,38.0,3.0,22.0,1.0,2310.0,31.0,0.0,50.0,2.0,1.0,True
93,9078,33.0,2.0,23.0,1.0,3090.0,31.0,0.0,34.0,1.0,1.0,True
94,9079,45.0,7.0,22.0,1.0,205.0,31.0,1.0,50.0,1.0,1.0,False
95,9080,36.0,1.0,16.0,1.0,8025.0,31.0,0.0,48.0,1.0,1.0,False
96,9081,35.0,2.0,20.0,2.0,2545.0,31.0,0.0,35.0,2.0,1.0,False
97,9082,37.0,1.0,21.0,1.0,5400.0,31.0,0.0,40.0,2.0,1.0,False
98,9083,18.0,1.0,14.0,2.0,4255.0,31.0,2.0,99.0,1.0,1.0,False
99,9084,59.0,7.0,16.0,1.0,6230.0,31.0,1.0,60.0,1.0,1.0,True
100,9085,54.0,1.0,21.0,1.0,6050.0,31.0,1.0,60.0,1.0,1.0,False
101,9086,40.0,1.0,19.0,2.0,4750.0,31.0,0.0,43.0,1.0,1.0,True
102,9087,30.0,2.0,20.0,2.0,2300.0,31.0,0.0,40.0,2.0,1.0,False
103,9088,62.0,3.0,16.0,1.0,2545.0,31.0,1.0,35.0,2.0,1.0,False
104,9089,63.0,1.0,21.0,1.0,4720.0,31.0,0.0,12.0,1.0,1.0,False
105,9090,62.0,1.0,16.0,1.0,4220.0,31.0,1.0,40.0,1.0,1.0,False
106,9091,53.0,7.0,16.0,1.0,220.0,31.0,1.0,45.0,1.0,1.0,True
107,9092,32.0,1.0,16.0,1.0,4255.0,31.0,1.0,40.0,1.0,1.0,False
108,9093,66.0,4.0,16.0,1.0,20.0,31.0,0.0,40.0,1.0,1.0,True
109,9094,25.0,1.0,21.0,2.0,4720.0,31.0,12.0,50.0,2.0,1.0,False
110,9095,58.0,2.0,20.0,1.0,5740.0,31.0,0.0,10.0,2.0,1.0,False
111,9096,33.0,1.0,1.0,2.0,4020.0,205.0,15.0,40.0,1.0,2.0,False
112,9097,23.0,2.0,16.0,2.0,4600.0,31.0,2.0,15.0,2.0,2.0,False
113,9098,50.0,1.0,19.0,1.0,1105.0,31.0,0.0,40.0,1.0,1.0,True
114,9099,62.0,8.0,16.0,1.0,9620.0,31.0,0.0,5.0,1.0,1.0,False
115,9100,34.0,1.0,16.0,2.0,5165.0,31.0,5.0,40.0,2.0,1.0,False
116,9101,24.0,3.0,16.0,2.0,3802.0,31.0,13.0,40.0,2.0,1.0,False
117,9102,74.0,1.0,16.0,1.0,3601.0,31.0,1.0,8.0,2.0,1.0,False
118,9103,60.0,1.0,16.0,2.0,4720.0,6.0,13.0,40.0,2.0,1.0,False
119,9104,36.0,1.0,20.0,2.0,5120.0,31.0,13.0,40.0,2.0,1.0,False
120,9105,27.0,1.0,19.0,2.0,4760.0,8.0,5.0,48.0,1.0,1.0,False
121,9106,79.0,3.0,21.0,2.0,4230.0,46.0,0.0,10.0,2.0,1.0,False
122,9107,29.0,2.0,22.0,2.0,2016.0,31.0,0.0,40.0,2.0,1.0,False
123,9108,42.0,1.0,21.0,1.0,4810.0,27.0,1.0,40.0,2.0,1.0,False
124,9109,63.0,1.0,21.0,1.0,1360.0,31.0,0.0,50.0,1.0,1.0,True
125,9110,43.0,1.0,21.0,1.0,440.0,31.0,1.0,40.0,2.0,1.0,False
126,9111,80.0,1.0,23.0,2.0,4220.0,31.0,0.0,3.0,2.0,1.0,False
127,9112,40.0,1.0,16.0,2.0,2300.0,31.0,15.0,40.0,2.0,1.0,False
128,9113,30.0,3.0,19.0,1.0,3870.0,31.0,0.0,84.0,1.0,1.0,False
129,9114,38.0,1.0,21.0,1.0,4850.0,31.0,1.0,40.0,1.0,1.0,True
130,9115,57.0,1.0,18.0,1.0,8740.0,31.0,1.0,70.0,1.0,1.0,True
131,9116,48.0,1.0,19.0,1.0,4850.0,31.0,0.0,40.0,1.0,1.0,True
132,9117,18.0,1.0,12.0,2.0,6710.0,31.0,2.0,50.0,1.0,1.0,False
133,9118,56.0,1.0,1.0,1.0,6260.0,31.0,0.0,50.0,1.0,1.0,False
134,9119,62.0,6.0,16.0,1.0,6200.0,31.0,0.0,35.0,1.0,1.0,False
135,9120,76.0,1.0,15.0,1.0,4760.0,31.0,1.0,25.0,1.0,1.0,False
136,9121,23.0,1.0,19.0,2.0,5000.0,56.0,12.0,50.0,2.0,1.0,False
137,9122,67.0,3.0,21.0,1.0,800.0,31.0,1.0,40.0,1.0,1.0,True
138,9123,51.0,2.0,18.0,1.0,4760.0,31.0,0.0,40.0,2.0,1.0,True
139,9124,52.0,1.0,20.0,2.0,4700.0,31.0,0.0,40.0,1.0,1.0,True
140,9125,60.0,6.0,19.0,2.0,7540.0,31.0,0.0,40.0,1.0,1.0,True
141,9126,25.0,1.0,20.0,2.0,4110.0,8.0,2.0,40.0,2.0,2.0,False
142,9127,38.0,4.0,21.0,2.0,110.0,31.0,0.0,40.0,2.0,1.0,False
143,9128,58.0,5.0,19.0,2.0,5860.0,46.0,0.0,40.0,2.0,2.0,False
144,9129,60.0,3.0,18.0,1.0,102.0,31.0,1.0,40.0,2.0,1.0,True
145,9130,63.0,1.0,22.0,1.0,5240.0,19.0,0.0,45.0,1.0,1.0,False
146,9131,47.0,1.0,21.0,1.0,1006.0,31.0,0.0,50.0,2.0,1.0,True
147,9132,42.0,2.0,20.0,2.0,3255.0,31.0,0.0,50.0,2.0,1.0,True
148,9133,44.0,1.0,21.0,2.0,2310.0,31.0,0.0,40.0,2.0,1.0,False
149,9134,47.0,6.0,19.0,1.0,205.0,31.0,0.0,70.0,1.0,1.0,True
150,9135,47.0,1.0,21.0,1.0,800.0,31.0,1.0,45.0,2.0,1.0,True
151,9136,29.0,1.0,19.0,2.0,6260.0,31.0,17.0,45.0,1.0,1.0,False
152,9137,21.0,2.0,19.0,2.0,7010.0,31.0,17.0,20.0,2.0,1.0,False
153,9138,31.0,3.0,22.0,1.0,2310.0,31.0,1.0,40.0,2.0,1.0,True
154,9139,44.0,1.0,20.0,1.0,4700.0,31.0,1.0,50.0,1.0,1.0,True
155,9140,49.0,1.0,21.0,1.0,800.0,31.0,1.0,45.0,1.0,1.0,False
156,9141,37.0,6.0,21.0,1.0,4840.0,31.0,1.0,60.0,1.0,1.0,True
157,9142,32.0,1.0,20.0,1.0,5240.0,31.0,1.0,40.0,1.0,1.0,True
158,9143,20.0,1.0,16.0,2.0,9130.0,31.0,0.0,99.0,1.0,1.0,False
159,9144,39.0,7.0,19.0,1.0,4760.0,19.0,1.0,50.0,1.0,1.0,False
160,9145,43.0,7.0,16.0,2.0,9130.0,233.0,3.0,50.0,1.0,2.0,False
161,9146,61.0,6.0,18.0,1.0,6710.0,31.0,1.0,40.0,1.0,1.0,False
162,9147,21.0,2.0,19.0,2.0,4251.0,31.0,17.0,37.0,1.0,1.0,False
163,9148,32.0,1.0,21.0,1.0,3603.0,233.0,1.0,40.0,2.0,2.0,False
164,9149,58.0,1.0,19.0,1.0,4710.0,17.0,0.0,60.0,2.0,2.0,True
