,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,1270,53.0,1.0,18.0,2.0,4830.0,29.0,0.0,53.0,2.0,1.0,False,1658
1,1271,49.0,1.0,16.0,2.0,4840.0,25.0,11.0,40.0,1.0,1.0,True,3813
2,1272,63.0,1.0,22.0,2.0,1108.0,25.0,0.0,40.0,1.0,1.0,True,5438
3,1273,51.0,3.0,21.0,1.0,5820.0,39.0,1.0,40.0,2.0,1.0,False,3335
4,1274,58.0,5.0,21.0,2.0,5550.0,36.0,0.0,38.0,2.0,1.0,True,3563
5,1275,36.0,1.0,20.0,1.0,1050.0,110.0,0.0,38.0,1.0,1.0,True,5581
6,1276,30.0,1.0,21.0,2.0,3255.0,25.0,0.0,30.0,2.0,1.0,False,4917
7,1277,26.0,2.0,16.0,2.0,150.0,33.0,10.0,40.0,2.0,1.0,False,3975
8,1278,39.0,1.0,20.0,1.0,4720.0,229.0,1.0,10.0,2.0,2.0,False,5131
9,1279,41.0,1.0,20.0,2.0,1050.0,33.0,0.0,40.0,1.0,1.0,False,469
10,1280,66.0,1.0,17.0,1.0,5120.0,301.0,1.0,32.0,2.0,1.0,True,6652
11,1281,23.0,2.0,19.0,2.0,4622.0,44.0,12.0,35.0,1.0,1.0,False,4317
12,1282,36.0,1.0,21.0,1.0,5000.0,36.0,1.0,50.0,1.0,1.0,True,920
13,1283,71.0,3.0,21.0,1.0,5000.0,9.0,0.0,1.0,1.0,1.0,False,2645
14,1284,50.0,6.0,22.0,2.0,1420.0,16.0,0.0,30.0,2.0,1.0,False,2091
15,1285,39.0,1.0,16.0,1.0,4720.0,25.0,0.0,40.0,2.0,1.0,False,2971
16,1286,50.0,1.0,20.0,1.0,5400.0,33.0,0.0,40.0,2.0,1.0,False,2238
17,1287,44.0,3.0,17.0,1.0,2545.0,33.0,0.0,37.0,2.0,1.0,False,3614
18,1288,20.0,1.0,20.0,2.0,8640.0,17.0,2.0,15.0,2.0,1.0,False,4206
19,1289,19.0,4.0,19.0,2.0,230.0,24.0,17.0,8.0,2.0,1.0,False,427
20,1290,60.0,1.0,21.0,2.0,1021.0,301.0,0.0,40.0,1.0,1.0,True,3565
21,1291,30.0,1.0,19.0,2.0,5840.0,33.0,13.0,40.0,2.0,1.0,False,5777
22,1292,47.0,1.0,18.0,1.0,5860.0,6.0,0.0,40.0,1.0,1.0,True,7716
23,1293,52.0,1.0,16.0,1.0,7240.0,33.0,0.0,40.0,1.0,1.0,True,5019
24,1294,57.0,2.0,21.0,1.0,5940.0,33.0,0.0,45.0,2.0,1.0,False,1867
25,1295,47.0,1.0,18.0,1.0,8225.0,25.0,1.0,40.0,1.0,1.0,False,947
26,1296,65.0,6.0,21.0,2.0,440.0,25.0,0.0,30.0,2.0,1.0,False,3156
27,1297,73.0,2.0,23.0,1.0,2040.0,55.0,0.0,10.0,1.0,1.0,False,3401
28,1298,34.0,1.0,21.0,1.0,850.0,33.0,0.0,40.0,2.0,1.0,False,1541
29,1299,64.0,1.0,16.0,1.0,9130.0,25.0,0.0,25.0,1.0,1.0,False,2818
30,1300,57.0,1.0,16.0,2.0,4220.0,365.0,0.0,40.0,2.0,2.0,False,2540
31,1301,70.0,3.0,22.0,1.0,2310.0,33.0,1.0,30.0,2.0,1.0,True,4358
32,1302,62.0,1.0,16.0,1.0,6230.0,25.0,1.0,40.0,1.0,1.0,False,2366
33,1303,66.0,1.0,15.0,1.0,4220.0,25.0,1.0,40.0,1.0,1.0,True,4837
34,1304,46.0,1.0,21.0,1.0,710.0,42.0,0.0,40.0,1.0,1.0,True,3403
35,1305,35.0,1.0,21.0,1.0,705.0,23.0,0.0,40.0,1.0,1.0,True,4417
36,1306,56.0,2.0,22.0,2.0,420.0,23.0,0.0,40.0,2.0,1.0,True,3755
37,1307,67.0,2.0,21.0,1.0,7800.0,33.0,0.0,40.0,2.0,1.0,False,4819
38,1308,62.0,1.0,22.0,2.0,5710.0,42.0,0.0,45.0,2.0,1.0,True,7600
39,1309,35.0,2.0,23.0,1.0,3090.0,42.0,0.0,42.0,1.0,1.0,True,4990
40,1310,69.0,1.0,22.0,2.0,4010.0,12.0,0.0,32.0,1.0,1.0,True,5414
41,1311,62.0,1.0,19.0,1.0,940.0,33.0,0.0,20.0,2.0,1.0,False,1395
42,1312,37.0,1.0,21.0,1.0,800.0,33.0,1.0,40.0,1.0,1.0,True,1676
43,1313,50.0,1.0,20.0,1.0,140.0,45.0,1.0,45.0,1.0,1.0,True,4028
44,1314,47.0,1.0,13.0,1.0,8300.0,33.0,1.0,40.0,2.0,1.0,False,1142
45,1315,50.0,1.0,16.0,1.0,7315.0,33.0,1.0,50.0,1.0,1.0,True,7308
46,1316,43.0,6.0,16.0,2.0,6120.0,33.0,0.0,35.0,1.0,1.0,False,2980
47,1317,56.0,1.0,16.0,1.0,9121.0,25.0,1.0,26.0,2.0,1.0,False,3309
48,1318,32.0,1.0,19.0,1.0,220.0,33.0,0.0,45.0,1.0,1.0,True,1062
49,1319,54.0,1.0,16.0,1.0,5510.0,25.0,0.0,52.0,1.0,1.0,True,3345
50,1320,23.0,1.0,18.0,2.0,5240.0,33.0,2.0,40.0,2.0,1.0,False,535
51,1321,24.0,2.0,21.0,2.0,5860.0,33.0,15.0,10.0,2.0,2.0,False,7646
52,1322,24.0,1.0,21.0,2.0,1007.0,42.0,12.0,37.0,1.0,1.0,True,7480
53,1323,60.0,3.0,16.0,2.0,5940.0,25.0,0.0,35.0,2.0,1.0,True,3275
54,1324,55.0,6.0,16.0,1.0,4220.0,33.0,0.0,50.0,1.0,1.0,False,2566
55,1325,32.0,3.0,19.0,2.0,3870.0,23.0,0.0,45.0,1.0,1.0,True,6504
56,1326,26.0,5.0,22.0,2.0,9130.0,25.0,0.0,49.0,1.0,1.0,False,2383
57,1327,51.0,7.0,21.0,2.0,20.0,36.0,0.0,40.0,1.0,1.0,False,2237
58,1328,84.0,1.0,16.0,1.0,9410.0,23.0,0.0,40.0,1.0,1.0,True,2953
59,1329,43.0,1.0,14.0,1.0,7210.0,33.0,0.0,45.0,1.0,1.0,True,4426
60,1330,31.0,2.0,21.0,1.0,630.0,33.0,0.0,40.0,2.0,1.0,False,733
61,1331,42.0,3.0,22.0,2.0,2310.0,33.0,2.0,45.0,2.0,1.0,True,5448
62,1332,26.0,1.0,22.0,2.0,1021.0,210.0,12.0,40.0,2.0,2.0,True,6933
63,1333,71.0,1.0,22.0,1.0,4710.0,25.0,0.0,12.0,2.0,1.0,False,6770
64,1334,49.0,1.0,18.0,1.0,3930.0,25.0,1.0,42.0,1.0,1.0,True,2239
65,1335,44.0,1.0,21.0,2.0,710.0,51.0,0.0,40.0,2.0,1.0,True,7289
66,1336,57.0,1.0,21.0,1.0,1108.0,33.0,0.0,45.0,1.0,1.0,True,7096
67,1337,56.0,1.0,16.0,2.0,4230.0,436.0,0.0,13.0,1.0,2.0,False,3076
68,1338,26.0,1.0,21.0,2.0,850.0,33.0,2.0,40.0,1.0,1.0,False,7922
69,1339,59.0,1.0,22.0,1.0,440.0,33.0,0.0,50.0,1.0,1.0,True,4996
70,1340,53.0,6.0,21.0,1.0,4621.0,36.0,1.0,45.0,2.0,1.0,False,3190
71,1341,60.0,1.0,22.0,1.0,6355.0,33.0,1.0,45.0,1.0,1.0,True,3127
72,1342,58.0,2.0,19.0,1.0,3500.0,44.0,1.0,35.0,2.0,1.0,False,1369
73,1343,70.0,6.0,16.0,2.0,9130.0,33.0,0.0,20.0,1.0,1.0,False,6285
74,1344,24.0,1.0,22.0,2.0,120.0,33.0,0.0,43.0,1.0,1.0,False,1587
75,1345,47.0,1.0,19.0,2.0,8740.0,51.0,0.0,40.0,2.0,1.0,False,5554
76,1346,45.0,4.0,16.0,1.0,5220.0,33.0,1.0,40.0,2.0,1.0,False,5020
77,1347,29.0,6.0,16.0,2.0,9720.0,33.0,2.0,2.0,1.0,1.0,False,6407
78,1348,73.0,1.0,21.0,1.0,9645.0,25.0,0.0,40.0,1.0,1.0,True,1190
79,1349,73.0,6.0,16.0,1.0,6230.0,301.0,1.0,40.0,1.0,1.0,False,480
80,1350,59.0,3.0,22.0,1.0,3960.0,119.0,1.0,1.0,1.0,1.0,True,1155
81,1351,51.0,1.0,21.0,1.0,440.0,138.0,1.0,80.0,1.0,1.0,True,3460
82,1352,18.0,2.0,16.0,2.0,6410.0,33.0,2.0,40.0,2.0,1.0,False,1922
83,1353,38.0,5.0,22.0,2.0,1530.0,53.0,0.0,40.0,1.0,1.0,True,491
84,1354,67.0,3.0,13.0,1.0,4220.0,33.0,1.0,40.0,2.0,1.0,False,672
85,1355,41.0,1.0,16.0,2.0,140.0,25.0,2.0,40.0,2.0,1.0,True,6253
86,1356,44.0,2.0,19.0,2.0,350.0,25.0,0.0,36.0,2.0,1.0,False,6301
87,1357,70.0,1.0,17.0,2.0,8140.0,33.0,9.0,40.0,1.0,1.0,True,4780
88,1358,58.0,6.0,16.0,1.0,4920.0,33.0,0.0,50.0,1.0,1.0,False,6607
89,1359,57.0,6.0,23.0,2.0,2751.0,25.0,0.0,51.0,1.0,1.0,True,2414
90,1360,28.0,1.0,16.0,2.0,7905.0,33.0,13.0,40.0,2.0,1.0,False,6859
