,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,7963,48.0,1.0,16.0,2.0,4251.0,34.0,2.0,40.0,1.0,1.0,True
1,7964,18.0,1.0,14.0,2.0,9650.0,34.0,2.0,16.0,1.0,1.0,False
2,7965,64.0,6.0,21.0,1.0,710.0,17.0,0.0,30.0,1.0,1.0,True
3,7966,24.0,3.0,21.0,2.0,3802.0,34.0,15.0,40.0,1.0,1.0,False
4,7967,34.0,1.0,21.0,1.0,1021.0,210.0,1.0,40.0,1.0,2.0,True
5,7968,66.0,6.0,21.0,1.0,4920.0,39.0,0.0,35.0,1.0,1.0,True
6,7969,44.0,1.0,17.0,2.0,120.0,42.0,2.0,50.0,1.0,2.0,True
7,7970,51.0,2.0,1.0,2.0,8990.0,34.0,0.0,32.0,2.0,1.0,False
8,7971,65.0,1.0,17.0,2.0,5300.0,42.0,0.0,40.0,2.0,1.0,False
9,7972,29.0,1.0,21.0,2.0,3930.0,34.0,5.0,48.0,2.0,1.0,False
10,7973,33.0,1.0,19.0,2.0,4521.0,34.0,2.0,40.0,2.0,1.0,False
11,7974,18.0,3.0,14.0,2.0,565.0,34.0,2.0,20.0,1.0,2.0,False
12,7975,50.0,2.0,21.0,1.0,2722.0,26.0,1.0,7.0,2.0,1.0,False
13,7976,80.0,1.0,16.0,2.0,5740.0,34.0,0.0,20.0,2.0,1.0,False
14,7977,26.0,1.0,21.0,2.0,136.0,34.0,15.0,40.0,2.0,1.0,False
15,7978,24.0,1.0,21.0,1.0,5740.0,34.0,2.0,10.0,2.0,1.0,False
16,7979,49.0,1.0,16.0,1.0,4220.0,368.0,0.0,40.0,1.0,2.0,True
17,7980,57.0,1.0,21.0,1.0,4850.0,34.0,1.0,40.0,1.0,1.0,False
18,7981,64.0,1.0,16.0,2.0,6220.0,34.0,0.0,40.0,1.0,1.0,True
19,7982,48.0,1.0,21.0,2.0,5240.0,34.0,0.0,40.0,2.0,1.0,True
20,7983,35.0,1.0,18.0,2.0,7010.0,34.0,2.0,40.0,1.0,2.0,False
21,7984,38.0,1.0,9.0,1.0,6050.0,303.0,0.0,30.0,2.0,2.0,False
22,7985,68.0,1.0,22.0,2.0,2310.0,34.0,0.0,16.0,2.0,1.0,False
23,7986,42.0,3.0,16.0,1.0,3740.0,34.0,1.0,48.0,1.0,1.0,True
24,7987,62.0,3.0,20.0,1.0,6730.0,34.0,1.0,40.0,1.0,1.0,False
25,7988,49.0,1.0,20.0,1.0,4840.0,329.0,0.0,46.0,1.0,2.0,True
26,7989,44.0,1.0,22.0,1.0,2634.0,217.0,0.0,40.0,1.0,2.0,True
27,7990,45.0,1.0,13.0,2.0,8255.0,34.0,13.0,40.0,2.0,1.0,False
28,7991,56.0,1.0,16.0,1.0,6355.0,36.0,1.0,40.0,2.0,1.0,True
