,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,7255,30.0,5.0,16.0,2.0,2545.0,35.0,2.0,40.0,2.0,2.0,True
1,7256,60.0,6.0,16.0,1.0,4710.0,110.0,0.0,40.0,2.0,1.0,False
2,7257,26.0,1.0,20.0,2.0,6230.0,35.0,2.0,30.0,1.0,2.0,False
3,7258,47.0,6.0,15.0,2.0,7200.0,35.0,0.0,25.0,1.0,2.0,False
4,7259,86.0,7.0,16.0,2.0,4760.0,303.0,0.0,48.0,2.0,1.0,True
5,7260,45.0,1.0,14.0,2.0,3601.0,35.0,0.0,24.0,2.0,2.0,False
6,7261,36.0,1.0,19.0,1.0,7855.0,303.0,0.0,40.0,1.0,1.0,False
7,7262,63.0,1.0,22.0,1.0,800.0,6.0,0.0,40.0,2.0,1.0,True
8,7263,28.0,1.0,22.0,1.0,4760.0,35.0,1.0,30.0,1.0,1.0,False
9,7264,31.0,2.0,20.0,2.0,3500.0,35.0,0.0,38.0,2.0,1.0,False
10,7265,83.0,6.0,16.0,2.0,6260.0,35.0,0.0,20.0,1.0,1.0,False
11,7266,56.0,1.0,21.0,1.0,3310.0,35.0,0.0,35.0,2.0,1.0,False
12,7267,44.0,1.0,19.0,2.0,3421.0,35.0,0.0,40.0,2.0,1.0,False
13,7268,56.0,1.0,21.0,2.0,4350.0,163.0,0.0,40.0,2.0,1.0,False
14,7269,29.0,2.0,19.0,2.0,5740.0,303.0,0.0,40.0,2.0,1.0,False
15,7270,47.0,5.0,20.0,1.0,5740.0,35.0,1.0,40.0,2.0,1.0,False
16,7271,34.0,3.0,16.0,1.0,7700.0,35.0,1.0,45.0,1.0,1.0,True
17,7272,60.0,1.0,16.0,2.0,7800.0,35.0,5.0,30.0,2.0,2.0,False
18,7273,30.0,4.0,21.0,2.0,2002.0,35.0,0.0,40.0,1.0,1.0,False
19,7274,37.0,1.0,7.0,1.0,4020.0,303.0,1.0,30.0,2.0,2.0,False
20,7275,38.0,1.0,21.0,1.0,705.0,8.0,0.0,80.0,1.0,1.0,True
21,7276,48.0,1.0,10.0,1.0,4850.0,303.0,0.0,40.0,1.0,1.0,False
22,7277,48.0,1.0,15.0,2.0,4220.0,303.0,0.0,40.0,1.0,1.0,False
23,7278,20.0,4.0,19.0,2.0,5860.0,35.0,2.0,40.0,1.0,1.0,False
24,7279,38.0,1.0,21.0,1.0,8610.0,35.0,1.0,32.0,2.0,1.0,True
25,7280,65.0,6.0,23.0,1.0,940.0,35.0,0.0,10.0,1.0,1.0,True
26,7281,56.0,1.0,21.0,1.0,4700.0,35.0,0.0,50.0,1.0,1.0,True
27,7282,28.0,1.0,22.0,2.0,2850.0,6.0,2.0,40.0,2.0,1.0,False
28,7283,61.0,3.0,22.0,1.0,2310.0,48.0,0.0,45.0,2.0,1.0,True
29,7284,56.0,1.0,16.0,1.0,9620.0,35.0,10.0,40.0,1.0,2.0,False
30,7285,41.0,5.0,19.0,1.0,7315.0,35.0,1.0,40.0,1.0,1.0,True
31,7286,41.0,2.0,22.0,2.0,5250.0,4.0,2.0,40.0,1.0,2.0,False
32,7287,26.0,1.0,19.0,2.0,4600.0,35.0,0.0,40.0,2.0,1.0,False
33,7288,28.0,1.0,16.0,1.0,9130.0,35.0,1.0,40.0,1.0,1.0,False
34,7289,51.0,1.0,20.0,2.0,9620.0,35.0,2.0,20.0,2.0,1.0,False
35,7290,56.0,1.0,19.0,2.0,9645.0,35.0,0.0,50.0,1.0,2.0,False
36,7291,38.0,4.0,19.0,1.0,2545.0,35.0,0.0,14.0,2.0,1.0,False
37,7292,42.0,4.0,21.0,1.0,1750.0,13.0,0.0,40.0,1.0,1.0,True
38,7293,56.0,1.0,21.0,1.0,7750.0,42.0,0.0,55.0,1.0,1.0,True
39,7294,34.0,1.0,19.0,2.0,3602.0,35.0,10.0,22.0,2.0,2.0,False
40,7295,52.0,1.0,16.0,2.0,8750.0,35.0,0.0,40.0,2.0,2.0,False
41,7296,51.0,3.0,22.0,1.0,2310.0,35.0,1.0,24.0,2.0,1.0,False
42,7297,38.0,1.0,16.0,1.0,6305.0,303.0,1.0,40.0,1.0,1.0,False
43,7298,48.0,2.0,16.0,1.0,1530.0,26.0,0.0,40.0,1.0,1.0,True
44,7299,69.0,7.0,20.0,1.0,7130.0,35.0,0.0,50.0,1.0,1.0,True
45,7300,60.0,1.0,20.0,2.0,7200.0,35.0,0.0,40.0,1.0,2.0,False
46,7301,17.0,3.0,14.0,2.0,4600.0,51.0,2.0,20.0,2.0,1.0,False
47,7302,48.0,6.0,21.0,2.0,4760.0,35.0,0.0,40.0,1.0,2.0,False
