,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,68680,32.0,1.0,17.0,2.0,4055.0,36.0,2.0,25.0,2.0,1.0,False
1,68681,22.0,1.0,16.0,2.0,3640.0,36.0,2.0,35.0,2.0,1.0,False
2,68682,27.0,1.0,22.0,1.0,2545.0,28.0,1.0,35.0,2.0,2.0,False
3,68683,55.0,1.0,21.0,2.0,5710.0,36.0,0.0,40.0,2.0,1.0,True
4,68684,35.0,1.0,18.0,1.0,4700.0,36.0,1.0,40.0,1.0,1.0,True
5,68685,55.0,1.0,14.0,1.0,4230.0,333.0,5.0,40.0,2.0,2.0,False
6,68686,50.0,6.0,1.0,1.0,2910.0,246.0,0.0,10.0,1.0,1.0,False
7,68687,58.0,2.0,21.0,2.0,2751.0,42.0,0.0,29.0,2.0,1.0,True
8,68688,36.0,1.0,21.0,2.0,52.0,19.0,0.0,40.0,2.0,1.0,True
9,68689,56.0,7.0,23.0,1.0,2100.0,36.0,1.0,40.0,1.0,1.0,True
10,68690,41.0,4.0,21.0,1.0,5860.0,240.0,1.0,40.0,2.0,2.0,False
11,68691,67.0,3.0,23.0,1.0,2100.0,36.0,0.0,40.0,2.0,1.0,True
12,68692,60.0,1.0,16.0,1.0,3601.0,312.0,0.0,36.0,2.0,2.0,False
13,68693,44.0,1.0,20.0,2.0,5110.0,36.0,0.0,50.0,2.0,1.0,False
14,68694,50.0,6.0,16.0,1.0,4230.0,36.0,1.0,40.0,2.0,1.0,False
15,68695,38.0,1.0,22.0,1.0,4710.0,217.0,1.0,40.0,2.0,2.0,True
16,68696,17.0,1.0,16.0,2.0,4720.0,36.0,2.0,18.0,1.0,2.0,False
17,68697,56.0,1.0,19.0,2.0,3930.0,341.0,0.0,40.0,1.0,2.0,False
18,68698,26.0,1.0,21.0,2.0,4920.0,34.0,5.0,60.0,1.0,1.0,True
19,68699,43.0,1.0,21.0,1.0,1021.0,209.0,0.0,40.0,1.0,2.0,True
20,68700,56.0,1.0,19.0,1.0,9130.0,35.0,0.0,40.0,1.0,1.0,True
21,68701,35.0,2.0,21.0,1.0,3255.0,36.0,0.0,48.0,1.0,1.0,True
22,68702,63.0,4.0,20.0,1.0,9121.0,27.0,1.0,25.0,2.0,1.0,False
23,68703,45.0,1.0,21.0,1.0,710.0,100.0,1.0,40.0,1.0,1.0,True
24,68704,38.0,1.0,21.0,1.0,5150.0,34.0,0.0,40.0,1.0,2.0,True
25,68705,37.0,1.0,21.0,1.0,2920.0,247.0,1.0,10.0,2.0,2.0,False
26,68706,33.0,1.0,21.0,2.0,1010.0,36.0,0.0,40.0,2.0,2.0,False
27,68707,26.0,3.0,18.0,2.0,3740.0,36.0,0.0,45.0,1.0,2.0,True
28,68708,49.0,1.0,16.0,1.0,3602.0,207.0,0.0,16.0,2.0,2.0,False
29,68709,22.0,1.0,16.0,2.0,9130.0,36.0,10.0,41.0,1.0,2.0,False
30,68710,60.0,2.0,20.0,1.0,440.0,364.0,1.0,55.0,2.0,1.0,True
31,68711,38.0,1.0,22.0,1.0,4510.0,36.0,1.0,25.0,2.0,1.0,False
32,68712,29.0,4.0,18.0,1.0,565.0,45.0,1.0,40.0,1.0,1.0,False
33,68713,59.0,1.0,18.0,2.0,9645.0,6.0,10.0,40.0,2.0,2.0,False
34,68714,63.0,4.0,19.0,1.0,565.0,36.0,0.0,18.0,1.0,1.0,False
35,68715,30.0,1.0,21.0,2.0,850.0,36.0,2.0,40.0,1.0,1.0,False
36,68716,21.0,1.0,19.0,2.0,6410.0,36.0,12.0,40.0,1.0,1.0,False
37,68717,53.0,6.0,21.0,1.0,440.0,36.0,0.0,65.0,1.0,1.0,True
38,68718,56.0,7.0,16.0,1.0,4510.0,36.0,1.0,30.0,2.0,1.0,False
39,68719,34.0,1.0,21.0,2.0,1006.0,9.0,0.0,55.0,2.0,1.0,False
40,68720,34.0,3.0,22.0,1.0,2310.0,36.0,0.0,55.0,1.0,1.0,True
41,68721,40.0,1.0,21.0,1.0,10.0,36.0,1.0,60.0,1.0,1.0,True
42,68722,45.0,1.0,9.0,1.0,6260.0,303.0,1.0,40.0,1.0,2.0,False
43,68723,49.0,4.0,21.0,1.0,4810.0,36.0,1.0,40.0,1.0,1.0,True
44,68724,24.0,2.0,19.0,2.0,3601.0,36.0,2.0,30.0,1.0,2.0,False
45,68725,66.0,1.0,14.0,1.0,4510.0,34.0,0.0,24.0,2.0,1.0,False
46,68726,73.0,6.0,16.0,1.0,4920.0,36.0,1.0,40.0,2.0,1.0,True
47,68727,54.0,3.0,16.0,2.0,230.0,399.0,0.0,35.0,1.0,2.0,False
48,68728,37.0,7.0,21.0,1.0,205.0,41.0,1.0,60.0,1.0,1.0,False
49,68729,43.0,1.0,11.0,1.0,4521.0,207.0,0.0,30.0,2.0,2.0,False
50,68730,42.0,1.0,22.0,1.0,3258.0,36.0,1.0,42.0,2.0,1.0,True
51,68731,46.0,1.0,22.0,1.0,800.0,210.0,0.0,40.0,2.0,2.0,True
52,68732,49.0,6.0,21.0,1.0,4700.0,210.0,1.0,70.0,1.0,2.0,False
53,68733,20.0,1.0,19.0,2.0,5240.0,36.0,2.0,4.0,2.0,2.0,False
54,68734,60.0,1.0,19.0,2.0,4510.0,365.0,0.0,50.0,2.0,1.0,False
55,68735,69.0,1.0,21.0,2.0,1555.0,36.0,0.0,40.0,1.0,1.0,True
56,68736,19.0,5.0,16.0,1.0,9830.0,30.0,17.0,43.0,1.0,1.0,False
57,68737,29.0,2.0,22.0,2.0,2320.0,36.0,0.0,40.0,1.0,1.0,True
58,68738,54.0,1.0,16.0,1.0,6305.0,36.0,0.0,40.0,1.0,2.0,False
59,68739,30.0,6.0,11.0,1.0,6230.0,42.0,0.0,45.0,1.0,1.0,False
60,68740,41.0,1.0,19.0,2.0,4230.0,362.0,0.0,35.0,2.0,1.0,False
61,68741,37.0,8.0,18.0,2.0,2012.0,36.0,0.0,40.0,1.0,1.0,True
62,68742,28.0,1.0,22.0,1.0,1021.0,210.0,0.0,40.0,1.0,2.0,True
63,68743,63.0,1.0,19.0,1.0,4700.0,36.0,1.0,60.0,1.0,1.0,False
64,68744,19.0,4.0,19.0,2.0,9720.0,36.0,17.0,23.0,2.0,2.0,False
65,68745,43.0,1.0,19.0,2.0,3601.0,36.0,12.0,40.0,2.0,1.0,False
66,68746,63.0,1.0,16.0,1.0,6260.0,36.0,1.0,10.0,1.0,2.0,False
67,68747,25.0,1.0,19.0,2.0,4760.0,20.0,0.0,35.0,2.0,1.0,False
68,68748,49.0,1.0,21.0,1.0,52.0,12.0,1.0,50.0,1.0,1.0,True
