,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,38888,52.0,4.0,22.0,2.0,2002.0,39.0,5.0,40.0,1.0,1.0,True,45786
1,38889,37.0,1.0,16.0,2.0,160.0,39.0,2.0,60.0,1.0,1.0,False,15728
2,38890,54.0,1.0,18.0,1.0,440.0,39.0,0.0,40.0,1.0,1.0,False,42324
3,38891,25.0,1.0,16.0,2.0,5610.0,39.0,2.0,34.0,1.0,1.0,False,54916
4,38892,30.0,1.0,21.0,2.0,1050.0,39.0,13.0,40.0,1.0,1.0,False,30984
5,38893,65.0,6.0,22.0,2.0,2850.0,39.0,0.0,6.0,2.0,1.0,False,29141
6,38894,53.0,1.0,16.0,1.0,9122.0,39.0,0.0,35.0,2.0,1.0,False,44250
7,38895,22.0,1.0,20.0,2.0,9620.0,54.0,0.0,60.0,1.0,1.0,False,13657
8,38896,50.0,1.0,21.0,1.0,4700.0,39.0,1.0,50.0,1.0,1.0,True,18743
9,38897,22.0,1.0,18.0,2.0,4720.0,36.0,5.0,27.0,1.0,1.0,False,23918
10,38898,62.0,1.0,22.0,2.0,9130.0,39.0,0.0,19.0,1.0,1.0,False,48103
11,38899,18.0,1.0,14.0,2.0,4020.0,39.0,2.0,15.0,1.0,1.0,False,46728
12,38900,54.0,1.0,16.0,1.0,5240.0,39.0,0.0,40.0,2.0,1.0,False,59280
13,38901,32.0,1.0,20.0,2.0,4760.0,39.0,0.0,40.0,1.0,1.0,False,55339
14,38902,22.0,1.0,16.0,2.0,4540.0,39.0,17.0,20.0,2.0,1.0,False,2475
15,38903,30.0,1.0,16.0,1.0,9130.0,448.0,12.0,40.0,1.0,2.0,False,54284
16,38904,19.0,2.0,18.0,2.0,4600.0,39.0,17.0,20.0,2.0,2.0,False,329
17,38905,26.0,1.0,16.0,2.0,4220.0,39.0,2.0,32.0,1.0,1.0,False,27606
18,38906,23.0,1.0,16.0,2.0,5740.0,39.0,0.0,40.0,2.0,1.0,False,32516
19,38907,46.0,2.0,20.0,1.0,220.0,39.0,0.0,45.0,1.0,1.0,False,57499
20,38908,58.0,1.0,14.0,1.0,9620.0,42.0,1.0,16.0,2.0,1.0,False,48787
21,38909,28.0,1.0,18.0,2.0,5400.0,39.0,0.0,40.0,2.0,2.0,False,30935
22,38910,56.0,1.0,16.0,1.0,5740.0,39.0,1.0,43.0,2.0,1.0,False,8684
23,38911,22.0,1.0,16.0,2.0,4020.0,39.0,2.0,9.0,1.0,1.0,False,56902
24,38912,45.0,1.0,18.0,2.0,4030.0,39.0,17.0,38.0,1.0,1.0,False,326
25,38913,58.0,1.0,19.0,2.0,7330.0,39.0,0.0,40.0,1.0,1.0,True,9670
26,38914,24.0,1.0,20.0,2.0,5400.0,39.0,0.0,45.0,2.0,1.0,False,60301
27,38915,27.0,2.0,22.0,2.0,4710.0,42.0,0.0,40.0,2.0,1.0,False,15527
28,38916,49.0,7.0,21.0,1.0,230.0,39.0,1.0,25.0,2.0,1.0,False,4052
29,38917,38.0,3.0,16.0,1.0,9130.0,39.0,0.0,40.0,1.0,1.0,False,53123
30,38918,31.0,1.0,21.0,2.0,800.0,39.0,12.0,42.0,2.0,1.0,False,31974
31,38919,34.0,2.0,20.0,1.0,3610.0,39.0,0.0,40.0,2.0,1.0,False,43525
32,38920,79.0,1.0,16.0,1.0,8990.0,18.0,1.0,24.0,1.0,1.0,False,13842
33,38921,51.0,3.0,16.0,1.0,4220.0,39.0,0.0,45.0,1.0,1.0,False,43731
34,38922,51.0,1.0,18.0,1.0,3655.0,19.0,9.0,35.0,2.0,1.0,False,59207
35,38923,18.0,1.0,11.0,2.0,7750.0,39.0,2.0,40.0,2.0,1.0,False,41769
36,38924,55.0,1.0,21.0,1.0,4840.0,427.0,1.0,40.0,1.0,2.0,True,33542
37,38925,48.0,1.0,21.0,2.0,5810.0,42.0,0.0,40.0,2.0,1.0,False,34722
38,38926,17.0,1.0,14.0,2.0,4110.0,39.0,7.0,20.0,2.0,2.0,False,26249
39,38927,38.0,3.0,21.0,1.0,2014.0,12.0,1.0,21.0,2.0,1.0,False,34886
40,38928,58.0,2.0,13.0,2.0,8990.0,39.0,17.0,20.0,1.0,2.0,False,2293
41,38929,43.0,1.0,20.0,1.0,3500.0,39.0,0.0,37.0,2.0,1.0,False,29526
42,38930,19.0,2.0,18.0,2.0,4150.0,42.0,17.0,18.0,2.0,1.0,False,880
43,38931,30.0,1.0,18.0,2.0,6230.0,39.0,16.0,40.0,1.0,1.0,False,740
44,38932,19.0,1.0,19.0,2.0,4760.0,39.0,17.0,15.0,1.0,1.0,False,603
45,38933,21.0,1.0,19.0,2.0,5120.0,42.0,17.0,15.0,1.0,1.0,False,1027
46,38934,27.0,1.0,16.0,2.0,4110.0,12.0,2.0,30.0,2.0,1.0,False,55935
47,38935,32.0,1.0,23.0,1.0,3250.0,39.0,1.0,45.0,2.0,1.0,False,21522
48,38936,30.0,1.0,21.0,1.0,51.0,39.0,0.0,40.0,2.0,1.0,True,53868
49,38937,56.0,1.0,13.0,1.0,9620.0,39.0,0.0,40.0,1.0,1.0,False,39453
50,38938,53.0,6.0,16.0,1.0,4510.0,39.0,1.0,20.0,2.0,1.0,False,33081
51,38939,43.0,1.0,21.0,1.0,5240.0,39.0,0.0,38.0,2.0,1.0,False,44659
52,38940,40.0,1.0,19.0,1.0,9620.0,39.0,1.0,50.0,1.0,1.0,True,20959
53,38941,29.0,1.0,17.0,2.0,4720.0,39.0,4.0,4.0,2.0,1.0,False,61531
54,38942,68.0,1.0,16.0,2.0,3603.0,54.0,0.0,32.0,2.0,1.0,False,47720
55,38943,73.0,6.0,16.0,1.0,4760.0,39.0,1.0,60.0,2.0,1.0,True,14382
56,38944,44.0,1.0,9.0,2.0,5240.0,314.0,0.0,40.0,2.0,1.0,False,53697
57,38945,36.0,1.0,19.0,1.0,4040.0,39.0,1.0,20.0,2.0,2.0,False,34390
58,38946,35.0,1.0,16.0,2.0,4110.0,51.0,0.0,25.0,2.0,1.0,False,60127
59,38947,28.0,6.0,19.0,1.0,4600.0,39.0,0.0,65.0,2.0,1.0,False,25832
60,38948,62.0,1.0,16.0,2.0,9620.0,39.0,5.0,40.0,1.0,1.0,False,61847
61,38949,40.0,1.0,18.0,1.0,8030.0,39.0,0.0,47.0,1.0,1.0,True,33168
62,38950,32.0,1.0,17.0,2.0,4760.0,39.0,2.0,11.0,2.0,1.0,False,53176
63,38951,42.0,1.0,19.0,1.0,5860.0,39.0,1.0,45.0,2.0,1.0,False,58487
64,38952,20.0,1.0,18.0,2.0,4020.0,202.0,17.0,9.0,1.0,2.0,False,2313
65,38953,32.0,1.0,19.0,1.0,3603.0,54.0,0.0,36.0,2.0,1.0,False,51590
66,38954,23.0,1.0,16.0,2.0,4130.0,39.0,2.0,18.0,2.0,1.0,False,20722
67,38955,23.0,1.0,19.0,2.0,5165.0,39.0,2.0,40.0,1.0,1.0,False,5542
68,38956,33.0,1.0,20.0,2.0,8740.0,39.0,2.0,40.0,1.0,1.0,False,28035
69,38957,25.0,1.0,19.0,2.0,8140.0,39.0,2.0,50.0,1.0,2.0,False,39990
70,38958,18.0,1.0,16.0,2.0,5860.0,39.0,15.0,40.0,2.0,1.0,False,50845
71,38959,68.0,1.0,22.0,2.0,350.0,42.0,0.0,15.0,2.0,1.0,False,36933
72,38960,32.0,1.0,22.0,1.0,5000.0,301.0,1.0,50.0,2.0,1.0,True,17344
73,38961,60.0,1.0,21.0,2.0,3255.0,17.0,12.0,52.0,1.0,1.0,False,17783
74,38962,61.0,1.0,16.0,2.0,8225.0,39.0,0.0,40.0,1.0,1.0,False,53170
75,38963,48.0,2.0,24.0,1.0,1650.0,202.0,0.0,40.0,1.0,2.0,False,20655
76,38964,20.0,1.0,19.0,2.0,7640.0,39.0,2.0,45.0,1.0,2.0,False,33327
77,38965,37.0,1.0,17.0,2.0,7750.0,242.0,0.0,40.0,1.0,2.0,False,55594
78,38966,34.0,2.0,22.0,1.0,2555.0,48.0,0.0,40.0,2.0,2.0,False,3349
79,38967,27.0,2.0,21.0,2.0,3255.0,39.0,13.0,36.0,2.0,1.0,False,25771
80,38968,48.0,1.0,12.0,1.0,9130.0,54.0,1.0,55.0,1.0,1.0,False,46135
81,38969,54.0,1.0,16.0,2.0,20.0,39.0,0.0,53.0,2.0,1.0,True,29389
82,38970,20.0,2.0,19.0,2.0,2006.0,17.0,17.0,50.0,1.0,1.0,False,2133
83,38971,61.0,1.0,16.0,1.0,4030.0,39.0,1.0,38.0,2.0,1.0,False,7499
84,38972,44.0,1.0,20.0,1.0,440.0,39.0,0.0,40.0,2.0,1.0,False,51548
85,38973,47.0,1.0,18.0,1.0,8740.0,18.0,1.0,40.0,1.0,1.0,True,45876
86,38974,67.0,1.0,14.0,2.0,9130.0,54.0,13.0,50.0,1.0,1.0,False,12409
87,38975,19.0,1.0,16.0,2.0,4055.0,39.0,17.0,30.0,2.0,1.0,False,794
88,38976,31.0,1.0,19.0,2.0,5400.0,39.0,0.0,34.0,1.0,1.0,False,60726
89,38977,45.0,1.0,21.0,2.0,205.0,51.0,0.0,30.0,1.0,1.0,False,46222
90,38978,27.0,1.0,21.0,2.0,4110.0,39.0,13.0,30.0,1.0,1.0,False,42877
91,38979,39.0,1.0,20.0,1.0,4840.0,39.0,0.0,40.0,1.0,1.0,True,30045
92,38980,33.0,6.0,16.0,1.0,440.0,39.0,0.0,75.0,1.0,1.0,True,40099
93,38981,21.0,1.0,16.0,2.0,310.0,39.0,2.0,40.0,2.0,1.0,False,33955
94,38982,37.0,1.0,19.0,1.0,5240.0,39.0,1.0,40.0,2.0,1.0,False,22989
95,38983,51.0,6.0,14.0,2.0,7200.0,39.0,13.0,35.0,1.0,1.0,False,57908
96,38984,59.0,1.0,20.0,1.0,310.0,515.0,1.0,50.0,2.0,1.0,False,55099
97,38985,31.0,1.0,19.0,2.0,3550.0,26.0,13.0,36.0,2.0,1.0,False,46975
98,38986,20.0,1.0,16.0,2.0,3930.0,39.0,2.0,30.0,1.0,2.0,False,10681
99,38987,29.0,1.0,21.0,2.0,5165.0,39.0,0.0,40.0,2.0,1.0,True,18716
100,38988,42.0,1.0,20.0,1.0,8500.0,39.0,0.0,50.0,1.0,1.0,True,48434
101,38989,30.0,6.0,19.0,2.0,6260.0,39.0,0.0,32.0,1.0,1.0,False,52457
102,38990,31.0,1.0,18.0,2.0,5400.0,42.0,0.0,40.0,2.0,1.0,False,8394
103,38991,54.0,1.0,19.0,2.0,1106.0,39.0,0.0,45.0,1.0,1.0,True,28925
104,38992,47.0,5.0,21.0,2.0,5510.0,39.0,0.0,30.0,2.0,1.0,False,20524
105,38993,41.0,1.0,22.0,1.0,440.0,17.0,0.0,40.0,1.0,1.0,True,57241
106,38994,47.0,1.0,17.0,2.0,8740.0,39.0,13.0,40.0,2.0,1.0,False,61440
107,38995,58.0,1.0,16.0,2.0,5860.0,39.0,13.0,40.0,2.0,1.0,False,17834
108,38996,43.0,1.0,16.0,1.0,5160.0,39.0,1.0,40.0,2.0,1.0,False,47299
109,38997,33.0,1.0,21.0,1.0,750.0,36.0,1.0,50.0,1.0,1.0,True,4006
110,38998,51.0,1.0,20.0,1.0,9600.0,39.0,1.0,40.0,1.0,1.0,False,20060
111,38999,54.0,5.0,18.0,2.0,5540.0,1.0,0.0,40.0,1.0,1.0,True,6212
112,39000,34.0,1.0,20.0,2.0,4700.0,51.0,0.0,40.0,2.0,1.0,False,12915
113,39001,38.0,1.0,16.0,1.0,7200.0,39.0,0.0,40.0,1.0,1.0,False,57994
114,39002,48.0,3.0,22.0,1.0,2310.0,42.0,0.0,40.0,1.0,1.0,True,14009
115,39003,64.0,1.0,16.0,1.0,8225.0,39.0,0.0,45.0,1.0,1.0,False,52321
116,39004,66.0,6.0,17.0,1.0,4920.0,54.0,1.0,25.0,2.0,1.0,False,39338
117,39005,50.0,1.0,22.0,2.0,220.0,26.0,13.0,40.0,1.0,1.0,True,31211
118,39006,21.0,1.0,19.0,2.0,1320.0,4.0,12.0,40.0,1.0,1.0,False,55526
119,39007,36.0,1.0,21.0,1.0,110.0,210.0,0.0,40.0,1.0,2.0,True,12112
120,39008,50.0,4.0,22.0,1.0,2310.0,39.0,0.0,40.0,1.0,1.0,True,38218
121,39009,52.0,1.0,19.0,1.0,5240.0,39.0,0.0,40.0,2.0,1.0,False,4856
122,39010,20.0,1.0,19.0,2.0,3645.0,207.0,2.0,20.0,2.0,2.0,False,23768
123,39011,55.0,1.0,22.0,2.0,120.0,42.0,0.0,55.0,1.0,1.0,True,20792
124,39012,69.0,1.0,19.0,1.0,1108.0,39.0,0.0,40.0,1.0,1.0,True,34111
125,39013,53.0,1.0,15.0,1.0,7950.0,39.0,1.0,40.0,1.0,1.0,False,16078
126,39014,19.0,1.0,16.0,2.0,8030.0,39.0,2.0,54.0,1.0,1.0,False,38576
127,39015,30.0,5.0,21.0,1.0,3870.0,25.0,0.0,40.0,1.0,1.0,False,32117
128,39016,50.0,6.0,20.0,1.0,5740.0,39.0,1.0,30.0,2.0,1.0,False,32474
129,39017,20.0,1.0,15.0,2.0,9640.0,36.0,0.0,40.0,2.0,2.0,False,38125
130,39018,49.0,1.0,21.0,1.0,1430.0,39.0,0.0,45.0,1.0,1.0,True,13016
131,39019,20.0,1.0,19.0,2.0,4030.0,39.0,2.0,15.0,2.0,1.0,False,36106
132,39020,26.0,1.0,18.0,1.0,3655.0,39.0,1.0,40.0,2.0,1.0,False,23727
133,39021,55.0,1.0,16.0,1.0,110.0,39.0,1.0,40.0,2.0,1.0,False,15683
134,39022,63.0,1.0,16.0,1.0,4760.0,39.0,0.0,47.0,2.0,1.0,False,49205
135,39023,19.0,4.0,19.0,2.0,4720.0,39.0,17.0,13.0,2.0,1.0,False,2116
136,39024,61.0,7.0,18.0,1.0,440.0,39.0,0.0,50.0,1.0,1.0,True,29546
137,39025,17.0,6.0,13.0,2.0,6050.0,39.0,2.0,6.0,1.0,1.0,False,43755
