,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,32376,22.0,6.0,16.0,2.0,6230.0,42.0,15.0,20.0,1.0,1.0,False,34411
1,32377,63.0,1.0,16.0,1.0,8500.0,34.0,0.0,45.0,1.0,1.0,True,54735
2,32378,39.0,1.0,16.0,2.0,4110.0,42.0,13.0,20.0,2.0,1.0,False,38959
3,32379,50.0,3.0,18.0,1.0,3740.0,42.0,0.0,40.0,1.0,1.0,True,50757
4,32380,55.0,7.0,19.0,1.0,4920.0,54.0,0.0,72.0,1.0,1.0,True,19960
5,32381,55.0,1.0,16.0,2.0,8990.0,42.0,0.0,40.0,2.0,1.0,False,34056
6,32382,78.0,1.0,22.0,1.0,310.0,42.0,1.0,20.0,2.0,1.0,True,3430
7,32383,46.0,1.0,18.0,1.0,4030.0,42.0,0.0,22.0,2.0,1.0,False,62767
8,32384,18.0,1.0,14.0,2.0,4110.0,42.0,2.0,10.0,2.0,1.0,False,19292
9,32385,34.0,2.0,21.0,1.0,2001.0,42.0,0.0,40.0,2.0,1.0,True,21276
10,32386,57.0,1.0,21.0,1.0,3255.0,42.0,1.0,40.0,2.0,1.0,True,11501
11,32387,34.0,1.0,16.0,1.0,220.0,24.0,0.0,60.0,1.0,1.0,True,39119
12,32388,34.0,1.0,22.0,1.0,705.0,42.0,0.0,60.0,1.0,1.0,True,21385
13,32389,42.0,1.0,1.0,2.0,4020.0,207.0,0.0,35.0,1.0,2.0,False,53140
14,32390,22.0,1.0,20.0,2.0,5400.0,42.0,2.0,30.0,2.0,1.0,False,36329
15,32391,26.0,1.0,16.0,2.0,3300.0,35.0,5.0,40.0,2.0,1.0,False,43586
16,32392,59.0,1.0,17.0,1.0,530.0,33.0,1.0,40.0,2.0,1.0,False,44910
17,32393,35.0,1.0,12.0,2.0,7200.0,42.0,13.0,30.0,1.0,1.0,False,65889
18,32394,30.0,1.0,15.0,2.0,4720.0,42.0,0.0,30.0,1.0,2.0,False,27923
19,32395,55.0,2.0,21.0,2.0,230.0,42.0,0.0,40.0,1.0,1.0,True,62580
20,32396,57.0,3.0,16.0,1.0,4220.0,233.0,1.0,40.0,2.0,2.0,False,15165
21,32397,17.0,1.0,13.0,2.0,4055.0,40.0,2.0,20.0,2.0,2.0,False,7484
22,32398,58.0,2.0,18.0,1.0,5240.0,24.0,1.0,50.0,1.0,1.0,True,48212
23,32399,55.0,1.0,14.0,2.0,7640.0,42.0,0.0,99.0,1.0,1.0,False,62722
24,32400,36.0,1.0,17.0,1.0,9142.0,34.0,1.0,40.0,1.0,1.0,True,14356
25,32401,50.0,1.0,21.0,1.0,230.0,42.0,1.0,50.0,2.0,1.0,False,13273
26,32402,67.0,1.0,16.0,1.0,9121.0,42.0,0.0,20.0,1.0,1.0,True,14864
27,32403,33.0,1.0,16.0,1.0,8030.0,42.0,1.0,40.0,1.0,1.0,True,50540
28,32404,22.0,1.0,16.0,2.0,6355.0,42.0,2.0,40.0,1.0,1.0,False,43898
29,32405,21.0,1.0,13.0,2.0,6260.0,42.0,7.0,40.0,1.0,1.0,False,22180
30,32406,54.0,1.0,19.0,2.0,9130.0,42.0,0.0,40.0,1.0,1.0,True,13689
31,32407,48.0,1.0,20.0,2.0,5740.0,44.0,13.0,40.0,2.0,1.0,False,34329
32,32408,55.0,1.0,21.0,2.0,4760.0,42.0,0.0,45.0,1.0,1.0,False,50882
33,32409,26.0,1.0,21.0,2.0,1010.0,42.0,0.0,40.0,1.0,1.0,True,39940
34,32410,36.0,1.0,20.0,1.0,3630.0,42.0,1.0,40.0,2.0,1.0,False,50551
35,32411,48.0,2.0,21.0,1.0,6050.0,34.0,0.0,42.0,2.0,1.0,False,21544
36,32412,44.0,4.0,22.0,1.0,2320.0,42.0,0.0,40.0,1.0,1.0,True,31092
37,32413,49.0,2.0,21.0,2.0,4020.0,42.0,2.0,40.0,1.0,1.0,False,13424
38,32414,73.0,1.0,20.0,1.0,5630.0,42.0,1.0,32.0,1.0,1.0,False,61586
39,32415,25.0,2.0,16.0,2.0,5840.0,12.0,2.0,40.0,2.0,1.0,False,61208
40,32416,64.0,1.0,13.0,1.0,6305.0,42.0,1.0,50.0,1.0,1.0,False,33710
41,32417,61.0,1.0,17.0,1.0,4760.0,42.0,1.0,30.0,2.0,1.0,False,64079
42,32418,50.0,1.0,24.0,1.0,3090.0,24.0,0.0,60.0,1.0,1.0,True,58399
43,32419,84.0,1.0,16.0,1.0,9620.0,42.0,0.0,25.0,1.0,1.0,False,58312
44,32420,44.0,6.0,21.0,1.0,2634.0,6.0,0.0,10.0,2.0,1.0,True,62174
45,32421,62.0,1.0,21.0,1.0,6240.0,47.0,0.0,50.0,1.0,1.0,False,22085
46,32422,43.0,1.0,16.0,1.0,6200.0,42.0,1.0,50.0,1.0,1.0,True,18277
47,32423,47.0,2.0,20.0,1.0,5860.0,10.0,0.0,40.0,2.0,1.0,False,37664
48,32424,21.0,1.0,16.0,2.0,4760.0,42.0,2.0,30.0,2.0,2.0,False,68193
49,32425,53.0,1.0,19.0,1.0,6050.0,42.0,1.0,40.0,2.0,1.0,False,66340
50,32426,40.0,1.0,18.0,2.0,4720.0,42.0,13.0,15.0,2.0,1.0,False,23757
51,32427,20.0,1.0,16.0,2.0,4720.0,42.0,2.0,25.0,2.0,1.0,False,6603
52,32428,55.0,1.0,21.0,1.0,5240.0,42.0,0.0,30.0,2.0,1.0,False,14164
53,32429,31.0,2.0,21.0,1.0,440.0,37.0,1.0,30.0,2.0,2.0,False,56086
54,32430,47.0,1.0,21.0,1.0,4760.0,26.0,1.0,55.0,2.0,1.0,True,24420
55,32431,29.0,2.0,23.0,2.0,3090.0,24.0,0.0,75.0,1.0,1.0,True,5240
56,32432,45.0,1.0,16.0,2.0,4251.0,37.0,0.0,40.0,1.0,2.0,False,65781
57,32433,41.0,7.0,21.0,1.0,4710.0,42.0,1.0,35.0,1.0,1.0,True,42165
58,32434,57.0,1.0,18.0,1.0,5710.0,36.0,0.0,40.0,2.0,1.0,True,10609
59,32435,25.0,1.0,21.0,2.0,5240.0,42.0,0.0,40.0,1.0,1.0,False,10245
60,32436,47.0,1.0,16.0,2.0,6230.0,42.0,10.0,40.0,1.0,1.0,True,18648
61,32437,42.0,3.0,16.0,2.0,4220.0,42.0,0.0,40.0,1.0,1.0,False,14856
62,32438,54.0,1.0,16.0,1.0,9620.0,42.0,0.0,40.0,1.0,1.0,False,4139
63,32439,55.0,1.0,23.0,1.0,4010.0,20.0,0.0,15.0,2.0,1.0,False,33429
64,32440,18.0,1.0,15.0,2.0,4720.0,42.0,13.0,20.0,2.0,1.0,False,67392
65,32441,24.0,1.0,16.0,2.0,4220.0,42.0,0.0,22.0,2.0,1.0,False,10420
66,32442,20.0,1.0,19.0,2.0,5740.0,10.0,17.0,30.0,2.0,2.0,False,2073
67,32443,37.0,4.0,22.0,1.0,2330.0,42.0,0.0,45.0,2.0,1.0,True,27038
68,32444,52.0,1.0,16.0,1.0,4130.0,42.0,1.0,30.0,2.0,1.0,False,27707
69,32445,52.0,4.0,18.0,1.0,5860.0,42.0,0.0,40.0,2.0,1.0,False,23008
70,32446,68.0,1.0,16.0,2.0,9645.0,42.0,0.0,40.0,1.0,1.0,False,31425
71,32447,18.0,1.0,18.0,2.0,4350.0,42.0,17.0,40.0,2.0,1.0,False,238
72,32448,19.0,1.0,16.0,2.0,2723.0,36.0,17.0,10.0,2.0,1.0,False,1589
73,32449,44.0,1.0,21.0,1.0,5740.0,42.0,1.0,15.0,2.0,1.0,False,17764
74,32450,62.0,1.0,16.0,1.0,10.0,42.0,0.0,55.0,1.0,1.0,True,27811
75,32451,58.0,1.0,18.0,1.0,3520.0,42.0,1.0,40.0,2.0,1.0,False,61835
76,32452,41.0,7.0,22.0,1.0,2633.0,8.0,0.0,30.0,2.0,1.0,True,8878
77,32453,26.0,1.0,19.0,1.0,5240.0,24.0,0.0,45.0,2.0,1.0,False,41288
78,32454,68.0,2.0,22.0,1.0,2040.0,42.0,0.0,75.0,1.0,1.0,True,43385
79,32455,37.0,2.0,22.0,1.0,3110.0,51.0,1.0,45.0,2.0,1.0,True,63547
80,32456,58.0,4.0,18.0,2.0,5860.0,42.0,0.0,18.0,2.0,1.0,False,55799
81,32457,25.0,1.0,16.0,2.0,9645.0,42.0,4.0,48.0,1.0,1.0,False,49340
82,32458,21.0,1.0,19.0,2.0,4140.0,39.0,17.0,30.0,1.0,1.0,False,2138
83,32459,52.0,1.0,16.0,2.0,8140.0,6.0,3.0,40.0,1.0,1.0,True,40657
84,32460,45.0,1.0,16.0,1.0,5120.0,42.0,1.0,40.0,1.0,1.0,False,5887
85,32461,60.0,1.0,21.0,1.0,2805.0,34.0,1.0,50.0,1.0,1.0,True,32507
86,32462,47.0,1.0,17.0,1.0,5400.0,42.0,1.0,20.0,2.0,1.0,False,50326
87,32463,18.0,1.0,16.0,2.0,4720.0,42.0,2.0,40.0,1.0,1.0,False,5944
88,32464,57.0,1.0,20.0,2.0,8990.0,11.0,5.0,50.0,1.0,1.0,False,26427
89,32465,59.0,1.0,21.0,1.0,2145.0,36.0,0.0,40.0,2.0,1.0,True,36485
90,32466,40.0,1.0,16.0,1.0,4720.0,42.0,0.0,50.0,1.0,1.0,True,44925
91,32467,56.0,8.0,16.0,1.0,440.0,42.0,0.0,45.0,1.0,1.0,False,55977
92,32468,63.0,1.0,21.0,1.0,3930.0,36.0,0.0,40.0,1.0,1.0,False,35274
93,32469,37.0,1.0,16.0,2.0,1410.0,42.0,2.0,40.0,1.0,1.0,True,4822
94,32470,67.0,1.0,1.0,1.0,9130.0,11.0,0.0,50.0,1.0,1.0,False,35336
