,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,1904,19.0,1.0,19.0,2.0,5860.0,44.0,17.0,17.0,2.0,1.0,False
1,1905,55.0,1.0,18.0,2.0,5860.0,44.0,0.0,40.0,2.0,1.0,False
2,1906,56.0,6.0,21.0,1.0,2722.0,23.0,0.0,40.0,2.0,1.0,True
3,1907,55.0,1.0,20.0,1.0,4720.0,110.0,1.0,15.0,2.0,1.0,False
4,1908,35.0,1.0,21.0,1.0,2100.0,36.0,0.0,50.0,1.0,1.0,True
5,1909,47.0,2.0,22.0,1.0,2320.0,36.0,1.0,50.0,1.0,1.0,True
6,1910,47.0,1.0,16.0,2.0,101.0,44.0,0.0,40.0,2.0,1.0,True
7,1911,26.0,1.0,21.0,2.0,1340.0,6.0,0.0,40.0,2.0,1.0,True
8,1912,42.0,1.0,17.0,2.0,4110.0,25.0,0.0,10.0,2.0,1.0,False
9,1913,66.0,2.0,9.0,2.0,4020.0,313.0,0.0,38.0,2.0,1.0,False
10,1914,33.0,1.0,19.0,2.0,2640.0,44.0,2.0,48.0,1.0,1.0,True
11,1915,54.0,1.0,21.0,1.0,140.0,44.0,0.0,45.0,1.0,1.0,True
12,1916,55.0,6.0,22.0,1.0,1006.0,25.0,0.0,32.0,1.0,1.0,True
13,1917,49.0,4.0,21.0,2.0,3422.0,36.0,13.0,40.0,2.0,1.0,True
14,1918,60.0,5.0,21.0,1.0,2014.0,44.0,0.0,40.0,2.0,1.0,True
15,1919,50.0,1.0,16.0,1.0,10.0,44.0,1.0,60.0,1.0,1.0,True
16,1920,44.0,1.0,16.0,1.0,8810.0,44.0,1.0,50.0,1.0,1.0,True
17,1921,23.0,1.0,18.0,1.0,5240.0,44.0,0.0,60.0,2.0,2.0,False
18,1922,25.0,2.0,16.0,2.0,2300.0,25.0,13.0,40.0,2.0,1.0,False
19,1923,19.0,1.0,19.0,2.0,1006.0,29.0,17.0,15.0,1.0,1.0,False
20,1924,51.0,1.0,21.0,2.0,6355.0,44.0,2.0,50.0,1.0,1.0,True
21,1925,20.0,1.0,16.0,2.0,4760.0,17.0,17.0,15.0,1.0,1.0,False
22,1926,47.0,2.0,23.0,2.0,335.0,44.0,0.0,60.0,1.0,1.0,True
23,1927,49.0,3.0,21.0,1.0,2310.0,44.0,1.0,40.0,1.0,1.0,True
24,1928,60.0,3.0,16.0,1.0,5860.0,44.0,1.0,45.0,2.0,1.0,True
25,1929,46.0,1.0,16.0,2.0,7240.0,44.0,0.0,40.0,1.0,1.0,True
26,1930,31.0,2.0,21.0,2.0,2014.0,44.0,2.0,40.0,1.0,2.0,False
27,1931,48.0,1.0,22.0,2.0,4760.0,47.0,5.0,35.0,1.0,1.0,False
28,1932,27.0,1.0,21.0,2.0,4621.0,44.0,2.0,35.0,1.0,1.0,False
29,1933,50.0,3.0,21.0,1.0,3870.0,25.0,0.0,40.0,1.0,1.0,True
30,1934,51.0,3.0,21.0,1.0,2310.0,44.0,0.0,35.0,2.0,1.0,True
31,1935,22.0,1.0,18.0,2.0,4700.0,44.0,13.0,37.0,1.0,1.0,False
32,1936,31.0,3.0,17.0,2.0,3601.0,44.0,0.0,27.0,2.0,1.0,False
33,1937,47.0,1.0,16.0,1.0,6400.0,44.0,0.0,40.0,1.0,1.0,True
34,1938,22.0,1.0,20.0,1.0,4720.0,44.0,0.0,10.0,2.0,2.0,False
35,1939,64.0,4.0,23.0,2.0,3090.0,33.0,13.0,60.0,1.0,1.0,True
36,1940,41.0,3.0,22.0,1.0,2310.0,36.0,1.0,45.0,2.0,1.0,True
37,1941,60.0,1.0,16.0,1.0,9130.0,44.0,1.0,40.0,1.0,1.0,True
38,1942,66.0,1.0,21.0,1.0,4251.0,239.0,0.0,40.0,1.0,1.0,False
39,1943,22.0,1.0,21.0,2.0,5840.0,44.0,2.0,40.0,2.0,1.0,False
40,1944,44.0,1.0,19.0,2.0,9620.0,44.0,0.0,65.0,1.0,1.0,False
41,1945,29.0,2.0,22.0,2.0,2545.0,210.0,12.0,20.0,2.0,2.0,False
42,1946,20.0,1.0,16.0,2.0,9645.0,9.0,17.0,20.0,2.0,2.0,False
43,1947,38.0,7.0,20.0,1.0,4810.0,44.0,1.0,40.0,1.0,1.0,True
44,1948,40.0,1.0,21.0,1.0,705.0,210.0,0.0,40.0,1.0,2.0,True
45,1949,40.0,1.0,16.0,1.0,9130.0,44.0,0.0,60.0,1.0,1.0,True
46,1950,51.0,2.0,22.0,2.0,420.0,31.0,0.0,40.0,2.0,1.0,True
47,1951,60.0,2.0,17.0,2.0,3603.0,44.0,0.0,38.0,2.0,1.0,False
48,1952,51.0,1.0,21.0,1.0,7750.0,233.0,1.0,40.0,2.0,2.0,False
49,1953,34.0,1.0,16.0,1.0,5400.0,44.0,1.0,40.0,2.0,1.0,False
50,1954,33.0,6.0,18.0,2.0,4252.0,44.0,2.0,25.0,1.0,1.0,False
51,1955,19.0,2.0,16.0,2.0,5860.0,163.0,17.0,4.0,2.0,1.0,False
52,1956,51.0,1.0,19.0,1.0,2634.0,44.0,0.0,40.0,2.0,1.0,True
53,1957,36.0,1.0,19.0,2.0,6200.0,44.0,13.0,42.0,1.0,1.0,True
54,1958,64.0,1.0,16.0,2.0,3603.0,42.0,0.0,40.0,2.0,2.0,False
55,1959,63.0,1.0,17.0,1.0,8810.0,364.0,1.0,40.0,1.0,1.0,True
56,1960,22.0,3.0,16.0,2.0,6730.0,44.0,7.0,40.0,1.0,1.0,False
57,1961,24.0,1.0,21.0,2.0,1021.0,9.0,12.0,40.0,2.0,1.0,True
58,1962,37.0,1.0,14.0,1.0,4200.0,313.0,1.0,40.0,1.0,1.0,False
59,1963,58.0,1.0,18.0,1.0,5120.0,44.0,1.0,35.0,2.0,1.0,True
60,1964,40.0,1.0,19.0,1.0,9645.0,25.0,0.0,40.0,1.0,1.0,False
61,1965,27.0,1.0,21.0,2.0,4700.0,44.0,2.0,40.0,1.0,1.0,False
62,1966,35.0,1.0,20.0,1.0,5160.0,44.0,0.0,29.0,2.0,1.0,False
63,1967,42.0,1.0,22.0,1.0,3245.0,44.0,1.0,40.0,1.0,1.0,True
64,1968,31.0,1.0,19.0,1.0,8140.0,34.0,1.0,40.0,1.0,1.0,False
65,1969,31.0,5.0,22.0,1.0,5710.0,36.0,0.0,55.0,1.0,1.0,True
66,1970,35.0,1.0,16.0,2.0,4030.0,44.0,13.0,40.0,2.0,1.0,False
67,1971,53.0,1.0,22.0,1.0,1320.0,210.0,0.0,40.0,1.0,2.0,True
68,1972,61.0,3.0,19.0,2.0,410.0,25.0,15.0,40.0,2.0,1.0,False
69,1973,24.0,4.0,21.0,2.0,3255.0,44.0,2.0,40.0,1.0,1.0,False
70,1974,56.0,3.0,16.0,2.0,2545.0,44.0,13.0,30.0,1.0,1.0,False
71,1975,46.0,5.0,20.0,1.0,1108.0,25.0,1.0,40.0,1.0,1.0,True
72,1976,55.0,1.0,19.0,2.0,4710.0,44.0,0.0,40.0,1.0,1.0,True
73,1977,38.0,1.0,19.0,2.0,4010.0,109.0,13.0,47.0,1.0,2.0,False
74,1978,40.0,1.0,19.0,2.0,310.0,44.0,13.0,50.0,2.0,1.0,False
75,1979,32.0,1.0,19.0,2.0,4500.0,25.0,0.0,30.0,1.0,2.0,False
76,1980,58.0,1.0,19.0,1.0,9122.0,72.0,0.0,40.0,1.0,1.0,True
77,1981,65.0,7.0,21.0,1.0,1006.0,44.0,1.0,40.0,1.0,1.0,True
78,1982,17.0,1.0,16.0,2.0,4030.0,44.0,2.0,20.0,2.0,2.0,False
79,1983,40.0,1.0,18.0,2.0,120.0,44.0,0.0,40.0,1.0,2.0,False
80,1984,60.0,5.0,20.0,2.0,5860.0,44.0,0.0,45.0,2.0,1.0,False
81,1985,58.0,1.0,17.0,1.0,9645.0,44.0,0.0,43.0,1.0,1.0,True
82,1986,56.0,1.0,19.0,1.0,5710.0,44.0,1.0,4.0,2.0,1.0,False
83,1987,50.0,1.0,21.0,1.0,7700.0,130.0,0.0,60.0,1.0,1.0,True
84,1988,26.0,1.0,21.0,2.0,1021.0,229.0,0.0,45.0,1.0,2.0,True
85,1989,39.0,1.0,16.0,1.0,8990.0,313.0,1.0,40.0,2.0,1.0,False
86,1990,39.0,1.0,22.0,1.0,630.0,313.0,0.0,40.0,2.0,2.0,False
87,1991,18.0,1.0,16.0,2.0,4720.0,23.0,17.0,20.0,2.0,1.0,False
88,1992,62.0,1.0,14.0,1.0,4700.0,44.0,1.0,38.0,1.0,1.0,False
89,1993,59.0,1.0,21.0,1.0,2170.0,44.0,0.0,40.0,2.0,1.0,False
90,1994,35.0,1.0,21.0,1.0,2360.0,25.0,1.0,5.0,2.0,1.0,False
91,1995,45.0,3.0,21.0,2.0,5120.0,44.0,2.0,35.0,1.0,1.0,True
92,1996,44.0,6.0,16.0,1.0,6115.0,44.0,0.0,70.0,1.0,1.0,True
93,1997,49.0,1.0,21.0,1.0,3255.0,36.0,1.0,36.0,2.0,1.0,True
94,1998,57.0,1.0,20.0,1.0,6442.0,44.0,0.0,45.0,1.0,1.0,True
95,1999,20.0,1.0,18.0,2.0,4640.0,6.0,17.0,20.0,2.0,2.0,False
96,2000,19.0,1.0,16.0,2.0,2545.0,37.0,17.0,7.0,1.0,2.0,False
97,2001,28.0,1.0,16.0,1.0,5740.0,44.0,2.0,38.0,2.0,1.0,True
98,2002,31.0,1.0,21.0,1.0,10.0,44.0,0.0,55.0,1.0,1.0,True
99,2003,53.0,1.0,21.0,1.0,3255.0,210.0,1.0,40.0,2.0,2.0,True
100,2004,51.0,1.0,16.0,2.0,8920.0,25.0,0.0,40.0,1.0,1.0,False
101,2005,39.0,6.0,21.0,1.0,2600.0,44.0,1.0,50.0,1.0,1.0,False
102,2006,21.0,1.0,18.0,2.0,7420.0,44.0,0.0,50.0,1.0,1.0,True
103,2007,35.0,1.0,21.0,2.0,10.0,44.0,0.0,45.0,1.0,1.0,True
104,2008,60.0,4.0,23.0,1.0,230.0,36.0,0.0,50.0,1.0,2.0,False
105,2009,27.0,1.0,21.0,2.0,800.0,44.0,0.0,40.0,2.0,1.0,True
106,2010,19.0,1.0,19.0,2.0,4720.0,34.0,17.0,12.0,2.0,1.0,False
107,2011,18.0,1.0,16.0,2.0,4720.0,44.0,7.0,20.0,2.0,1.0,False
108,2012,41.0,1.0,21.0,1.0,5240.0,25.0,1.0,40.0,2.0,1.0,False
109,2013,33.0,1.0,16.0,1.0,8990.0,129.0,1.0,45.0,1.0,1.0,False
110,2014,39.0,1.0,19.0,1.0,5860.0,11.0,1.0,8.0,2.0,1.0,False
111,2015,30.0,1.0,24.0,1.0,2205.0,217.0,0.0,40.0,1.0,2.0,False
112,2016,19.0,1.0,19.0,2.0,4435.0,36.0,17.0,40.0,1.0,1.0,False
113,2017,39.0,6.0,16.0,1.0,440.0,25.0,1.0,60.0,1.0,1.0,True
114,2018,51.0,1.0,21.0,2.0,6230.0,34.0,0.0,40.0,1.0,1.0,True
115,2019,52.0,5.0,19.0,1.0,9410.0,44.0,0.0,40.0,1.0,1.0,True
116,2020,57.0,1.0,17.0,1.0,3605.0,44.0,1.0,40.0,2.0,1.0,False
117,2021,48.0,4.0,22.0,1.0,5610.0,44.0,0.0,40.0,1.0,1.0,False
118,2022,33.0,6.0,20.0,2.0,2805.0,44.0,0.0,42.0,1.0,1.0,False
119,2023,31.0,1.0,21.0,1.0,20.0,50.0,0.0,52.0,1.0,1.0,True
120,2024,26.0,4.0,22.0,2.0,3870.0,44.0,0.0,50.0,1.0,1.0,True
121,2025,59.0,1.0,14.0,2.0,3603.0,408.0,0.0,40.0,2.0,2.0,False
122,2026,51.0,3.0,22.0,1.0,2360.0,44.0,1.0,40.0,2.0,1.0,True
123,2027,40.0,1.0,16.0,1.0,140.0,1.0,0.0,45.0,1.0,1.0,True
124,2028,40.0,1.0,16.0,1.0,5240.0,12.0,1.0,40.0,2.0,1.0,False
