,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,4146,25.0,1.0,20.0,2.0,4760.0,45.0,2.0,15.0,2.0,1.0,False
1,4147,39.0,1.0,17.0,2.0,9620.0,37.0,16.0,40.0,1.0,1.0,False
2,4148,40.0,1.0,16.0,2.0,4000.0,45.0,0.0,40.0,2.0,2.0,False
3,4149,19.0,1.0,18.0,2.0,5240.0,45.0,17.0,20.0,1.0,1.0,False
4,4150,66.0,2.0,19.0,1.0,5740.0,45.0,0.0,18.0,2.0,2.0,False
5,4151,27.0,1.0,22.0,1.0,630.0,45.0,0.0,40.0,2.0,1.0,True
6,4152,40.0,2.0,19.0,1.0,2050.0,18.0,1.0,45.0,1.0,1.0,True
7,4153,47.0,1.0,21.0,1.0,4840.0,139.0,0.0,50.0,1.0,1.0,True
8,4154,20.0,1.0,19.0,2.0,9610.0,45.0,2.0,50.0,1.0,1.0,False
9,4155,23.0,5.0,19.0,2.0,5010.0,110.0,0.0,40.0,2.0,1.0,False
10,4156,40.0,1.0,17.0,1.0,8990.0,45.0,1.0,58.0,1.0,1.0,False
11,4157,60.0,3.0,2.0,2.0,1010.0,54.0,0.0,40.0,2.0,2.0,True
12,4158,40.0,1.0,24.0,1.0,2040.0,13.0,0.0,40.0,1.0,1.0,True
13,4159,55.0,1.0,19.0,1.0,1108.0,36.0,0.0,42.0,1.0,1.0,True
14,4160,22.0,1.0,21.0,2.0,1320.0,13.0,12.0,15.0,2.0,1.0,False
15,4161,75.0,1.0,14.0,1.0,4220.0,45.0,1.0,4.0,2.0,2.0,False
16,4162,40.0,1.0,19.0,2.0,7420.0,45.0,13.0,40.0,1.0,2.0,False
17,4163,21.0,1.0,16.0,2.0,1005.0,45.0,17.0,45.0,1.0,1.0,False
18,4164,51.0,1.0,19.0,1.0,565.0,54.0,0.0,50.0,2.0,1.0,False
19,4165,26.0,2.0,18.0,1.0,3647.0,13.0,0.0,40.0,2.0,1.0,False
20,4166,69.0,1.0,21.0,1.0,3324.0,42.0,0.0,60.0,1.0,1.0,True
21,4167,33.0,6.0,14.0,2.0,6260.0,45.0,0.0,40.0,2.0,1.0,False
22,4168,29.0,5.0,18.0,1.0,9810.0,45.0,0.0,70.0,1.0,1.0,False
23,4169,49.0,6.0,19.0,2.0,3602.0,45.0,0.0,28.0,2.0,1.0,False
24,4170,30.0,1.0,16.0,2.0,4020.0,45.0,0.0,60.0,1.0,1.0,False
25,4171,43.0,1.0,21.0,2.0,3421.0,12.0,0.0,25.0,2.0,1.0,False
26,4172,41.0,1.0,19.0,1.0,1050.0,45.0,0.0,40.0,1.0,1.0,True
27,4173,54.0,3.0,21.0,1.0,2310.0,13.0,1.0,35.0,1.0,1.0,True
28,4174,51.0,5.0,19.0,1.0,6355.0,22.0,0.0,40.0,1.0,1.0,True
29,4175,49.0,1.0,21.0,1.0,10.0,34.0,0.0,40.0,2.0,1.0,True
30,4176,52.0,1.0,21.0,1.0,20.0,42.0,1.0,48.0,1.0,1.0,True
31,4177,66.0,1.0,16.0,1.0,4220.0,34.0,1.0,12.0,2.0,1.0,False
32,4178,49.0,1.0,22.0,1.0,1306.0,12.0,0.0,50.0,2.0,1.0,True
33,4179,59.0,1.0,21.0,1.0,5240.0,17.0,1.0,12.0,2.0,1.0,False
34,4180,26.0,1.0,19.0,2.0,5240.0,45.0,2.0,30.0,1.0,2.0,False
35,4181,41.0,2.0,20.0,1.0,5860.0,45.0,0.0,40.0,2.0,1.0,False
36,4182,20.0,1.0,19.0,2.0,5240.0,34.0,17.0,24.0,1.0,1.0,False
37,4183,38.0,1.0,15.0,2.0,4020.0,45.0,6.0,40.0,2.0,2.0,False
38,4184,52.0,1.0,20.0,1.0,8030.0,45.0,0.0,32.0,1.0,1.0,False
39,4185,63.0,1.0,20.0,1.0,9130.0,24.0,1.0,96.0,2.0,1.0,True
40,4186,45.0,3.0,18.0,1.0,3402.0,45.0,0.0,60.0,1.0,1.0,True
41,4187,70.0,1.0,19.0,2.0,4720.0,36.0,0.0,37.0,2.0,1.0,True
42,4188,17.0,1.0,14.0,2.0,4720.0,45.0,2.0,12.0,2.0,1.0,False
43,4189,59.0,1.0,21.0,1.0,650.0,47.0,1.0,50.0,1.0,1.0,False
44,4190,31.0,1.0,21.0,1.0,725.0,45.0,2.0,40.0,2.0,1.0,False
45,4191,59.0,1.0,19.0,1.0,9130.0,12.0,0.0,40.0,1.0,1.0,False
46,4192,31.0,1.0,19.0,2.0,7750.0,47.0,2.0,40.0,1.0,2.0,False
47,4193,21.0,2.0,16.0,2.0,420.0,26.0,17.0,15.0,1.0,2.0,False
48,4194,61.0,1.0,20.0,2.0,3255.0,45.0,0.0,50.0,2.0,1.0,True
49,4195,21.0,1.0,18.0,2.0,3603.0,37.0,0.0,18.0,2.0,1.0,False
50,4196,53.0,1.0,16.0,2.0,4760.0,45.0,0.0,40.0,2.0,2.0,False
51,4197,55.0,2.0,16.0,2.0,120.0,47.0,0.0,45.0,2.0,1.0,True
52,4198,71.0,2.0,14.0,1.0,9415.0,45.0,0.0,30.0,1.0,2.0,False
53,4199,44.0,6.0,12.0,1.0,6200.0,303.0,0.0,12.0,1.0,1.0,True
54,4200,35.0,1.0,16.0,2.0,7750.0,45.0,2.0,45.0,1.0,2.0,False
55,4201,23.0,1.0,19.0,2.0,2545.0,45.0,2.0,20.0,2.0,1.0,False
56,4202,55.0,7.0,23.0,1.0,3090.0,26.0,0.0,50.0,1.0,1.0,True
57,4203,65.0,6.0,21.0,1.0,5400.0,33.0,1.0,15.0,2.0,1.0,False
58,4204,41.0,1.0,23.0,1.0,3090.0,31.0,0.0,24.0,2.0,1.0,True
59,4205,35.0,4.0,22.0,2.0,1825.0,45.0,0.0,38.0,2.0,1.0,False
60,4206,37.0,1.0,21.0,1.0,3424.0,13.0,0.0,40.0,2.0,1.0,False
61,4207,43.0,1.0,18.0,1.0,4720.0,45.0,1.0,40.0,2.0,2.0,False
62,4208,54.0,1.0,16.0,2.0,4700.0,45.0,2.0,40.0,1.0,1.0,False
63,4209,54.0,1.0,21.0,1.0,52.0,39.0,0.0,50.0,1.0,1.0,True
64,4210,62.0,1.0,21.0,1.0,1460.0,51.0,1.0,40.0,1.0,1.0,True
65,4211,66.0,1.0,19.0,1.0,5400.0,13.0,1.0,21.0,2.0,1.0,False
66,4212,20.0,2.0,19.0,2.0,3545.0,37.0,13.0,15.0,1.0,1.0,False
67,4213,47.0,1.0,16.0,2.0,6200.0,23.0,0.0,43.0,1.0,1.0,False
68,4214,47.0,1.0,16.0,1.0,7210.0,45.0,0.0,50.0,1.0,1.0,True
69,4215,41.0,1.0,20.0,2.0,3300.0,45.0,0.0,40.0,2.0,2.0,False
70,4216,45.0,2.0,22.0,1.0,2040.0,18.0,0.0,65.0,1.0,1.0,True
71,4217,69.0,3.0,19.0,2.0,3946.0,12.0,0.0,30.0,2.0,1.0,False
72,4218,38.0,4.0,21.0,1.0,440.0,42.0,0.0,40.0,2.0,1.0,True
73,4219,28.0,1.0,21.0,1.0,1240.0,214.0,1.0,45.0,1.0,1.0,True
74,4220,44.0,1.0,20.0,1.0,3255.0,36.0,1.0,40.0,1.0,1.0,False
75,4221,19.0,1.0,19.0,2.0,4540.0,45.0,12.0,35.0,1.0,1.0,False
76,4222,54.0,1.0,21.0,1.0,9410.0,18.0,1.0,60.0,1.0,1.0,True
77,4223,33.0,1.0,20.0,1.0,3255.0,36.0,0.0,8.0,2.0,1.0,False
78,4224,60.0,3.0,17.0,1.0,4020.0,45.0,1.0,30.0,2.0,1.0,False
79,4225,52.0,1.0,16.0,1.0,8930.0,360.0,1.0,80.0,1.0,1.0,False
