,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,2448,60.0,2.0,16.0,1.0,4220.0,27.0,0.0,5.0,2.0,1.0,False
1,2449,21.0,1.0,16.0,2.0,4040.0,46.0,12.0,20.0,2.0,1.0,False
2,2450,57.0,3.0,18.0,2.0,9121.0,19.0,0.0,40.0,1.0,1.0,False
3,2451,30.0,1.0,21.0,1.0,540.0,46.0,0.0,40.0,2.0,1.0,False
4,2452,47.0,2.0,21.0,2.0,2310.0,46.0,0.0,45.0,2.0,1.0,False
5,2453,67.0,1.0,18.0,1.0,4220.0,42.0,1.0,40.0,1.0,1.0,True
6,2454,24.0,1.0,16.0,1.0,8255.0,46.0,0.0,40.0,2.0,1.0,False
7,2455,38.0,7.0,20.0,2.0,6260.0,46.0,0.0,60.0,1.0,1.0,False
8,2456,38.0,4.0,21.0,1.0,800.0,217.0,1.0,40.0,2.0,2.0,False
9,2457,60.0,1.0,19.0,1.0,7420.0,38.0,0.0,40.0,1.0,1.0,True
10,2458,61.0,1.0,19.0,1.0,5160.0,8.0,1.0,35.0,2.0,1.0,False
11,2459,18.0,3.0,18.0,2.0,4220.0,19.0,17.0,40.0,1.0,1.0,False
12,2460,53.0,3.0,22.0,1.0,2310.0,126.0,1.0,55.0,2.0,1.0,True
13,2461,43.0,2.0,21.0,1.0,3646.0,46.0,1.0,24.0,2.0,1.0,True
14,2462,22.0,2.0,11.0,2.0,3255.0,46.0,2.0,36.0,2.0,1.0,False
15,2463,26.0,3.0,16.0,2.0,3870.0,46.0,0.0,40.0,2.0,1.0,False
16,2464,57.0,3.0,22.0,1.0,2330.0,46.0,1.0,40.0,2.0,1.0,True
17,2465,60.0,1.0,16.0,1.0,4700.0,46.0,1.0,40.0,1.0,1.0,False
18,2466,20.0,1.0,16.0,2.0,4720.0,46.0,17.0,25.0,2.0,1.0,False
19,2467,45.0,7.0,22.0,1.0,7700.0,17.0,0.0,40.0,1.0,1.0,True
20,2468,65.0,6.0,22.0,2.0,2360.0,29.0,0.0,50.0,2.0,1.0,True
