,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,10720,21.0,1.0,19.0,2.0,310.0,329.0,17.0,40.0,1.0,2.0,False,501
1,10721,58.0,1.0,19.0,1.0,630.0,48.0,1.0,40.0,2.0,1.0,True,24980
2,10722,78.0,2.0,19.0,1.0,2040.0,28.0,0.0,3.0,1.0,1.0,False,12398
3,10723,53.0,1.0,16.0,1.0,4710.0,47.0,1.0,40.0,1.0,1.0,True,23147
4,10724,32.0,1.0,24.0,1.0,102.0,54.0,0.0,40.0,1.0,1.0,False,4778
5,10725,21.0,2.0,19.0,2.0,5860.0,421.0,17.0,9.0,2.0,2.0,False,614
6,10726,35.0,7.0,21.0,1.0,10.0,39.0,2.0,45.0,2.0,1.0,True,33348
7,10727,37.0,1.0,18.0,2.0,1108.0,37.0,13.0,40.0,1.0,1.0,False,29222
8,10728,32.0,2.0,22.0,2.0,3255.0,47.0,0.0,40.0,1.0,1.0,True,9858
9,10729,52.0,1.0,21.0,2.0,4760.0,47.0,0.0,45.0,2.0,1.0,True,5794
10,10730,31.0,5.0,21.0,1.0,3640.0,47.0,0.0,40.0,2.0,1.0,False,21339
11,10731,71.0,7.0,22.0,1.0,120.0,20.0,1.0,35.0,1.0,1.0,True,3103
12,10732,70.0,1.0,11.0,1.0,7640.0,47.0,0.0,70.0,1.0,1.0,False,7578
13,10733,54.0,1.0,17.0,1.0,8100.0,17.0,1.0,40.0,2.0,1.0,False,29525
14,10734,46.0,1.0,18.0,1.0,8740.0,27.0,1.0,55.0,1.0,1.0,True,19299
15,10735,36.0,6.0,21.0,1.0,2752.0,47.0,9.0,10.0,1.0,1.0,False,19112
16,10736,58.0,1.0,16.0,1.0,9620.0,47.0,1.0,40.0,1.0,1.0,False,31944
17,10737,54.0,3.0,21.0,2.0,2320.0,12.0,0.0,40.0,1.0,1.0,False,29122
18,10738,30.0,1.0,21.0,2.0,310.0,47.0,13.0,60.0,1.0,1.0,True,15346
