,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,21454,44.0,1.0,16.0,2.0,7210.0,48.0,13.0,40.0,1.0,1.0,True,40699
1,21455,63.0,8.0,21.0,1.0,120.0,22.0,0.0,24.0,1.0,1.0,True,129636
2,21456,49.0,1.0,16.0,1.0,5400.0,360.0,1.0,35.0,2.0,1.0,False,82332
3,21457,55.0,1.0,20.0,1.0,5740.0,53.0,0.0,20.0,2.0,1.0,False,45677
4,21458,26.0,1.0,21.0,2.0,4800.0,39.0,13.0,40.0,1.0,1.0,False,128944
5,21459,63.0,1.0,16.0,1.0,9130.0,13.0,0.0,30.0,1.0,1.0,False,104308
6,21460,62.0,2.0,20.0,1.0,2040.0,29.0,0.0,40.0,1.0,1.0,False,99759
7,21461,49.0,1.0,22.0,1.0,1021.0,207.0,0.0,40.0,1.0,2.0,True,93104
8,21462,52.0,1.0,21.0,2.0,2145.0,48.0,0.0,40.0,2.0,1.0,True,77320
9,21463,25.0,1.0,19.0,2.0,9130.0,48.0,4.0,25.0,1.0,1.0,False,32515
10,21464,51.0,4.0,22.0,2.0,1760.0,301.0,0.0,50.0,1.0,1.0,True,128228
11,21465,37.0,1.0,20.0,1.0,5000.0,48.0,1.0,40.0,1.0,1.0,True,49816
12,21466,35.0,1.0,19.0,2.0,3321.0,48.0,0.0,40.0,2.0,2.0,False,74874
13,21467,36.0,1.0,17.0,2.0,230.0,314.0,2.0,40.0,2.0,1.0,False,11431
14,21468,25.0,1.0,17.0,1.0,4840.0,48.0,9.0,54.0,1.0,1.0,False,33932
15,21469,34.0,1.0,19.0,2.0,4760.0,48.0,0.0,25.0,1.0,1.0,False,130245
16,21470,48.0,1.0,19.0,1.0,5240.0,48.0,0.0,30.0,2.0,1.0,False,21645
17,21471,22.0,1.0,20.0,2.0,9645.0,48.0,12.0,35.0,2.0,2.0,False,126672
18,21472,51.0,1.0,21.0,2.0,220.0,48.0,0.0,40.0,1.0,1.0,True,22436
19,21473,51.0,1.0,16.0,2.0,4710.0,48.0,0.0,55.0,1.0,1.0,True,84100
20,21474,50.0,5.0,22.0,1.0,1650.0,39.0,0.0,40.0,2.0,1.0,True,31475
21,21475,57.0,1.0,16.0,2.0,5160.0,48.0,0.0,40.0,2.0,1.0,False,55090
22,21476,59.0,3.0,16.0,2.0,4220.0,24.0,2.0,40.0,2.0,1.0,False,16476
23,21477,24.0,1.0,16.0,1.0,4720.0,48.0,1.0,40.0,2.0,1.0,False,111361
24,21478,28.0,2.0,19.0,2.0,120.0,48.0,10.0,40.0,2.0,2.0,False,67636
25,21479,18.0,1.0,14.0,2.0,4760.0,150.0,2.0,20.0,1.0,1.0,False,111672
26,21480,24.0,6.0,16.0,2.0,6240.0,48.0,2.0,55.0,1.0,1.0,False,99165
27,21481,61.0,1.0,16.0,1.0,2360.0,48.0,0.0,12.0,1.0,2.0,True,115427
28,21482,44.0,3.0,18.0,1.0,3740.0,15.0,0.0,54.0,1.0,1.0,True,103212
29,21483,29.0,1.0,17.0,1.0,9130.0,48.0,0.0,40.0,1.0,1.0,False,63527
30,21484,19.0,8.0,19.0,2.0,6050.0,48.0,0.0,4.0,1.0,1.0,False,32366
31,21485,60.0,3.0,9.0,1.0,4220.0,303.0,0.0,40.0,2.0,2.0,False,105251
32,21486,59.0,6.0,18.0,1.0,4200.0,40.0,0.0,40.0,2.0,1.0,False,95799
33,21487,32.0,1.0,16.0,2.0,565.0,48.0,0.0,40.0,2.0,1.0,True,92111
34,21488,49.0,7.0,21.0,1.0,4710.0,207.0,0.0,40.0,2.0,2.0,True,92909
35,21489,51.0,1.0,21.0,1.0,110.0,6.0,1.0,40.0,2.0,1.0,True,17819
36,21490,23.0,1.0,16.0,1.0,4720.0,48.0,0.0,26.0,2.0,1.0,False,51098
37,21491,19.0,4.0,19.0,2.0,4760.0,48.0,2.0,20.0,2.0,1.0,False,16869
38,21492,18.0,1.0,14.0,2.0,9620.0,48.0,2.0,15.0,1.0,1.0,False,88302
39,21493,47.0,1.0,19.0,2.0,4120.0,48.0,0.0,30.0,2.0,1.0,False,116595
40,21494,31.0,1.0,21.0,2.0,51.0,48.0,2.0,40.0,1.0,2.0,True,16182
41,21495,29.0,1.0,19.0,2.0,5740.0,48.0,0.0,40.0,2.0,1.0,False,62783
42,21496,20.0,1.0,20.0,2.0,4640.0,48.0,2.0,17.0,1.0,1.0,False,94995
43,21497,42.0,3.0,21.0,2.0,2320.0,48.0,0.0,40.0,1.0,1.0,False,103406
44,21498,58.0,1.0,22.0,1.0,4840.0,210.0,0.0,40.0,1.0,2.0,False,129148
45,21499,39.0,1.0,20.0,2.0,7905.0,48.0,0.0,40.0,1.0,1.0,False,16646
46,21500,50.0,1.0,21.0,1.0,3255.0,233.0,1.0,8.0,2.0,2.0,False,21815
47,21501,36.0,1.0,21.0,1.0,5000.0,48.0,1.0,35.0,2.0,2.0,False,80402
48,21502,46.0,1.0,16.0,1.0,9630.0,303.0,0.0,70.0,1.0,1.0,False,45632
49,21503,40.0,1.0,16.0,2.0,3430.0,48.0,2.0,40.0,2.0,2.0,False,93102
50,21504,20.0,1.0,16.0,2.0,1010.0,303.0,2.0,40.0,1.0,1.0,False,112617
51,21505,39.0,1.0,19.0,2.0,5740.0,247.0,12.0,24.0,1.0,2.0,False,42459
52,21506,55.0,4.0,19.0,1.0,5740.0,303.0,1.0,50.0,2.0,1.0,False,37220
53,21507,22.0,1.0,16.0,2.0,5120.0,48.0,2.0,55.0,1.0,1.0,True,23240
54,21508,21.0,1.0,19.0,2.0,2145.0,48.0,13.0,40.0,2.0,1.0,False,37493
55,21509,22.0,1.0,19.0,2.0,440.0,48.0,12.0,24.0,1.0,1.0,False,96750
56,21510,41.0,6.0,20.0,1.0,6260.0,48.0,0.0,50.0,1.0,1.0,True,86676
57,21511,36.0,1.0,22.0,1.0,800.0,48.0,0.0,45.0,1.0,2.0,True,16269
58,21512,29.0,1.0,16.0,2.0,7750.0,48.0,0.0,40.0,1.0,1.0,False,95747
59,21513,52.0,1.0,21.0,1.0,440.0,12.0,0.0,50.0,1.0,1.0,True,31209
60,21514,24.0,2.0,21.0,2.0,3255.0,48.0,0.0,36.0,2.0,1.0,True,85077
61,21515,38.0,1.0,16.0,1.0,9640.0,303.0,1.0,30.0,2.0,1.0,False,37640
62,21516,26.0,2.0,21.0,2.0,230.0,207.0,12.0,50.0,1.0,2.0,False,108408
63,21517,30.0,1.0,16.0,2.0,3603.0,48.0,11.0,40.0,1.0,1.0,False,75195
64,21518,31.0,1.0,18.0,1.0,4525.0,6.0,0.0,40.0,2.0,1.0,True,22051
65,21519,48.0,1.0,21.0,1.0,10.0,48.0,1.0,50.0,1.0,1.0,True,10565
66,21520,32.0,6.0,16.0,1.0,6410.0,303.0,1.0,55.0,1.0,1.0,False,129072
67,21521,67.0,1.0,24.0,1.0,3090.0,240.0,0.0,40.0,1.0,2.0,True,124842
68,21522,64.0,3.0,1.0,2.0,4600.0,48.0,0.0,35.0,2.0,1.0,False,125539
69,21523,35.0,1.0,18.0,1.0,2145.0,6.0,0.0,30.0,2.0,1.0,False,127187
70,21524,60.0,1.0,13.0,1.0,9610.0,48.0,0.0,40.0,1.0,1.0,False,106076
71,21525,75.0,1.0,19.0,1.0,9645.0,20.0,0.0,25.0,1.0,1.0,True,78632
72,21526,29.0,1.0,20.0,1.0,3310.0,48.0,0.0,16.0,2.0,1.0,False,20792
73,21527,42.0,1.0,11.0,1.0,7000.0,48.0,1.0,40.0,1.0,1.0,False,68182
74,21528,45.0,1.0,15.0,1.0,9620.0,303.0,0.0,40.0,1.0,1.0,True,117336
75,21529,26.0,1.0,19.0,2.0,7640.0,303.0,2.0,40.0,1.0,1.0,False,82263
76,21530,37.0,6.0,20.0,2.0,3602.0,48.0,15.0,40.0,2.0,1.0,False,29216
77,21531,25.0,1.0,16.0,2.0,9130.0,48.0,2.0,32.0,1.0,1.0,False,49657
78,21532,23.0,1.0,18.0,2.0,8740.0,48.0,5.0,45.0,1.0,1.0,False,109475
