,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,51.0,1.0,21.0,1.0,4200.0,49.0,1.0,50.0,1.0,2.0,True
1,1,25.0,1.0,16.0,1.0,4510.0,32.0,1.0,37.0,2.0,1.0,False
2,2,53.0,1.0,16.0,1.0,5310.0,6.0,1.0,32.0,2.0,1.0,False
3,3,33.0,1.0,19.0,1.0,6260.0,49.0,9.0,40.0,1.0,1.0,False
4,4,53.0,3.0,18.0,1.0,440.0,49.0,0.0,40.0,1.0,1.0,True
5,5,30.0,1.0,24.0,1.0,3000.0,6.0,0.0,41.0,1.0,1.0,True
6,6,42.0,1.0,23.0,1.0,2100.0,49.0,0.0,60.0,1.0,1.0,True
7,7,77.0,7.0,19.0,1.0,4920.0,17.0,0.0,25.0,1.0,1.0,True
8,8,19.0,1.0,16.0,2.0,4720.0,49.0,4.0,20.0,2.0,1.0,False
9,9,60.0,1.0,22.0,1.0,1530.0,6.0,0.0,45.0,1.0,1.0,True
10,10,58.0,1.0,19.0,1.0,8320.0,49.0,0.0,30.0,2.0,1.0,False
11,11,17.0,1.0,13.0,2.0,9130.0,53.0,3.0,5.0,1.0,1.0,False
12,12,38.0,1.0,19.0,2.0,9210.0,15.0,0.0,40.0,1.0,2.0,True
13,13,27.0,1.0,19.0,2.0,1555.0,49.0,2.0,32.0,1.0,1.0,False
14,14,33.0,1.0,21.0,1.0,5120.0,49.0,0.0,1.0,2.0,1.0,False
15,15,39.0,7.0,21.0,1.0,10.0,49.0,0.0,40.0,2.0,1.0,True
16,16,65.0,1.0,14.0,1.0,440.0,4.0,0.0,40.0,1.0,1.0,True
17,17,28.0,4.0,21.0,2.0,2330.0,24.0,0.0,40.0,2.0,1.0,False
18,18,50.0,1.0,20.0,1.0,9130.0,16.0,0.0,70.0,1.0,1.0,True
19,19,22.0,8.0,19.0,1.0,4800.0,233.0,10.0,20.0,1.0,2.0,False
20,20,47.0,1.0,18.0,1.0,4700.0,6.0,1.0,40.0,1.0,1.0,True
21,21,62.0,1.0,21.0,1.0,705.0,56.0,0.0,40.0,1.0,1.0,True
22,22,60.0,3.0,21.0,2.0,2545.0,35.0,0.0,30.0,2.0,1.0,False
23,23,23.0,1.0,16.0,2.0,5400.0,49.0,0.0,36.0,2.0,1.0,False
24,24,61.0,4.0,18.0,1.0,4010.0,30.0,0.0,40.0,2.0,1.0,False
25,25,47.0,1.0,22.0,1.0,1220.0,6.0,0.0,50.0,1.0,1.0,True
26,26,29.0,1.0,16.0,2.0,2850.0,49.0,2.0,30.0,1.0,1.0,False
27,27,45.0,1.0,21.0,1.0,1006.0,8.0,0.0,40.0,1.0,1.0,True
28,28,32.0,1.0,16.0,2.0,6250.0,49.0,7.0,60.0,1.0,1.0,False
29,29,19.0,1.0,19.0,2.0,4140.0,39.0,17.0,10.0,2.0,1.0,False
30,30,35.0,1.0,19.0,1.0,4600.0,49.0,0.0,3.0,2.0,1.0,False
31,31,49.0,1.0,20.0,1.0,120.0,19.0,0.0,45.0,1.0,1.0,True
32,32,18.0,1.0,16.0,2.0,9620.0,49.0,2.0,25.0,1.0,1.0,False
33,33,64.0,1.0,20.0,2.0,3310.0,53.0,0.0,33.0,2.0,1.0,True
34,34,49.0,1.0,21.0,1.0,6230.0,313.0,0.0,40.0,1.0,1.0,False
35,35,54.0,7.0,20.0,1.0,4700.0,49.0,0.0,50.0,1.0,1.0,True
36,36,30.0,4.0,24.0,1.0,1825.0,42.0,1.0,50.0,2.0,1.0,True
37,37,17.0,1.0,13.0,2.0,310.0,49.0,2.0,12.0,1.0,1.0,False
38,38,23.0,1.0,16.0,2.0,9130.0,53.0,10.0,40.0,1.0,1.0,False
39,39,19.0,1.0,18.0,2.0,4760.0,49.0,2.0,40.0,1.0,1.0,False
40,40,21.0,1.0,19.0,1.0,4150.0,6.0,9.0,25.0,2.0,2.0,False
41,41,30.0,4.0,19.0,2.0,440.0,49.0,0.0,40.0,2.0,1.0,False
42,42,63.0,1.0,16.0,1.0,5400.0,6.0,0.0,37.0,2.0,1.0,False
43,43,23.0,2.0,19.0,2.0,2350.0,26.0,5.0,20.0,2.0,1.0,False
44,44,49.0,1.0,16.0,1.0,3603.0,49.0,1.0,40.0,2.0,1.0,False
45,45,19.0,1.0,16.0,2.0,6050.0,49.0,2.0,45.0,1.0,2.0,False
46,46,63.0,1.0,16.0,1.0,9122.0,49.0,1.0,20.0,2.0,1.0,False
47,47,33.0,1.0,19.0,1.0,7200.0,303.0,11.0,40.0,1.0,2.0,False
48,48,60.0,1.0,21.0,1.0,2360.0,49.0,1.0,1.0,2.0,1.0,False
49,49,34.0,1.0,21.0,1.0,3255.0,6.0,1.0,38.0,2.0,1.0,False
50,50,55.0,1.0,18.0,1.0,5940.0,49.0,0.0,42.0,2.0,1.0,False
51,51,30.0,1.0,15.0,2.0,4230.0,49.0,0.0,30.0,2.0,2.0,False
52,52,31.0,1.0,11.0,1.0,7700.0,303.0,1.0,40.0,1.0,2.0,False
53,53,25.0,1.0,14.0,1.0,7200.0,49.0,7.0,55.0,1.0,1.0,True
54,54,18.0,1.0,16.0,2.0,4055.0,6.0,15.0,28.0,1.0,2.0,False
55,55,27.0,1.0,16.0,1.0,7340.0,49.0,0.0,45.0,1.0,1.0,True
56,56,48.0,1.0,16.0,1.0,5400.0,49.0,0.0,32.0,2.0,2.0,False
57,57,48.0,1.0,18.0,1.0,4600.0,6.0,1.0,52.0,2.0,1.0,False
58,58,19.0,1.0,20.0,2.0,5120.0,32.0,2.0,40.0,2.0,2.0,False
59,59,45.0,1.0,22.0,1.0,2310.0,49.0,1.0,40.0,2.0,1.0,False
60,60,40.0,1.0,19.0,1.0,735.0,49.0,0.0,40.0,1.0,1.0,True
61,61,49.0,2.0,20.0,1.0,2016.0,49.0,0.0,10.0,2.0,1.0,False
62,62,68.0,3.0,16.0,1.0,10.0,139.0,1.0,5.0,2.0,1.0,False
63,63,39.0,1.0,16.0,1.0,7340.0,49.0,12.0,40.0,1.0,1.0,False
64,64,28.0,1.0,22.0,2.0,630.0,45.0,0.0,45.0,2.0,1.0,True
65,65,19.0,1.0,19.0,2.0,4055.0,49.0,17.0,35.0,2.0,1.0,False
66,66,57.0,1.0,22.0,1.0,2722.0,49.0,0.0,16.0,1.0,1.0,False
67,67,39.0,1.0,17.0,1.0,6230.0,49.0,0.0,40.0,1.0,1.0,False
68,68,25.0,1.0,22.0,2.0,1305.0,18.0,0.0,40.0,2.0,1.0,False
69,69,48.0,1.0,19.0,2.0,6260.0,36.0,0.0,36.0,1.0,1.0,False
70,70,39.0,4.0,22.0,1.0,1610.0,49.0,0.0,40.0,1.0,1.0,True
71,71,63.0,6.0,21.0,1.0,7240.0,49.0,1.0,30.0,1.0,1.0,True
72,72,30.0,5.0,22.0,1.0,60.0,49.0,0.0,40.0,2.0,1.0,True
73,73,56.0,1.0,1.0,2.0,9620.0,6.0,0.0,40.0,1.0,1.0,False
74,74,73.0,3.0,16.0,2.0,3940.0,35.0,0.0,10.0,2.0,1.0,False
75,75,19.0,2.0,20.0,2.0,4030.0,49.0,2.0,10.0,2.0,2.0,False
76,76,53.0,1.0,21.0,2.0,1021.0,2.0,0.0,50.0,1.0,1.0,True
77,77,22.0,1.0,16.0,2.0,6260.0,49.0,3.0,65.0,1.0,1.0,False
78,78,45.0,1.0,21.0,1.0,52.0,6.0,0.0,40.0,1.0,1.0,True
79,79,31.0,1.0,16.0,1.0,4525.0,49.0,1.0,15.0,2.0,1.0,False
80,80,43.0,7.0,14.0,1.0,9130.0,49.0,1.0,55.0,1.0,1.0,False
81,81,29.0,1.0,17.0,2.0,6442.0,37.0,5.0,72.0,1.0,2.0,True
82,82,59.0,1.0,20.0,1.0,1108.0,6.0,0.0,46.0,1.0,1.0,True
83,83,35.0,1.0,18.0,1.0,5120.0,49.0,0.0,44.0,2.0,2.0,False
84,84,49.0,1.0,19.0,1.0,4700.0,49.0,10.0,38.0,1.0,1.0,False
85,85,53.0,1.0,19.0,1.0,7750.0,49.0,1.0,60.0,1.0,1.0,True
86,86,18.0,1.0,15.0,2.0,2350.0,49.0,2.0,4.0,1.0,1.0,False
87,87,25.0,1.0,21.0,2.0,2330.0,49.0,0.0,40.0,1.0,1.0,True
88,88,20.0,2.0,19.0,2.0,4435.0,49.0,12.0,15.0,2.0,1.0,False
89,89,46.0,1.0,16.0,2.0,5840.0,49.0,2.0,40.0,2.0,1.0,False
90,90,47.0,1.0,20.0,2.0,3255.0,49.0,0.0,36.0,2.0,1.0,True
91,91,32.0,1.0,19.0,1.0,4810.0,49.0,0.0,60.0,1.0,1.0,True
92,92,21.0,1.0,16.0,2.0,9620.0,6.0,13.0,30.0,1.0,1.0,False
93,93,39.0,1.0,19.0,1.0,6200.0,49.0,1.0,60.0,1.0,1.0,True
94,94,34.0,1.0,19.0,1.0,4020.0,49.0,0.0,42.0,1.0,1.0,True
95,95,58.0,1.0,16.0,1.0,5120.0,49.0,1.0,40.0,2.0,1.0,False
96,96,24.0,1.0,16.0,1.0,6260.0,363.0,9.0,15.0,1.0,2.0,False
97,97,22.0,1.0,16.0,2.0,9640.0,49.0,5.0,20.0,1.0,1.0,False
98,98,47.0,1.0,16.0,2.0,5740.0,138.0,12.0,40.0,2.0,1.0,True
99,99,26.0,1.0,22.0,1.0,640.0,49.0,0.0,40.0,2.0,1.0,True
100,100,58.0,3.0,19.0,2.0,4350.0,32.0,0.0,12.0,1.0,2.0,False
101,101,26.0,6.0,20.0,2.0,2752.0,49.0,2.0,50.0,2.0,1.0,False
102,102,61.0,1.0,19.0,1.0,4700.0,49.0,1.0,60.0,1.0,1.0,True
103,103,39.0,1.0,16.0,1.0,8030.0,56.0,0.0,75.0,1.0,1.0,False
104,104,18.0,1.0,19.0,1.0,5240.0,138.0,0.0,25.0,2.0,1.0,False
105,105,50.0,1.0,21.0,1.0,1021.0,49.0,0.0,50.0,1.0,1.0,True
106,106,66.0,1.0,16.0,2.0,9620.0,373.0,6.0,23.0,2.0,1.0,False
107,107,28.0,1.0,19.0,1.0,735.0,49.0,0.0,35.0,1.0,1.0,False
108,108,20.0,1.0,19.0,2.0,2360.0,49.0,2.0,6.0,2.0,1.0,False
109,109,30.0,7.0,22.0,2.0,205.0,49.0,2.0,40.0,1.0,1.0,False
110,110,60.0,1.0,19.0,1.0,4920.0,6.0,0.0,50.0,1.0,1.0,False
111,111,24.0,1.0,16.0,2.0,4760.0,49.0,2.0,45.0,2.0,2.0,True
112,112,37.0,1.0,18.0,2.0,9645.0,49.0,2.0,16.0,1.0,1.0,False
113,113,63.0,1.0,20.0,2.0,410.0,49.0,0.0,45.0,2.0,1.0,True
114,114,49.0,1.0,17.0,1.0,3603.0,303.0,1.0,45.0,2.0,1.0,False
115,115,44.0,7.0,16.0,1.0,440.0,45.0,0.0,65.0,1.0,2.0,True
116,116,60.0,7.0,18.0,1.0,4920.0,49.0,1.0,2.0,2.0,1.0,False
117,117,36.0,1.0,22.0,2.0,4020.0,6.0,13.0,30.0,1.0,1.0,False
118,118,18.0,1.0,16.0,2.0,4110.0,49.0,2.0,14.0,1.0,1.0,False
119,119,47.0,1.0,21.0,1.0,9005.0,53.0,0.0,42.0,1.0,1.0,True
120,120,51.0,1.0,16.0,1.0,5740.0,6.0,1.0,40.0,2.0,1.0,False
121,121,44.0,1.0,20.0,2.0,1031.0,49.0,0.0,40.0,2.0,1.0,True
122,122,46.0,1.0,23.0,1.0,2100.0,49.0,1.0,40.0,1.0,1.0,True
123,123,21.0,2.0,17.0,2.0,9645.0,312.0,2.0,40.0,1.0,1.0,False
124,124,41.0,6.0,16.0,1.0,4950.0,49.0,1.0,5.0,2.0,1.0,False
125,125,18.0,1.0,14.0,2.0,4030.0,6.0,2.0,20.0,1.0,1.0,False
126,126,34.0,1.0,18.0,1.0,7750.0,49.0,0.0,50.0,1.0,2.0,False
127,127,44.0,1.0,23.0,1.0,52.0,49.0,1.0,40.0,1.0,1.0,True
128,128,53.0,1.0,22.0,2.0,7340.0,49.0,10.0,40.0,1.0,1.0,False
129,129,29.0,3.0,21.0,1.0,2330.0,49.0,0.0,40.0,2.0,1.0,False
130,130,54.0,3.0,21.0,2.0,10.0,49.0,2.0,3.0,1.0,1.0,False
131,131,36.0,2.0,20.0,1.0,3255.0,8.0,0.0,13.0,2.0,1.0,False
132,132,39.0,1.0,22.0,1.0,120.0,49.0,1.0,40.0,1.0,1.0,True
133,133,53.0,1.0,15.0,1.0,9600.0,6.0,0.0,40.0,1.0,1.0,False
134,134,17.0,6.0,14.0,2.0,2360.0,49.0,2.0,1.0,2.0,1.0,False
135,135,30.0,1.0,19.0,1.0,830.0,53.0,0.0,40.0,2.0,1.0,False
136,136,37.0,1.0,18.0,1.0,52.0,19.0,1.0,40.0,1.0,1.0,True
137,137,33.0,1.0,22.0,1.0,5940.0,228.0,0.0,35.0,2.0,2.0,False
138,138,32.0,1.0,20.0,1.0,6410.0,49.0,2.0,40.0,1.0,1.0,False
139,139,63.0,1.0,22.0,1.0,3030.0,6.0,1.0,32.0,1.0,1.0,True
140,140,75.0,1.0,18.0,2.0,4700.0,39.0,13.0,40.0,2.0,1.0,True
141,141,22.0,1.0,20.0,1.0,2001.0,19.0,1.0,40.0,1.0,1.0,False
142,142,27.0,1.0,20.0,2.0,1980.0,49.0,2.0,40.0,1.0,1.0,False
143,143,40.0,7.0,21.0,1.0,2600.0,53.0,1.0,45.0,1.0,1.0,False
144,144,58.0,1.0,17.0,1.0,9600.0,49.0,0.0,40.0,1.0,1.0,False
145,145,22.0,8.0,1.0,2.0,4720.0,210.0,0.0,55.0,1.0,2.0,False
146,146,28.0,3.0,22.0,1.0,2330.0,16.0,0.0,32.0,2.0,1.0,False
147,147,38.0,1.0,7.0,2.0,8710.0,32.0,17.0,20.0,1.0,1.0,False
148,148,55.0,1.0,19.0,1.0,440.0,39.0,0.0,50.0,1.0,2.0,True
149,149,50.0,1.0,16.0,1.0,6442.0,303.0,0.0,10.0,1.0,1.0,False
150,150,26.0,1.0,19.0,1.0,4760.0,49.0,0.0,25.0,1.0,1.0,False
151,151,59.0,7.0,21.0,1.0,4710.0,12.0,1.0,48.0,2.0,1.0,True
152,152,33.0,1.0,16.0,1.0,4700.0,49.0,0.0,50.0,1.0,1.0,True
153,153,23.0,1.0,19.0,1.0,5320.0,6.0,2.0,25.0,2.0,1.0,False
154,154,17.0,1.0,14.0,2.0,4020.0,49.0,12.0,20.0,2.0,1.0,False
155,155,19.0,1.0,16.0,2.0,4850.0,6.0,17.0,22.0,2.0,2.0,False
156,156,64.0,4.0,23.0,1.0,2100.0,49.0,0.0,40.0,1.0,1.0,True
157,157,46.0,3.0,16.0,1.0,3710.0,12.0,0.0,60.0,1.0,1.0,False
158,158,30.0,1.0,17.0,2.0,8800.0,49.0,16.0,40.0,2.0,1.0,False
159,159,51.0,1.0,21.0,1.0,4760.0,21.0,0.0,45.0,1.0,1.0,True
160,160,18.0,1.0,20.0,2.0,4220.0,49.0,17.0,10.0,1.0,1.0,False
161,161,49.0,1.0,21.0,2.0,5410.0,51.0,0.0,46.0,1.0,1.0,False
162,162,30.0,4.0,21.0,1.0,5600.0,49.0,1.0,45.0,2.0,1.0,False
163,163,25.0,1.0,21.0,2.0,51.0,49.0,0.0,40.0,2.0,1.0,False
164,164,32.0,6.0,17.0,1.0,9130.0,49.0,0.0,70.0,1.0,1.0,False
165,165,62.0,7.0,19.0,1.0,4920.0,30.0,0.0,45.0,1.0,1.0,True
166,166,53.0,1.0,17.0,1.0,4230.0,360.0,1.0,30.0,2.0,1.0,False
167,167,25.0,1.0,21.0,1.0,1760.0,42.0,0.0,40.0,1.0,1.0,True
168,168,27.0,1.0,20.0,2.0,3630.0,49.0,2.0,30.0,2.0,2.0,False
169,169,34.0,1.0,21.0,1.0,910.0,49.0,1.0,40.0,1.0,1.0,False
170,170,34.0,3.0,21.0,1.0,3740.0,4.0,1.0,56.0,1.0,1.0,True
171,171,59.0,1.0,20.0,1.0,3255.0,4.0,1.0,40.0,2.0,1.0,True
172,172,31.0,1.0,20.0,2.0,9130.0,49.0,5.0,28.0,1.0,1.0,False
173,173,26.0,6.0,19.0,1.0,4950.0,49.0,1.0,5.0,2.0,1.0,False
174,174,55.0,7.0,18.0,1.0,5740.0,110.0,0.0,25.0,2.0,1.0,False
175,175,71.0,1.0,19.0,1.0,9130.0,30.0,1.0,30.0,1.0,1.0,True
176,176,58.0,1.0,16.0,1.0,8740.0,18.0,0.0,45.0,1.0,1.0,True
177,177,61.0,7.0,19.0,1.0,220.0,49.0,0.0,35.0,1.0,1.0,True
178,178,52.0,1.0,23.0,1.0,2100.0,26.0,0.0,40.0,1.0,1.0,True
179,179,36.0,7.0,16.0,1.0,6260.0,49.0,1.0,50.0,1.0,1.0,True
180,180,43.0,4.0,19.0,1.0,845.0,49.0,0.0,40.0,2.0,1.0,False
181,181,23.0,1.0,19.0,2.0,6540.0,49.0,2.0,35.0,2.0,1.0,False
182,182,33.0,1.0,19.0,1.0,3421.0,49.0,0.0,12.0,2.0,1.0,False
183,183,59.0,2.0,20.0,1.0,3324.0,49.0,1.0,40.0,2.0,1.0,True
184,184,20.0,4.0,19.0,1.0,4600.0,4.0,0.0,29.0,2.0,1.0,False
185,185,45.0,1.0,22.0,1.0,735.0,49.0,0.0,60.0,1.0,1.0,True
186,186,55.0,1.0,18.0,1.0,4850.0,49.0,1.0,50.0,1.0,1.0,True
187,187,30.0,1.0,18.0,1.0,5522.0,53.0,0.0,27.0,2.0,1.0,False
188,188,31.0,5.0,16.0,2.0,3945.0,49.0,0.0,40.0,2.0,1.0,False
189,189,53.0,2.0,22.0,1.0,9122.0,49.0,0.0,35.0,1.0,1.0,False
190,190,20.0,1.0,15.0,2.0,4760.0,49.0,2.0,40.0,1.0,1.0,False
191,191,60.0,3.0,21.0,1.0,2330.0,15.0,1.0,35.0,2.0,1.0,False
192,192,36.0,3.0,22.0,1.0,1840.0,49.0,1.0,40.0,1.0,1.0,True
193,193,65.0,1.0,19.0,1.0,4720.0,29.0,0.0,32.0,2.0,1.0,False
194,194,25.0,1.0,18.0,1.0,4700.0,49.0,0.0,38.0,2.0,1.0,False
195,195,59.0,4.0,22.0,1.0,2205.0,25.0,0.0,45.0,1.0,1.0,True
196,196,73.0,7.0,23.0,1.0,3120.0,26.0,0.0,32.0,1.0,1.0,True
197,197,74.0,6.0,12.0,2.0,4220.0,362.0,0.0,12.0,2.0,1.0,False
198,198,58.0,7.0,19.0,1.0,410.0,49.0,0.0,48.0,1.0,1.0,False
199,199,46.0,2.0,24.0,1.0,2205.0,49.0,1.0,30.0,2.0,1.0,True
200,200,38.0,2.0,21.0,2.0,3255.0,49.0,0.0,37.0,2.0,1.0,True
201,201,45.0,2.0,22.0,1.0,440.0,49.0,0.0,40.0,1.0,1.0,True
202,202,21.0,1.0,17.0,2.0,6360.0,49.0,2.0,40.0,1.0,1.0,False
203,203,23.0,1.0,21.0,2.0,4850.0,39.0,0.0,40.0,1.0,1.0,False
204,204,64.0,1.0,20.0,1.0,150.0,49.0,0.0,40.0,1.0,1.0,True
205,205,56.0,1.0,18.0,2.0,4500.0,49.0,2.0,28.0,1.0,1.0,False
206,206,42.0,1.0,21.0,1.0,4810.0,49.0,0.0,40.0,2.0,1.0,True
207,207,28.0,1.0,21.0,1.0,3255.0,6.0,1.0,40.0,2.0,1.0,False
