,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,28140,56.0,4.0,23.0,1.0,2100.0,40.0,1.0,40.0,1.0,1.0,True,13706
1,28141,43.0,1.0,16.0,2.0,630.0,51.0,0.0,40.0,2.0,2.0,True,20003
2,28142,30.0,1.0,16.0,2.0,4110.0,51.0,11.0,45.0,1.0,1.0,False,44517
3,28143,39.0,1.0,21.0,1.0,2100.0,36.0,1.0,47.0,1.0,1.0,True,6186
4,28144,55.0,2.0,20.0,1.0,2040.0,24.0,0.0,50.0,1.0,1.0,True,40239
5,28145,37.0,1.0,1.0,2.0,5000.0,66.0,0.0,65.0,1.0,2.0,True,21239
6,28146,60.0,2.0,21.0,1.0,3255.0,51.0,0.0,30.0,2.0,1.0,False,7562
7,28147,74.0,1.0,20.0,1.0,1530.0,39.0,0.0,30.0,1.0,1.0,True,13824
8,28148,45.0,1.0,23.0,2.0,2100.0,25.0,0.0,55.0,1.0,1.0,True,45864
9,28149,65.0,3.0,21.0,1.0,2310.0,51.0,1.0,45.0,2.0,1.0,False,24294
10,28150,38.0,3.0,21.0,1.0,2310.0,51.0,0.0,40.0,2.0,1.0,False,16410
11,28151,47.0,1.0,21.0,2.0,1050.0,24.0,0.0,50.0,1.0,2.0,True,38508
12,28152,75.0,1.0,16.0,1.0,4720.0,51.0,0.0,8.0,2.0,2.0,False,24779
13,28153,19.0,1.0,19.0,2.0,4720.0,51.0,2.0,20.0,2.0,1.0,False,17805
14,28154,25.0,1.0,18.0,2.0,4720.0,54.0,2.0,28.0,2.0,1.0,False,22548
15,28155,44.0,1.0,12.0,1.0,4230.0,312.0,1.0,40.0,2.0,2.0,False,43323
16,28156,45.0,1.0,22.0,1.0,5940.0,54.0,1.0,15.0,2.0,1.0,False,10002
17,28157,61.0,1.0,16.0,2.0,9620.0,29.0,0.0,20.0,2.0,1.0,False,16568
18,28158,21.0,1.0,21.0,2.0,5860.0,36.0,0.0,18.0,2.0,1.0,False,7226
19,28159,25.0,1.0,16.0,2.0,9620.0,11.0,10.0,40.0,1.0,2.0,False,38196
20,28160,22.0,1.0,21.0,2.0,3646.0,12.0,0.0,10.0,1.0,1.0,False,32691
21,28161,18.0,1.0,18.0,2.0,4030.0,37.0,17.0,8.0,1.0,1.0,False,56
22,28162,23.0,5.0,18.0,2.0,8740.0,42.0,13.0,40.0,1.0,1.0,False,10334
23,28163,54.0,1.0,21.0,1.0,5810.0,25.0,0.0,15.0,2.0,1.0,False,13377
24,28164,69.0,1.0,19.0,1.0,7800.0,24.0,0.0,19.0,2.0,1.0,False,6513
25,28165,27.0,5.0,18.0,2.0,5550.0,51.0,0.0,40.0,2.0,1.0,False,7384
26,28166,34.0,1.0,16.0,2.0,7750.0,15.0,2.0,45.0,1.0,1.0,False,22439
27,28167,56.0,1.0,16.0,1.0,8930.0,51.0,1.0,45.0,1.0,2.0,True,10273
28,28168,43.0,3.0,21.0,2.0,2310.0,51.0,0.0,40.0,2.0,2.0,False,15780
29,28169,67.0,5.0,22.0,1.0,440.0,6.0,0.0,60.0,1.0,1.0,True,38554
30,28170,50.0,1.0,16.0,1.0,6260.0,2.0,1.0,50.0,1.0,1.0,True,34371
31,28171,71.0,1.0,20.0,2.0,4030.0,54.0,0.0,15.0,2.0,1.0,False,44058
32,28172,19.0,2.0,19.0,2.0,5860.0,9.0,17.0,6.0,1.0,1.0,False,317
33,28173,40.0,5.0,23.0,1.0,1108.0,26.0,1.0,50.0,2.0,2.0,True,2653
34,28174,42.0,3.0,21.0,2.0,2300.0,37.0,0.0,55.0,2.0,1.0,False,44742
35,28175,40.0,1.0,21.0,1.0,565.0,34.0,1.0,40.0,2.0,1.0,True,41887
36,28176,46.0,1.0,21.0,1.0,4850.0,34.0,1.0,50.0,1.0,1.0,False,42570
37,28177,20.0,3.0,16.0,2.0,9430.0,11.0,11.0,40.0,1.0,2.0,False,7655
38,28178,49.0,1.0,21.0,2.0,6200.0,35.0,15.0,40.0,1.0,1.0,False,42800
39,28179,67.0,7.0,22.0,1.0,410.0,110.0,0.0,20.0,1.0,1.0,True,13306
40,28180,54.0,1.0,16.0,2.0,3940.0,37.0,0.0,40.0,1.0,2.0,False,23803
41,28181,23.0,2.0,21.0,2.0,2006.0,24.0,13.0,20.0,2.0,2.0,False,39588
42,28182,33.0,1.0,21.0,1.0,1065.0,51.0,0.0,40.0,1.0,1.0,True,21870
43,28183,55.0,4.0,16.0,1.0,4251.0,312.0,16.0,30.0,1.0,1.0,False,1428
44,28184,59.0,2.0,22.0,2.0,10.0,24.0,0.0,40.0,1.0,1.0,True,28915
45,28185,30.0,1.0,21.0,1.0,2310.0,51.0,0.0,40.0,2.0,1.0,False,27208
46,28186,62.0,1.0,16.0,2.0,5120.0,48.0,0.0,40.0,2.0,1.0,True,36136
47,28187,61.0,1.0,16.0,1.0,6355.0,51.0,0.0,40.0,1.0,1.0,False,37369
48,28188,65.0,1.0,23.0,1.0,710.0,45.0,0.0,30.0,1.0,1.0,True,18529
49,28189,49.0,1.0,22.0,1.0,20.0,42.0,0.0,48.0,1.0,2.0,True,18485
50,28190,52.0,4.0,17.0,1.0,3820.0,47.0,1.0,40.0,1.0,1.0,True,39679
51,28191,39.0,7.0,15.0,1.0,9130.0,365.0,1.0,40.0,1.0,1.0,False,27994
52,28192,30.0,1.0,18.0,2.0,4720.0,39.0,2.0,34.0,2.0,1.0,False,43666
53,28193,50.0,1.0,22.0,1.0,4710.0,51.0,0.0,50.0,1.0,1.0,True,13572
54,28194,55.0,5.0,21.0,1.0,440.0,51.0,0.0,40.0,2.0,1.0,True,15107
55,28195,28.0,2.0,20.0,1.0,3645.0,51.0,0.0,43.0,2.0,1.0,False,42290
56,28196,27.0,1.0,18.0,2.0,4700.0,51.0,16.0,40.0,1.0,2.0,False,735
57,28197,25.0,2.0,18.0,2.0,2205.0,47.0,2.0,40.0,2.0,1.0,False,24464
58,28198,56.0,1.0,20.0,1.0,7340.0,51.0,1.0,40.0,1.0,2.0,True,6899
59,28199,52.0,3.0,16.0,2.0,4220.0,51.0,0.0,40.0,1.0,1.0,False,23076
60,28200,24.0,1.0,9.0,2.0,6260.0,303.0,11.0,40.0,1.0,2.0,False,28758
61,28201,24.0,1.0,19.0,2.0,4150.0,51.0,0.0,30.0,1.0,2.0,False,39991
62,28202,30.0,1.0,21.0,2.0,51.0,51.0,0.0,50.0,1.0,2.0,True,2135
63,28203,59.0,4.0,19.0,2.0,6305.0,51.0,0.0,90.0,1.0,1.0,True,43706
64,28204,58.0,1.0,16.0,1.0,5120.0,51.0,1.0,40.0,2.0,1.0,False,4133
65,28205,44.0,1.0,19.0,1.0,1021.0,1.0,1.0,40.0,1.0,1.0,True,2715
66,28206,60.0,2.0,20.0,2.0,4600.0,6.0,0.0,40.0,2.0,1.0,False,40889
67,28207,18.0,1.0,19.0,2.0,4720.0,15.0,17.0,12.0,2.0,2.0,False,970
68,28208,49.0,1.0,18.0,1.0,1021.0,25.0,0.0,40.0,1.0,1.0,True,34158
69,28209,57.0,1.0,21.0,1.0,7700.0,36.0,0.0,40.0,1.0,1.0,True,14387
70,28210,34.0,1.0,22.0,2.0,630.0,44.0,0.0,50.0,2.0,1.0,True,40231
71,28211,38.0,1.0,19.0,1.0,4850.0,51.0,0.0,40.0,2.0,1.0,False,16757
72,28212,42.0,1.0,21.0,1.0,4700.0,51.0,0.0,35.0,2.0,1.0,False,45688
73,28213,43.0,1.0,22.0,1.0,4850.0,34.0,0.0,60.0,1.0,1.0,True,11606
74,28214,58.0,1.0,16.0,2.0,8740.0,42.0,0.0,38.0,2.0,1.0,False,24555
75,28215,19.0,1.0,19.0,2.0,5240.0,26.0,2.0,8.0,1.0,1.0,False,5018
76,28216,49.0,1.0,20.0,1.0,5240.0,4.0,1.0,40.0,2.0,1.0,False,17590
