,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,31710,66.0,1.0,19.0,1.0,4710.0,53.0,0.0,60.0,1.0,1.0,True,24232
1,31711,64.0,1.0,24.0,1.0,2840.0,6.0,1.0,40.0,2.0,1.0,True,5809
2,31712,19.0,4.0,16.0,2.0,2205.0,41.0,17.0,20.0,2.0,1.0,False,643
3,31713,25.0,1.0,19.0,1.0,4140.0,24.0,9.0,40.0,1.0,1.0,False,22297
4,31714,29.0,1.0,16.0,1.0,6355.0,16.0,0.0,40.0,1.0,1.0,False,24686
5,31715,35.0,2.0,21.0,2.0,2310.0,25.0,0.0,40.0,2.0,1.0,True,23196
6,31716,28.0,1.0,20.0,2.0,4710.0,53.0,13.0,40.0,2.0,1.0,False,35582
7,31717,55.0,1.0,20.0,2.0,1050.0,6.0,13.0,50.0,1.0,2.0,True,30455
8,31718,55.0,2.0,21.0,1.0,1610.0,301.0,0.0,40.0,2.0,1.0,True,32338
9,31719,48.0,1.0,19.0,1.0,4710.0,53.0,1.0,50.0,1.0,1.0,False,37171
10,31720,45.0,2.0,20.0,1.0,3255.0,41.0,1.0,40.0,1.0,1.0,True,27058
11,31721,60.0,3.0,17.0,2.0,4020.0,41.0,0.0,95.0,2.0,1.0,False,27818
12,31722,48.0,1.0,20.0,1.0,6260.0,41.0,0.0,40.0,2.0,1.0,False,3483
13,31723,40.0,3.0,19.0,1.0,6442.0,19.0,0.0,40.0,1.0,1.0,True,24022
14,31724,52.0,1.0,18.0,1.0,110.0,41.0,1.0,40.0,1.0,1.0,True,36158
15,31725,53.0,1.0,20.0,1.0,4750.0,53.0,1.0,40.0,1.0,1.0,True,3437
16,31726,41.0,7.0,18.0,1.0,440.0,238.0,1.0,50.0,1.0,2.0,True,12925
17,31727,53.0,5.0,21.0,1.0,3710.0,9.0,0.0,40.0,1.0,1.0,True,14189
18,31728,37.0,1.0,21.0,2.0,5820.0,17.0,2.0,40.0,2.0,2.0,True,34285
19,31729,28.0,1.0,21.0,2.0,850.0,53.0,0.0,40.0,1.0,1.0,False,33986
20,31730,38.0,1.0,20.0,2.0,2634.0,55.0,13.0,40.0,1.0,1.0,False,24162
21,31731,42.0,5.0,16.0,1.0,7750.0,20.0,1.0,40.0,2.0,1.0,False,19900
22,31732,45.0,2.0,21.0,1.0,7700.0,6.0,0.0,40.0,1.0,1.0,True,28006
23,31733,35.0,1.0,18.0,2.0,4700.0,41.0,0.0,40.0,1.0,1.0,True,23239
24,31734,36.0,1.0,14.0,2.0,20.0,110.0,2.0,40.0,2.0,1.0,False,27926
25,31735,43.0,7.0,16.0,1.0,6230.0,6.0,0.0,35.0,1.0,1.0,True,6167
26,31736,36.0,1.0,18.0,2.0,4020.0,53.0,2.0,27.0,1.0,1.0,False,20985
27,31737,53.0,1.0,23.0,1.0,3090.0,36.0,0.0,50.0,1.0,1.0,True,24707
28,31738,49.0,4.0,24.0,1.0,2205.0,210.0,0.0,80.0,2.0,2.0,True,37559
29,31739,44.0,1.0,19.0,1.0,1105.0,41.0,0.0,40.0,1.0,1.0,True,9909
30,31740,45.0,7.0,16.0,1.0,5120.0,207.0,0.0,40.0,2.0,2.0,False,37745
31,31741,23.0,1.0,21.0,2.0,3255.0,53.0,2.0,30.0,2.0,2.0,False,32397
32,31742,40.0,1.0,22.0,1.0,1021.0,53.0,1.0,45.0,1.0,1.0,True,11813
33,31743,18.0,1.0,16.0,2.0,5240.0,53.0,15.0,25.0,2.0,1.0,False,29122
34,31744,75.0,7.0,21.0,1.0,600.0,37.0,0.0,20.0,1.0,1.0,True,20983
35,31745,94.0,1.0,11.0,1.0,4251.0,53.0,0.0,25.0,1.0,1.0,False,35923
36,31746,32.0,1.0,16.0,2.0,6260.0,53.0,0.0,40.0,1.0,1.0,True,39533
37,31747,57.0,1.0,17.0,1.0,4850.0,53.0,1.0,40.0,1.0,1.0,False,17019
38,31748,22.0,1.0,19.0,2.0,4760.0,53.0,13.0,35.0,2.0,1.0,False,15440
39,31749,18.0,1.0,18.0,2.0,4055.0,53.0,2.0,20.0,2.0,1.0,False,26134
40,31750,26.0,1.0,21.0,1.0,710.0,53.0,1.0,40.0,2.0,1.0,False,4453
41,31751,30.0,2.0,22.0,1.0,4622.0,26.0,1.0,34.0,2.0,1.0,False,22788
42,31752,34.0,8.0,16.0,2.0,6260.0,17.0,0.0,1.0,1.0,1.0,False,35974
43,31753,47.0,1.0,14.0,2.0,6360.0,53.0,0.0,60.0,1.0,2.0,True,37624
44,31754,25.0,1.0,9.0,2.0,4750.0,303.0,10.0,40.0,1.0,1.0,False,13188
45,31755,69.0,1.0,19.0,1.0,4720.0,53.0,1.0,15.0,2.0,1.0,False,24702
46,31756,58.0,6.0,19.0,2.0,3602.0,53.0,0.0,20.0,2.0,1.0,False,11778
47,31757,20.0,1.0,16.0,2.0,4055.0,53.0,4.0,32.0,1.0,1.0,False,19080
48,31758,34.0,1.0,21.0,1.0,1021.0,22.0,1.0,55.0,1.0,1.0,True,8163
49,31759,64.0,4.0,18.0,2.0,8030.0,41.0,0.0,40.0,1.0,1.0,True,27566
50,31760,70.0,1.0,22.0,2.0,440.0,501.0,0.0,32.0,2.0,1.0,False,7046
51,31761,47.0,1.0,23.0,1.0,800.0,16.0,1.0,50.0,2.0,1.0,True,26091
52,31762,41.0,3.0,22.0,2.0,2320.0,233.0,15.0,2.0,2.0,2.0,False,18487
53,31763,22.0,1.0,16.0,2.0,1010.0,53.0,2.0,42.0,1.0,1.0,False,11655
54,31764,51.0,1.0,16.0,1.0,140.0,53.0,0.0,60.0,1.0,1.0,False,9284
55,31765,30.0,1.0,19.0,1.0,120.0,210.0,1.0,40.0,2.0,2.0,False,19667
56,31766,47.0,1.0,21.0,1.0,5165.0,53.0,0.0,40.0,1.0,1.0,True,35617
57,31767,59.0,1.0,22.0,1.0,750.0,36.0,0.0,40.0,2.0,1.0,True,19636
58,31768,59.0,1.0,19.0,1.0,410.0,41.0,0.0,35.0,2.0,1.0,False,4573
59,31769,61.0,5.0,18.0,2.0,5550.0,16.0,0.0,59.0,2.0,1.0,True,30313
60,31770,27.0,4.0,19.0,2.0,5000.0,53.0,0.0,20.0,1.0,1.0,False,39299
61,31771,68.0,1.0,20.0,1.0,800.0,53.0,1.0,50.0,1.0,1.0,True,38434
62,31772,49.0,6.0,16.0,2.0,4230.0,41.0,0.0,46.0,2.0,1.0,False,18998
63,31773,25.0,1.0,20.0,2.0,4020.0,26.0,0.0,40.0,2.0,1.0,False,35262
64,31774,34.0,1.0,21.0,1.0,20.0,17.0,0.0,45.0,1.0,1.0,True,33293
65,31775,59.0,1.0,13.0,1.0,10.0,6.0,0.0,50.0,1.0,1.0,True,33355
66,31776,35.0,1.0,22.0,1.0,1021.0,210.0,0.0,40.0,1.0,2.0,True,28117
67,31777,32.0,1.0,19.0,1.0,6200.0,53.0,0.0,44.0,1.0,1.0,True,32950
68,31778,71.0,3.0,24.0,1.0,2205.0,30.0,1.0,20.0,1.0,1.0,True,8733
69,31779,39.0,2.0,21.0,2.0,10.0,139.0,17.0,30.0,2.0,2.0,False,1236
70,31780,19.0,1.0,19.0,2.0,4720.0,231.0,5.0,15.0,2.0,2.0,False,23934
71,31781,66.0,1.0,18.0,1.0,10.0,6.0,0.0,50.0,1.0,1.0,True,24850
72,31782,61.0,1.0,14.0,1.0,4700.0,53.0,1.0,50.0,1.0,1.0,False,18517
73,31783,38.0,1.0,19.0,2.0,6260.0,46.0,0.0,20.0,2.0,1.0,False,15367
74,31784,67.0,1.0,22.0,1.0,4010.0,53.0,0.0,30.0,1.0,1.0,True,11590
75,31785,19.0,1.0,17.0,2.0,3930.0,53.0,13.0,40.0,1.0,1.0,False,9727
76,31786,56.0,3.0,19.0,1.0,3740.0,45.0,0.0,48.0,1.0,1.0,True,14267
77,31787,54.0,1.0,21.0,1.0,2350.0,6.0,1.0,25.0,2.0,1.0,False,38894
78,31788,45.0,1.0,16.0,1.0,710.0,34.0,1.0,44.0,1.0,1.0,False,14469
79,31789,42.0,1.0,16.0,2.0,4255.0,6.0,2.0,40.0,2.0,1.0,False,7706
80,31790,54.0,6.0,20.0,2.0,4510.0,53.0,0.0,40.0,2.0,1.0,False,6319
81,31791,29.0,1.0,19.0,2.0,4020.0,303.0,13.0,23.0,2.0,2.0,False,15880
82,31792,52.0,1.0,22.0,1.0,51.0,18.0,0.0,50.0,1.0,1.0,True,39809
83,31793,34.0,1.0,20.0,1.0,4621.0,53.0,2.0,45.0,2.0,1.0,False,29528
84,31794,53.0,1.0,21.0,1.0,5410.0,56.0,1.0,30.0,2.0,1.0,False,31329
85,31795,50.0,1.0,9.0,1.0,6050.0,303.0,1.0,40.0,1.0,2.0,False,20007
86,31796,40.0,6.0,17.0,1.0,205.0,303.0,0.0,48.0,1.0,1.0,True,9456
87,31797,24.0,2.0,22.0,2.0,3603.0,332.0,2.0,16.0,2.0,2.0,False,20383
88,31798,49.0,1.0,17.0,1.0,4700.0,53.0,1.0,45.0,1.0,1.0,False,2767
89,31799,47.0,2.0,21.0,1.0,60.0,110.0,0.0,22.0,1.0,1.0,False,24549
90,31800,68.0,4.0,24.0,1.0,2205.0,39.0,0.0,40.0,2.0,1.0,True,13849
91,31801,41.0,3.0,22.0,1.0,2310.0,42.0,1.0,40.0,2.0,1.0,True,15729
92,31802,36.0,1.0,22.0,1.0,150.0,53.0,1.0,40.0,2.0,1.0,True,6121
93,31803,43.0,1.0,20.0,1.0,1106.0,164.0,0.0,40.0,1.0,1.0,True,5154
94,31804,32.0,1.0,21.0,1.0,9142.0,416.0,12.0,40.0,1.0,2.0,False,16134
95,31805,41.0,1.0,21.0,1.0,3255.0,53.0,1.0,32.0,2.0,1.0,True,6589
96,31806,61.0,3.0,21.0,1.0,1530.0,53.0,0.0,40.0,1.0,1.0,True,2236
97,31807,49.0,1.0,18.0,1.0,5240.0,53.0,1.0,52.0,2.0,1.0,False,27543
98,31808,43.0,7.0,24.0,1.0,850.0,53.0,0.0,35.0,1.0,1.0,True,1459
99,31809,45.0,1.0,20.0,2.0,4700.0,53.0,0.0,60.0,1.0,1.0,False,27351
100,31810,34.0,1.0,16.0,2.0,9600.0,303.0,15.0,40.0,1.0,1.0,False,17522
101,31811,22.0,1.0,19.0,2.0,4760.0,42.0,17.0,30.0,2.0,1.0,False,134
102,31812,52.0,8.0,16.0,1.0,2752.0,53.0,1.0,24.0,1.0,1.0,True,19517
103,31813,44.0,6.0,21.0,1.0,3630.0,215.0,0.0,40.0,1.0,1.0,False,4784
104,31814,59.0,2.0,18.0,2.0,3500.0,53.0,0.0,40.0,2.0,1.0,True,32374
105,31815,35.0,1.0,21.0,1.0,710.0,210.0,1.0,40.0,1.0,2.0,True,32138
106,31816,44.0,1.0,22.0,1.0,1530.0,207.0,1.0,45.0,1.0,2.0,True,37991
107,31817,19.0,3.0,19.0,2.0,2310.0,25.0,17.0,30.0,1.0,1.0,False,312
108,31818,38.0,1.0,15.0,1.0,5350.0,303.0,0.0,38.0,2.0,1.0,False,15499
109,31819,26.0,2.0,21.0,2.0,3255.0,53.0,2.0,40.0,1.0,2.0,True,30542
110,31820,23.0,1.0,21.0,2.0,1320.0,53.0,12.0,43.0,1.0,1.0,True,27688
111,31821,22.0,1.0,21.0,2.0,335.0,51.0,2.0,25.0,2.0,1.0,False,26925
112,31822,38.0,4.0,21.0,1.0,9030.0,6.0,0.0,40.0,1.0,1.0,True,11907
113,31823,37.0,1.0,16.0,1.0,8600.0,16.0,1.0,40.0,1.0,1.0,True,29573
114,31824,28.0,1.0,21.0,1.0,440.0,48.0,1.0,40.0,2.0,1.0,False,14402
115,31825,24.0,1.0,16.0,2.0,4220.0,53.0,15.0,40.0,1.0,2.0,False,24320
116,31826,44.0,1.0,19.0,1.0,7340.0,46.0,1.0,60.0,1.0,1.0,False,1920
117,31827,64.0,1.0,20.0,1.0,4220.0,21.0,1.0,50.0,1.0,1.0,False,15579
118,31828,71.0,2.0,22.0,1.0,2330.0,6.0,0.0,40.0,1.0,1.0,True,23552
119,31829,38.0,2.0,21.0,2.0,136.0,16.0,0.0,50.0,1.0,1.0,True,35429
120,31830,39.0,3.0,22.0,1.0,2320.0,24.0,0.0,40.0,2.0,1.0,True,12527
121,31831,58.0,6.0,15.0,1.0,205.0,53.0,1.0,40.0,1.0,1.0,False,14898
122,31832,57.0,1.0,18.0,1.0,500.0,12.0,1.0,40.0,2.0,1.0,False,17068
123,31833,59.0,7.0,21.0,2.0,3602.0,233.0,0.0,55.0,2.0,2.0,True,1531
124,31834,23.0,1.0,21.0,2.0,1970.0,53.0,2.0,20.0,2.0,1.0,False,19653
125,31835,18.0,1.0,15.0,2.0,9620.0,53.0,2.0,40.0,1.0,1.0,False,13591
126,31836,36.0,5.0,19.0,1.0,5120.0,53.0,1.0,40.0,2.0,2.0,False,22426
127,31837,19.0,1.0,19.0,2.0,4720.0,4.0,2.0,32.0,2.0,1.0,False,3669
128,31838,57.0,1.0,16.0,2.0,5600.0,53.0,0.0,2.0,2.0,1.0,False,2039
129,31839,41.0,2.0,21.0,2.0,2700.0,2.0,0.0,40.0,1.0,1.0,False,29604
130,31840,34.0,1.0,18.0,1.0,1021.0,6.0,1.0,40.0,1.0,1.0,False,24130
131,31841,17.0,1.0,15.0,2.0,5860.0,53.0,4.0,2.0,2.0,1.0,False,13643
132,31842,50.0,1.0,21.0,1.0,1530.0,53.0,0.0,45.0,1.0,1.0,True,31752
133,31843,81.0,7.0,17.0,1.0,220.0,18.0,0.0,40.0,1.0,1.0,True,25463
134,31844,31.0,1.0,19.0,2.0,4010.0,53.0,13.0,40.0,2.0,1.0,False,28681
135,31845,44.0,1.0,19.0,1.0,7315.0,53.0,1.0,40.0,1.0,1.0,True,38353
136,31846,42.0,3.0,19.0,1.0,6355.0,8.0,0.0,55.0,1.0,1.0,True,21972
137,31847,41.0,1.0,18.0,2.0,8140.0,53.0,0.0,40.0,1.0,1.0,True,6360
138,31848,36.0,1.0,22.0,1.0,1021.0,17.0,0.0,50.0,1.0,1.0,True,16906
139,31849,54.0,6.0,19.0,1.0,4810.0,53.0,0.0,30.0,2.0,1.0,False,19233
140,31850,46.0,1.0,19.0,1.0,10.0,36.0,0.0,45.0,1.0,1.0,True,21410
141,31851,20.0,1.0,19.0,2.0,4760.0,53.0,2.0,24.0,1.0,1.0,False,13028
142,31852,22.0,1.0,19.0,2.0,4020.0,6.0,17.0,25.0,1.0,2.0,False,443
143,31853,49.0,2.0,22.0,1.0,420.0,12.0,1.0,20.0,1.0,1.0,False,16193
144,31854,40.0,1.0,21.0,2.0,3300.0,53.0,13.0,36.0,2.0,1.0,True,30643
145,31855,18.0,3.0,15.0,2.0,2600.0,110.0,2.0,6.0,1.0,1.0,False,21247
146,31856,33.0,1.0,22.0,1.0,1021.0,210.0,0.0,40.0,1.0,2.0,True,34339
147,31857,71.0,2.0,24.0,2.0,2205.0,18.0,6.0,35.0,2.0,1.0,True,38942
148,31858,61.0,1.0,19.0,1.0,9130.0,29.0,1.0,50.0,1.0,1.0,False,24207
149,31859,39.0,3.0,21.0,1.0,3820.0,53.0,0.0,40.0,1.0,1.0,True,29582
150,31860,42.0,1.0,22.0,1.0,2722.0,24.0,1.0,35.0,2.0,1.0,False,39293
151,31861,29.0,1.0,18.0,2.0,4920.0,53.0,0.0,40.0,2.0,1.0,False,6074
152,31862,59.0,1.0,21.0,1.0,440.0,53.0,0.0,60.0,1.0,1.0,True,3765
153,31863,24.0,1.0,19.0,2.0,4720.0,53.0,13.0,20.0,2.0,1.0,False,8116
154,31864,61.0,3.0,20.0,1.0,9600.0,72.0,12.0,40.0,1.0,1.0,False,37475
155,31865,40.0,1.0,19.0,1.0,530.0,53.0,1.0,40.0,2.0,1.0,False,24957
156,31866,55.0,1.0,21.0,2.0,440.0,6.0,0.0,50.0,1.0,1.0,False,9664
157,31867,46.0,1.0,12.0,1.0,4720.0,303.0,1.0,40.0,2.0,1.0,False,6291
158,31868,57.0,1.0,16.0,1.0,9620.0,53.0,1.0,40.0,1.0,1.0,True,20010
159,31869,54.0,2.0,16.0,1.0,2545.0,53.0,1.0,30.0,2.0,1.0,False,16734
160,31870,53.0,4.0,19.0,1.0,3870.0,53.0,1.0,40.0,1.0,1.0,True,32357
161,31871,35.0,3.0,20.0,1.0,3740.0,53.0,0.0,72.0,1.0,1.0,True,18741
162,31872,66.0,3.0,20.0,1.0,7700.0,18.0,0.0,40.0,1.0,1.0,True,5650
163,31873,39.0,1.0,14.0,1.0,6305.0,53.0,1.0,50.0,1.0,1.0,True,12881
164,31874,79.0,1.0,19.0,1.0,9142.0,49.0,0.0,40.0,1.0,1.0,True,20787
165,31875,18.0,1.0,15.0,2.0,4350.0,53.0,2.0,24.0,2.0,1.0,False,22248
166,31876,38.0,2.0,21.0,1.0,5740.0,6.0,1.0,40.0,2.0,1.0,False,37331
167,31877,52.0,1.0,20.0,1.0,3401.0,49.0,0.0,40.0,1.0,1.0,True,1412
168,31878,36.0,1.0,15.0,2.0,9620.0,312.0,0.0,40.0,1.0,1.0,False,24431
169,31879,35.0,1.0,21.0,2.0,20.0,5.0,0.0,50.0,2.0,1.0,True,3044
170,31880,31.0,1.0,18.0,1.0,4230.0,26.0,0.0,40.0,1.0,1.0,False,10350
171,31881,61.0,1.0,16.0,1.0,4760.0,247.0,1.0,40.0,2.0,2.0,False,32573
172,31882,27.0,1.0,16.0,2.0,9645.0,53.0,0.0,28.0,1.0,1.0,False,11676
173,31883,72.0,6.0,22.0,1.0,2006.0,38.0,1.0,20.0,1.0,1.0,True,28679
174,31884,43.0,1.0,22.0,1.0,2850.0,42.0,0.0,40.0,1.0,1.0,True,23817
175,31885,50.0,3.0,23.0,1.0,2100.0,53.0,0.0,40.0,1.0,1.0,True,34764
176,31886,45.0,3.0,22.0,1.0,2310.0,53.0,1.0,38.0,2.0,1.0,True,13314
177,31887,63.0,4.0,22.0,1.0,335.0,6.0,1.0,16.0,2.0,1.0,True,5274
178,31888,60.0,1.0,17.0,1.0,20.0,8.0,0.0,48.0,1.0,1.0,True,2446
