,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,6505,29.0,1.0,16.0,2.0,6410.0,54.0,13.0,40.0,1.0,1.0,False,2906
1,6506,78.0,2.0,16.0,1.0,2040.0,54.0,1.0,45.0,2.0,1.0,False,2669
2,6507,29.0,1.0,21.0,1.0,1065.0,54.0,1.0,40.0,1.0,1.0,True,6264
3,6508,35.0,2.0,19.0,1.0,3255.0,39.0,1.0,50.0,2.0,1.0,True,7606
4,6509,41.0,1.0,17.0,2.0,9600.0,39.0,13.0,36.0,1.0,2.0,False,7530
5,6510,18.0,1.0,14.0,2.0,4120.0,24.0,7.0,15.0,1.0,1.0,False,4171
6,6511,44.0,1.0,19.0,1.0,1560.0,37.0,1.0,40.0,1.0,2.0,True,6543
7,6512,60.0,4.0,22.0,1.0,2016.0,11.0,1.0,41.0,2.0,1.0,False,7473
8,6513,21.0,1.0,16.0,2.0,2350.0,42.0,17.0,4.0,2.0,1.0,False,6
9,6514,48.0,1.0,16.0,2.0,8320.0,54.0,0.0,40.0,1.0,1.0,False,2068
10,6515,63.0,1.0,20.0,2.0,8640.0,39.0,0.0,16.0,1.0,1.0,True,7706
11,6516,18.0,4.0,16.0,2.0,137.0,24.0,2.0,16.0,1.0,1.0,False,1340
12,6517,57.0,1.0,16.0,1.0,7200.0,54.0,0.0,40.0,1.0,1.0,False,4711
13,6518,48.0,5.0,19.0,1.0,800.0,54.0,1.0,40.0,2.0,1.0,False,5304
14,6519,53.0,4.0,16.0,1.0,5240.0,17.0,0.0,40.0,2.0,1.0,False,2027
15,6520,63.0,1.0,16.0,1.0,9600.0,54.0,0.0,36.0,1.0,1.0,False,1561
16,6521,28.0,1.0,17.0,2.0,4600.0,54.0,13.0,3.0,2.0,1.0,False,4444
17,6522,40.0,1.0,16.0,1.0,5120.0,54.0,1.0,40.0,2.0,1.0,False,5255
18,6523,21.0,1.0,19.0,2.0,2350.0,54.0,17.0,40.0,2.0,1.0,False,71
19,6524,19.0,1.0,19.0,2.0,4220.0,24.0,0.0,25.0,1.0,1.0,False,371
20,6525,59.0,2.0,19.0,1.0,5940.0,54.0,0.0,50.0,1.0,1.0,False,2745
21,6526,56.0,3.0,23.0,1.0,2100.0,54.0,0.0,45.0,1.0,1.0,True,5706
22,6527,77.0,2.0,21.0,1.0,3255.0,54.0,1.0,40.0,2.0,1.0,True,7738
23,6528,48.0,1.0,13.0,2.0,9130.0,51.0,0.0,30.0,1.0,1.0,False,5456
24,6529,59.0,1.0,16.0,1.0,7810.0,45.0,1.0,48.0,1.0,1.0,True,2303
25,6530,37.0,1.0,22.0,2.0,137.0,54.0,0.0,50.0,1.0,1.0,True,2616
26,6531,18.0,2.0,16.0,2.0,5120.0,34.0,17.0,8.0,2.0,1.0,False,230
27,6532,49.0,6.0,11.0,1.0,7800.0,47.0,1.0,7.0,2.0,1.0,False,3017
28,6533,68.0,3.0,16.0,2.0,4020.0,54.0,0.0,40.0,2.0,1.0,False,389
29,6534,51.0,1.0,16.0,1.0,7000.0,54.0,0.0,40.0,1.0,1.0,False,2648
30,6535,28.0,1.0,16.0,1.0,7750.0,54.0,2.0,48.0,1.0,1.0,False,4081
31,6536,18.0,1.0,16.0,2.0,9130.0,54.0,2.0,26.0,1.0,1.0,False,873
32,6537,18.0,1.0,16.0,2.0,9620.0,54.0,0.0,40.0,1.0,1.0,False,904
33,6538,42.0,7.0,16.0,1.0,4700.0,54.0,1.0,40.0,1.0,1.0,False,5130
34,6539,56.0,1.0,16.0,2.0,5000.0,54.0,13.0,40.0,2.0,1.0,False,1278
35,6540,36.0,1.0,17.0,1.0,4110.0,42.0,0.0,35.0,2.0,1.0,False,7085
36,6541,57.0,1.0,18.0,1.0,350.0,54.0,1.0,40.0,1.0,1.0,False,4575
37,6542,76.0,6.0,21.0,2.0,4700.0,54.0,0.0,60.0,1.0,1.0,True,3665
38,6543,72.0,1.0,16.0,1.0,9620.0,54.0,0.0,50.0,1.0,1.0,False,6571
39,6544,40.0,3.0,22.0,1.0,3230.0,54.0,0.0,40.0,2.0,1.0,True,3528
40,6545,33.0,1.0,22.0,1.0,4700.0,54.0,0.0,40.0,1.0,1.0,True,5174
41,6546,49.0,5.0,20.0,1.0,800.0,54.0,1.0,40.0,2.0,1.0,False,4242
42,6547,40.0,1.0,20.0,1.0,2300.0,54.0,1.0,37.0,2.0,1.0,False,7537
43,6548,56.0,4.0,21.0,2.0,5000.0,54.0,0.0,40.0,1.0,1.0,False,3274
44,6549,46.0,1.0,21.0,2.0,1105.0,54.0,2.0,40.0,1.0,1.0,False,4211
45,6550,62.0,3.0,19.0,2.0,2016.0,54.0,0.0,40.0,2.0,1.0,False,5740
46,6551,30.0,1.0,19.0,1.0,1310.0,54.0,1.0,80.0,1.0,1.0,True,7230
47,6552,42.0,1.0,18.0,2.0,8140.0,17.0,13.0,40.0,1.0,1.0,False,6986
48,6553,57.0,1.0,16.0,1.0,7700.0,34.0,0.0,45.0,2.0,1.0,True,2412
49,6554,52.0,2.0,18.0,1.0,2025.0,42.0,1.0,20.0,2.0,1.0,False,7721
50,6555,46.0,4.0,13.0,2.0,150.0,54.0,0.0,40.0,1.0,1.0,False,5733
51,6556,38.0,1.0,16.0,1.0,9600.0,51.0,1.0,40.0,1.0,1.0,False,5462
52,6557,53.0,1.0,17.0,2.0,9130.0,54.0,13.0,40.0,1.0,1.0,False,395
53,6558,37.0,4.0,17.0,1.0,9130.0,54.0,0.0,40.0,1.0,1.0,False,4634
54,6559,38.0,1.0,22.0,1.0,440.0,54.0,1.0,40.0,2.0,1.0,False,433
55,6560,35.0,1.0,19.0,2.0,3520.0,54.0,0.0,40.0,2.0,2.0,True,6565
56,6561,61.0,1.0,21.0,2.0,520.0,362.0,0.0,40.0,1.0,1.0,False,7147
57,6562,17.0,1.0,14.0,2.0,9130.0,54.0,2.0,20.0,2.0,1.0,False,3683
58,6563,21.0,1.0,16.0,2.0,4720.0,54.0,0.0,34.0,2.0,1.0,False,594
59,6564,57.0,1.0,16.0,1.0,5740.0,54.0,1.0,40.0,2.0,1.0,False,309
60,6565,64.0,1.0,22.0,1.0,6200.0,54.0,1.0,72.0,1.0,1.0,True,2247
61,6566,77.0,2.0,21.0,2.0,2752.0,54.0,0.0,4.0,1.0,1.0,False,4251
62,6567,56.0,4.0,16.0,1.0,5240.0,54.0,1.0,40.0,2.0,1.0,False,4516
63,6568,66.0,1.0,22.0,1.0,8740.0,18.0,0.0,6.0,1.0,1.0,False,2394
64,6569,28.0,4.0,16.0,1.0,6260.0,51.0,0.0,40.0,1.0,1.0,False,6129
65,6570,44.0,1.0,19.0,2.0,4750.0,54.0,0.0,45.0,1.0,1.0,False,2278
66,6571,27.0,1.0,17.0,1.0,4760.0,54.0,0.0,40.0,1.0,1.0,False,2911
67,6572,34.0,6.0,21.0,1.0,4510.0,54.0,1.0,20.0,2.0,1.0,False,6879
68,6573,35.0,1.0,22.0,1.0,140.0,42.0,0.0,40.0,2.0,1.0,True,7742
69,6574,21.0,1.0,19.0,2.0,4720.0,54.0,2.0,15.0,2.0,1.0,False,7178
70,6575,70.0,6.0,22.0,2.0,5260.0,54.0,0.0,32.0,2.0,1.0,False,5791
71,6576,49.0,1.0,16.0,1.0,8740.0,54.0,1.0,40.0,1.0,1.0,True,4964
72,6577,43.0,1.0,21.0,1.0,4760.0,54.0,1.0,50.0,1.0,1.0,False,3139
73,6578,60.0,6.0,21.0,1.0,2555.0,54.0,1.0,15.0,2.0,1.0,False,2793
74,6579,52.0,1.0,16.0,2.0,9620.0,54.0,0.0,40.0,1.0,1.0,False,2618
75,6580,30.0,1.0,22.0,1.0,1108.0,39.0,0.0,45.0,1.0,1.0,True,1976
76,6581,38.0,2.0,16.0,1.0,630.0,51.0,0.0,40.0,2.0,1.0,False,1830
77,6582,61.0,4.0,16.0,2.0,7220.0,54.0,0.0,50.0,1.0,2.0,False,6337
78,6583,44.0,1.0,19.0,2.0,3655.0,54.0,0.0,40.0,2.0,1.0,False,1360
79,6584,50.0,1.0,23.0,1.0,2100.0,13.0,0.0,55.0,1.0,1.0,True,3071
80,6585,77.0,6.0,21.0,1.0,3910.0,25.0,0.0,30.0,1.0,1.0,True,6745
81,6586,36.0,4.0,16.0,1.0,5860.0,54.0,0.0,40.0,2.0,1.0,False,1617
82,6587,55.0,1.0,16.0,2.0,9130.0,54.0,0.0,50.0,1.0,1.0,False,2221
83,6588,56.0,1.0,20.0,1.0,4810.0,24.0,0.0,40.0,1.0,1.0,False,5881
84,6589,47.0,3.0,22.0,1.0,2310.0,54.0,1.0,40.0,2.0,1.0,False,5576
85,6590,69.0,3.0,18.0,1.0,4220.0,54.0,0.0,16.0,1.0,1.0,True,4398
86,6591,36.0,1.0,21.0,1.0,5160.0,54.0,1.0,40.0,2.0,1.0,False,4891
87,6592,66.0,6.0,22.0,2.0,4850.0,54.0,2.0,40.0,1.0,1.0,True,2402
88,6593,19.0,1.0,16.0,2.0,7220.0,54.0,2.0,50.0,1.0,1.0,False,5852
89,6594,49.0,1.0,19.0,2.0,540.0,34.0,0.0,40.0,2.0,1.0,False,7167
90,6595,53.0,2.0,16.0,1.0,2040.0,39.0,0.0,40.0,1.0,1.0,False,1286
91,6596,19.0,1.0,19.0,2.0,4720.0,10.0,17.0,25.0,2.0,1.0,False,35
92,6597,31.0,6.0,22.0,2.0,2060.0,39.0,0.0,20.0,2.0,1.0,False,6499
93,6598,65.0,2.0,17.0,1.0,3500.0,110.0,0.0,40.0,2.0,1.0,False,4508
94,6599,37.0,2.0,20.0,1.0,5940.0,1.0,0.0,24.0,2.0,1.0,False,756
95,6600,57.0,1.0,22.0,2.0,800.0,21.0,15.0,40.0,2.0,1.0,False,1244
96,6601,25.0,1.0,19.0,2.0,9130.0,54.0,7.0,40.0,1.0,1.0,False,2769
97,6602,64.0,1.0,19.0,1.0,9620.0,42.0,1.0,40.0,1.0,1.0,True,4044
98,6603,39.0,1.0,20.0,1.0,7730.0,54.0,1.0,46.0,1.0,1.0,False,6761
99,6604,36.0,1.0,21.0,2.0,120.0,54.0,0.0,50.0,1.0,1.0,False,560
100,6605,55.0,1.0,15.0,2.0,3930.0,54.0,0.0,40.0,1.0,1.0,False,5761
101,6606,51.0,1.0,16.0,1.0,6950.0,54.0,1.0,84.0,1.0,1.0,True,2851
102,6607,32.0,7.0,16.0,1.0,205.0,51.0,0.0,60.0,1.0,1.0,False,1137
103,6608,55.0,1.0,18.0,1.0,4850.0,54.0,1.0,40.0,1.0,1.0,False,3452
104,6609,57.0,4.0,20.0,1.0,4220.0,54.0,1.0,32.0,1.0,1.0,False,3335
105,6610,45.0,1.0,20.0,2.0,630.0,39.0,6.0,20.0,2.0,1.0,False,7697
106,6611,75.0,7.0,23.0,1.0,3010.0,42.0,0.0,24.0,1.0,1.0,True,4635
107,6612,50.0,1.0,20.0,2.0,3324.0,54.0,0.0,40.0,2.0,1.0,False,3670
108,6613,40.0,1.0,16.0,1.0,6355.0,24.0,1.0,40.0,1.0,1.0,True,6579
109,6614,58.0,2.0,20.0,2.0,2040.0,54.0,5.0,60.0,1.0,1.0,False,1762
110,6615,27.0,1.0,22.0,1.0,800.0,54.0,0.0,40.0,1.0,1.0,True,6880
111,6616,24.0,1.0,21.0,2.0,4055.0,54.0,0.0,20.0,2.0,1.0,False,3700
112,6617,23.0,1.0,20.0,1.0,7315.0,54.0,1.0,40.0,1.0,1.0,False,5085
113,6618,32.0,4.0,22.0,1.0,2320.0,54.0,0.0,45.0,2.0,1.0,False,978
114,6619,68.0,1.0,16.0,1.0,5240.0,54.0,0.0,10.0,1.0,1.0,True,5601
115,6620,51.0,1.0,16.0,1.0,4700.0,54.0,1.0,60.0,1.0,1.0,True,5064
116,6621,61.0,1.0,21.0,1.0,4850.0,54.0,1.0,40.0,1.0,1.0,False,3108
117,6622,42.0,1.0,16.0,1.0,6200.0,39.0,0.0,70.0,1.0,1.0,True,6204
118,6623,68.0,4.0,21.0,1.0,2310.0,39.0,0.0,2.0,2.0,1.0,False,5490
119,6624,70.0,2.0,24.0,1.0,2040.0,54.0,1.0,20.0,1.0,1.0,False,1579
120,6625,62.0,2.0,16.0,1.0,2435.0,54.0,1.0,40.0,2.0,1.0,False,2046
121,6626,20.0,2.0,19.0,2.0,3602.0,24.0,12.0,40.0,2.0,1.0,False,2456
122,6627,50.0,1.0,19.0,2.0,4510.0,36.0,0.0,32.0,2.0,1.0,False,3158
123,6628,72.0,1.0,17.0,1.0,9130.0,54.0,0.0,25.0,1.0,1.0,False,996
124,6629,79.0,4.0,22.0,2.0,2006.0,49.0,0.0,22.0,1.0,1.0,True,7581
125,6630,30.0,1.0,23.0,1.0,3050.0,54.0,0.0,40.0,2.0,1.0,True,998
126,6631,62.0,2.0,19.0,1.0,3655.0,54.0,0.0,40.0,1.0,1.0,False,4934
127,6632,56.0,1.0,16.0,1.0,4760.0,39.0,0.0,22.0,2.0,1.0,False,1876
128,6633,36.0,1.0,18.0,1.0,6442.0,54.0,0.0,60.0,1.0,1.0,True,7876
129,6634,49.0,1.0,19.0,2.0,6200.0,39.0,0.0,60.0,1.0,1.0,True,4507
130,6635,70.0,4.0,23.0,1.0,2310.0,54.0,0.0,7.0,2.0,1.0,False,1578
131,6636,32.0,6.0,19.0,1.0,4850.0,54.0,0.0,60.0,1.0,1.0,False,568
132,6637,19.0,1.0,16.0,2.0,5740.0,12.0,2.0,40.0,2.0,1.0,False,5778
133,6638,57.0,4.0,22.0,1.0,2205.0,25.0,1.0,50.0,1.0,1.0,False,4190
134,6639,56.0,6.0,21.0,1.0,4920.0,51.0,0.0,55.0,2.0,1.0,True,7295
135,6640,48.0,1.0,22.0,2.0,5610.0,55.0,0.0,40.0,1.0,1.0,False,694
