model,accuracy,DP_SEX,DP_RACE,DP_MAR,dataset
LogisticRegression,0.7699594046008119,0.0690801056338028,0.180079249984681,0.1604301905851245,AL_2
XGBoost,0.790257104194858,0.1324823943661972,0.1694989685246839,0.2377486296587887,AL_2
LogisticRegression,0.8010825439783491,0.0710760190965846,0.1201519756838905,0.1878729116945107,AL_3
XGBoost,0.7983761840324763,0.0704884318766066,0.1272340425531915,0.216460322195704,AL_3
LogisticRegression,0.7807848443843031,0.0931868131868132,0.1384069562364135,0.1775772107612498,AL_4
XGBoost,0.7807848443843031,0.1626813186813186,0.2226733932160288,0.2173588490770901,AL_4
LogisticRegression,0.7869415807560137,0.0837520144089487,0.1697363669194655,0.1527633443552196,NM_1
XGBoost,0.8075601374570447,0.103279931747085,0.193571686529433,0.2082191780821918,NM_1
LogisticRegression,0.7731958762886598,0.0797993184399848,0.1422222222222222,0.0863095238095238,NM_5
XGBoost,0.7903780068728522,0.164710336993563,0.1937037037037037,0.2179705215419501,NM_5
LogisticRegression,0.7621951219512195,0.073170731707317,0.1656662665066026,0.1801935964259121,SD_3
XGBoost,0.75,0.1463414634146341,0.1792717086834733,0.203723008190618,SD_3
LogisticRegression,0.7652027027027027,0.0702547763426861,0.14375,0.1890846583584013,IA_0
XGBoost,0.7668918918918919,0.1112405358182876,0.2098214285714285,0.1935014085852074,IA_0
LogisticRegression,0.7483108108108109,0.0727953553883678,0.1348214285714285,0.1576151121605667,IA_1
XGBoost,0.768581081081081,0.0530076608609021,0.1919642857142857,0.1721605667060212,IA_1
LogisticRegression,0.7883320867614061,0.0247151437036241,0.1566042987940204,0.3413444964294508,MA_0
XGBoost,0.8197456993268512,0.0725544426841384,0.1501944764183236,0.3405587517628886,MA_0
LogisticRegression,0.7741211667913238,0.0881607806275457,0.1764206257877144,0.2760880682582833,MA_3
XGBoost,0.7898279730740464,0.1375139877355535,0.1668584579976985,0.2775146017818211,MA_3
LogisticRegression,0.7943156320119671,0.055886736214605,0.2040727418065547,0.3180663970657387,MA_4
