,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,0,46.0,1.0,19.0,1.0,5240.0,39.0,0.0,20.0,2.0,1.0,False,411
1,1,31.0,1.0,17.0,1.0,8650.0,32.0,17.0,84.0,1.0,1.0,True,125
2,2,31.0,1.0,17.0,1.0,8650.0,32.0,17.0,84.0,1.0,1.0,True,343
3,3,31.0,1.0,19.0,2.0,5120.0,6.0,13.0,15.0,2.0,4.0,False,1297
4,4,44.0,1.0,14.0,2.0,6115.0,2.0,0.0,84.0,1.0,4.0,False,669
5,5,28.0,2.0,19.0,1.0,5120.0,2.0,0.0,18.0,2.0,4.0,False,2118
6,6,24.0,3.0,19.0,2.0,9620.0,2.0,2.0,40.0,1.0,4.0,False,1666
7,7,38.0,1.0,15.0,2.0,8225.0,6.0,0.0,48.0,1.0,1.0,True,1462
8,8,24.0,4.0,21.0,2.0,2011.0,36.0,0.0,45.0,1.0,1.0,True,1756
9,9,32.0,3.0,21.0,1.0,3740.0,24.0,0.0,56.0,1.0,5.0,True,2147
10,10,25.0,1.0,19.0,2.0,4510.0,2.0,7.0,30.0,2.0,5.0,False,3164
11,11,21.0,1.0,20.0,1.0,9130.0,2.0,1.0,30.0,1.0,1.0,False,2930
12,12,65.0,1.0,16.0,2.0,9630.0,233.0,10.0,40.0,2.0,3.0,False,1118
13,13,39.0,6.0,21.0,1.0,4020.0,2.0,0.0,99.0,2.0,1.0,True,695
14,14,45.0,1.0,21.0,1.0,530.0,217.0,1.0,40.0,2.0,3.0,False,2321
15,15,32.0,4.0,16.0,2.0,7750.0,2.0,16.0,48.0,2.0,5.0,False,332
16,16,70.0,4.0,21.0,1.0,2555.0,49.0,0.0,38.0,1.0,1.0,True,973
17,17,37.0,3.0,21.0,1.0,3255.0,2.0,1.0,40.0,2.0,1.0,False,3360
18,18,41.0,3.0,16.0,2.0,9620.0,2.0,0.0,6.0,1.0,5.0,False,3085
19,19,33.0,3.0,12.0,2.0,4220.0,2.0,2.0,9.0,1.0,4.0,False,3468
20,20,50.0,7.0,1.0,1.0,4020.0,217.0,1.0,12.0,1.0,3.0,False,2394
21,21,26.0,2.0,21.0,1.0,10.0,4.0,1.0,45.0,2.0,1.0,False,3038
22,22,28.0,1.0,20.0,2.0,4030.0,53.0,13.0,18.0,2.0,1.0,False,3040
23,23,21.0,1.0,16.0,2.0,5260.0,2.0,2.0,8.0,2.0,5.0,False,2418
24,24,51.0,1.0,16.0,1.0,6410.0,303.0,0.0,40.0,1.0,5.0,True,1704
25,25,46.0,2.0,16.0,2.0,5400.0,42.0,6.0,40.0,2.0,1.0,False,3333
26,26,17.0,3.0,14.0,2.0,5860.0,2.0,2.0,25.0,2.0,4.0,False,987
27,27,33.0,1.0,23.0,1.0,3030.0,9.0,0.0,40.0,2.0,1.0,True,1335
28,28,78.0,1.0,16.0,2.0,5240.0,53.0,0.0,9.0,2.0,1.0,False,2680
29,29,20.0,1.0,19.0,2.0,5410.0,2.0,15.0,40.0,2.0,1.0,False,884
30,30,21.0,1.0,16.0,2.0,9620.0,41.0,0.0,40.0,1.0,1.0,False,2953
31,31,55.0,4.0,18.0,2.0,4020.0,2.0,0.0,12.0,2.0,4.0,False,1530
32,32,23.0,1.0,19.0,2.0,4150.0,2.0,13.0,15.0,2.0,1.0,False,421
33,33,56.0,6.0,16.0,2.0,6260.0,39.0,0.0,40.0,1.0,1.0,True,473
34,34,46.0,1.0,19.0,1.0,6950.0,30.0,17.0,93.0,1.0,1.0,True,70
35,35,49.0,3.0,16.0,2.0,5740.0,2.0,0.0,50.0,2.0,1.0,False,1917
36,36,41.0,1.0,19.0,2.0,3870.0,2.0,13.0,40.0,2.0,5.0,False,2336
37,37,21.0,4.0,13.0,2.0,9720.0,2.0,7.0,40.0,2.0,4.0,False,2738
38,38,20.0,3.0,18.0,2.0,3401.0,2.0,17.0,45.0,1.0,5.0,True,50
39,39,44.0,3.0,16.0,1.0,6200.0,2.0,0.0,60.0,1.0,1.0,True,2082
40,40,49.0,3.0,21.0,1.0,4020.0,2.0,1.0,50.0,1.0,1.0,False,2410
41,41,51.0,2.0,19.0,2.0,20.0,22.0,0.0,40.0,1.0,1.0,True,2921
42,42,42.0,1.0,19.0,1.0,3402.0,36.0,1.0,40.0,1.0,1.0,False,3327
43,43,29.0,2.0,20.0,1.0,3603.0,29.0,0.0,38.0,2.0,1.0,False,1536
44,44,32.0,1.0,21.0,2.0,5740.0,26.0,0.0,40.0,1.0,1.0,True,2655
45,45,18.0,5.0,18.0,2.0,9830.0,36.0,17.0,50.0,1.0,1.0,False,321
46,46,43.0,1.0,17.0,2.0,6230.0,2.0,0.0,50.0,1.0,4.0,True,2802
47,47,50.0,1.0,18.0,1.0,7000.0,303.0,0.0,40.0,1.0,5.0,False,1082
48,48,22.0,3.0,16.0,2.0,4220.0,2.0,2.0,40.0,1.0,5.0,False,629
49,49,26.0,1.0,19.0,2.0,9645.0,2.0,0.0,20.0,2.0,4.0,False,1990
50,50,35.0,1.0,19.0,2.0,5240.0,6.0,0.0,40.0,2.0,1.0,False,859
51,51,48.0,7.0,19.0,1.0,5000.0,53.0,1.0,70.0,2.0,1.0,True,2826
52,52,59.0,3.0,16.0,2.0,2722.0,39.0,0.0,40.0,2.0,1.0,True,3331
53,53,20.0,1.0,19.0,2.0,7810.0,6.0,0.0,40.0,1.0,1.0,False,1606
54,54,49.0,1.0,16.0,1.0,440.0,2.0,1.0,35.0,2.0,4.0,False,917
55,55,19.0,3.0,16.0,2.0,4600.0,2.0,0.0,40.0,2.0,4.0,False,2944
56,56,26.0,5.0,16.0,2.0,4020.0,48.0,17.0,40.0,2.0,2.0,False,147
57,57,20.0,3.0,18.0,2.0,3649.0,2.0,13.0,70.0,2.0,4.0,False,3409
58,58,22.0,5.0,21.0,2.0,9825.0,34.0,17.0,48.0,1.0,1.0,False,285
59,59,58.0,3.0,16.0,1.0,2440.0,2.0,0.0,22.0,2.0,4.0,False,1127
60,60,55.0,1.0,14.0,1.0,4110.0,22.0,1.0,36.0,2.0,5.0,False,1130
61,61,32.0,3.0,16.0,1.0,9130.0,2.0,1.0,20.0,1.0,4.0,False,1148
62,62,19.0,1.0,16.0,2.0,4140.0,6.0,12.0,40.0,1.0,1.0,False,3377
63,63,35.0,5.0,21.0,1.0,2014.0,28.0,1.0,40.0,2.0,2.0,True,1010
64,64,57.0,3.0,18.0,1.0,5740.0,39.0,0.0,40.0,2.0,1.0,True,1315
65,65,74.0,1.0,20.0,1.0,4710.0,2.0,0.0,3.0,1.0,4.0,False,1193
66,66,43.0,1.0,16.0,1.0,8225.0,48.0,17.0,84.0,1.0,1.0,False,242
67,67,55.0,1.0,16.0,2.0,4760.0,55.0,0.0,40.0,1.0,1.0,True,417
68,68,35.0,5.0,20.0,1.0,3300.0,40.0,0.0,90.0,1.0,3.0,True,1862
69,69,51.0,1.0,16.0,1.0,4020.0,223.0,1.0,40.0,1.0,3.0,False,2276
70,70,31.0,1.0,12.0,2.0,9620.0,48.0,0.0,80.0,1.0,1.0,False,2616
71,71,54.0,1.0,19.0,2.0,5740.0,25.0,0.0,40.0,2.0,1.0,True,3214
72,72,28.0,1.0,16.0,2.0,6115.0,2.0,7.0,15.0,2.0,4.0,False,3253
73,73,52.0,1.0,16.0,2.0,9130.0,2.0,5.0,46.0,1.0,4.0,False,2341
74,74,24.0,1.0,19.0,2.0,4760.0,110.0,2.0,8.0,1.0,1.0,False,1408
75,75,62.0,1.0,16.0,2.0,4010.0,6.0,0.0,40.0,2.0,1.0,False,1277
76,76,19.0,1.0,18.0,2.0,6260.0,2.0,17.0,40.0,1.0,1.0,False,78
77,77,66.0,1.0,22.0,1.0,710.0,6.0,1.0,40.0,2.0,1.0,True,2301
78,78,21.0,1.0,13.0,2.0,8740.0,53.0,16.0,99.0,2.0,1.0,False,132
79,79,35.0,5.0,19.0,1.0,5350.0,53.0,1.0,40.0,2.0,1.0,False,1019
80,80,23.0,4.0,20.0,2.0,1555.0,2.0,13.0,70.0,2.0,1.0,True,1258
81,81,65.0,7.0,21.0,1.0,4810.0,53.0,0.0,25.0,1.0,1.0,True,1781
82,82,19.0,5.0,16.0,2.0,9825.0,6.0,17.0,40.0,1.0,1.0,False,223
83,83,23.0,1.0,16.0,2.0,8740.0,233.0,17.0,72.0,2.0,5.0,True,77
84,84,30.0,3.0,19.0,2.0,7640.0,2.0,0.0,36.0,1.0,4.0,False,2387
85,85,30.0,1.0,16.0,2.0,6260.0,2.0,15.0,40.0,1.0,4.0,False,2195
86,86,29.0,1.0,21.0,2.0,800.0,512.0,12.0,35.0,2.0,4.0,False,1220
87,87,38.0,3.0,16.0,2.0,8300.0,2.0,13.0,40.0,2.0,4.0,False,2388
88,88,30.0,1.0,21.0,2.0,710.0,27.0,12.0,40.0,1.0,1.0,True,3403
89,89,54.0,3.0,19.0,1.0,5740.0,2.0,1.0,40.0,2.0,4.0,False,1449
90,90,30.0,1.0,16.0,1.0,2861.0,303.0,9.0,40.0,1.0,5.0,False,2648
91,91,17.0,6.0,14.0,2.0,2723.0,27.0,7.0,8.0,1.0,1.0,False,757
92,92,30.0,3.0,18.0,1.0,5860.0,2.0,9.0,40.0,2.0,4.0,False,3058
93,93,55.0,1.0,16.0,2.0,7840.0,233.0,17.0,95.0,1.0,3.0,False,8
94,94,43.0,6.0,16.0,1.0,5240.0,27.0,0.0,60.0,2.0,1.0,False,1190
95,95,36.0,3.0,18.0,1.0,5510.0,2.0,0.0,10.0,2.0,4.0,False,1368
96,96,65.0,6.0,16.0,1.0,4710.0,53.0,1.0,60.0,1.0,1.0,False,3056
97,97,44.0,4.0,16.0,1.0,4220.0,2.0,1.0,30.0,1.0,4.0,False,485
98,98,17.0,1.0,14.0,2.0,4760.0,2.0,2.0,8.0,2.0,5.0,False,2523
99,99,58.0,1.0,18.0,1.0,4200.0,6.0,1.0,45.0,1.0,1.0,True,1695
100,100,46.0,1.0,16.0,1.0,4230.0,164.0,0.0,40.0,2.0,1.0,False,2661
101,101,59.0,3.0,20.0,1.0,2004.0,16.0,0.0,30.0,1.0,1.0,False,2349
102,102,59.0,3.0,16.0,1.0,9005.0,51.0,0.0,40.0,1.0,1.0,False,1366
103,103,20.0,3.0,13.0,2.0,9130.0,2.0,2.0,20.0,1.0,4.0,False,2379
104,104,35.0,1.0,16.0,2.0,2545.0,2.0,2.0,40.0,2.0,4.0,False,3087
105,105,44.0,1.0,21.0,2.0,6950.0,49.0,17.0,84.0,1.0,1.0,True,352
106,106,51.0,1.0,16.0,2.0,9130.0,2.0,0.0,40.0,1.0,5.0,True,1623
107,107,26.0,4.0,18.0,2.0,2545.0,2.0,2.0,33.0,2.0,4.0,False,1358
108,108,53.0,1.0,21.0,1.0,6800.0,110.0,17.0,84.0,1.0,5.0,True,175
109,109,57.0,1.0,16.0,1.0,8140.0,2.0,1.0,40.0,1.0,4.0,False,3032
110,110,57.0,1.0,16.0,2.0,9620.0,24.0,0.0,30.0,1.0,1.0,False,2695
111,111,51.0,3.0,21.0,1.0,2310.0,301.0,0.0,8.0,2.0,1.0,False,3483
112,112,45.0,1.0,19.0,1.0,9365.0,233.0,0.0,40.0,1.0,3.0,True,1059
113,113,23.0,6.0,16.0,2.0,2910.0,2.0,0.0,10.0,2.0,5.0,False,2692
114,114,39.0,1.0,16.0,2.0,4760.0,2.0,0.0,4.0,2.0,5.0,False,762
115,115,38.0,7.0,19.0,2.0,5120.0,39.0,0.0,8.0,1.0,1.0,False,3020
116,116,54.0,3.0,19.0,2.0,4220.0,2.0,16.0,40.0,1.0,4.0,False,158
117,117,59.0,6.0,21.0,1.0,6115.0,2.0,1.0,99.0,2.0,1.0,False,909
118,118,30.0,1.0,21.0,1.0,3160.0,23.0,0.0,40.0,2.0,1.0,True,2426
119,119,46.0,1.0,20.0,1.0,4760.0,18.0,1.0,40.0,2.0,1.0,False,2768
120,120,72.0,1.0,21.0,1.0,1920.0,53.0,17.0,84.0,1.0,1.0,False,122
121,121,23.0,4.0,19.0,1.0,5940.0,2.0,1.0,35.0,2.0,4.0,False,1658
122,122,30.0,1.0,16.0,2.0,6825.0,2.0,15.0,84.0,1.0,4.0,False,479
123,123,68.0,1.0,9.0,1.0,7840.0,233.0,17.0,50.0,2.0,3.0,False,249
124,124,67.0,1.0,22.0,1.0,705.0,8.0,0.0,40.0,1.0,1.0,True,3527
125,125,32.0,1.0,16.0,2.0,4950.0,2.0,13.0,25.0,1.0,1.0,False,2235
126,126,62.0,2.0,19.0,1.0,7020.0,31.0,0.0,40.0,1.0,1.0,True,1440
127,127,51.0,1.0,18.0,2.0,4140.0,53.0,0.0,30.0,1.0,1.0,False,1432
128,128,22.0,1.0,20.0,2.0,9620.0,2.0,2.0,16.0,2.0,1.0,False,2763
129,129,23.0,5.0,19.0,2.0,7640.0,51.0,17.0,40.0,1.0,5.0,False,129
130,130,57.0,3.0,16.0,1.0,4020.0,233.0,9.0,40.0,1.0,3.0,False,1117
131,131,39.0,1.0,16.0,2.0,4760.0,46.0,0.0,40.0,2.0,4.0,False,2032
132,132,28.0,4.0,21.0,1.0,2002.0,8.0,0.0,40.0,2.0,1.0,False,2741
133,133,64.0,1.0,16.0,2.0,4850.0,2.0,0.0,40.0,2.0,1.0,True,1261
134,134,49.0,2.0,16.0,2.0,6230.0,2.0,0.0,70.0,1.0,4.0,False,3269
