,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,52.0,6.0,16.0,1.0,4710.0,1.0,0.0,60.0,1.0,1.0,False
1,1,23.0,1.0,17.0,1.0,5400.0,1.0,1.0,40.0,2.0,1.0,False
2,2,22.0,1.0,16.0,2.0,4055.0,1.0,0.0,30.0,2.0,1.0,False
3,3,21.0,3.0,19.0,2.0,3740.0,1.0,2.0,40.0,1.0,1.0,False
4,4,32.0,1.0,20.0,2.0,9130.0,13.0,0.0,60.0,1.0,2.0,False
5,5,33.0,1.0,17.0,2.0,8740.0,1.0,17.0,40.0,1.0,1.0,False
6,6,49.0,4.0,18.0,1.0,800.0,1.0,1.0,40.0,2.0,1.0,True
7,7,44.0,3.0,21.0,1.0,2320.0,1.0,10.0,40.0,2.0,2.0,False
8,8,61.0,4.0,22.0,1.0,230.0,1.0,0.0,45.0,2.0,1.0,True
9,9,79.0,1.0,24.0,1.0,800.0,45.0,0.0,25.0,1.0,1.0,False
10,10,41.0,1.0,16.0,1.0,4220.0,24.0,1.0,32.0,1.0,1.0,False
11,11,52.0,1.0,18.0,1.0,6765.0,47.0,1.0,20.0,1.0,1.0,False
12,12,68.0,1.0,21.0,1.0,4622.0,28.0,1.0,32.0,2.0,1.0,False
13,13,21.0,1.0,19.0,2.0,4110.0,1.0,2.0,20.0,2.0,1.0,False
14,14,47.0,7.0,1.0,1.0,4510.0,423.0,1.0,35.0,2.0,2.0,False
15,15,20.0,1.0,19.0,2.0,5820.0,1.0,2.0,40.0,2.0,1.0,False
16,16,29.0,1.0,16.0,2.0,520.0,12.0,0.0,25.0,2.0,1.0,False
17,17,47.0,2.0,21.0,1.0,2320.0,120.0,0.0,48.0,2.0,1.0,False
18,18,40.0,7.0,22.0,2.0,4220.0,72.0,0.0,20.0,2.0,2.0,False
19,19,56.0,1.0,9.0,2.0,4220.0,303.0,0.0,40.0,1.0,5.0,False
20,20,45.0,4.0,21.0,1.0,2310.0,1.0,1.0,40.0,2.0,1.0,False
21,21,55.0,1.0,19.0,1.0,4710.0,1.0,0.0,50.0,1.0,1.0,True
22,22,43.0,1.0,19.0,1.0,440.0,29.0,1.0,40.0,1.0,1.0,True
23,23,23.0,1.0,15.0,2.0,6260.0,1.0,2.0,35.0,1.0,1.0,False
24,24,55.0,1.0,19.0,1.0,4850.0,22.0,0.0,43.0,1.0,1.0,True
25,25,18.0,1.0,16.0,2.0,4720.0,1.0,7.0,30.0,2.0,1.0,False
26,26,52.0,1.0,22.0,1.0,5810.0,48.0,1.0,22.0,2.0,1.0,False
27,27,20.0,1.0,19.0,2.0,5300.0,1.0,17.0,32.0,2.0,2.0,False
28,28,49.0,1.0,19.0,1.0,5240.0,1.0,1.0,23.0,2.0,2.0,False
29,29,21.0,1.0,16.0,2.0,8740.0,1.0,3.0,30.0,2.0,2.0,False
30,30,32.0,2.0,16.0,2.0,4230.0,1.0,0.0,40.0,2.0,2.0,False
