,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,9284,67.0,1.0,21.0,1.0,4530.0,20.0,1.0,40.0,2.0,1.0,False,3213
1,9285,27.0,2.0,21.0,2.0,1021.0,5.0,0.0,50.0,1.0,1.0,True,5709
2,9286,41.0,1.0,20.0,2.0,4760.0,24.0,13.0,50.0,1.0,1.0,False,10043
3,9287,57.0,1.0,18.0,1.0,5160.0,5.0,1.0,40.0,2.0,1.0,False,7014
4,9288,45.0,1.0,16.0,1.0,4220.0,5.0,1.0,40.0,2.0,1.0,False,12024
5,9289,62.0,7.0,16.0,1.0,7150.0,5.0,0.0,60.0,1.0,1.0,True,2581
6,9290,36.0,1.0,14.0,1.0,7315.0,5.0,0.0,43.0,1.0,1.0,True,13225
7,9291,54.0,1.0,16.0,2.0,4230.0,5.0,13.0,60.0,2.0,1.0,False,3349
8,9292,20.0,1.0,16.0,2.0,6230.0,5.0,12.0,40.0,1.0,1.0,False,8625
9,9293,29.0,1.0,13.0,1.0,726.0,5.0,0.0,30.0,2.0,1.0,False,8141
10,9294,48.0,6.0,20.0,1.0,4820.0,5.0,0.0,40.0,1.0,1.0,True,691
11,9295,65.0,1.0,21.0,1.0,3255.0,6.0,0.0,38.0,1.0,1.0,True,1345
12,9296,44.0,1.0,13.0,1.0,7150.0,5.0,1.0,40.0,1.0,1.0,False,1491
13,9297,56.0,2.0,21.0,1.0,420.0,5.0,0.0,42.0,2.0,1.0,True,2115
14,9298,23.0,1.0,16.0,1.0,6305.0,5.0,1.0,50.0,1.0,1.0,False,3037
15,9299,51.0,1.0,22.0,1.0,5260.0,17.0,1.0,99.0,1.0,1.0,False,3998
16,9300,43.0,1.0,16.0,1.0,5110.0,5.0,1.0,40.0,2.0,1.0,False,10433
17,9301,19.0,1.0,19.0,2.0,4720.0,29.0,12.0,30.0,2.0,1.0,False,3895
18,9302,23.0,1.0,19.0,2.0,4030.0,5.0,12.0,40.0,2.0,1.0,False,3426
19,9303,49.0,1.0,21.0,1.0,7700.0,5.0,0.0,40.0,1.0,1.0,True,8876
20,9304,77.0,6.0,16.0,1.0,4251.0,5.0,0.0,20.0,1.0,1.0,True,12982
21,9305,29.0,1.0,19.0,1.0,4020.0,35.0,0.0,18.0,2.0,5.0,False,5532
22,9306,45.0,4.0,14.0,1.0,4010.0,5.0,1.0,40.0,2.0,1.0,False,5451
23,9307,46.0,1.0,17.0,1.0,7510.0,5.0,1.0,40.0,1.0,1.0,False,3440
