,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,22148,45.0,1.0,20.0,2.0,1106.0,36.0,13.0,40.0,1.0,1.0,False,22269
1,22149,68.0,1.0,16.0,1.0,3500.0,427.0,0.0,30.0,1.0,2.0,False,3080
2,22150,56.0,1.0,20.0,2.0,4820.0,24.0,0.0,38.0,1.0,1.0,False,8021
3,22151,38.0,1.0,9.0,1.0,4230.0,303.0,6.0,32.0,2.0,5.0,False,23065
4,22152,42.0,6.0,19.0,1.0,4710.0,303.0,1.0,45.0,1.0,1.0,False,7460
5,22153,24.0,1.0,17.0,2.0,9130.0,35.0,2.0,40.0,1.0,1.0,False,5286
6,22154,47.0,3.0,22.0,1.0,3160.0,110.0,1.0,40.0,2.0,1.0,True,26040
7,22155,76.0,1.0,22.0,1.0,2700.0,17.0,0.0,4.0,1.0,1.0,False,20592
8,22156,52.0,1.0,21.0,2.0,4840.0,27.0,0.0,75.0,2.0,1.0,True,17859
9,22157,74.0,4.0,16.0,1.0,5510.0,6.0,0.0,27.0,1.0,1.0,False,24200
10,22158,65.0,1.0,22.0,1.0,710.0,36.0,0.0,60.0,1.0,1.0,True,3882
11,22159,49.0,1.0,20.0,1.0,5000.0,4.0,0.0,40.0,2.0,1.0,True,23143
12,22160,21.0,1.0,16.0,2.0,4055.0,4.0,2.0,40.0,1.0,1.0,False,21674
13,22161,63.0,1.0,19.0,2.0,4700.0,6.0,13.0,29.0,1.0,1.0,False,18796
14,22162,45.0,1.0,22.0,1.0,630.0,29.0,1.0,40.0,1.0,1.0,True,12132
15,22163,83.0,1.0,18.0,2.0,4760.0,6.0,0.0,35.0,2.0,1.0,False,16225
16,22164,52.0,1.0,19.0,1.0,4760.0,38.0,1.0,40.0,2.0,1.0,True,21949
17,22165,49.0,1.0,22.0,2.0,2205.0,5.0,0.0,40.0,2.0,1.0,True,25756
18,22166,64.0,3.0,14.0,2.0,7340.0,4.0,2.0,40.0,1.0,1.0,True,4448
19,22167,19.0,1.0,18.0,2.0,4760.0,4.0,7.0,26.0,2.0,1.0,False,8270
20,22168,49.0,7.0,20.0,1.0,110.0,6.0,0.0,50.0,1.0,1.0,True,6967
21,22169,52.0,1.0,19.0,2.0,9620.0,1.0,17.0,20.0,1.0,1.0,False,423
22,22170,35.0,1.0,21.0,1.0,1530.0,6.0,0.0,50.0,1.0,3.0,True,21632
23,22171,35.0,6.0,21.0,1.0,310.0,6.0,2.0,80.0,1.0,1.0,True,23688
24,22172,20.0,3.0,20.0,2.0,4220.0,4.0,5.0,20.0,2.0,1.0,False,17028
25,22173,71.0,1.0,21.0,1.0,4850.0,51.0,0.0,3.0,1.0,1.0,False,30415
26,22174,21.0,1.0,19.0,2.0,4720.0,249.0,12.0,30.0,2.0,1.0,False,20278
27,22175,19.0,1.0,15.0,2.0,9620.0,4.0,15.0,25.0,1.0,1.0,False,18162
28,22176,48.0,1.0,21.0,2.0,3255.0,4.0,0.0,40.0,2.0,1.0,True,3454
29,22177,47.0,1.0,16.0,1.0,140.0,303.0,0.0,40.0,2.0,1.0,False,12854
30,22178,36.0,1.0,24.0,2.0,3258.0,217.0,0.0,45.0,1.0,5.0,True,23140
31,22179,60.0,1.0,21.0,1.0,5740.0,4.0,1.0,45.0,2.0,5.0,True,9674
32,22180,43.0,4.0,19.0,1.0,2545.0,39.0,0.0,33.0,2.0,1.0,False,9399
33,22181,60.0,1.0,17.0,1.0,9640.0,48.0,1.0,40.0,1.0,1.0,False,13367
34,22182,23.0,1.0,20.0,2.0,7210.0,4.0,0.0,40.0,1.0,1.0,False,27540
35,22183,54.0,3.0,24.0,2.0,2310.0,4.0,15.0,40.0,2.0,1.0,True,12056
36,22184,38.0,1.0,16.0,1.0,4020.0,303.0,0.0,40.0,1.0,1.0,False,32074
