,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,10436,74.0,2.0,16.0,2.0,4030.0,6.0,0.0,5.0,2.0,1.0,False
1,10437,31.0,1.0,16.0,2.0,9645.0,8.0,2.0,40.0,2.0,1.0,False
2,10438,54.0,1.0,16.0,2.0,5860.0,8.0,2.0,40.0,2.0,1.0,False
3,10439,66.0,2.0,22.0,2.0,5740.0,36.0,0.0,35.0,2.0,1.0,False
4,10440,31.0,1.0,18.0,1.0,4020.0,8.0,1.0,70.0,1.0,1.0,False
5,10441,37.0,3.0,21.0,1.0,5600.0,8.0,1.0,40.0,1.0,1.0,False
6,10442,39.0,1.0,16.0,2.0,8140.0,6.0,0.0,40.0,1.0,1.0,False
7,10443,37.0,1.0,18.0,1.0,6220.0,12.0,0.0,40.0,1.0,1.0,False
8,10444,27.0,1.0,21.0,1.0,3030.0,8.0,0.0,40.0,2.0,1.0,False
9,10445,38.0,2.0,16.0,2.0,7750.0,303.0,0.0,50.0,2.0,1.0,False
10,10446,37.0,2.0,16.0,2.0,4020.0,6.0,2.0,40.0,1.0,5.0,False
11,10447,50.0,1.0,10.0,1.0,4110.0,207.0,1.0,12.0,2.0,3.0,False
12,10448,42.0,2.0,19.0,1.0,630.0,8.0,1.0,40.0,1.0,1.0,True
13,10449,79.0,6.0,22.0,1.0,800.0,8.0,0.0,40.0,1.0,1.0,False
14,10450,38.0,1.0,21.0,1.0,5240.0,8.0,0.0,25.0,2.0,1.0,False
15,10451,58.0,1.0,21.0,1.0,5400.0,31.0,1.0,30.0,2.0,1.0,False
16,10452,48.0,7.0,17.0,2.0,735.0,8.0,12.0,50.0,2.0,1.0,True
17,10453,75.0,3.0,22.0,1.0,2310.0,36.0,0.0,8.0,2.0,1.0,False
18,10454,27.0,1.0,20.0,2.0,7130.0,8.0,2.0,40.0,1.0,1.0,False
