,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,13190,48.0,1.0,16.0,1.0,9130.0,9.0,9.0,55.0,1.0,1.0,False
1,13191,55.0,1.0,21.0,1.0,5165.0,34.0,1.0,45.0,2.0,1.0,True
2,13192,60.0,1.0,20.0,1.0,3323.0,9.0,1.0,37.0,2.0,1.0,False
3,13193,47.0,1.0,22.0,2.0,3255.0,9.0,13.0,32.0,2.0,1.0,True
4,13194,66.0,3.0,16.0,2.0,5860.0,9.0,0.0,40.0,2.0,1.0,False
5,13195,40.0,1.0,21.0,2.0,3300.0,25.0,0.0,40.0,2.0,1.0,True
6,13196,22.0,1.0,17.0,2.0,4700.0,42.0,0.0,45.0,2.0,1.0,False
7,13197,38.0,6.0,16.0,1.0,4251.0,9.0,1.0,60.0,1.0,1.0,False
8,13198,45.0,6.0,21.0,1.0,2850.0,9.0,1.0,45.0,2.0,1.0,True
9,13199,74.0,6.0,22.0,1.0,220.0,117.0,0.0,30.0,1.0,1.0,True
10,13200,36.0,1.0,19.0,2.0,3603.0,9.0,0.0,20.0,2.0,1.0,False
11,13201,45.0,1.0,22.0,2.0,710.0,25.0,0.0,45.0,2.0,1.0,True
12,13202,35.0,1.0,16.0,2.0,120.0,12.0,2.0,8.0,2.0,1.0,False
13,13203,36.0,1.0,21.0,2.0,7700.0,36.0,0.0,50.0,1.0,1.0,True
14,13204,26.0,1.0,22.0,2.0,4760.0,36.0,2.0,40.0,2.0,1.0,True
15,13205,56.0,1.0,22.0,1.0,51.0,36.0,0.0,40.0,2.0,1.0,True
16,13206,37.0,1.0,16.0,1.0,4850.0,54.0,1.0,40.0,1.0,1.0,False
17,13207,28.0,1.0,21.0,2.0,850.0,9.0,0.0,40.0,1.0,1.0,True
18,13208,43.0,1.0,22.0,1.0,1022.0,41.0,0.0,40.0,1.0,1.0,True
19,13209,54.0,1.0,20.0,1.0,705.0,9.0,0.0,42.0,1.0,1.0,True
20,13210,36.0,1.0,22.0,1.0,9645.0,421.0,1.0,40.0,1.0,2.0,True
21,13211,65.0,1.0,21.0,1.0,850.0,163.0,0.0,40.0,1.0,1.0,True
22,13212,17.0,2.0,16.0,2.0,4622.0,9.0,4.0,15.0,1.0,1.0,False
23,13213,60.0,3.0,16.0,2.0,4140.0,9.0,13.0,38.0,1.0,1.0,False
24,13214,59.0,1.0,22.0,2.0,4621.0,20.0,0.0,12.0,2.0,1.0,False
25,13215,43.0,1.0,8.0,2.0,9600.0,312.0,15.0,45.0,1.0,5.0,False
26,13216,42.0,1.0,16.0,2.0,4700.0,9.0,0.0,60.0,1.0,1.0,True
27,13217,33.0,2.0,22.0,2.0,1970.0,217.0,12.0,40.0,1.0,3.0,False
28,13218,39.0,1.0,21.0,1.0,540.0,25.0,9.0,40.0,2.0,1.0,True
29,13219,75.0,4.0,22.0,1.0,2205.0,9.0,1.0,2.0,1.0,1.0,True
30,13220,72.0,1.0,23.0,1.0,2100.0,36.0,0.0,60.0,1.0,1.0,True
31,13221,25.0,1.0,18.0,2.0,5300.0,329.0,5.0,40.0,1.0,1.0,False
32,13222,43.0,1.0,19.0,1.0,4700.0,9.0,1.0,40.0,1.0,1.0,False
33,13223,48.0,5.0,21.0,1.0,440.0,311.0,1.0,40.0,2.0,1.0,True
34,13224,68.0,1.0,22.0,2.0,110.0,108.0,0.0,48.0,1.0,1.0,True
35,13225,45.0,7.0,21.0,1.0,2360.0,36.0,0.0,30.0,2.0,1.0,False
36,13226,26.0,1.0,21.0,2.0,2710.0,25.0,0.0,43.0,1.0,1.0,True
37,13227,69.0,2.0,22.0,2.0,5740.0,120.0,0.0,12.0,2.0,1.0,False
38,13228,52.0,1.0,16.0,1.0,440.0,9.0,1.0,32.0,2.0,1.0,False
39,13229,23.0,1.0,19.0,2.0,4110.0,9.0,17.0,50.0,1.0,1.0,False
40,13230,34.0,2.0,21.0,1.0,1105.0,12.0,0.0,55.0,1.0,1.0,True
41,13231,31.0,2.0,19.0,2.0,4600.0,9.0,2.0,30.0,2.0,1.0,False
42,13232,49.0,1.0,22.0,1.0,410.0,25.0,1.0,55.0,2.0,1.0,True
43,13233,28.0,1.0,21.0,2.0,440.0,9.0,0.0,16.0,1.0,5.0,False
44,13234,30.0,1.0,21.0,2.0,4622.0,9.0,13.0,40.0,2.0,1.0,False
45,13235,55.0,5.0,21.0,1.0,5550.0,44.0,0.0,40.0,1.0,1.0,False
46,13236,48.0,1.0,20.0,1.0,4710.0,9.0,1.0,44.0,2.0,1.0,False
47,13237,38.0,2.0,22.0,1.0,2310.0,12.0,1.0,40.0,2.0,1.0,True
48,13238,22.0,1.0,21.0,2.0,800.0,9.0,2.0,40.0,2.0,1.0,False
49,13239,57.0,1.0,21.0,1.0,120.0,42.0,1.0,60.0,1.0,1.0,True
50,13240,56.0,2.0,20.0,1.0,3220.0,34.0,1.0,45.0,1.0,1.0,True
51,13241,26.0,1.0,16.0,2.0,2636.0,329.0,13.0,15.0,2.0,5.0,False
52,13242,37.0,1.0,22.0,2.0,5240.0,9.0,2.0,50.0,2.0,1.0,True
53,13243,45.0,3.0,18.0,1.0,4622.0,9.0,1.0,6.0,2.0,1.0,False
54,13244,61.0,1.0,21.0,2.0,110.0,20.0,0.0,45.0,1.0,1.0,True
55,13245,59.0,1.0,16.0,1.0,8255.0,368.0,0.0,40.0,1.0,2.0,False
56,13246,44.0,1.0,22.0,1.0,120.0,44.0,0.0,60.0,1.0,1.0,True
57,13247,22.0,1.0,16.0,2.0,7220.0,9.0,2.0,40.0,1.0,1.0,False
58,13248,24.0,1.0,16.0,2.0,7330.0,9.0,2.0,40.0,1.0,1.0,False
59,13249,41.0,4.0,21.0,1.0,5250.0,9.0,1.0,45.0,2.0,1.0,False
60,13250,32.0,3.0,22.0,2.0,2310.0,36.0,0.0,40.0,2.0,2.0,True
61,13251,67.0,6.0,23.0,2.0,2600.0,29.0,0.0,40.0,2.0,1.0,False
62,13252,35.0,5.0,22.0,1.0,3255.0,6.0,0.0,40.0,2.0,1.0,True
63,13253,41.0,1.0,20.0,1.0,4710.0,48.0,0.0,40.0,2.0,1.0,True
64,13254,43.0,1.0,19.0,1.0,3500.0,332.0,1.0,34.0,2.0,2.0,True
65,13255,54.0,1.0,19.0,1.0,3930.0,36.0,0.0,45.0,1.0,2.0,True
66,13256,32.0,4.0,21.0,1.0,5360.0,9.0,0.0,40.0,2.0,1.0,True
