,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,1571,77.0,7.0,21.0,1.0,710.0,23.0,0.0,12.0,1.0,1.0,True,2218
1,1572,58.0,4.0,20.0,2.0,5810.0,10.0,0.0,28.0,2.0,1.0,False,2760
2,1573,17.0,1.0,14.0,2.0,4140.0,10.0,2.0,30.0,1.0,1.0,False,3121
3,1574,35.0,1.0,16.0,1.0,5100.0,333.0,1.0,40.0,1.0,2.0,False,1486
4,1575,30.0,1.0,19.0,1.0,6442.0,10.0,0.0,55.0,1.0,1.0,True,418
5,1576,17.0,1.0,14.0,2.0,4720.0,10.0,2.0,30.0,2.0,1.0,False,3661
6,1577,19.0,1.0,18.0,2.0,4435.0,36.0,17.0,30.0,1.0,1.0,False,73
7,1578,51.0,1.0,20.0,2.0,5860.0,42.0,15.0,70.0,2.0,4.0,False,441
8,1579,27.0,6.0,16.0,2.0,6240.0,10.0,13.0,40.0,1.0,1.0,False,2900
9,1580,32.0,1.0,19.0,1.0,4000.0,10.0,9.0,40.0,2.0,1.0,False,1665
10,1581,54.0,1.0,16.0,1.0,6410.0,42.0,1.0,40.0,1.0,1.0,True,4641
11,1582,21.0,1.0,16.0,2.0,8990.0,6.0,12.0,20.0,1.0,1.0,False,2121
12,1583,33.0,4.0,21.0,2.0,2320.0,24.0,2.0,24.0,2.0,1.0,False,2376
13,1584,49.0,1.0,19.0,1.0,4850.0,10.0,1.0,50.0,1.0,1.0,True,1931
14,1585,20.0,4.0,16.0,2.0,340.0,10.0,2.0,20.0,1.0,1.0,False,4442
15,1586,18.0,1.0,16.0,2.0,7800.0,24.0,10.0,40.0,2.0,1.0,False,2380
16,1587,65.0,1.0,21.0,1.0,8990.0,28.0,1.0,40.0,2.0,2.0,False,2927
17,1588,57.0,4.0,16.0,1.0,4020.0,10.0,1.0,35.0,2.0,1.0,False,693
18,1589,53.0,7.0,16.0,1.0,205.0,231.0,0.0,60.0,1.0,3.0,False,2001
19,1590,75.0,2.0,22.0,1.0,410.0,10.0,1.0,20.0,1.0,1.0,True,4059
20,1591,61.0,5.0,16.0,1.0,4965.0,25.0,1.0,50.0,1.0,1.0,True,1310
21,1592,60.0,4.0,22.0,1.0,2310.0,42.0,0.0,40.0,2.0,1.0,True,4508
22,1593,36.0,6.0,21.0,1.0,4600.0,10.0,0.0,50.0,2.0,2.0,False,1354
23,1594,41.0,2.0,21.0,1.0,726.0,10.0,1.0,45.0,2.0,1.0,False,3386
24,1595,49.0,1.0,16.0,1.0,4840.0,42.0,1.0,40.0,1.0,1.0,True,4087
25,1596,32.0,1.0,21.0,1.0,1760.0,210.0,0.0,50.0,1.0,3.0,False,372
26,1597,20.0,1.0,16.0,2.0,2545.0,36.0,17.0,20.0,2.0,2.0,False,153
27,1598,31.0,1.0,13.0,2.0,8740.0,303.0,2.0,40.0,1.0,1.0,False,422
28,1599,28.0,1.0,21.0,1.0,3255.0,34.0,9.0,40.0,2.0,1.0,True,3447
29,1600,42.0,4.0,20.0,2.0,5740.0,10.0,0.0,40.0,2.0,1.0,False,844
30,1601,50.0,1.0,21.0,2.0,1460.0,42.0,0.0,40.0,1.0,2.0,True,3208
31,1602,30.0,1.0,21.0,2.0,5920.0,10.0,0.0,40.0,2.0,1.0,False,4534
32,1603,31.0,1.0,21.0,1.0,4850.0,34.0,0.0,40.0,1.0,1.0,True,2747
33,1604,38.0,1.0,16.0,2.0,4760.0,303.0,0.0,30.0,2.0,1.0,False,216
34,1605,44.0,6.0,6.0,1.0,6200.0,303.0,0.0,10.0,1.0,5.0,False,2722
35,1606,52.0,1.0,16.0,2.0,3603.0,10.0,0.0,40.0,2.0,2.0,False,1261
36,1607,49.0,2.0,20.0,1.0,5740.0,42.0,0.0,40.0,2.0,1.0,False,1800
37,1608,57.0,1.0,21.0,1.0,540.0,42.0,0.0,40.0,2.0,1.0,False,1216
38,1609,44.0,1.0,21.0,1.0,1530.0,10.0,1.0,45.0,1.0,1.0,True,1702
39,1610,48.0,6.0,24.0,1.0,845.0,210.0,0.0,40.0,1.0,3.0,False,2901
40,1611,22.0,2.0,16.0,2.0,9645.0,362.0,17.0,40.0,2.0,1.0,False,30
41,1612,59.0,6.0,16.0,1.0,4600.0,10.0,0.0,60.0,2.0,1.0,False,3116
42,1613,27.0,4.0,21.0,2.0,2310.0,10.0,0.0,40.0,2.0,1.0,False,1342
43,1614,46.0,5.0,18.0,1.0,9005.0,10.0,0.0,55.0,1.0,1.0,True,1983
44,1615,30.0,1.0,19.0,2.0,5510.0,34.0,12.0,48.0,1.0,1.0,False,2101
45,1616,43.0,1.0,19.0,1.0,10.0,210.0,1.0,40.0,2.0,3.0,True,3281
46,1617,30.0,1.0,21.0,2.0,4110.0,42.0,0.0,40.0,2.0,1.0,False,291
47,1618,50.0,1.0,19.0,2.0,8990.0,42.0,0.0,45.0,1.0,1.0,True,4242
48,1619,21.0,1.0,1.0,2.0,4030.0,34.0,12.0,20.0,2.0,1.0,False,1272
49,1620,65.0,2.0,23.0,1.0,3090.0,11.0,0.0,55.0,1.0,1.0,True,1716
50,1621,42.0,2.0,22.0,1.0,2600.0,47.0,0.0,55.0,1.0,1.0,True,2004
51,1622,55.0,1.0,21.0,1.0,5400.0,42.0,2.0,24.0,2.0,1.0,False,4188
52,1623,66.0,1.0,21.0,1.0,4850.0,27.0,0.0,40.0,1.0,1.0,True,3767
53,1624,33.0,1.0,21.0,1.0,1545.0,10.0,0.0,45.0,1.0,1.0,True,1044
54,1625,30.0,1.0,21.0,1.0,51.0,12.0,1.0,60.0,2.0,1.0,True,578
55,1626,28.0,1.0,13.0,2.0,4220.0,10.0,2.0,40.0,1.0,2.0,False,1362
56,1627,72.0,1.0,14.0,2.0,4030.0,24.0,0.0,38.0,2.0,1.0,False,3218
57,1628,23.0,1.0,16.0,2.0,6355.0,10.0,2.0,40.0,1.0,1.0,False,3049
58,1629,44.0,1.0,21.0,2.0,4251.0,42.0,2.0,40.0,1.0,1.0,False,1249
59,1630,27.0,1.0,16.0,2.0,6230.0,10.0,0.0,40.0,1.0,1.0,False,4130
60,1631,38.0,2.0,21.0,2.0,2040.0,24.0,0.0,55.0,1.0,1.0,True,2236
61,1632,46.0,1.0,16.0,1.0,2145.0,10.0,0.0,40.0,2.0,1.0,False,1088
62,1633,24.0,1.0,21.0,2.0,1021.0,34.0,13.0,40.0,1.0,1.0,False,612
63,1634,34.0,1.0,20.0,2.0,7200.0,10.0,2.0,60.0,1.0,1.0,False,3306
64,1635,19.0,1.0,14.0,2.0,3421.0,10.0,2.0,8.0,2.0,1.0,False,1333
65,1636,20.0,4.0,19.0,2.0,4760.0,42.0,17.0,32.0,2.0,2.0,False,1
66,1637,65.0,1.0,14.0,2.0,5850.0,10.0,0.0,40.0,2.0,1.0,False,3470
67,1638,22.0,1.0,18.0,2.0,4525.0,10.0,2.0,30.0,2.0,1.0,False,2560
68,1639,56.0,1.0,19.0,1.0,3655.0,233.0,1.0,40.0,2.0,3.0,False,1110
69,1640,24.0,1.0,18.0,2.0,4040.0,15.0,7.0,37.0,2.0,1.0,False,3858
70,1641,40.0,1.0,16.0,2.0,9130.0,10.0,2.0,37.0,1.0,1.0,False,4570
71,1642,41.0,2.0,21.0,1.0,2014.0,10.0,1.0,40.0,2.0,1.0,False,1391
