,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,16972,49.0,1.0,18.0,2.0,3140.0,17.0,0.0,20.0,2.0,1.0,False
1,16973,49.0,1.0,18.0,1.0,5410.0,226.0,0.0,40.0,1.0,3.0,True
2,16974,19.0,1.0,16.0,2.0,335.0,13.0,2.0,28.0,1.0,1.0,False
3,16975,45.0,2.0,19.0,2.0,3645.0,462.0,0.0,40.0,2.0,2.0,False
4,16976,48.0,3.0,23.0,1.0,2100.0,45.0,1.0,45.0,2.0,2.0,True
5,16977,44.0,1.0,18.0,2.0,5860.0,29.0,0.0,40.0,2.0,1.0,True
6,16978,38.0,4.0,22.0,2.0,2435.0,13.0,13.0,40.0,1.0,1.0,False
7,16979,67.0,1.0,16.0,1.0,4850.0,36.0,0.0,40.0,1.0,1.0,True
8,16980,46.0,1.0,19.0,1.0,2360.0,12.0,1.0,40.0,2.0,2.0,True
9,16981,41.0,1.0,21.0,1.0,120.0,13.0,1.0,60.0,2.0,2.0,True
10,16982,30.0,1.0,18.0,2.0,160.0,13.0,17.0,50.0,1.0,1.0,False
11,16983,63.0,3.0,23.0,1.0,2310.0,13.0,0.0,5.0,2.0,1.0,True
12,16984,32.0,1.0,22.0,1.0,2014.0,13.0,1.0,40.0,2.0,2.0,False
13,16985,56.0,1.0,19.0,1.0,3500.0,217.0,1.0,40.0,1.0,3.0,False
14,16986,63.0,2.0,22.0,1.0,2002.0,6.0,1.0,32.0,2.0,1.0,True
15,16987,45.0,1.0,19.0,1.0,4965.0,55.0,0.0,50.0,2.0,1.0,True
16,16988,44.0,1.0,19.0,2.0,9645.0,13.0,12.0,40.0,1.0,1.0,False
17,16989,48.0,6.0,15.0,1.0,5120.0,36.0,1.0,8.0,2.0,2.0,True
18,16990,30.0,3.0,20.0,1.0,4720.0,48.0,1.0,40.0,2.0,2.0,False
19,16991,61.0,1.0,16.0,2.0,7700.0,13.0,0.0,40.0,1.0,2.0,True
20,16992,53.0,1.0,15.0,2.0,4230.0,13.0,0.0,50.0,2.0,2.0,False
21,16993,71.0,1.0,21.0,1.0,845.0,6.0,0.0,40.0,1.0,1.0,True
22,16994,53.0,6.0,18.0,1.0,4251.0,13.0,9.0,40.0,1.0,2.0,False
23,16995,63.0,1.0,13.0,2.0,3603.0,13.0,0.0,35.0,2.0,2.0,False
24,16996,39.0,2.0,23.0,1.0,3090.0,13.0,0.0,50.0,2.0,1.0,True
25,16997,57.0,1.0,16.0,1.0,8000.0,13.0,1.0,80.0,2.0,2.0,False
26,16998,46.0,1.0,21.0,1.0,410.0,48.0,1.0,65.0,1.0,1.0,True
27,16999,32.0,2.0,22.0,1.0,2300.0,48.0,0.0,40.0,2.0,1.0,False
28,17000,48.0,3.0,21.0,1.0,2310.0,1.0,0.0,50.0,1.0,1.0,False
29,17001,32.0,1.0,14.0,1.0,6260.0,303.0,1.0,48.0,1.0,5.0,False
30,17002,21.0,1.0,18.0,2.0,4710.0,13.0,0.0,35.0,2.0,2.0,False
31,17003,21.0,1.0,19.0,1.0,5400.0,13.0,1.0,40.0,2.0,1.0,False
32,17004,20.0,1.0,19.0,2.0,4030.0,451.0,2.0,20.0,1.0,2.0,False
33,17005,29.0,1.0,22.0,2.0,2310.0,25.0,2.0,36.0,2.0,1.0,False
34,17006,43.0,1.0,22.0,1.0,3258.0,28.0,1.0,40.0,2.0,2.0,True
35,17007,68.0,1.0,16.0,1.0,4230.0,6.0,1.0,40.0,2.0,1.0,False
36,17008,64.0,1.0,17.0,2.0,3930.0,13.0,0.0,24.0,1.0,2.0,False
37,17009,46.0,1.0,16.0,2.0,3649.0,26.0,0.0,40.0,2.0,1.0,False
38,17010,70.0,1.0,19.0,2.0,800.0,13.0,13.0,50.0,1.0,2.0,False
39,17011,67.0,1.0,16.0,1.0,9130.0,13.0,0.0,70.0,1.0,1.0,True
40,17012,35.0,7.0,22.0,1.0,530.0,37.0,1.0,50.0,2.0,1.0,False
41,17013,36.0,1.0,20.0,2.0,4720.0,13.0,0.0,30.0,2.0,1.0,False
42,17014,17.0,1.0,13.0,2.0,4030.0,13.0,2.0,15.0,1.0,1.0,False
43,17015,40.0,6.0,12.0,1.0,4251.0,303.0,1.0,40.0,1.0,1.0,False
44,17016,36.0,6.0,22.0,2.0,120.0,13.0,0.0,40.0,2.0,2.0,True
45,17017,45.0,2.0,21.0,2.0,3255.0,2.0,13.0,36.0,2.0,1.0,True
46,17018,43.0,1.0,8.0,1.0,4220.0,313.0,0.0,45.0,1.0,5.0,False
47,17019,31.0,1.0,19.0,1.0,7220.0,13.0,1.0,40.0,1.0,1.0,False
48,17020,39.0,1.0,16.0,2.0,9130.0,39.0,13.0,50.0,1.0,2.0,False
49,17021,25.0,2.0,19.0,2.0,440.0,13.0,0.0,40.0,1.0,1.0,False
50,17022,71.0,8.0,17.0,1.0,9130.0,13.0,0.0,20.0,1.0,1.0,True
51,17023,43.0,7.0,19.0,2.0,4965.0,13.0,0.0,60.0,1.0,2.0,False
52,17024,56.0,1.0,16.0,2.0,7330.0,13.0,0.0,40.0,1.0,1.0,True
53,17025,21.0,1.0,20.0,2.0,4760.0,13.0,2.0,25.0,2.0,1.0,False
54,17026,36.0,1.0,21.0,1.0,1022.0,210.0,0.0,40.0,1.0,3.0,True
55,17027,67.0,1.0,22.0,1.0,3255.0,17.0,0.0,40.0,2.0,1.0,True
56,17028,24.0,1.0,18.0,2.0,4030.0,15.0,2.0,30.0,2.0,1.0,False
57,17029,70.0,6.0,22.0,1.0,4710.0,13.0,1.0,40.0,2.0,1.0,True
58,17030,31.0,2.0,21.0,1.0,3255.0,13.0,0.0,40.0,2.0,1.0,True
59,17031,26.0,1.0,9.0,1.0,6515.0,6.0,1.0,40.0,1.0,1.0,False
60,17032,24.0,1.0,16.0,1.0,4850.0,12.0,1.0,30.0,2.0,1.0,False
61,17033,41.0,4.0,21.0,2.0,2145.0,1.0,2.0,40.0,2.0,2.0,False
62,17034,63.0,7.0,21.0,1.0,4920.0,13.0,0.0,40.0,1.0,1.0,True
63,17035,55.0,2.0,17.0,2.0,2752.0,13.0,11.0,10.0,1.0,1.0,False
64,17036,20.0,1.0,19.0,2.0,7800.0,13.0,17.0,40.0,2.0,1.0,False
65,17037,59.0,1.0,21.0,1.0,440.0,51.0,1.0,50.0,1.0,1.0,True
66,17038,67.0,2.0,18.0,1.0,2014.0,22.0,1.0,17.0,1.0,2.0,False
67,17039,22.0,5.0,19.0,2.0,9825.0,42.0,17.0,50.0,1.0,1.0,False
68,17040,46.0,1.0,16.0,2.0,4720.0,39.0,2.0,38.0,1.0,2.0,False
69,17041,46.0,1.0,21.0,1.0,1305.0,210.0,0.0,40.0,1.0,3.0,True
70,17042,57.0,2.0,21.0,1.0,2040.0,47.0,0.0,40.0,1.0,2.0,False
71,17043,49.0,6.0,21.0,2.0,3630.0,29.0,0.0,30.0,2.0,1.0,False
