,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,5154,69.0,4.0,22.0,1.0,2310.0,15.0,0.0,35.0,2.0,3.0,True
1,5155,52.0,1.0,16.0,2.0,9600.0,15.0,0.0,40.0,1.0,5.0,False
2,5156,51.0,5.0,22.0,1.0,1360.0,209.0,0.0,45.0,1.0,3.0,True
3,5157,18.0,4.0,20.0,2.0,5860.0,15.0,17.0,9.0,1.0,5.0,False
4,5158,45.0,1.0,14.0,2.0,4000.0,15.0,0.0,25.0,1.0,5.0,False
5,5159,69.0,1.0,16.0,1.0,4000.0,215.0,0.0,40.0,1.0,3.0,True
6,5160,75.0,1.0,9.0,1.0,6050.0,233.0,8.0,15.0,1.0,3.0,False
7,5161,66.0,1.0,21.0,2.0,4230.0,233.0,0.0,40.0,2.0,3.0,False
8,5162,59.0,7.0,1.0,1.0,4000.0,215.0,0.0,99.0,2.0,3.0,False
9,5163,40.0,5.0,19.0,1.0,5820.0,22.0,1.0,40.0,2.0,1.0,True
10,5164,61.0,4.0,21.0,2.0,5240.0,215.0,2.0,40.0,2.0,3.0,False
11,5165,34.0,5.0,19.0,1.0,136.0,26.0,1.0,72.0,1.0,1.0,False
12,5166,45.0,1.0,20.0,1.0,4710.0,15.0,0.0,45.0,1.0,3.0,True
13,5167,47.0,1.0,18.0,1.0,4740.0,15.0,17.0,40.0,2.0,5.0,False
14,5168,48.0,2.0,21.0,1.0,10.0,6.0,0.0,50.0,2.0,3.0,True
15,5169,40.0,1.0,18.0,2.0,9130.0,15.0,13.0,40.0,1.0,5.0,True
16,5170,40.0,2.0,21.0,2.0,5710.0,13.0,10.0,40.0,1.0,3.0,False
17,5171,63.0,5.0,16.0,1.0,9620.0,247.0,6.0,40.0,2.0,3.0,False
18,5172,48.0,7.0,19.0,2.0,3630.0,6.0,0.0,50.0,2.0,1.0,False
19,5173,66.0,1.0,16.0,1.0,4150.0,15.0,1.0,25.0,2.0,3.0,False
20,5174,53.0,1.0,21.0,1.0,5120.0,215.0,0.0,40.0,1.0,3.0,False
21,5175,45.0,1.0,21.0,2.0,2145.0,15.0,2.0,40.0,2.0,5.0,False
22,5176,65.0,1.0,16.0,1.0,7340.0,53.0,0.0,25.0,1.0,1.0,False
