,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,2755,63.0,1.0,21.0,2.0,1006.0,46.0,0.0,40.0,1.0,1.0,True
1,2756,19.0,1.0,18.0,2.0,5740.0,6.0,12.0,25.0,2.0,1.0,False
2,2757,25.0,1.0,21.0,1.0,2310.0,49.0,0.0,40.0,2.0,1.0,False
3,2758,42.0,1.0,19.0,1.0,8990.0,16.0,0.0,55.0,1.0,1.0,False
4,2759,31.0,1.0,12.0,1.0,6050.0,303.0,1.0,72.0,1.0,1.0,False
5,2760,30.0,1.0,21.0,1.0,3645.0,16.0,9.0,40.0,1.0,1.0,False
6,2761,22.0,1.0,16.0,1.0,4230.0,207.0,1.0,3.0,2.0,3.0,False
7,2762,40.0,1.0,21.0,1.0,3245.0,16.0,0.0,60.0,1.0,1.0,True
8,2763,51.0,1.0,16.0,2.0,9510.0,16.0,0.0,50.0,1.0,1.0,True
9,2764,38.0,6.0,23.0,1.0,3010.0,16.0,1.0,40.0,2.0,1.0,True
10,2765,40.0,3.0,19.0,1.0,3402.0,6.0,1.0,48.0,1.0,1.0,False
11,2766,57.0,1.0,14.0,1.0,6050.0,303.0,0.0,50.0,1.0,1.0,False
12,2767,66.0,6.0,20.0,1.0,205.0,16.0,1.0,60.0,2.0,1.0,False
13,2768,21.0,1.0,16.0,1.0,7260.0,16.0,0.0,48.0,1.0,1.0,False
14,2769,62.0,2.0,22.0,1.0,2205.0,47.0,0.0,55.0,1.0,1.0,True
15,2770,26.0,1.0,20.0,2.0,7200.0,16.0,0.0,38.0,1.0,1.0,False
16,2771,35.0,1.0,20.0,1.0,2310.0,16.0,0.0,24.0,2.0,1.0,False
17,2772,17.0,1.0,14.0,2.0,4020.0,16.0,2.0,20.0,1.0,1.0,False
18,2773,28.0,1.0,24.0,2.0,3000.0,53.0,0.0,40.0,1.0,1.0,False
19,2774,53.0,1.0,18.0,1.0,4700.0,25.0,0.0,40.0,1.0,1.0,False
20,2775,52.0,5.0,16.0,1.0,7340.0,9.0,0.0,23.0,1.0,1.0,False
21,2776,37.0,1.0,21.0,1.0,2310.0,6.0,0.0,40.0,2.0,1.0,False
22,2777,43.0,1.0,20.0,2.0,3423.0,102.0,0.0,40.0,2.0,1.0,True
23,2778,22.0,1.0,19.0,2.0,3602.0,10.0,2.0,40.0,2.0,1.0,False
24,2779,45.0,6.0,1.0,1.0,4230.0,303.0,0.0,20.0,2.0,5.0,False
25,2780,43.0,1.0,11.0,1.0,4720.0,6.0,1.0,30.0,2.0,5.0,False
26,2781,64.0,1.0,21.0,1.0,800.0,36.0,1.0,50.0,2.0,1.0,True
27,2782,24.0,1.0,19.0,2.0,8990.0,49.0,2.0,20.0,2.0,1.0,False
28,2783,62.0,6.0,21.0,2.0,2840.0,21.0,0.0,5.0,2.0,1.0,False
29,2784,35.0,6.0,21.0,2.0,4700.0,16.0,0.0,35.0,1.0,1.0,False
30,2785,66.0,7.0,19.0,2.0,2600.0,16.0,5.0,40.0,2.0,1.0,False
31,2786,29.0,6.0,16.0,1.0,6260.0,16.0,1.0,40.0,1.0,1.0,False
32,2787,60.0,1.0,18.0,1.0,410.0,53.0,0.0,40.0,1.0,1.0,False
33,2788,22.0,1.0,16.0,2.0,2825.0,16.0,15.0,40.0,2.0,1.0,False
34,2789,36.0,1.0,19.0,2.0,3421.0,6.0,0.0,40.0,2.0,1.0,False
35,2790,60.0,1.0,22.0,1.0,350.0,17.0,1.0,54.0,2.0,1.0,True
36,2791,70.0,7.0,21.0,1.0,220.0,6.0,1.0,50.0,1.0,1.0,True
37,2792,52.0,1.0,16.0,1.0,5860.0,6.0,1.0,40.0,2.0,1.0,False
38,2793,57.0,7.0,16.0,1.0,20.0,16.0,1.0,60.0,1.0,1.0,True
39,2794,33.0,1.0,21.0,1.0,3255.0,35.0,0.0,36.0,2.0,1.0,True
40,2795,50.0,3.0,16.0,1.0,6200.0,53.0,0.0,44.0,1.0,1.0,False
41,2796,35.0,6.0,16.0,2.0,6260.0,16.0,2.0,40.0,1.0,1.0,False
42,2797,64.0,1.0,16.0,1.0,9130.0,6.0,0.0,65.0,1.0,1.0,True
43,2798,61.0,1.0,17.0,2.0,9645.0,25.0,0.0,22.0,1.0,1.0,False
44,2799,29.0,1.0,18.0,1.0,4020.0,49.0,0.0,40.0,2.0,1.0,False
45,2800,70.0,6.0,23.0,1.0,4230.0,36.0,0.0,4.0,2.0,1.0,False
46,2801,34.0,1.0,16.0,2.0,9620.0,16.0,0.0,40.0,1.0,1.0,False
47,2802,37.0,1.0,21.0,1.0,1021.0,210.0,12.0,40.0,1.0,5.0,True
48,2803,21.0,1.0,21.0,1.0,420.0,38.0,0.0,35.0,2.0,1.0,False
49,2804,21.0,1.0,19.0,2.0,4020.0,6.0,0.0,20.0,2.0,1.0,False
50,2805,20.0,1.0,16.0,2.0,4850.0,16.0,0.0,40.0,2.0,1.0,False
51,2806,41.0,1.0,19.0,1.0,3603.0,49.0,0.0,36.0,2.0,1.0,False
52,2807,18.0,1.0,13.0,2.0,4055.0,12.0,2.0,35.0,2.0,1.0,False
53,2808,41.0,5.0,20.0,1.0,5540.0,48.0,0.0,20.0,2.0,1.0,False
54,2809,50.0,1.0,21.0,1.0,4850.0,6.0,0.0,60.0,1.0,1.0,True
55,2810,57.0,2.0,22.0,1.0,2310.0,16.0,1.0,60.0,2.0,1.0,False
56,2811,17.0,1.0,14.0,2.0,4110.0,16.0,2.0,15.0,2.0,1.0,False
57,2812,25.0,6.0,21.0,1.0,8320.0,16.0,1.0,30.0,2.0,1.0,False
58,2813,64.0,1.0,18.0,1.0,9130.0,51.0,0.0,20.0,1.0,1.0,False
59,2814,42.0,1.0,18.0,2.0,8510.0,16.0,0.0,40.0,1.0,1.0,False
60,2815,18.0,7.0,15.0,2.0,8990.0,16.0,0.0,40.0,1.0,1.0,False
61,2816,17.0,1.0,14.0,2.0,3960.0,32.0,2.0,25.0,1.0,1.0,False
