,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,23348,50.0,1.0,16.0,2.0,4140.0,18.0,0.0,45.0,1.0,2.0,False
1,23349,49.0,1.0,21.0,2.0,160.0,19.0,0.0,45.0,1.0,1.0,True
2,23350,56.0,3.0,21.0,2.0,3870.0,23.0,13.0,40.0,1.0,1.0,True
3,23351,49.0,4.0,16.0,1.0,220.0,36.0,0.0,40.0,1.0,1.0,True
4,23352,52.0,2.0,22.0,2.0,350.0,18.0,0.0,50.0,1.0,1.0,True
5,23353,58.0,1.0,16.0,2.0,8990.0,18.0,0.0,42.0,2.0,1.0,True
6,23354,53.0,1.0,20.0,2.0,8255.0,18.0,0.0,40.0,1.0,1.0,False
7,23355,26.0,1.0,19.0,2.0,9050.0,18.0,0.0,40.0,2.0,1.0,False
8,23356,41.0,1.0,20.0,1.0,310.0,39.0,1.0,40.0,1.0,1.0,False
9,23357,53.0,1.0,17.0,1.0,4030.0,18.0,1.0,25.0,1.0,1.0,False
10,23358,26.0,1.0,19.0,2.0,8140.0,21.0,0.0,40.0,1.0,1.0,False
11,23359,41.0,1.0,18.0,2.0,4030.0,47.0,5.0,40.0,2.0,1.0,False
12,23360,50.0,1.0,16.0,1.0,4510.0,45.0,0.0,30.0,2.0,1.0,False
13,23361,34.0,1.0,21.0,2.0,1430.0,51.0,0.0,45.0,1.0,1.0,True
14,23362,31.0,7.0,21.0,1.0,4920.0,18.0,0.0,30.0,2.0,1.0,False
15,23363,69.0,1.0,21.0,1.0,205.0,18.0,0.0,40.0,1.0,1.0,False
16,23364,56.0,1.0,16.0,2.0,4210.0,18.0,0.0,40.0,1.0,1.0,False
17,23365,55.0,7.0,14.0,2.0,4760.0,21.0,0.0,20.0,2.0,1.0,True
18,23366,27.0,2.0,19.0,1.0,5120.0,18.0,0.0,30.0,2.0,1.0,False
19,23367,32.0,1.0,21.0,1.0,2360.0,18.0,1.0,4.0,2.0,1.0,False
20,23368,42.0,1.0,20.0,1.0,5240.0,18.0,1.0,40.0,2.0,1.0,False
21,23369,54.0,1.0,16.0,2.0,8850.0,18.0,0.0,58.0,2.0,1.0,False
22,23370,58.0,2.0,22.0,1.0,230.0,18.0,0.0,50.0,1.0,1.0,True
23,23371,19.0,1.0,19.0,2.0,4110.0,18.0,2.0,25.0,2.0,1.0,False
24,23372,65.0,1.0,22.0,2.0,6050.0,39.0,15.0,40.0,1.0,1.0,False
25,23373,41.0,1.0,22.0,1.0,440.0,21.0,1.0,48.0,2.0,1.0,True
26,23374,32.0,1.0,18.0,1.0,4010.0,18.0,1.0,35.0,2.0,1.0,False
27,23375,36.0,1.0,18.0,2.0,4700.0,18.0,2.0,50.0,2.0,1.0,False
28,23376,47.0,2.0,21.0,1.0,2040.0,18.0,1.0,40.0,1.0,1.0,False
29,23377,24.0,1.0,16.0,1.0,8990.0,303.0,0.0,65.0,1.0,1.0,False
30,23378,78.0,2.0,22.0,2.0,2300.0,18.0,0.0,34.0,2.0,1.0,False
31,23379,51.0,1.0,21.0,1.0,1530.0,18.0,1.0,40.0,1.0,1.0,True
32,23380,25.0,1.0,21.0,1.0,5610.0,21.0,1.0,40.0,1.0,1.0,False
33,23381,37.0,1.0,18.0,1.0,4700.0,37.0,9.0,40.0,1.0,1.0,False
34,23382,30.0,1.0,13.0,2.0,8255.0,18.0,2.0,45.0,1.0,1.0,False
35,23383,44.0,1.0,21.0,2.0,440.0,18.0,0.0,50.0,1.0,1.0,True
36,23384,26.0,2.0,21.0,2.0,3255.0,18.0,13.0,36.0,2.0,1.0,True
37,23385,53.0,1.0,21.0,1.0,4850.0,26.0,1.0,40.0,1.0,1.0,True
38,23386,18.0,1.0,16.0,2.0,5240.0,37.0,2.0,15.0,1.0,1.0,False
