,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,10538,51.0,1.0,16.0,1.0,7855.0,20.0,1.0,48.0,2.0,1.0,False
1,10539,48.0,1.0,20.0,1.0,8760.0,6.0,0.0,40.0,1.0,1.0,False
2,10540,39.0,7.0,21.0,1.0,6260.0,20.0,0.0,40.0,2.0,1.0,False
3,10541,35.0,1.0,13.0,1.0,4700.0,20.0,0.0,35.0,2.0,5.0,False
4,10542,55.0,1.0,11.0,1.0,20.0,18.0,15.0,25.0,2.0,1.0,False
5,10543,33.0,1.0,18.0,2.0,9130.0,20.0,0.0,55.0,1.0,1.0,True
6,10544,66.0,6.0,16.0,1.0,6410.0,20.0,0.0,20.0,1.0,1.0,True
7,10545,24.0,4.0,21.0,2.0,2310.0,18.0,12.0,60.0,2.0,1.0,False
8,10546,30.0,1.0,20.0,2.0,4220.0,8.0,2.0,40.0,1.0,1.0,False
9,10547,35.0,3.0,20.0,1.0,2310.0,19.0,1.0,20.0,2.0,1.0,False
10,10548,20.0,1.0,19.0,2.0,4055.0,20.0,2.0,20.0,2.0,4.0,False
11,10549,31.0,4.0,21.0,2.0,5740.0,20.0,0.0,40.0,2.0,1.0,False
12,10550,43.0,3.0,23.0,1.0,3090.0,20.0,1.0,45.0,2.0,1.0,True
13,10551,23.0,1.0,21.0,2.0,3255.0,20.0,12.0,36.0,2.0,1.0,False
14,10552,20.0,5.0,18.0,2.0,5360.0,13.0,17.0,48.0,2.0,2.0,False
15,10553,54.0,1.0,16.0,1.0,7330.0,20.0,0.0,40.0,1.0,1.0,True
16,10554,62.0,1.0,16.0,1.0,5120.0,20.0,1.0,40.0,2.0,1.0,False
17,10555,20.0,6.0,15.0,2.0,4600.0,20.0,2.0,40.0,2.0,1.0,False
18,10556,52.0,6.0,16.0,1.0,205.0,20.0,1.0,70.0,1.0,1.0,False
19,10557,60.0,1.0,21.0,1.0,3300.0,46.0,1.0,20.0,2.0,1.0,False
20,10558,64.0,6.0,17.0,2.0,205.0,2.0,0.0,55.0,1.0,1.0,True
21,10559,47.0,1.0,20.0,1.0,5240.0,6.0,1.0,26.0,2.0,1.0,False
22,10560,49.0,1.0,16.0,2.0,120.0,303.0,0.0,50.0,2.0,1.0,True
23,10561,63.0,3.0,19.0,1.0,5740.0,20.0,1.0,36.0,2.0,1.0,False
24,10562,61.0,3.0,21.0,2.0,2310.0,20.0,0.0,56.0,2.0,1.0,False
25,10563,61.0,1.0,16.0,1.0,5240.0,20.0,0.0,40.0,2.0,1.0,False
26,10564,25.0,1.0,21.0,2.0,4760.0,20.0,12.0,30.0,1.0,1.0,False
27,10565,39.0,1.0,16.0,2.0,9720.0,20.0,0.0,40.0,2.0,1.0,False
28,10566,62.0,1.0,16.0,1.0,9645.0,20.0,0.0,42.0,1.0,1.0,True
29,10567,43.0,1.0,16.0,2.0,7330.0,66.0,13.0,42.0,1.0,5.0,False
30,10568,20.0,4.0,19.0,2.0,5521.0,20.0,0.0,40.0,2.0,1.0,False
31,10569,50.0,2.0,22.0,1.0,2752.0,20.0,1.0,35.0,2.0,1.0,False
32,10570,45.0,1.0,19.0,1.0,8740.0,20.0,1.0,40.0,1.0,1.0,True
33,10571,43.0,1.0,19.0,2.0,3930.0,20.0,0.0,40.0,1.0,1.0,False
34,10572,39.0,1.0,17.0,2.0,220.0,20.0,16.0,65.0,1.0,1.0,False
35,10573,48.0,5.0,22.0,1.0,5000.0,20.0,1.0,50.0,1.0,1.0,True
36,10574,46.0,1.0,16.0,2.0,8140.0,20.0,0.0,40.0,1.0,1.0,False
37,10575,18.0,2.0,19.0,2.0,735.0,312.0,17.0,15.0,1.0,1.0,False
38,10576,23.0,1.0,20.0,2.0,4110.0,20.0,2.0,10.0,2.0,1.0,False
39,10577,19.0,4.0,19.0,2.0,7840.0,29.0,17.0,15.0,2.0,1.0,False
40,10578,46.0,1.0,16.0,1.0,6355.0,20.0,0.0,40.0,1.0,1.0,False
41,10579,41.0,6.0,9.0,1.0,6200.0,303.0,1.0,40.0,1.0,5.0,True
42,10580,19.0,1.0,18.0,2.0,4055.0,20.0,17.0,15.0,2.0,1.0,False
43,10581,63.0,2.0,21.0,1.0,2545.0,20.0,1.0,35.0,2.0,1.0,False
44,10582,60.0,1.0,16.0,1.0,9130.0,20.0,0.0,45.0,1.0,1.0,False
45,10583,19.0,1.0,18.0,2.0,2300.0,29.0,2.0,32.0,1.0,2.0,False
46,10584,62.0,6.0,21.0,1.0,4600.0,20.0,1.0,60.0,2.0,1.0,False
47,10585,63.0,3.0,22.0,2.0,2320.0,20.0,0.0,45.0,2.0,1.0,True
48,10586,69.0,1.0,22.0,1.0,4600.0,20.0,0.0,5.0,2.0,1.0,False
49,10587,50.0,4.0,16.0,1.0,6660.0,20.0,1.0,40.0,1.0,1.0,False
50,10588,56.0,6.0,22.0,1.0,2040.0,20.0,0.0,50.0,1.0,1.0,False
51,10589,64.0,1.0,16.0,1.0,3603.0,20.0,1.0,40.0,2.0,1.0,False
52,10590,25.0,1.0,12.0,1.0,3601.0,42.0,1.0,25.0,2.0,1.0,False
53,10591,60.0,7.0,21.0,1.0,5120.0,20.0,1.0,60.0,1.0,1.0,False
54,10592,56.0,1.0,18.0,1.0,5120.0,31.0,1.0,40.0,2.0,1.0,False
55,10593,43.0,5.0,24.0,1.0,3140.0,20.0,1.0,45.0,2.0,1.0,True
56,10594,35.0,1.0,16.0,1.0,9610.0,20.0,1.0,45.0,1.0,1.0,False
57,10595,18.0,1.0,18.0,2.0,4110.0,20.0,2.0,10.0,1.0,1.0,False
58,10596,28.0,1.0,11.0,2.0,9130.0,28.0,2.0,40.0,1.0,1.0,False
59,10597,27.0,2.0,21.0,1.0,3300.0,247.0,0.0,40.0,2.0,3.0,False
60,10598,39.0,1.0,16.0,2.0,4700.0,20.0,0.0,45.0,1.0,1.0,True
61,10599,47.0,1.0,16.0,1.0,9130.0,29.0,0.0,65.0,1.0,1.0,True
62,10600,43.0,4.0,13.0,1.0,1555.0,20.0,0.0,40.0,1.0,1.0,False
63,10601,56.0,4.0,21.0,2.0,800.0,35.0,13.0,40.0,2.0,1.0,False
64,10602,35.0,1.0,6.0,2.0,9640.0,313.0,5.0,40.0,2.0,1.0,False
65,10603,44.0,1.0,19.0,2.0,4240.0,39.0,5.0,40.0,1.0,1.0,False
66,10604,51.0,1.0,20.0,1.0,5120.0,39.0,1.0,20.0,2.0,1.0,False
67,10605,65.0,1.0,15.0,2.0,4710.0,31.0,0.0,40.0,1.0,1.0,False
68,10606,40.0,5.0,16.0,1.0,9810.0,44.0,0.0,50.0,1.0,1.0,False
69,10607,19.0,1.0,16.0,2.0,4220.0,20.0,2.0,8.0,2.0,1.0,False
70,10608,47.0,1.0,16.0,1.0,310.0,19.0,0.0,53.0,2.0,1.0,False
71,10609,31.0,2.0,1.0,1.0,6230.0,313.0,0.0,40.0,1.0,5.0,False
72,10610,72.0,1.0,16.0,1.0,5120.0,20.0,1.0,45.0,2.0,1.0,True
73,10611,52.0,1.0,19.0,1.0,440.0,19.0,1.0,40.0,2.0,1.0,True
74,10612,58.0,1.0,16.0,1.0,4710.0,20.0,0.0,40.0,1.0,1.0,False
75,10613,44.0,6.0,19.0,1.0,6200.0,40.0,0.0,50.0,1.0,1.0,True
76,10614,42.0,4.0,16.0,1.0,6200.0,20.0,1.0,40.0,1.0,1.0,False
77,10615,23.0,1.0,16.0,2.0,9130.0,4.0,0.0,60.0,1.0,1.0,False
78,10616,39.0,1.0,19.0,2.0,8800.0,6.0,0.0,50.0,1.0,1.0,False
79,10617,18.0,1.0,14.0,2.0,9620.0,20.0,2.0,20.0,1.0,1.0,False
80,10618,24.0,1.0,2.0,1.0,4220.0,20.0,1.0,40.0,2.0,1.0,False
81,10619,34.0,1.0,19.0,2.0,7640.0,20.0,2.0,40.0,1.0,1.0,False
82,10620,64.0,1.0,21.0,2.0,120.0,20.0,0.0,60.0,1.0,1.0,True
83,10621,33.0,1.0,18.0,2.0,5860.0,20.0,2.0,40.0,1.0,1.0,False
