,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,14671,26.0,4.0,19.0,1.0,3620.0,21.0,0.0,40.0,2.0,1.0,True
1,14672,19.0,4.0,19.0,2.0,4251.0,21.0,17.0,40.0,1.0,1.0,False
2,14673,19.0,1.0,17.0,2.0,9430.0,21.0,2.0,30.0,1.0,2.0,False
3,14674,61.0,1.0,16.0,2.0,4700.0,26.0,12.0,50.0,2.0,1.0,False
4,14675,65.0,4.0,21.0,1.0,2205.0,21.0,0.0,40.0,1.0,1.0,True
5,14676,20.0,1.0,19.0,2.0,4020.0,39.0,2.0,20.0,1.0,1.0,False
6,14677,56.0,1.0,12.0,1.0,7750.0,21.0,1.0,40.0,1.0,1.0,False
7,14678,43.0,4.0,21.0,1.0,5740.0,29.0,0.0,37.0,2.0,1.0,False
8,14679,50.0,1.0,18.0,1.0,8740.0,51.0,1.0,42.0,1.0,1.0,False
9,14680,22.0,1.0,20.0,1.0,5740.0,22.0,1.0,24.0,2.0,1.0,False
10,14681,22.0,3.0,19.0,2.0,4700.0,42.0,17.0,30.0,2.0,1.0,False
11,14682,39.0,1.0,21.0,2.0,2310.0,21.0,0.0,45.0,2.0,1.0,False
12,14683,64.0,2.0,22.0,1.0,3030.0,39.0,0.0,60.0,2.0,1.0,True
13,14684,21.0,1.0,19.0,2.0,4700.0,21.0,2.0,30.0,2.0,1.0,False
14,14685,48.0,1.0,21.0,1.0,2810.0,17.0,1.0,55.0,1.0,1.0,True
15,14686,31.0,3.0,21.0,1.0,3802.0,21.0,1.0,40.0,1.0,5.0,False
16,14687,59.0,1.0,19.0,1.0,3500.0,21.0,1.0,36.0,2.0,1.0,False
17,14688,52.0,2.0,16.0,2.0,4220.0,21.0,0.0,40.0,2.0,1.0,False
18,14689,44.0,1.0,16.0,2.0,4760.0,21.0,0.0,39.0,1.0,1.0,False
19,14690,56.0,8.0,16.0,1.0,6305.0,26.0,1.0,50.0,1.0,1.0,False
20,14691,70.0,1.0,16.0,1.0,9130.0,21.0,0.0,40.0,1.0,1.0,True
21,14692,29.0,1.0,21.0,2.0,4820.0,39.0,0.0,70.0,1.0,1.0,True
22,14693,30.0,1.0,21.0,1.0,5600.0,18.0,0.0,45.0,2.0,5.0,False
23,14694,45.0,1.0,9.0,1.0,4350.0,303.0,12.0,48.0,1.0,1.0,False
24,14695,41.0,1.0,23.0,1.0,4700.0,21.0,0.0,50.0,1.0,3.0,True
25,14696,33.0,1.0,16.0,1.0,850.0,21.0,9.0,40.0,2.0,1.0,False
26,14697,55.0,1.0,21.0,1.0,4800.0,21.0,0.0,40.0,1.0,1.0,True
27,14698,41.0,1.0,16.0,2.0,7700.0,21.0,0.0,50.0,1.0,2.0,False
28,14699,57.0,6.0,19.0,1.0,710.0,110.0,0.0,20.0,1.0,1.0,False
29,14700,22.0,1.0,20.0,1.0,3424.0,21.0,0.0,40.0,2.0,1.0,False
30,14701,19.0,8.0,16.0,2.0,6050.0,21.0,2.0,15.0,1.0,1.0,False
31,14702,39.0,1.0,20.0,1.0,3500.0,21.0,2.0,50.0,1.0,1.0,True
32,14703,35.0,2.0,16.0,2.0,7750.0,21.0,2.0,27.0,2.0,1.0,False
33,14704,18.0,2.0,16.0,2.0,4220.0,21.0,2.0,15.0,2.0,5.0,False
34,14705,59.0,1.0,16.0,1.0,20.0,21.0,0.0,40.0,1.0,1.0,True
35,14706,49.0,1.0,18.0,1.0,7030.0,26.0,0.0,50.0,1.0,1.0,True
36,14707,40.0,3.0,22.0,1.0,2310.0,36.0,0.0,25.0,2.0,1.0,False
37,14708,28.0,2.0,22.0,1.0,440.0,21.0,1.0,40.0,2.0,1.0,False
38,14709,27.0,1.0,14.0,1.0,4055.0,21.0,2.0,30.0,2.0,1.0,False
39,14710,30.0,1.0,16.0,1.0,6230.0,40.0,0.0,43.0,1.0,1.0,False
40,14711,31.0,1.0,16.0,2.0,7855.0,21.0,0.0,40.0,2.0,1.0,False
41,14712,46.0,7.0,20.0,1.0,140.0,21.0,1.0,40.0,1.0,1.0,True
42,14713,42.0,2.0,23.0,1.0,2205.0,165.0,1.0,40.0,2.0,1.0,True
43,14714,43.0,1.0,20.0,1.0,940.0,26.0,1.0,40.0,2.0,1.0,False
44,14715,56.0,1.0,13.0,1.0,6260.0,21.0,16.0,30.0,1.0,5.0,False
45,14716,55.0,3.0,19.0,1.0,3870.0,21.0,0.0,40.0,1.0,1.0,False
46,14717,51.0,5.0,16.0,1.0,3870.0,6.0,0.0,40.0,1.0,1.0,True
47,14718,72.0,6.0,22.0,2.0,2360.0,17.0,0.0,30.0,1.0,1.0,False
48,14719,59.0,6.0,16.0,1.0,4760.0,21.0,1.0,40.0,2.0,1.0,False
49,14720,55.0,1.0,18.0,1.0,220.0,17.0,0.0,40.0,1.0,1.0,True
50,14721,52.0,1.0,19.0,1.0,5000.0,51.0,0.0,40.0,2.0,1.0,False
51,14722,64.0,2.0,1.0,1.0,3603.0,39.0,0.0,40.0,2.0,1.0,False
52,14723,27.0,3.0,21.0,1.0,2025.0,21.0,0.0,40.0,2.0,1.0,False
53,14724,17.0,1.0,14.0,2.0,4720.0,21.0,2.0,20.0,2.0,1.0,False
54,14725,65.0,3.0,16.0,1.0,2545.0,21.0,1.0,3.0,2.0,1.0,False
55,14726,52.0,1.0,18.0,1.0,9130.0,21.0,1.0,40.0,2.0,1.0,False
56,14727,35.0,1.0,21.0,1.0,4740.0,21.0,1.0,65.0,1.0,1.0,True
57,14728,29.0,3.0,19.0,1.0,3870.0,21.0,0.0,50.0,1.0,1.0,False
58,14729,46.0,1.0,21.0,1.0,1200.0,21.0,0.0,32.0,2.0,1.0,True
59,14730,35.0,1.0,16.0,1.0,4010.0,207.0,1.0,40.0,2.0,3.0,True
60,14731,40.0,1.0,20.0,2.0,7720.0,39.0,0.0,40.0,2.0,1.0,False
61,14732,43.0,4.0,22.0,2.0,2310.0,26.0,0.0,50.0,2.0,1.0,False
62,14733,45.0,4.0,18.0,2.0,3500.0,21.0,0.0,40.0,2.0,2.0,False
63,14734,46.0,1.0,19.0,1.0,440.0,21.0,0.0,40.0,2.0,1.0,True
64,14735,63.0,2.0,16.0,2.0,5740.0,28.0,8.0,20.0,2.0,1.0,False
65,14736,23.0,4.0,21.0,2.0,51.0,21.0,2.0,40.0,2.0,1.0,False
66,14737,68.0,1.0,18.0,1.0,9130.0,21.0,0.0,10.0,1.0,1.0,False
67,14738,60.0,1.0,16.0,1.0,8990.0,21.0,1.0,48.0,1.0,2.0,True
