,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,6875,60.0,6.0,17.0,1.0,220.0,22.0,1.0,40.0,1.0,1.0,True,18287
1,6876,70.0,1.0,16.0,1.0,3602.0,22.0,0.0,28.0,2.0,2.0,False,4632
2,6877,57.0,4.0,19.0,2.0,2545.0,22.0,0.0,40.0,2.0,1.0,False,9890
3,6878,40.0,1.0,19.0,1.0,9620.0,26.0,1.0,45.0,1.0,1.0,True,10317
4,6879,32.0,1.0,19.0,1.0,9760.0,22.0,1.0,40.0,1.0,2.0,False,4151
5,6880,58.0,1.0,13.0,1.0,7610.0,22.0,1.0,30.0,1.0,1.0,False,8622
6,6881,26.0,1.0,21.0,2.0,3255.0,22.0,0.0,36.0,2.0,1.0,True,6285
7,6882,29.0,1.0,19.0,2.0,4760.0,22.0,0.0,40.0,1.0,2.0,False,17495
8,6883,50.0,1.0,14.0,1.0,9620.0,22.0,1.0,50.0,1.0,1.0,False,18103
9,6884,34.0,3.0,20.0,1.0,440.0,22.0,0.0,40.0,2.0,1.0,False,15176
10,6885,39.0,1.0,19.0,1.0,4700.0,22.0,0.0,45.0,1.0,1.0,True,12481
11,6886,41.0,1.0,15.0,1.0,4110.0,22.0,0.0,35.0,2.0,1.0,False,12662
12,6887,40.0,1.0,17.0,2.0,2145.0,22.0,0.0,40.0,2.0,1.0,False,15288
13,6888,42.0,1.0,21.0,2.0,6200.0,22.0,0.0,40.0,1.0,2.0,True,10069
14,6889,41.0,1.0,16.0,1.0,4110.0,48.0,0.0,40.0,1.0,1.0,False,7088
15,6890,42.0,6.0,17.0,2.0,9150.0,22.0,0.0,28.0,2.0,2.0,False,787
16,6891,47.0,7.0,16.0,1.0,4700.0,48.0,1.0,40.0,1.0,1.0,False,11164
17,6892,31.0,1.0,19.0,1.0,9620.0,22.0,2.0,30.0,1.0,2.0,True,13959
18,6893,49.0,1.0,16.0,2.0,4720.0,243.0,0.0,24.0,2.0,1.0,False,19124
19,6894,28.0,1.0,21.0,2.0,5740.0,12.0,4.0,50.0,2.0,1.0,False,20149
20,6895,42.0,1.0,16.0,1.0,6800.0,22.0,0.0,84.0,1.0,1.0,True,18600
21,6896,33.0,1.0,18.0,1.0,2145.0,22.0,1.0,40.0,2.0,1.0,True,16163
22,6897,60.0,2.0,13.0,2.0,2016.0,22.0,5.0,40.0,1.0,2.0,False,7575
23,6898,45.0,1.0,17.0,2.0,5120.0,48.0,0.0,42.0,2.0,1.0,False,19683
24,6899,44.0,3.0,20.0,1.0,1050.0,22.0,1.0,40.0,2.0,1.0,False,9851
25,6900,50.0,1.0,16.0,1.0,9130.0,22.0,1.0,40.0,1.0,1.0,True,10365
26,6901,38.0,2.0,21.0,2.0,440.0,51.0,11.0,40.0,2.0,1.0,False,19102
27,6902,41.0,1.0,19.0,2.0,5000.0,22.0,13.0,40.0,2.0,1.0,True,4019
28,6903,61.0,1.0,19.0,1.0,7700.0,22.0,0.0,45.0,1.0,1.0,False,1962
29,6904,60.0,2.0,15.0,2.0,8300.0,22.0,5.0,14.0,1.0,2.0,False,1297
30,6905,30.0,1.0,16.0,1.0,7220.0,22.0,1.0,40.0,1.0,1.0,True,13007
31,6906,31.0,1.0,20.0,2.0,3255.0,233.0,2.0,16.0,2.0,3.0,False,18587
32,6907,59.0,1.0,18.0,1.0,5740.0,22.0,1.0,40.0,2.0,1.0,False,14563
33,6908,45.0,4.0,10.0,2.0,9122.0,22.0,0.0,20.0,2.0,1.0,False,14518
34,6909,56.0,1.0,14.0,1.0,9510.0,5.0,1.0,40.0,1.0,1.0,True,18086
35,6910,48.0,1.0,21.0,1.0,3255.0,48.0,0.0,40.0,2.0,1.0,True,14614
36,6911,55.0,2.0,20.0,2.0,4020.0,22.0,0.0,38.0,2.0,2.0,False,4894
37,6912,39.0,4.0,19.0,1.0,1555.0,22.0,0.0,45.0,1.0,1.0,False,2856
38,6913,44.0,1.0,17.0,1.0,6200.0,26.0,1.0,40.0,1.0,1.0,True,18071
39,6914,61.0,1.0,16.0,2.0,5120.0,22.0,0.0,36.0,2.0,1.0,False,4190
40,6915,55.0,5.0,19.0,2.0,4220.0,22.0,0.0,25.0,2.0,2.0,False,910
41,6916,23.0,1.0,19.0,2.0,7130.0,22.0,2.0,40.0,1.0,2.0,False,8115
42,6917,42.0,3.0,24.0,1.0,2310.0,233.0,1.0,40.0,1.0,3.0,False,2990
43,6918,57.0,6.0,24.0,1.0,6410.0,301.0,0.0,15.0,1.0,1.0,False,10630
44,6919,49.0,1.0,21.0,2.0,110.0,210.0,0.0,40.0,1.0,3.0,True,2981
45,6920,41.0,1.0,20.0,1.0,3255.0,22.0,0.0,45.0,1.0,1.0,True,8845
46,6921,37.0,1.0,21.0,1.0,1108.0,22.0,0.0,45.0,1.0,1.0,False,13144
47,6922,69.0,3.0,16.0,1.0,5530.0,36.0,1.0,30.0,2.0,1.0,False,11040
48,6923,62.0,6.0,16.0,2.0,6115.0,329.0,0.0,90.0,1.0,1.0,False,17945
49,6924,61.0,1.0,19.0,2.0,9645.0,22.0,0.0,40.0,2.0,1.0,False,6703
50,6925,17.0,1.0,14.0,2.0,7340.0,22.0,2.0,20.0,1.0,1.0,False,4478
51,6926,52.0,2.0,21.0,1.0,4710.0,22.0,1.0,50.0,1.0,1.0,True,8248
52,6927,25.0,1.0,19.0,2.0,6442.0,12.0,12.0,40.0,1.0,1.0,False,8445
53,6928,28.0,1.0,21.0,1.0,5860.0,22.0,1.0,38.0,2.0,1.0,False,926
54,6929,30.0,1.0,16.0,2.0,4040.0,29.0,11.0,25.0,2.0,1.0,False,10094
55,6930,67.0,3.0,17.0,2.0,3801.0,47.0,0.0,40.0,1.0,1.0,True,12521
56,6931,27.0,1.0,16.0,2.0,6200.0,22.0,2.0,40.0,2.0,1.0,True,20517
57,6932,42.0,4.0,21.0,1.0,2435.0,39.0,1.0,40.0,2.0,1.0,False,6651
58,6933,35.0,1.0,21.0,1.0,5820.0,28.0,1.0,40.0,2.0,1.0,True,19146
59,6934,33.0,1.0,13.0,1.0,8140.0,22.0,2.0,40.0,1.0,2.0,False,6840
60,6935,27.0,1.0,20.0,2.0,5530.0,22.0,0.0,40.0,1.0,1.0,False,9575
61,6936,42.0,1.0,19.0,2.0,6442.0,22.0,2.0,40.0,1.0,1.0,False,1040
62,6937,39.0,2.0,22.0,1.0,3602.0,22.0,0.0,5.0,2.0,1.0,False,14349
63,6938,38.0,5.0,20.0,1.0,5860.0,22.0,1.0,48.0,2.0,1.0,False,8049
64,6939,38.0,1.0,16.0,2.0,7420.0,22.0,0.0,40.0,1.0,1.0,False,17836
65,6940,60.0,2.0,21.0,1.0,2310.0,22.0,1.0,8.0,2.0,1.0,False,8575
66,6941,63.0,1.0,10.0,1.0,9130.0,22.0,1.0,40.0,1.0,1.0,False,20274
67,6942,53.0,1.0,19.0,2.0,4850.0,22.0,13.0,40.0,2.0,1.0,False,17568
68,6943,36.0,1.0,16.0,1.0,4010.0,22.0,1.0,40.0,1.0,2.0,False,16302
69,6944,37.0,1.0,16.0,1.0,5120.0,12.0,0.0,30.0,2.0,5.0,False,13819
70,6945,46.0,2.0,20.0,2.0,2060.0,22.0,2.0,35.0,1.0,1.0,False,12849
71,6946,69.0,7.0,23.0,1.0,2100.0,22.0,0.0,25.0,1.0,1.0,True,18827
72,6947,56.0,1.0,17.0,1.0,9310.0,5.0,0.0,99.0,1.0,1.0,True,9120
73,6948,64.0,1.0,16.0,2.0,3603.0,22.0,0.0,40.0,2.0,2.0,False,913
74,6949,70.0,1.0,21.0,2.0,3515.0,22.0,0.0,40.0,2.0,1.0,False,16393
75,6950,60.0,1.0,14.0,1.0,9510.0,22.0,1.0,40.0,1.0,1.0,True,11877
76,6951,26.0,1.0,22.0,2.0,5530.0,22.0,2.0,40.0,1.0,2.0,False,20351
77,6952,30.0,1.0,23.0,1.0,2100.0,22.0,0.0,40.0,1.0,1.0,True,18371
78,6953,55.0,1.0,16.0,1.0,7330.0,22.0,0.0,40.0,1.0,1.0,False,17337
79,6954,27.0,1.0,16.0,2.0,4110.0,22.0,2.0,16.0,2.0,2.0,False,14295
80,6955,55.0,1.0,16.0,2.0,5120.0,6.0,0.0,40.0,2.0,5.0,True,1920
81,6956,38.0,6.0,21.0,1.0,4920.0,22.0,0.0,60.0,1.0,1.0,True,3342
82,6957,44.0,1.0,20.0,2.0,3255.0,22.0,0.0,36.0,2.0,1.0,True,19239
83,6958,44.0,1.0,16.0,2.0,4020.0,22.0,2.0,32.0,1.0,2.0,False,19450
84,6959,55.0,4.0,21.0,2.0,5000.0,22.0,0.0,45.0,2.0,1.0,True,721
85,6960,21.0,1.0,16.0,2.0,9620.0,22.0,2.0,35.0,1.0,2.0,False,20546
86,6961,59.0,1.0,21.0,1.0,3255.0,22.0,0.0,1.0,2.0,1.0,True,4558
87,6962,31.0,1.0,21.0,2.0,4850.0,28.0,0.0,50.0,1.0,1.0,True,2573
88,6963,35.0,1.0,19.0,1.0,910.0,22.0,1.0,40.0,2.0,1.0,False,4447
89,6964,57.0,1.0,19.0,1.0,1400.0,22.0,1.0,40.0,1.0,1.0,True,19229
90,6965,43.0,1.0,19.0,2.0,3500.0,22.0,0.0,50.0,2.0,2.0,False,1333
91,6966,37.0,6.0,17.0,1.0,6950.0,22.0,0.0,40.0,1.0,1.0,True,10353
92,6967,38.0,1.0,16.0,2.0,4600.0,22.0,0.0,36.0,2.0,5.0,False,10196
93,6968,46.0,1.0,1.0,1.0,6600.0,22.0,1.0,15.0,1.0,1.0,False,19831
94,6969,26.0,1.0,21.0,2.0,5860.0,22.0,0.0,40.0,2.0,1.0,False,3838
95,6970,29.0,1.0,21.0,2.0,650.0,22.0,2.0,40.0,2.0,1.0,False,6686
96,6971,49.0,7.0,22.0,2.0,3030.0,22.0,0.0,35.0,2.0,1.0,True,18628
97,6972,30.0,1.0,23.0,1.0,2100.0,20.0,0.0,40.0,1.0,1.0,True,17983
98,6973,65.0,3.0,20.0,1.0,3870.0,22.0,0.0,84.0,1.0,1.0,True,18309
