,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,23.0,2.0,21.0,2.0,5740.0,33.0,0.0,40.0,2.0,1.0,False
1,1,36.0,2.0,22.0,2.0,2205.0,36.0,0.0,40.0,2.0,1.0,True
2,2,69.0,1.0,16.0,1.0,4720.0,25.0,0.0,20.0,1.0,1.0,False
3,3,62.0,1.0,19.0,2.0,3500.0,25.0,0.0,40.0,2.0,1.0,True
4,4,26.0,1.0,21.0,2.0,9620.0,25.0,15.0,40.0,1.0,1.0,False
5,5,62.0,1.0,8.0,1.0,5110.0,207.0,1.0,40.0,2.0,3.0,True
6,6,61.0,2.0,24.0,1.0,1760.0,48.0,0.0,30.0,2.0,1.0,True
7,7,23.0,3.0,22.0,2.0,2205.0,36.0,0.0,45.0,1.0,1.0,False
8,8,57.0,2.0,19.0,2.0,2060.0,303.0,17.0,35.0,2.0,1.0,False
9,9,26.0,1.0,21.0,2.0,1021.0,25.0,13.0,40.0,1.0,1.0,True
10,10,55.0,1.0,22.0,1.0,1021.0,163.0,0.0,40.0,1.0,1.0,True
11,11,60.0,1.0,18.0,1.0,5740.0,6.0,0.0,37.0,2.0,1.0,False
12,12,38.0,1.0,22.0,2.0,10.0,25.0,2.0,65.0,2.0,3.0,False
13,13,59.0,1.0,22.0,1.0,440.0,210.0,0.0,50.0,1.0,3.0,True
14,14,51.0,6.0,21.0,1.0,440.0,36.0,0.0,40.0,2.0,1.0,True
15,15,62.0,1.0,19.0,2.0,5120.0,22.0,0.0,40.0,2.0,1.0,False
16,16,32.0,1.0,21.0,2.0,3245.0,444.0,2.0,30.0,2.0,1.0,False
17,17,58.0,3.0,22.0,1.0,2310.0,163.0,0.0,40.0,2.0,1.0,True
18,18,40.0,1.0,16.0,2.0,5610.0,25.0,5.0,50.0,1.0,1.0,False
19,19,41.0,1.0,22.0,1.0,2861.0,134.0,0.0,15.0,2.0,1.0,False
20,20,52.0,1.0,21.0,2.0,1021.0,25.0,13.0,40.0,1.0,1.0,True
21,21,45.0,4.0,18.0,2.0,5000.0,25.0,0.0,40.0,2.0,2.0,True
22,22,42.0,1.0,22.0,1.0,3910.0,25.0,1.0,42.0,2.0,1.0,True
23,23,53.0,4.0,22.0,1.0,2205.0,120.0,1.0,30.0,1.0,1.0,False
24,24,22.0,1.0,16.0,2.0,6230.0,408.0,0.0,40.0,1.0,2.0,True
25,25,20.0,2.0,1.0,2.0,2360.0,332.0,15.0,6.0,1.0,5.0,False
26,26,46.0,1.0,21.0,1.0,4251.0,9.0,1.0,35.0,1.0,1.0,False
27,27,64.0,1.0,22.0,1.0,3160.0,25.0,1.0,30.0,1.0,1.0,True
28,28,19.0,4.0,18.0,2.0,4110.0,25.0,17.0,40.0,2.0,2.0,False
29,29,26.0,1.0,21.0,2.0,1650.0,25.0,12.0,40.0,2.0,1.0,False
30,30,40.0,1.0,22.0,1.0,2003.0,17.0,0.0,40.0,2.0,1.0,False
31,31,55.0,4.0,22.0,1.0,2205.0,51.0,1.0,40.0,1.0,1.0,True
32,32,37.0,7.0,21.0,1.0,565.0,130.0,0.0,35.0,2.0,1.0,True
33,33,44.0,1.0,21.0,1.0,910.0,42.0,0.0,40.0,1.0,1.0,True
34,34,53.0,1.0,23.0,2.0,3090.0,12.0,13.0,40.0,1.0,1.0,True
35,35,65.0,4.0,22.0,2.0,2205.0,11.0,0.0,25.0,2.0,1.0,True
36,36,61.0,7.0,17.0,1.0,800.0,25.0,0.0,40.0,2.0,1.0,True
37,37,61.0,1.0,21.0,1.0,4700.0,36.0,1.0,45.0,2.0,1.0,True
38,38,30.0,1.0,21.0,2.0,4760.0,25.0,0.0,60.0,2.0,1.0,True
39,39,43.0,1.0,21.0,2.0,6260.0,25.0,0.0,40.0,1.0,1.0,False
40,40,55.0,4.0,22.0,2.0,2205.0,9.0,0.0,25.0,2.0,1.0,False
41,41,57.0,3.0,16.0,2.0,3802.0,25.0,0.0,40.0,1.0,1.0,True
42,42,39.0,1.0,21.0,1.0,8740.0,210.0,1.0,40.0,2.0,3.0,True
43,43,27.0,1.0,22.0,2.0,710.0,9.0,0.0,50.0,1.0,1.0,True
44,44,52.0,1.0,21.0,2.0,910.0,25.0,0.0,45.0,2.0,1.0,True
45,45,48.0,1.0,21.0,1.0,10.0,25.0,1.0,40.0,2.0,1.0,True
46,46,65.0,1.0,16.0,1.0,4251.0,33.0,1.0,40.0,1.0,1.0,False
47,47,27.0,1.0,16.0,2.0,4251.0,25.0,0.0,50.0,1.0,5.0,False
48,48,24.0,1.0,21.0,2.0,705.0,25.0,12.0,50.0,2.0,1.0,True
49,49,45.0,1.0,24.0,1.0,5340.0,207.0,1.0,60.0,2.0,3.0,True
50,50,57.0,1.0,16.0,1.0,1010.0,44.0,1.0,40.0,1.0,1.0,True
51,51,42.0,2.0,16.0,1.0,3603.0,329.0,0.0,40.0,2.0,5.0,False
52,52,27.0,1.0,22.0,2.0,2016.0,25.0,12.0,16.0,2.0,1.0,False
53,53,60.0,2.0,22.0,1.0,440.0,9.0,0.0,40.0,1.0,2.0,True
54,54,56.0,1.0,21.0,2.0,3255.0,25.0,13.0,20.0,2.0,1.0,False
55,55,48.0,1.0,21.0,2.0,52.0,9.0,0.0,50.0,1.0,1.0,False
56,56,27.0,2.0,21.0,2.0,3255.0,25.0,2.0,18.0,2.0,2.0,False
57,57,18.0,1.0,16.0,2.0,5240.0,25.0,17.0,20.0,2.0,1.0,False
58,58,18.0,1.0,16.0,2.0,4150.0,25.0,17.0,25.0,2.0,1.0,False
59,59,65.0,1.0,15.0,1.0,4130.0,207.0,1.0,11.0,2.0,3.0,False
60,60,39.0,1.0,22.0,1.0,2360.0,239.0,0.0,50.0,2.0,1.0,True
61,61,20.0,1.0,16.0,2.0,1050.0,224.0,0.0,43.0,1.0,1.0,False
62,62,34.0,1.0,16.0,1.0,8990.0,167.0,1.0,40.0,1.0,1.0,True
63,63,54.0,2.0,19.0,2.0,3602.0,25.0,0.0,25.0,2.0,1.0,False
64,64,25.0,1.0,21.0,2.0,310.0,25.0,0.0,40.0,1.0,1.0,False
65,65,72.0,1.0,16.0,1.0,4220.0,128.0,0.0,25.0,1.0,1.0,False
66,66,58.0,1.0,15.0,2.0,4210.0,312.0,0.0,40.0,1.0,5.0,False
67,67,24.0,1.0,20.0,2.0,8740.0,25.0,2.0,40.0,2.0,3.0,False
68,68,34.0,1.0,21.0,1.0,800.0,210.0,1.0,40.0,1.0,3.0,False
69,69,29.0,1.0,21.0,2.0,3255.0,25.0,0.0,24.0,2.0,1.0,False
70,70,66.0,1.0,16.0,1.0,9620.0,25.0,0.0,40.0,2.0,1.0,False
71,71,20.0,1.0,18.0,2.0,4110.0,25.0,4.0,30.0,2.0,1.0,False
72,72,59.0,3.0,22.0,1.0,2545.0,9.0,1.0,40.0,1.0,1.0,False
73,73,41.0,1.0,16.0,2.0,4020.0,329.0,0.0,40.0,2.0,5.0,False
74,74,35.0,1.0,20.0,2.0,3255.0,25.0,2.0,40.0,2.0,1.0,True
75,75,37.0,1.0,15.0,1.0,4700.0,210.0,1.0,40.0,2.0,3.0,False
76,76,69.0,1.0,21.0,1.0,4920.0,23.0,0.0,40.0,1.0,1.0,True
77,77,50.0,1.0,22.0,2.0,4600.0,344.0,0.0,32.0,2.0,2.0,False
78,78,31.0,1.0,16.0,2.0,8300.0,408.0,5.0,40.0,2.0,2.0,False
79,79,17.0,1.0,14.0,2.0,4020.0,25.0,2.0,16.0,2.0,1.0,False
80,80,25.0,1.0,20.0,2.0,4110.0,25.0,17.0,60.0,1.0,1.0,True
81,81,48.0,1.0,20.0,1.0,5600.0,25.0,1.0,40.0,1.0,1.0,False
82,82,41.0,1.0,16.0,1.0,1108.0,25.0,0.0,45.0,1.0,1.0,True
83,83,83.0,2.0,1.0,1.0,2752.0,329.0,1.0,15.0,1.0,5.0,False
84,84,32.0,6.0,20.0,1.0,4000.0,25.0,1.0,40.0,1.0,1.0,False
85,85,78.0,1.0,16.0,2.0,8030.0,25.0,0.0,45.0,1.0,1.0,True
86,86,57.0,2.0,21.0,1.0,2050.0,25.0,1.0,40.0,1.0,1.0,True
87,87,57.0,1.0,22.0,2.0,8990.0,25.0,0.0,70.0,1.0,1.0,True
88,88,58.0,1.0,21.0,1.0,6200.0,25.0,1.0,40.0,1.0,1.0,True
89,89,63.0,1.0,21.0,1.0,1530.0,36.0,1.0,45.0,1.0,1.0,True
90,90,65.0,1.0,21.0,1.0,6260.0,36.0,1.0,40.0,1.0,1.0,True
91,91,44.0,6.0,23.0,1.0,2100.0,24.0,0.0,70.0,1.0,1.0,True
92,92,47.0,1.0,21.0,2.0,5940.0,25.0,0.0,50.0,2.0,1.0,True
93,93,56.0,1.0,21.0,2.0,630.0,25.0,13.0,24.0,2.0,1.0,True
94,94,44.0,1.0,19.0,1.0,705.0,44.0,0.0,45.0,2.0,1.0,True
95,95,62.0,4.0,20.0,2.0,565.0,332.0,0.0,40.0,2.0,2.0,True
96,96,52.0,1.0,21.0,1.0,4710.0,119.0,0.0,45.0,1.0,1.0,True
97,97,30.0,1.0,19.0,2.0,6220.0,25.0,16.0,40.0,1.0,1.0,False
98,98,33.0,1.0,20.0,2.0,20.0,25.0,13.0,55.0,1.0,1.0,True
99,99,50.0,1.0,19.0,1.0,1050.0,33.0,0.0,40.0,1.0,1.0,True
100,100,49.0,1.0,23.0,2.0,4850.0,332.0,0.0,32.0,2.0,2.0,False
101,101,51.0,1.0,20.0,1.0,4760.0,329.0,1.0,25.0,2.0,2.0,False
102,102,30.0,7.0,23.0,1.0,3010.0,247.0,1.0,40.0,2.0,3.0,True
103,103,46.0,1.0,22.0,1.0,1021.0,207.0,0.0,40.0,1.0,3.0,True
104,104,34.0,2.0,22.0,1.0,2012.0,36.0,1.0,28.0,2.0,1.0,False
105,105,33.0,1.0,22.0,1.0,440.0,210.0,0.0,40.0,1.0,3.0,True
106,106,41.0,2.0,21.0,1.0,1050.0,207.0,0.0,40.0,1.0,3.0,True
107,107,29.0,2.0,22.0,2.0,2320.0,25.0,0.0,40.0,2.0,1.0,True
108,108,53.0,2.0,24.0,1.0,2205.0,46.0,1.0,60.0,1.0,1.0,True
109,109,53.0,1.0,20.0,1.0,7200.0,25.0,1.0,20.0,1.0,1.0,False
110,110,47.0,1.0,22.0,1.0,3160.0,25.0,0.0,45.0,1.0,1.0,True
111,111,71.0,4.0,21.0,1.0,5320.0,25.0,0.0,15.0,2.0,1.0,False
112,112,42.0,1.0,21.0,2.0,1050.0,25.0,2.0,40.0,2.0,2.0,True
113,113,56.0,2.0,22.0,1.0,420.0,25.0,1.0,45.0,2.0,1.0,True
114,114,41.0,6.0,20.0,1.0,4760.0,44.0,1.0,5.0,2.0,1.0,False
115,115,55.0,3.0,22.0,2.0,2310.0,25.0,0.0,40.0,2.0,1.0,True
116,116,68.0,1.0,19.0,1.0,3258.0,25.0,1.0,36.0,2.0,1.0,True
117,117,66.0,1.0,21.0,2.0,136.0,209.0,0.0,48.0,1.0,3.0,True
118,118,33.0,1.0,13.0,1.0,9620.0,313.0,1.0,32.0,2.0,1.0,False
119,119,32.0,1.0,22.0,1.0,1920.0,42.0,1.0,40.0,2.0,1.0,True
120,120,53.0,3.0,16.0,1.0,3230.0,332.0,0.0,40.0,2.0,2.0,True
121,121,67.0,6.0,22.0,1.0,440.0,36.0,0.0,60.0,1.0,1.0,True
122,122,19.0,1.0,19.0,2.0,2636.0,25.0,17.0,25.0,1.0,1.0,False
123,123,56.0,1.0,21.0,1.0,520.0,25.0,0.0,60.0,1.0,1.0,True
124,124,32.0,7.0,16.0,1.0,4700.0,214.0,0.0,40.0,2.0,1.0,True
125,125,22.0,1.0,19.0,2.0,4020.0,25.0,2.0,40.0,1.0,1.0,False
126,126,47.0,3.0,14.0,1.0,3603.0,130.0,0.0,40.0,2.0,1.0,False
127,127,68.0,2.0,21.0,2.0,102.0,25.0,0.0,40.0,1.0,1.0,True
128,128,57.0,1.0,21.0,1.0,800.0,25.0,1.0,45.0,1.0,1.0,True
129,129,56.0,6.0,19.0,1.0,4251.0,25.0,0.0,50.0,1.0,1.0,False
130,130,28.0,1.0,21.0,2.0,5240.0,34.0,0.0,40.0,1.0,1.0,True
131,131,21.0,2.0,19.0,2.0,4110.0,25.0,17.0,20.0,2.0,1.0,False
132,132,41.0,3.0,20.0,2.0,7210.0,72.0,13.0,60.0,1.0,1.0,True
133,133,25.0,1.0,22.0,2.0,5710.0,25.0,11.0,50.0,2.0,1.0,True
134,134,22.0,1.0,19.0,2.0,9620.0,25.0,17.0,28.0,2.0,1.0,False
135,135,62.0,6.0,1.0,1.0,8300.0,206.0,0.0,65.0,1.0,3.0,False
136,136,40.0,1.0,21.0,1.0,10.0,51.0,0.0,40.0,1.0,1.0,True
137,137,55.0,3.0,24.0,1.0,2310.0,365.0,1.0,40.0,2.0,1.0,True
138,138,33.0,1.0,21.0,2.0,4110.0,36.0,12.0,48.0,2.0,3.0,True
139,139,42.0,1.0,22.0,1.0,120.0,42.0,1.0,50.0,1.0,1.0,True
140,140,55.0,1.0,24.0,1.0,350.0,233.0,0.0,50.0,2.0,3.0,True
141,141,75.0,1.0,20.0,2.0,5240.0,25.0,0.0,40.0,2.0,1.0,True
142,142,35.0,1.0,19.0,1.0,4500.0,25.0,1.0,45.0,1.0,1.0,False
143,143,52.0,1.0,21.0,1.0,1007.0,25.0,0.0,48.0,2.0,1.0,True
144,144,51.0,3.0,21.0,1.0,3870.0,25.0,0.0,55.0,1.0,1.0,True
145,145,43.0,3.0,18.0,2.0,4055.0,25.0,2.0,35.0,2.0,1.0,False
146,146,22.0,1.0,19.0,1.0,4350.0,6.0,9.0,32.0,2.0,1.0,False
147,147,57.0,2.0,21.0,1.0,3255.0,25.0,0.0,32.0,2.0,1.0,True
148,148,39.0,1.0,19.0,1.0,4700.0,25.0,0.0,45.0,2.0,1.0,True
149,149,32.0,1.0,16.0,1.0,4150.0,5.0,0.0,40.0,2.0,1.0,False
150,150,51.0,3.0,22.0,1.0,2310.0,25.0,1.0,19.0,2.0,1.0,False
151,151,18.0,1.0,15.0,2.0,4020.0,25.0,16.0,30.0,1.0,5.0,False
152,152,58.0,1.0,19.0,2.0,5120.0,36.0,0.0,42.0,2.0,1.0,True
153,153,52.0,5.0,21.0,2.0,5000.0,25.0,0.0,40.0,2.0,1.0,True
154,154,28.0,1.0,20.0,2.0,310.0,25.0,0.0,55.0,2.0,1.0,False
155,155,32.0,1.0,21.0,2.0,5240.0,36.0,13.0,40.0,1.0,1.0,False
156,156,59.0,2.0,22.0,1.0,1650.0,25.0,1.0,50.0,1.0,1.0,True
157,157,66.0,4.0,21.0,2.0,2100.0,25.0,0.0,40.0,2.0,2.0,True
158,158,21.0,1.0,7.0,2.0,6240.0,25.0,2.0,45.0,1.0,1.0,False
159,159,54.0,1.0,22.0,1.0,2014.0,364.0,0.0,40.0,2.0,1.0,False
160,160,28.0,1.0,21.0,2.0,5740.0,50.0,12.0,40.0,2.0,1.0,False
161,161,65.0,7.0,23.0,1.0,3250.0,25.0,1.0,70.0,2.0,1.0,True
