,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,33339,49.0,1.0,16.0,1.0,2300.0,100.0,1.0,58.0,2.0,1.0,False
1,33340,72.0,1.0,21.0,1.0,10.0,18.0,0.0,40.0,1.0,1.0,True
2,33341,42.0,1.0,21.0,2.0,4010.0,26.0,0.0,40.0,2.0,1.0,False
3,33342,42.0,2.0,21.0,1.0,5740.0,26.0,0.0,16.0,2.0,4.0,False
4,33343,39.0,1.0,19.0,2.0,6520.0,26.0,13.0,40.0,1.0,2.0,False
5,33344,31.0,1.0,21.0,2.0,1760.0,26.0,10.0,50.0,1.0,1.0,True
6,33345,40.0,1.0,16.0,1.0,9620.0,26.0,0.0,60.0,1.0,1.0,False
7,33346,50.0,1.0,20.0,1.0,9130.0,26.0,0.0,60.0,1.0,1.0,True
8,33347,71.0,6.0,16.0,1.0,205.0,26.0,0.0,40.0,1.0,1.0,False
9,33348,56.0,2.0,20.0,1.0,5740.0,26.0,0.0,40.0,2.0,1.0,False
10,33349,55.0,1.0,16.0,2.0,5310.0,26.0,5.0,40.0,2.0,1.0,False
11,33350,60.0,1.0,16.0,2.0,4251.0,12.0,9.0,40.0,1.0,1.0,True
12,33351,54.0,1.0,20.0,2.0,9645.0,26.0,0.0,56.0,1.0,1.0,True
13,33352,29.0,2.0,20.0,2.0,5740.0,26.0,0.0,40.0,2.0,1.0,False
14,33353,76.0,1.0,16.0,1.0,9130.0,26.0,0.0,20.0,1.0,1.0,False
15,33354,67.0,7.0,19.0,2.0,5120.0,26.0,0.0,30.0,2.0,1.0,False
16,33355,19.0,1.0,19.0,2.0,4110.0,26.0,17.0,20.0,1.0,1.0,False
17,33356,56.0,1.0,20.0,2.0,4251.0,26.0,0.0,40.0,1.0,1.0,False
18,33357,55.0,1.0,16.0,1.0,1555.0,46.0,0.0,40.0,1.0,1.0,True
19,33358,64.0,1.0,20.0,1.0,7750.0,26.0,1.0,24.0,2.0,1.0,False
20,33359,60.0,1.0,20.0,2.0,3323.0,26.0,0.0,35.0,2.0,1.0,False
21,33360,49.0,1.0,20.0,1.0,52.0,26.0,1.0,50.0,1.0,1.0,True
22,33361,41.0,1.0,19.0,1.0,7905.0,26.0,0.0,48.0,1.0,1.0,True
23,33362,20.0,1.0,19.0,2.0,9600.0,26.0,0.0,40.0,2.0,2.0,False
24,33363,54.0,2.0,1.0,2.0,8990.0,26.0,17.0,15.0,2.0,1.0,False
25,33364,25.0,1.0,22.0,2.0,1021.0,207.0,13.0,40.0,2.0,3.0,True
26,33365,30.0,1.0,18.0,1.0,4110.0,130.0,0.0,60.0,2.0,1.0,False
27,33366,30.0,1.0,21.0,1.0,5740.0,26.0,0.0,40.0,2.0,1.0,False
28,33367,64.0,1.0,17.0,1.0,6520.0,26.0,0.0,45.0,1.0,1.0,False
29,33368,38.0,2.0,21.0,1.0,1031.0,20.0,0.0,15.0,2.0,1.0,False
30,33369,23.0,1.0,19.0,2.0,4760.0,32.0,0.0,36.0,1.0,5.0,False
31,33370,59.0,7.0,21.0,1.0,440.0,53.0,1.0,35.0,2.0,1.0,True
32,33371,24.0,1.0,19.0,2.0,1021.0,26.0,0.0,40.0,1.0,1.0,True
33,33372,60.0,1.0,19.0,2.0,9130.0,26.0,0.0,32.0,1.0,1.0,False
34,33373,42.0,4.0,22.0,1.0,2310.0,26.0,0.0,35.0,1.0,1.0,True
35,33374,56.0,1.0,14.0,2.0,6260.0,26.0,2.0,40.0,1.0,1.0,True
36,33375,22.0,1.0,16.0,2.0,9645.0,12.0,2.0,35.0,2.0,5.0,False
37,33376,59.0,1.0,20.0,2.0,4760.0,231.0,0.0,40.0,2.0,3.0,False
38,33377,59.0,6.0,20.0,2.0,440.0,26.0,5.0,40.0,1.0,1.0,False
39,33378,62.0,1.0,18.0,1.0,5120.0,26.0,0.0,30.0,2.0,1.0,False
40,33379,59.0,1.0,22.0,1.0,110.0,26.0,0.0,45.0,1.0,1.0,True
41,33380,49.0,2.0,19.0,1.0,5940.0,301.0,17.0,3.0,1.0,1.0,False
42,33381,20.0,1.0,19.0,2.0,4435.0,26.0,17.0,24.0,2.0,1.0,False
