,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,0,37.0,1.0,18.0,1.0,630.0,27.0,1.0,50.0,2.0,1.0,True,18609
1,1,20.0,1.0,16.0,2.0,7340.0,27.0,0.0,40.0,1.0,1.0,False,20261
2,2,33.0,3.0,18.0,2.0,2016.0,27.0,0.0,37.0,2.0,4.0,False,5095
3,3,49.0,1.0,19.0,1.0,8030.0,27.0,1.0,40.0,1.0,1.0,False,10831
4,4,36.0,1.0,23.0,2.0,4840.0,27.0,0.0,42.0,2.0,1.0,False,29588
5,5,49.0,1.0,21.0,2.0,1305.0,55.0,13.0,50.0,1.0,1.0,True,29489
6,6,48.0,4.0,21.0,1.0,2300.0,27.0,1.0,40.0,2.0,1.0,False,27562
7,7,56.0,1.0,17.0,1.0,7360.0,27.0,1.0,39.0,2.0,1.0,False,17664
8,8,52.0,1.0,19.0,1.0,8910.0,27.0,0.0,48.0,1.0,1.0,True,25575
9,9,23.0,1.0,16.0,2.0,9645.0,27.0,2.0,15.0,1.0,1.0,False,1855
10,10,47.0,4.0,22.0,1.0,2310.0,27.0,1.0,40.0,2.0,1.0,True,14039
11,11,28.0,1.0,20.0,2.0,1545.0,27.0,0.0,40.0,1.0,1.0,False,23115
12,12,27.0,1.0,20.0,1.0,7700.0,27.0,0.0,45.0,1.0,1.0,False,25659
13,13,51.0,1.0,21.0,1.0,800.0,19.0,1.0,48.0,2.0,1.0,True,23253
14,14,19.0,1.0,16.0,2.0,4720.0,365.0,4.0,40.0,2.0,1.0,False,18915
15,15,42.0,1.0,21.0,1.0,5940.0,55.0,1.0,40.0,2.0,1.0,False,26567
16,16,47.0,1.0,19.0,1.0,3300.0,27.0,1.0,40.0,2.0,1.0,False,26340
17,17,48.0,6.0,19.0,1.0,4522.0,27.0,0.0,40.0,2.0,1.0,True,4132
18,18,62.0,1.0,16.0,1.0,7330.0,27.0,1.0,40.0,1.0,1.0,True,11009
19,19,56.0,2.0,20.0,1.0,3500.0,27.0,0.0,32.0,2.0,1.0,False,22183
20,20,56.0,2.0,20.0,1.0,3930.0,27.0,0.0,3.0,1.0,1.0,False,2680
21,21,27.0,1.0,21.0,2.0,565.0,48.0,12.0,45.0,2.0,1.0,True,26072
22,22,54.0,6.0,23.0,1.0,4810.0,27.0,0.0,60.0,1.0,1.0,True,4708
23,23,55.0,2.0,17.0,2.0,9620.0,27.0,17.0,20.0,2.0,1.0,False,1021
24,24,21.0,1.0,18.0,2.0,3601.0,27.0,0.0,40.0,2.0,1.0,False,19085
25,25,77.0,1.0,16.0,2.0,120.0,27.0,0.0,32.0,2.0,1.0,False,15047
26,26,24.0,1.0,18.0,2.0,9620.0,27.0,0.0,40.0,2.0,1.0,False,21155
27,27,56.0,1.0,16.0,2.0,5120.0,27.0,0.0,40.0,2.0,1.0,True,20917
28,28,18.0,1.0,18.0,2.0,4120.0,27.0,2.0,15.0,2.0,1.0,False,30830
29,29,31.0,1.0,16.0,1.0,9645.0,23.0,0.0,50.0,1.0,1.0,True,8582
30,30,43.0,5.0,19.0,1.0,5550.0,27.0,1.0,12.0,2.0,1.0,False,23956
31,31,30.0,1.0,22.0,1.0,2320.0,55.0,1.0,40.0,2.0,1.0,True,7016
32,32,40.0,1.0,16.0,1.0,7700.0,27.0,1.0,40.0,1.0,1.0,True,15582
33,33,54.0,1.0,16.0,1.0,6230.0,17.0,0.0,40.0,1.0,1.0,True,5841
34,34,88.0,6.0,16.0,2.0,205.0,27.0,0.0,60.0,1.0,1.0,True,28816
35,35,40.0,4.0,21.0,1.0,6010.0,56.0,0.0,45.0,2.0,1.0,True,2434
36,36,61.0,1.0,16.0,2.0,4760.0,38.0,0.0,40.0,1.0,1.0,False,12100
37,37,36.0,3.0,17.0,1.0,3740.0,448.0,1.0,92.0,1.0,2.0,True,15182
38,38,28.0,4.0,22.0,2.0,2205.0,209.0,0.0,50.0,1.0,1.0,False,1707
39,39,46.0,3.0,20.0,1.0,440.0,27.0,1.0,40.0,1.0,1.0,True,26831
40,40,34.0,1.0,16.0,2.0,8140.0,26.0,0.0,60.0,1.0,1.0,True,2088
41,41,57.0,1.0,14.0,1.0,4252.0,27.0,0.0,40.0,1.0,1.0,False,25733
42,42,31.0,3.0,22.0,1.0,3255.0,17.0,0.0,40.0,1.0,1.0,True,20643
43,43,19.0,5.0,14.0,2.0,4140.0,27.0,2.0,40.0,1.0,4.0,False,5687
44,44,35.0,1.0,19.0,2.0,6230.0,27.0,13.0,40.0,1.0,4.0,False,5096
45,45,30.0,6.0,16.0,2.0,4850.0,27.0,2.0,8.0,1.0,1.0,False,6652
46,46,52.0,1.0,19.0,1.0,7200.0,27.0,0.0,60.0,1.0,1.0,True,5175
47,47,23.0,1.0,19.0,2.0,7750.0,27.0,2.0,40.0,1.0,3.0,False,8788
48,48,52.0,1.0,19.0,1.0,5240.0,27.0,0.0,40.0,2.0,1.0,True,20022
49,49,68.0,1.0,20.0,2.0,7150.0,27.0,0.0,45.0,1.0,1.0,True,15509
50,50,37.0,1.0,20.0,2.0,1106.0,55.0,0.0,40.0,1.0,1.0,True,28466
51,51,49.0,1.0,21.0,1.0,1430.0,17.0,1.0,45.0,1.0,1.0,False,24483
52,52,47.0,1.0,20.0,1.0,120.0,27.0,1.0,45.0,2.0,1.0,True,6901
53,53,62.0,6.0,20.0,1.0,205.0,27.0,0.0,60.0,1.0,1.0,False,14678
54,54,37.0,1.0,16.0,1.0,4110.0,27.0,1.0,40.0,2.0,1.0,False,28300
55,55,31.0,1.0,20.0,1.0,9620.0,27.0,0.0,50.0,1.0,5.0,True,19514
56,56,27.0,2.0,21.0,2.0,2310.0,27.0,12.0,20.0,2.0,1.0,False,16295
57,57,48.0,3.0,23.0,2.0,2310.0,27.0,0.0,40.0,2.0,1.0,True,21267
58,58,61.0,3.0,20.0,1.0,3255.0,38.0,1.0,40.0,2.0,1.0,False,8371
59,59,61.0,1.0,16.0,1.0,4760.0,38.0,1.0,35.0,2.0,1.0,False,14695
60,60,29.0,1.0,20.0,1.0,5400.0,27.0,0.0,22.0,2.0,1.0,False,10642
61,61,18.0,4.0,16.0,2.0,4220.0,27.0,2.0,40.0,1.0,1.0,False,2254
62,62,69.0,6.0,19.0,1.0,340.0,55.0,0.0,16.0,1.0,1.0,True,7880
63,63,54.0,1.0,19.0,1.0,5740.0,27.0,0.0,40.0,2.0,1.0,True,14925
64,64,21.0,1.0,19.0,2.0,4640.0,27.0,17.0,8.0,1.0,1.0,True,356
65,65,41.0,1.0,16.0,1.0,6260.0,27.0,0.0,40.0,1.0,1.0,False,8402
66,66,34.0,1.0,16.0,1.0,5810.0,27.0,1.0,40.0,2.0,1.0,False,29030
67,67,39.0,1.0,19.0,1.0,9121.0,27.0,0.0,40.0,2.0,1.0,False,30828
68,68,30.0,2.0,16.0,1.0,5240.0,223.0,9.0,40.0,2.0,3.0,False,29964
69,69,73.0,2.0,21.0,2.0,4030.0,27.0,0.0,10.0,2.0,1.0,False,13384
70,70,65.0,1.0,16.0,1.0,1530.0,27.0,1.0,50.0,1.0,1.0,True,14542
71,71,32.0,1.0,19.0,2.0,4000.0,27.0,0.0,60.0,2.0,1.0,False,8921
72,72,58.0,7.0,21.0,1.0,440.0,27.0,0.0,50.0,1.0,1.0,True,29441
73,73,29.0,1.0,12.0,2.0,5350.0,303.0,2.0,40.0,1.0,5.0,False,7369
74,74,17.0,1.0,14.0,2.0,4230.0,27.0,2.0,6.0,2.0,1.0,False,28748
75,75,22.0,1.0,13.0,2.0,710.0,27.0,10.0,50.0,2.0,3.0,True,27086
76,76,44.0,3.0,21.0,2.0,3255.0,427.0,0.0,80.0,2.0,2.0,True,10318
77,77,36.0,6.0,21.0,1.0,205.0,217.0,0.0,40.0,1.0,3.0,True,29897
78,78,59.0,1.0,14.0,1.0,3424.0,38.0,1.0,6.0,2.0,1.0,False,25339
79,79,70.0,7.0,16.0,1.0,4810.0,27.0,1.0,40.0,1.0,1.0,True,6578
80,80,41.0,1.0,22.0,1.0,630.0,48.0,1.0,40.0,1.0,1.0,True,15714
81,81,49.0,7.0,16.0,1.0,7315.0,46.0,1.0,40.0,1.0,1.0,False,27879
82,82,51.0,1.0,22.0,2.0,9130.0,38.0,0.0,60.0,1.0,1.0,True,11413
83,83,21.0,2.0,19.0,2.0,5860.0,27.0,0.0,10.0,2.0,1.0,False,3171
84,84,31.0,1.0,16.0,2.0,3310.0,223.0,0.0,40.0,2.0,3.0,True,10266
85,85,50.0,1.0,18.0,1.0,6200.0,27.0,1.0,40.0,1.0,1.0,True,16467
86,86,54.0,1.0,18.0,1.0,5400.0,27.0,1.0,38.0,2.0,1.0,False,9991
87,87,49.0,3.0,16.0,1.0,2545.0,46.0,1.0,32.0,2.0,1.0,False,25102
88,88,56.0,6.0,16.0,1.0,205.0,27.0,1.0,80.0,1.0,1.0,True,10157
89,89,64.0,3.0,16.0,1.0,9122.0,27.0,0.0,8.0,1.0,1.0,False,3847
90,90,35.0,1.0,21.0,2.0,800.0,27.0,0.0,45.0,2.0,1.0,False,12743
91,91,56.0,1.0,21.0,1.0,110.0,17.0,0.0,60.0,1.0,1.0,True,7393
92,92,19.0,1.0,19.0,2.0,2555.0,27.0,17.0,10.0,1.0,1.0,False,286
93,93,34.0,7.0,16.0,1.0,6230.0,27.0,0.0,60.0,1.0,1.0,True,17758
94,94,44.0,1.0,24.0,1.0,440.0,207.0,0.0,45.0,1.0,3.0,True,4911
95,95,34.0,1.0,21.0,1.0,4840.0,53.0,1.0,45.0,1.0,1.0,False,28382
96,96,35.0,1.0,16.0,1.0,8990.0,27.0,0.0,48.0,2.0,1.0,False,9361
97,97,53.0,1.0,16.0,1.0,4700.0,46.0,1.0,44.0,1.0,1.0,False,2654
98,98,27.0,1.0,16.0,2.0,4230.0,27.0,0.0,15.0,2.0,1.0,False,11072
99,99,18.0,1.0,16.0,2.0,4720.0,27.0,17.0,20.0,2.0,1.0,False,454
100,100,69.0,6.0,21.0,2.0,51.0,27.0,0.0,40.0,1.0,4.0,True,24541
101,101,22.0,1.0,18.0,2.0,4720.0,27.0,2.0,25.0,2.0,1.0,False,14798
102,102,57.0,1.0,16.0,1.0,7220.0,27.0,0.0,40.0,1.0,1.0,True,18110
103,103,26.0,1.0,21.0,2.0,910.0,27.0,0.0,45.0,1.0,1.0,True,9787
104,104,17.0,1.0,14.0,2.0,2545.0,27.0,2.0,12.0,2.0,1.0,False,11922
105,105,24.0,2.0,20.0,2.0,3255.0,12.0,0.0,40.0,2.0,1.0,False,27769
106,106,26.0,1.0,18.0,2.0,6305.0,27.0,0.0,45.0,1.0,1.0,True,20715
107,107,44.0,1.0,21.0,1.0,5230.0,27.0,0.0,40.0,2.0,1.0,True,20698
108,108,18.0,1.0,18.0,2.0,4010.0,27.0,17.0,10.0,2.0,1.0,False,427
109,109,28.0,1.0,16.0,2.0,6442.0,27.0,0.0,40.0,1.0,4.0,False,16378
110,110,60.0,1.0,16.0,1.0,9620.0,27.0,1.0,40.0,2.0,1.0,False,9892
111,111,69.0,3.0,16.0,1.0,3801.0,27.0,0.0,16.0,1.0,1.0,False,22689
112,112,43.0,1.0,19.0,1.0,8255.0,27.0,0.0,40.0,1.0,1.0,False,21298
113,113,53.0,1.0,16.0,2.0,7840.0,27.0,0.0,40.0,1.0,1.0,False,5214
114,114,22.0,1.0,21.0,2.0,2435.0,27.0,2.0,6.0,2.0,1.0,False,12040
