,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,29.0,1.0,16.0,2.0,350.0,6.0,15.0,44.0,2.0,1.0,False
1,1,46.0,1.0,16.0,1.0,6250.0,29.0,0.0,45.0,1.0,1.0,True
2,2,28.0,1.0,21.0,2.0,710.0,29.0,2.0,40.0,1.0,1.0,True
3,3,42.0,3.0,16.0,1.0,6730.0,40.0,1.0,40.0,1.0,1.0,True
4,4,64.0,1.0,16.0,1.0,5740.0,29.0,0.0,45.0,2.0,1.0,False
5,5,50.0,2.0,21.0,1.0,2310.0,8.0,1.0,45.0,1.0,1.0,True
6,6,42.0,1.0,19.0,1.0,5600.0,29.0,0.0,40.0,2.0,1.0,False
7,7,58.0,6.0,6.0,2.0,4600.0,303.0,0.0,48.0,2.0,1.0,True
8,8,48.0,6.0,16.0,1.0,4510.0,29.0,1.0,30.0,2.0,1.0,False
9,9,64.0,1.0,12.0,1.0,5120.0,29.0,1.0,22.0,2.0,1.0,False
10,10,74.0,1.0,21.0,1.0,3150.0,18.0,1.0,40.0,2.0,1.0,False
11,11,57.0,6.0,18.0,1.0,4600.0,29.0,1.0,40.0,2.0,2.0,False
12,12,71.0,7.0,23.0,1.0,800.0,19.0,1.0,52.0,1.0,1.0,False
13,13,58.0,2.0,16.0,2.0,4230.0,29.0,0.0,40.0,2.0,2.0,False
14,14,64.0,1.0,13.0,1.0,9620.0,29.0,0.0,40.0,1.0,1.0,False
15,15,25.0,6.0,19.0,1.0,630.0,29.0,1.0,30.0,2.0,1.0,False
16,16,40.0,5.0,19.0,2.0,440.0,29.0,0.0,45.0,2.0,2.0,True
17,17,18.0,3.0,19.0,2.0,4251.0,29.0,2.0,40.0,1.0,1.0,False
18,18,43.0,1.0,17.0,1.0,4622.0,29.0,1.0,50.0,2.0,1.0,False
19,19,69.0,2.0,21.0,1.0,230.0,25.0,0.0,40.0,1.0,1.0,True
20,20,50.0,7.0,18.0,1.0,4020.0,40.0,0.0,70.0,2.0,4.0,False
21,21,54.0,1.0,21.0,1.0,1760.0,29.0,1.0,40.0,2.0,1.0,True
22,22,60.0,1.0,19.0,1.0,6355.0,150.0,0.0,40.0,1.0,1.0,False
23,23,33.0,2.0,21.0,2.0,4600.0,29.0,0.0,20.0,1.0,1.0,False
24,24,40.0,1.0,21.0,1.0,540.0,29.0,0.0,65.0,2.0,2.0,False
25,25,65.0,2.0,24.0,1.0,3255.0,29.0,0.0,40.0,2.0,1.0,True
