,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,4396,33.0,1.0,19.0,1.0,2320.0,28.0,1.0,40.0,1.0,1.0,False,903
1,4397,38.0,2.0,21.0,1.0,2310.0,28.0,1.0,50.0,2.0,1.0,False,2908
2,4398,26.0,3.0,21.0,2.0,2545.0,28.0,2.0,40.0,2.0,1.0,False,7927
3,4399,27.0,1.0,16.0,1.0,910.0,41.0,0.0,40.0,2.0,1.0,False,2962
4,4400,25.0,4.0,22.0,2.0,2002.0,28.0,2.0,40.0,2.0,2.0,False,11128
5,4401,20.0,4.0,18.0,2.0,4640.0,28.0,2.0,20.0,1.0,2.0,False,6357
6,4402,53.0,1.0,22.0,1.0,110.0,28.0,0.0,40.0,2.0,1.0,True,9742
7,4403,22.0,1.0,18.0,2.0,4710.0,28.0,3.0,60.0,1.0,1.0,False,4063
8,4404,59.0,6.0,19.0,1.0,2634.0,28.0,0.0,50.0,2.0,1.0,False,10862
9,4405,21.0,2.0,21.0,2.0,2170.0,28.0,2.0,40.0,1.0,1.0,False,9722
10,4406,44.0,1.0,16.0,2.0,9620.0,28.0,13.0,35.0,1.0,2.0,False,8031
11,4407,60.0,1.0,11.0,1.0,4220.0,13.0,1.0,45.0,1.0,1.0,False,3557
12,4408,53.0,1.0,16.0,1.0,7330.0,28.0,1.0,40.0,1.0,2.0,False,10992
13,4409,44.0,1.0,16.0,1.0,6355.0,28.0,1.0,40.0,1.0,1.0,True,1626
14,4410,49.0,7.0,16.0,2.0,4700.0,28.0,2.0,40.0,1.0,1.0,False,12428
15,4411,19.0,5.0,16.0,2.0,9825.0,48.0,17.0,40.0,1.0,1.0,False,255
16,4412,36.0,5.0,23.0,1.0,2100.0,36.0,0.0,40.0,1.0,1.0,True,7409
17,4413,26.0,4.0,20.0,1.0,3870.0,55.0,0.0,40.0,1.0,1.0,False,5548
18,4414,26.0,1.0,19.0,1.0,9130.0,47.0,0.0,60.0,1.0,1.0,True,3983
