,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,17356,42.0,6.0,20.0,1.0,9610.0,48.0,1.0,40.0,1.0,1.0,False
1,17357,32.0,1.0,18.0,1.0,9620.0,37.0,0.0,48.0,1.0,1.0,False
2,17358,52.0,4.0,21.0,1.0,2310.0,11.0,1.0,38.0,2.0,2.0,False
3,17359,48.0,1.0,19.0,1.0,4710.0,50.0,1.0,45.0,1.0,1.0,False
4,17360,64.0,1.0,16.0,1.0,4220.0,51.0,0.0,40.0,1.0,1.0,False
5,17361,21.0,1.0,19.0,2.0,1450.0,37.0,12.0,40.0,1.0,1.0,False
6,17362,54.0,1.0,21.0,1.0,5000.0,12.0,1.0,30.0,2.0,1.0,False
7,17363,32.0,1.0,19.0,2.0,9620.0,24.0,0.0,40.0,2.0,2.0,False
8,17364,42.0,1.0,20.0,2.0,8740.0,37.0,0.0,40.0,1.0,1.0,False
9,17365,50.0,3.0,21.0,1.0,3402.0,37.0,1.0,40.0,1.0,1.0,True
10,17366,21.0,1.0,18.0,2.0,2145.0,37.0,0.0,24.0,1.0,1.0,False
11,17367,64.0,2.0,22.0,2.0,360.0,10.0,0.0,40.0,2.0,1.0,False
12,17368,29.0,1.0,19.0,2.0,6200.0,37.0,0.0,40.0,1.0,1.0,False
13,17369,48.0,1.0,16.0,2.0,9760.0,37.0,0.0,40.0,1.0,2.0,False
14,17370,34.0,1.0,16.0,1.0,4510.0,312.0,1.0,40.0,2.0,1.0,False
15,17371,49.0,1.0,22.0,2.0,2014.0,37.0,0.0,50.0,2.0,2.0,False
16,17372,35.0,1.0,20.0,1.0,7905.0,39.0,1.0,45.0,1.0,1.0,False
17,17373,26.0,4.0,19.0,1.0,5240.0,37.0,0.0,25.0,2.0,1.0,False
18,17374,25.0,3.0,21.0,2.0,2320.0,37.0,0.0,41.0,2.0,1.0,False
19,17375,39.0,1.0,21.0,1.0,110.0,48.0,1.0,40.0,1.0,1.0,False
20,17376,37.0,1.0,12.0,1.0,4020.0,37.0,1.0,30.0,2.0,1.0,False
21,17377,48.0,1.0,13.0,2.0,4700.0,37.0,2.0,40.0,1.0,1.0,False
22,17378,22.0,2.0,20.0,2.0,3220.0,37.0,0.0,40.0,1.0,1.0,False
23,17379,35.0,1.0,22.0,1.0,1007.0,37.0,1.0,40.0,1.0,1.0,True
24,17380,39.0,6.0,19.0,2.0,4521.0,37.0,0.0,35.0,2.0,2.0,False
25,17381,57.0,3.0,21.0,1.0,2310.0,12.0,1.0,50.0,2.0,1.0,False
26,17382,29.0,2.0,21.0,2.0,3255.0,37.0,0.0,38.0,2.0,1.0,True
27,17383,79.0,4.0,17.0,2.0,4760.0,51.0,0.0,20.0,2.0,1.0,False
