,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,1485,54.0,1.0,20.0,2.0,6050.0,27.0,0.0,70.0,1.0,1.0,False
1,1486,64.0,1.0,20.0,1.0,7315.0,27.0,0.0,40.0,1.0,1.0,True
2,1487,35.0,2.0,19.0,1.0,3603.0,6.0,0.0,45.0,2.0,1.0,False
3,1488,55.0,3.0,21.0,1.0,3255.0,38.0,0.0,40.0,2.0,1.0,True
4,1489,25.0,3.0,12.0,1.0,7750.0,27.0,1.0,48.0,1.0,1.0,False
5,1490,48.0,1.0,13.0,1.0,9130.0,38.0,0.0,60.0,1.0,4.0,False
6,1491,39.0,5.0,21.0,2.0,410.0,38.0,0.0,40.0,2.0,4.0,True
7,1492,47.0,1.0,20.0,1.0,7700.0,38.0,1.0,50.0,1.0,1.0,True
8,1493,43.0,4.0,20.0,1.0,9430.0,8.0,1.0,40.0,1.0,1.0,True
9,1494,33.0,1.0,19.0,2.0,5610.0,6.0,0.0,50.0,1.0,1.0,False
10,1495,57.0,1.0,19.0,2.0,6200.0,38.0,0.0,55.0,1.0,1.0,True
11,1496,37.0,1.0,19.0,1.0,51.0,27.0,1.0,40.0,2.0,1.0,False
12,1497,25.0,3.0,21.0,2.0,3870.0,27.0,0.0,40.0,2.0,5.0,False
13,1498,61.0,1.0,19.0,1.0,7330.0,38.0,1.0,50.0,1.0,1.0,True
14,1499,44.0,3.0,22.0,1.0,2002.0,38.0,1.0,40.0,2.0,1.0,True
15,1500,46.0,2.0,22.0,1.0,2310.0,38.0,1.0,45.0,1.0,1.0,True
16,1501,56.0,5.0,21.0,1.0,910.0,38.0,1.0,40.0,2.0,1.0,True
17,1502,64.0,1.0,18.0,1.0,7810.0,38.0,0.0,24.0,1.0,1.0,False
18,1503,23.0,5.0,16.0,1.0,9830.0,19.0,1.0,60.0,1.0,1.0,True
19,1504,32.0,6.0,19.0,1.0,2910.0,38.0,0.0,10.0,2.0,1.0,False
20,1505,52.0,5.0,20.0,1.0,7020.0,38.0,1.0,40.0,1.0,1.0,True
21,1506,36.0,1.0,18.0,2.0,5240.0,38.0,0.0,30.0,2.0,1.0,False
22,1507,66.0,2.0,14.0,1.0,4010.0,38.0,1.0,35.0,2.0,1.0,True
23,1508,41.0,1.0,22.0,1.0,3255.0,38.0,0.0,40.0,2.0,1.0,True
24,1509,27.0,1.0,21.0,1.0,4220.0,17.0,0.0,40.0,1.0,1.0,False
25,1510,58.0,5.0,16.0,2.0,5550.0,38.0,0.0,40.0,1.0,1.0,True
26,1511,36.0,3.0,20.0,2.0,7330.0,38.0,10.0,40.0,1.0,4.0,True
27,1512,36.0,1.0,14.0,2.0,6200.0,55.0,13.0,90.0,1.0,1.0,True
28,1513,30.0,1.0,16.0,1.0,8730.0,38.0,1.0,48.0,1.0,1.0,True
29,1514,55.0,1.0,16.0,2.0,4230.0,27.0,0.0,40.0,2.0,5.0,False
30,1515,63.0,5.0,20.0,2.0,3740.0,38.0,0.0,40.0,1.0,1.0,True
31,1516,31.0,1.0,21.0,2.0,440.0,55.0,5.0,40.0,1.0,4.0,True
32,1517,63.0,3.0,22.0,1.0,2310.0,38.0,0.0,40.0,2.0,1.0,True
33,1518,41.0,2.0,22.0,1.0,1530.0,38.0,0.0,45.0,1.0,1.0,True
34,1519,35.0,6.0,20.0,1.0,1545.0,27.0,0.0,10.0,2.0,1.0,False
35,1520,46.0,2.0,22.0,2.0,3258.0,38.0,0.0,60.0,1.0,1.0,True
36,1521,26.0,1.0,17.0,2.0,136.0,49.0,0.0,40.0,2.0,1.0,False
37,1522,42.0,1.0,20.0,1.0,6260.0,38.0,2.0,44.0,1.0,1.0,False
38,1523,19.0,1.0,19.0,1.0,3603.0,22.0,1.0,55.0,2.0,1.0,False
39,1524,62.0,6.0,16.0,2.0,6442.0,38.0,0.0,45.0,1.0,1.0,False
40,1525,67.0,6.0,20.0,1.0,6050.0,38.0,1.0,40.0,1.0,1.0,False
41,1526,56.0,4.0,21.0,2.0,540.0,31.0,0.0,40.0,2.0,1.0,False
42,1527,34.0,1.0,19.0,2.0,705.0,27.0,0.0,40.0,1.0,1.0,True
43,1528,35.0,1.0,12.0,1.0,4110.0,38.0,16.0,40.0,1.0,1.0,False
44,1529,17.0,1.0,14.0,2.0,4720.0,38.0,15.0,20.0,2.0,1.0,False
45,1530,82.0,1.0,16.0,2.0,420.0,38.0,0.0,14.0,2.0,1.0,False
46,1531,24.0,1.0,21.0,2.0,6050.0,27.0,0.0,50.0,1.0,1.0,False
47,1532,47.0,1.0,16.0,1.0,2545.0,38.0,0.0,15.0,2.0,1.0,False
48,1533,62.0,1.0,19.0,2.0,120.0,46.0,0.0,32.0,2.0,1.0,True
49,1534,33.0,5.0,21.0,1.0,9810.0,29.0,0.0,45.0,1.0,1.0,False
50,1535,25.0,1.0,20.0,1.0,4510.0,38.0,1.0,40.0,2.0,1.0,False
51,1536,58.0,1.0,16.0,1.0,4700.0,42.0,1.0,40.0,2.0,1.0,False
52,1537,59.0,1.0,18.0,1.0,5000.0,46.0,1.0,40.0,1.0,1.0,False
53,1538,18.0,1.0,16.0,2.0,9130.0,38.0,2.0,50.0,1.0,1.0,False
54,1539,21.0,1.0,16.0,2.0,5300.0,38.0,0.0,40.0,1.0,1.0,False
55,1540,28.0,6.0,20.0,1.0,205.0,38.0,0.0,50.0,1.0,1.0,True
56,1541,23.0,1.0,16.0,2.0,9650.0,26.0,0.0,40.0,1.0,1.0,True
57,1542,38.0,1.0,16.0,1.0,52.0,53.0,1.0,48.0,1.0,1.0,True
58,1543,75.0,1.0,16.0,1.0,4230.0,39.0,1.0,40.0,2.0,1.0,False
59,1544,18.0,1.0,16.0,2.0,4720.0,38.0,17.0,30.0,2.0,1.0,False
60,1545,17.0,5.0,14.0,2.0,4420.0,53.0,2.0,18.0,1.0,1.0,False
61,1546,33.0,1.0,16.0,1.0,52.0,38.0,0.0,60.0,1.0,1.0,True
62,1547,43.0,1.0,20.0,1.0,4020.0,39.0,1.0,40.0,2.0,1.0,False
63,1548,55.0,7.0,19.0,1.0,10.0,38.0,0.0,40.0,1.0,4.0,True
64,1549,60.0,1.0,16.0,1.0,9620.0,27.0,1.0,55.0,1.0,1.0,True
65,1550,30.0,4.0,21.0,1.0,2850.0,38.0,1.0,40.0,2.0,1.0,False
66,1551,55.0,1.0,16.0,1.0,6260.0,38.0,1.0,45.0,1.0,1.0,False
