,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,5311,19.0,1.0,18.0,2.0,4110.0,25.0,17.0,30.0,2.0,1.0,False
1,5312,24.0,1.0,21.0,2.0,3960.0,27.0,12.0,24.0,2.0,1.0,False
2,5313,60.0,2.0,21.0,1.0,5310.0,33.0,0.0,32.0,2.0,1.0,False
3,5314,23.0,1.0,22.0,2.0,4540.0,25.0,10.0,40.0,1.0,1.0,False
4,5315,19.0,1.0,19.0,2.0,2300.0,9.0,17.0,30.0,2.0,1.0,False
5,5316,48.0,4.0,23.0,1.0,2100.0,33.0,0.0,50.0,2.0,1.0,True
6,5317,47.0,1.0,20.0,1.0,140.0,36.0,0.0,40.0,2.0,1.0,False
7,5318,29.0,1.0,18.0,2.0,120.0,25.0,13.0,40.0,2.0,1.0,True
8,5319,37.0,1.0,20.0,1.0,7905.0,33.0,0.0,41.0,1.0,1.0,True
9,5320,25.0,1.0,16.0,2.0,4020.0,33.0,13.0,40.0,1.0,1.0,False
10,5321,49.0,4.0,22.0,2.0,1360.0,17.0,0.0,40.0,2.0,1.0,True
11,5322,63.0,1.0,21.0,1.0,910.0,25.0,0.0,45.0,1.0,1.0,True
12,5323,42.0,1.0,22.0,1.0,710.0,501.0,1.0,60.0,1.0,1.0,True
13,5324,60.0,1.0,16.0,1.0,8225.0,44.0,1.0,40.0,1.0,1.0,True
14,5325,19.0,6.0,19.0,2.0,4720.0,33.0,17.0,28.0,2.0,1.0,False
15,5326,33.0,1.0,20.0,1.0,3645.0,33.0,1.0,28.0,2.0,1.0,False
16,5327,58.0,3.0,16.0,1.0,530.0,33.0,0.0,40.0,2.0,1.0,True
17,5328,33.0,3.0,20.0,1.0,3870.0,33.0,0.0,40.0,1.0,1.0,True
18,5329,43.0,3.0,24.0,1.0,230.0,23.0,0.0,50.0,1.0,1.0,True
19,5330,45.0,3.0,21.0,1.0,3740.0,33.0,0.0,48.0,1.0,1.0,True
20,5331,60.0,3.0,13.0,1.0,4220.0,9.0,1.0,40.0,1.0,1.0,False
21,5332,37.0,1.0,16.0,1.0,5860.0,33.0,1.0,12.0,2.0,1.0,False
22,5333,47.0,1.0,21.0,2.0,4840.0,25.0,0.0,50.0,1.0,1.0,True
23,5334,24.0,1.0,21.0,2.0,4700.0,25.0,2.0,50.0,1.0,1.0,False
24,5335,62.0,3.0,22.0,1.0,3820.0,25.0,0.0,40.0,1.0,1.0,True
25,5336,22.0,1.0,19.0,2.0,4000.0,36.0,15.0,50.0,2.0,1.0,False
26,5337,23.0,1.0,20.0,2.0,7200.0,33.0,12.0,40.0,1.0,1.0,False
27,5338,58.0,1.0,17.0,1.0,140.0,33.0,0.0,50.0,1.0,1.0,True
28,5339,62.0,7.0,18.0,1.0,120.0,33.0,0.0,80.0,1.0,1.0,True
29,5340,36.0,1.0,21.0,1.0,3255.0,9.0,0.0,30.0,2.0,1.0,False
30,5341,67.0,1.0,19.0,2.0,9645.0,210.0,8.0,40.0,1.0,3.0,False
31,5342,26.0,6.0,16.0,2.0,205.0,33.0,2.0,10.0,2.0,1.0,False
32,5343,53.0,1.0,18.0,1.0,7700.0,33.0,0.0,55.0,1.0,1.0,True
33,5344,30.0,1.0,21.0,2.0,1021.0,50.0,0.0,40.0,1.0,1.0,True
34,5345,52.0,2.0,16.0,1.0,5400.0,25.0,1.0,42.0,2.0,1.0,False
35,5346,46.0,1.0,16.0,2.0,9130.0,25.0,0.0,50.0,1.0,1.0,True
36,5347,29.0,1.0,21.0,1.0,1021.0,210.0,12.0,40.0,1.0,3.0,False
37,5348,48.0,6.0,21.0,1.0,205.0,25.0,0.0,80.0,2.0,1.0,False
38,5349,52.0,1.0,16.0,2.0,8255.0,5.0,0.0,40.0,1.0,1.0,False
39,5350,55.0,1.0,18.0,1.0,9130.0,25.0,0.0,58.0,1.0,5.0,True
