,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,15927,34.0,3.0,22.0,2.0,2310.0,34.0,2.0,40.0,2.0,1.0,True
1,15928,28.0,7.0,21.0,2.0,2360.0,34.0,0.0,30.0,2.0,1.0,False
2,15929,49.0,1.0,21.0,1.0,3255.0,34.0,0.0,44.0,2.0,1.0,True
3,15930,35.0,6.0,22.0,1.0,705.0,210.0,1.0,40.0,2.0,3.0,True
4,15931,19.0,1.0,18.0,2.0,6230.0,34.0,17.0,30.0,1.0,1.0,False
5,15932,52.0,7.0,22.0,1.0,1400.0,211.0,0.0,40.0,1.0,3.0,True
6,15933,72.0,7.0,21.0,2.0,850.0,34.0,0.0,40.0,1.0,1.0,False
7,15934,59.0,2.0,19.0,2.0,350.0,34.0,13.0,50.0,1.0,1.0,True
8,15935,61.0,1.0,20.0,1.0,9430.0,34.0,1.0,20.0,1.0,1.0,False
9,15936,40.0,1.0,22.0,1.0,2145.0,164.0,1.0,20.0,2.0,1.0,False
10,15937,21.0,1.0,19.0,2.0,4110.0,34.0,11.0,40.0,2.0,1.0,False
11,15938,54.0,1.0,19.0,1.0,10.0,214.0,0.0,85.0,1.0,1.0,True
12,15939,55.0,7.0,22.0,1.0,205.0,34.0,0.0,30.0,1.0,1.0,True
13,15940,52.0,1.0,21.0,2.0,2850.0,34.0,0.0,50.0,1.0,1.0,True
14,15941,43.0,1.0,16.0,2.0,4220.0,34.0,0.0,8.0,1.0,1.0,True
15,15942,35.0,1.0,18.0,2.0,8990.0,313.0,0.0,40.0,1.0,1.0,False
16,15943,44.0,3.0,21.0,1.0,2310.0,42.0,1.0,40.0,2.0,1.0,True
17,15944,67.0,1.0,14.0,1.0,9130.0,42.0,0.0,70.0,1.0,1.0,False
18,15945,25.0,2.0,21.0,2.0,230.0,24.0,17.0,40.0,2.0,1.0,False
19,15946,33.0,3.0,21.0,1.0,2320.0,314.0,1.0,35.0,2.0,1.0,True
20,15947,42.0,2.0,20.0,1.0,5740.0,34.0,0.0,30.0,2.0,2.0,False
21,15948,20.0,1.0,16.0,2.0,4055.0,34.0,2.0,30.0,2.0,1.0,False
22,15949,44.0,3.0,16.0,2.0,4220.0,364.0,0.0,40.0,2.0,5.0,False
23,15950,41.0,1.0,24.0,1.0,1760.0,34.0,0.0,40.0,2.0,1.0,True
24,15951,51.0,1.0,21.0,2.0,5860.0,34.0,0.0,20.0,2.0,1.0,True
25,15952,61.0,1.0,16.0,1.0,120.0,34.0,1.0,45.0,2.0,1.0,True
26,15953,66.0,2.0,22.0,1.0,2040.0,42.0,0.0,60.0,2.0,1.0,True
27,15954,34.0,2.0,22.0,2.0,2205.0,210.0,12.0,8.0,1.0,3.0,False
28,15955,27.0,1.0,22.0,2.0,3649.0,9.0,2.0,40.0,2.0,1.0,False
29,15956,52.0,4.0,21.0,1.0,2300.0,34.0,2.0,40.0,2.0,1.0,True
30,15957,50.0,3.0,22.0,1.0,2310.0,36.0,1.0,40.0,2.0,1.0,True
31,15958,54.0,1.0,21.0,1.0,5860.0,42.0,0.0,40.0,2.0,1.0,True
32,15959,17.0,1.0,14.0,2.0,4110.0,34.0,2.0,30.0,2.0,1.0,False
33,15960,45.0,1.0,21.0,1.0,4710.0,36.0,0.0,50.0,1.0,1.0,True
34,15961,48.0,1.0,22.0,1.0,51.0,25.0,0.0,45.0,2.0,1.0,True
35,15962,56.0,1.0,18.0,1.0,440.0,314.0,0.0,45.0,2.0,4.0,True
36,15963,48.0,3.0,22.0,1.0,2310.0,25.0,1.0,45.0,1.0,1.0,True
37,15964,58.0,3.0,22.0,1.0,5860.0,36.0,1.0,15.0,2.0,1.0,False
38,15965,59.0,1.0,21.0,1.0,5860.0,34.0,1.0,45.0,2.0,1.0,True
39,15966,50.0,1.0,21.0,2.0,440.0,6.0,0.0,50.0,1.0,1.0,True
