,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,29.0,1.0,18.0,2.0,3640.0,4.0,0.0,40.0,1.0,4.0,False
1,1,53.0,6.0,16.0,1.0,4510.0,6.0,1.0,45.0,2.0,1.0,False
2,2,62.0,6.0,1.0,1.0,440.0,303.0,0.0,20.0,1.0,1.0,False
3,3,50.0,2.0,12.0,1.0,6260.0,303.0,0.0,40.0,1.0,5.0,False
4,4,34.0,1.0,19.0,2.0,5400.0,35.0,2.0,30.0,2.0,1.0,False
5,5,18.0,1.0,13.0,2.0,9645.0,35.0,7.0,30.0,1.0,1.0,False
6,6,23.0,2.0,17.0,2.0,4130.0,35.0,0.0,20.0,2.0,1.0,False
7,7,51.0,1.0,20.0,2.0,3255.0,35.0,0.0,40.0,1.0,4.0,False
8,8,61.0,3.0,19.0,2.0,5860.0,48.0,0.0,40.0,2.0,1.0,False
9,9,61.0,1.0,21.0,1.0,705.0,28.0,0.0,40.0,1.0,1.0,True
10,10,22.0,1.0,17.0,2.0,4700.0,35.0,16.0,40.0,1.0,1.0,False
11,11,61.0,1.0,18.0,2.0,8740.0,5.0,0.0,40.0,1.0,5.0,True
12,12,62.0,1.0,21.0,2.0,4760.0,49.0,0.0,45.0,1.0,1.0,False
13,13,44.0,6.0,20.0,1.0,4760.0,35.0,1.0,40.0,2.0,4.0,False
14,14,53.0,4.0,17.0,2.0,5820.0,35.0,13.0,40.0,2.0,5.0,False
15,15,59.0,6.0,22.0,2.0,710.0,6.0,0.0,40.0,1.0,1.0,True
16,16,59.0,1.0,18.0,1.0,9121.0,35.0,1.0,25.0,2.0,1.0,False
17,17,57.0,1.0,24.0,1.0,1760.0,29.0,0.0,40.0,2.0,1.0,True
18,18,64.0,1.0,20.0,2.0,3255.0,36.0,0.0,48.0,2.0,1.0,True
19,19,34.0,3.0,21.0,1.0,3710.0,35.0,1.0,42.0,2.0,4.0,False
20,20,32.0,1.0,19.0,2.0,3602.0,35.0,0.0,60.0,1.0,4.0,False
21,21,68.0,1.0,18.0,2.0,9645.0,48.0,0.0,40.0,1.0,1.0,False
22,22,42.0,1.0,12.0,1.0,6260.0,303.0,16.0,40.0,1.0,1.0,False
23,23,56.0,6.0,21.0,2.0,2710.0,48.0,13.0,40.0,1.0,1.0,True
24,24,61.0,4.0,18.0,2.0,5710.0,35.0,0.0,40.0,2.0,4.0,False
