,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,9872,59.0,7.0,16.0,1.0,4700.0,217.0,0.0,50.0,1.0,3.0,True
1,9873,63.0,1.0,21.0,1.0,1360.0,27.0,1.0,50.0,2.0,1.0,True
2,9874,58.0,2.0,22.0,1.0,120.0,27.0,0.0,45.0,2.0,1.0,True
3,9875,62.0,1.0,16.0,1.0,8300.0,19.0,1.0,30.0,2.0,1.0,False
4,9876,36.0,1.0,20.0,2.0,4760.0,39.0,0.0,32.0,2.0,2.0,False
5,9877,31.0,2.0,21.0,1.0,2320.0,6.0,1.0,35.0,2.0,1.0,False
6,9878,34.0,2.0,21.0,2.0,420.0,6.0,0.0,40.0,2.0,1.0,False
7,9879,20.0,1.0,19.0,2.0,7220.0,1.0,5.0,20.0,1.0,1.0,False
8,9880,21.0,1.0,16.0,2.0,4760.0,233.0,2.0,18.0,2.0,3.0,False
9,9881,22.0,6.0,17.0,2.0,9142.0,32.0,7.0,20.0,1.0,1.0,False
10,9882,55.0,1.0,20.0,1.0,4220.0,32.0,0.0,42.0,1.0,1.0,False
11,9883,38.0,1.0,17.0,2.0,4400.0,370.0,0.0,40.0,2.0,1.0,True
12,9884,24.0,1.0,16.0,2.0,4720.0,32.0,15.0,40.0,2.0,3.0,False
13,9885,26.0,1.0,19.0,1.0,5400.0,6.0,1.0,40.0,2.0,1.0,False
14,9886,41.0,6.0,19.0,1.0,1032.0,26.0,0.0,40.0,1.0,1.0,True
15,9887,67.0,6.0,22.0,1.0,2360.0,6.0,0.0,16.0,1.0,1.0,True
16,9888,47.0,1.0,18.0,1.0,9050.0,6.0,2.0,40.0,1.0,1.0,True
17,9889,23.0,6.0,16.0,2.0,7640.0,32.0,2.0,15.0,1.0,5.0,False
18,9890,40.0,1.0,20.0,2.0,5410.0,32.0,0.0,40.0,2.0,1.0,False
19,9891,35.0,1.0,14.0,1.0,9130.0,53.0,0.0,50.0,1.0,1.0,False
20,9892,62.0,3.0,18.0,1.0,5000.0,34.0,0.0,40.0,1.0,1.0,True
21,9893,38.0,6.0,19.0,1.0,4230.0,312.0,10.0,40.0,2.0,1.0,False
22,9894,24.0,1.0,21.0,1.0,4760.0,12.0,0.0,40.0,2.0,1.0,False
23,9895,49.0,1.0,22.0,2.0,4850.0,19.0,0.0,50.0,1.0,1.0,True
