,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,68681,22.0,1.0,16.0,2.0,3640.0,36.0,2.0,35.0,2.0,1.0,False
1,68682,27.0,1.0,22.0,1.0,2545.0,28.0,1.0,35.0,2.0,2.0,False
2,68683,55.0,1.0,21.0,2.0,5710.0,36.0,0.0,40.0,2.0,1.0,True
3,68684,35.0,1.0,18.0,1.0,4700.0,36.0,1.0,40.0,1.0,1.0,True
4,68685,55.0,1.0,14.0,1.0,4230.0,333.0,5.0,40.0,2.0,2.0,False
5,68686,50.0,6.0,1.0,1.0,2910.0,246.0,0.0,10.0,1.0,1.0,False
6,68687,58.0,2.0,21.0,2.0,2751.0,42.0,0.0,29.0,2.0,1.0,True
7,68688,36.0,1.0,21.0,2.0,52.0,19.0,0.0,40.0,2.0,1.0,True
8,68689,56.0,7.0,23.0,1.0,2100.0,36.0,1.0,40.0,1.0,1.0,True
9,68690,41.0,4.0,21.0,1.0,5860.0,240.0,1.0,40.0,2.0,3.0,False
10,68691,67.0,3.0,23.0,1.0,2100.0,36.0,0.0,40.0,2.0,1.0,True
11,68692,60.0,1.0,16.0,1.0,3601.0,312.0,0.0,36.0,2.0,5.0,False
12,68693,44.0,1.0,20.0,2.0,5110.0,36.0,0.0,50.0,2.0,1.0,False
13,68694,50.0,6.0,16.0,1.0,4230.0,36.0,1.0,40.0,2.0,1.0,False
14,68695,38.0,1.0,22.0,1.0,4710.0,217.0,1.0,40.0,2.0,3.0,True
15,68696,17.0,1.0,16.0,2.0,4720.0,36.0,2.0,18.0,1.0,2.0,False
16,68697,56.0,1.0,19.0,2.0,3930.0,341.0,0.0,40.0,1.0,2.0,False
17,68698,26.0,1.0,21.0,2.0,4920.0,34.0,5.0,60.0,1.0,1.0,True
18,68699,43.0,1.0,21.0,1.0,1021.0,209.0,0.0,40.0,1.0,3.0,True
19,68700,56.0,1.0,19.0,1.0,9130.0,35.0,0.0,40.0,1.0,1.0,True
20,68701,35.0,2.0,21.0,1.0,3255.0,36.0,0.0,48.0,1.0,1.0,True
21,68702,63.0,4.0,20.0,1.0,9121.0,27.0,1.0,25.0,2.0,1.0,False
22,68703,45.0,1.0,21.0,1.0,710.0,100.0,1.0,40.0,1.0,1.0,True
