,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,0,38.0,2.0,18.0,2.0,3640.0,26.0,13.0,28.0,2.0,1.0,False,51024
1,1,39.0,1.0,20.0,1.0,3603.0,36.0,0.0,40.0,2.0,1.0,True,51573
2,2,58.0,1.0,21.0,1.0,440.0,39.0,0.0,60.0,1.0,1.0,True,34263
3,3,51.0,1.0,19.0,1.0,5120.0,39.0,1.0,36.0,2.0,1.0,True,43976
4,4,53.0,5.0,16.0,1.0,8610.0,39.0,0.0,40.0,1.0,1.0,True,55277
5,5,65.0,1.0,19.0,1.0,9620.0,39.0,0.0,6.0,1.0,1.0,False,45473
6,6,18.0,1.0,19.0,2.0,5120.0,39.0,17.0,40.0,2.0,1.0,False,917
7,7,23.0,1.0,19.0,2.0,6442.0,19.0,13.0,45.0,1.0,1.0,False,10410
8,8,66.0,7.0,21.0,1.0,4700.0,39.0,0.0,35.0,1.0,1.0,True,9019
9,9,27.0,1.0,16.0,2.0,9640.0,39.0,16.0,45.0,1.0,1.0,False,909
10,10,58.0,1.0,16.0,2.0,310.0,39.0,0.0,45.0,2.0,1.0,False,58563
11,11,48.0,1.0,21.0,2.0,4760.0,39.0,0.0,40.0,1.0,1.0,True,6529
12,12,67.0,2.0,20.0,2.0,5110.0,39.0,0.0,40.0,2.0,1.0,True,43397
13,13,70.0,2.0,22.0,2.0,3255.0,25.0,13.0,20.0,2.0,1.0,False,34417
14,14,23.0,1.0,16.0,2.0,4600.0,39.0,4.0,3.0,2.0,1.0,False,35846
15,15,25.0,1.0,21.0,2.0,5240.0,39.0,13.0,36.0,2.0,1.0,False,56934
16,16,30.0,1.0,21.0,2.0,1720.0,72.0,0.0,43.0,2.0,1.0,False,53089
17,17,35.0,1.0,20.0,1.0,1460.0,18.0,0.0,50.0,1.0,1.0,True,47784
18,18,37.0,1.0,21.0,1.0,3255.0,39.0,0.0,32.0,2.0,1.0,False,13938
19,19,27.0,7.0,1.0,2.0,10.0,39.0,7.0,40.0,1.0,1.0,False,28399
20,20,63.0,1.0,16.0,1.0,5840.0,39.0,0.0,45.0,2.0,1.0,False,49443
21,21,72.0,2.0,19.0,1.0,2050.0,39.0,0.0,40.0,1.0,2.0,True,36479
22,22,29.0,1.0,22.0,1.0,630.0,39.0,0.0,45.0,2.0,1.0,True,50104
23,23,58.0,1.0,16.0,2.0,4965.0,39.0,0.0,15.0,1.0,2.0,False,17957
24,24,17.0,1.0,12.0,2.0,4150.0,39.0,2.0,14.0,1.0,2.0,False,38986
25,25,22.0,1.0,19.0,2.0,800.0,39.0,12.0,20.0,1.0,1.0,False,3836
26,26,34.0,7.0,11.0,2.0,4252.0,39.0,5.0,48.0,1.0,1.0,False,27791
27,27,31.0,1.0,20.0,2.0,310.0,12.0,0.0,40.0,2.0,1.0,False,22556
28,28,55.0,1.0,19.0,2.0,20.0,39.0,0.0,25.0,1.0,5.0,False,60044
29,29,17.0,1.0,14.0,2.0,4055.0,39.0,2.0,20.0,1.0,1.0,False,19649
30,30,42.0,1.0,16.0,2.0,7750.0,39.0,2.0,40.0,1.0,1.0,False,21090
31,31,21.0,1.0,19.0,2.0,4150.0,39.0,13.0,39.0,1.0,1.0,False,50202
32,32,35.0,1.0,21.0,1.0,3255.0,39.0,1.0,36.0,2.0,1.0,True,5814
33,33,56.0,1.0,16.0,2.0,9130.0,39.0,0.0,40.0,1.0,1.0,False,27393
34,34,53.0,1.0,18.0,2.0,8990.0,39.0,11.0,40.0,1.0,2.0,False,52716
35,35,54.0,2.0,22.0,1.0,2310.0,39.0,0.0,32.0,2.0,1.0,False,6874
36,36,70.0,6.0,23.0,1.0,2100.0,36.0,0.0,4.0,1.0,1.0,True,27080
37,37,28.0,2.0,22.0,1.0,3255.0,39.0,2.0,40.0,2.0,3.0,True,9204
38,38,54.0,1.0,16.0,1.0,7315.0,39.0,1.0,40.0,1.0,1.0,False,54556
39,39,66.0,1.0,16.0,2.0,9130.0,54.0,0.0,43.0,1.0,1.0,False,14363
40,40,29.0,1.0,16.0,2.0,9620.0,39.0,2.0,40.0,2.0,1.0,False,10308
41,41,66.0,6.0,16.0,1.0,9130.0,39.0,0.0,42.0,1.0,1.0,False,41873
42,42,19.0,1.0,19.0,2.0,4940.0,17.0,17.0,2.0,1.0,3.0,False,550
43,43,25.0,1.0,20.0,2.0,4760.0,39.0,2.0,40.0,2.0,1.0,False,20145
44,44,42.0,1.0,16.0,1.0,4700.0,39.0,0.0,45.0,1.0,1.0,False,39259
45,45,46.0,1.0,16.0,2.0,4830.0,39.0,0.0,40.0,2.0,2.0,False,27527
46,46,49.0,1.0,19.0,1.0,1108.0,39.0,1.0,55.0,2.0,1.0,True,60441
47,47,25.0,2.0,16.0,1.0,3601.0,39.0,0.0,40.0,2.0,2.0,False,43595
48,48,44.0,1.0,17.0,1.0,9620.0,39.0,2.0,30.0,1.0,1.0,False,14728
49,49,25.0,1.0,19.0,2.0,1910.0,28.0,12.0,50.0,2.0,1.0,False,7020
50,50,57.0,1.0,19.0,1.0,440.0,215.0,1.0,50.0,1.0,1.0,False,11077
51,51,27.0,1.0,13.0,2.0,4055.0,39.0,11.0,25.0,2.0,1.0,False,49962
52,52,64.0,2.0,16.0,1.0,5740.0,39.0,1.0,40.0,2.0,1.0,False,27331
53,53,23.0,1.0,20.0,2.0,8930.0,39.0,2.0,40.0,1.0,1.0,False,20710
54,54,32.0,1.0,22.0,1.0,1450.0,242.0,1.0,40.0,2.0,3.0,True,37933
55,55,35.0,1.0,18.0,2.0,2016.0,39.0,0.0,20.0,2.0,2.0,False,28864
56,56,32.0,1.0,19.0,2.0,4110.0,39.0,13.0,20.0,2.0,1.0,False,18493
57,57,49.0,6.0,22.0,2.0,1021.0,39.0,0.0,15.0,2.0,1.0,False,61572
58,58,57.0,1.0,21.0,2.0,2830.0,9.0,0.0,40.0,2.0,1.0,True,12688
59,59,51.0,1.0,19.0,1.0,5400.0,45.0,1.0,15.0,2.0,1.0,False,54089
60,60,46.0,1.0,19.0,2.0,4830.0,39.0,2.0,40.0,2.0,1.0,False,41846
61,61,48.0,1.0,15.0,1.0,9130.0,39.0,0.0,40.0,1.0,1.0,True,34918
62,62,71.0,1.0,21.0,2.0,3255.0,39.0,0.0,24.0,2.0,2.0,True,21361
63,63,54.0,1.0,20.0,2.0,3603.0,39.0,0.0,20.0,2.0,1.0,False,13085
