,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,45308,33.0,1.0,16.0,2.0,4020.0,48.0,0.0,20.0,2.0,1.0,False
1,45309,63.0,6.0,19.0,1.0,220.0,48.0,1.0,16.0,1.0,1.0,False
2,45310,43.0,7.0,16.0,1.0,6260.0,48.0,1.0,40.0,1.0,1.0,False
3,45311,50.0,1.0,9.0,1.0,4020.0,312.0,8.0,24.0,2.0,5.0,False
4,45312,38.0,3.0,22.0,1.0,2320.0,48.0,1.0,60.0,1.0,1.0,True
5,45313,57.0,4.0,22.0,1.0,230.0,48.0,0.0,40.0,1.0,1.0,True
6,45314,38.0,1.0,16.0,1.0,4700.0,48.0,0.0,40.0,2.0,1.0,False
7,45315,45.0,1.0,7.0,1.0,4020.0,312.0,1.0,40.0,2.0,1.0,False
8,45316,56.0,1.0,21.0,1.0,5120.0,36.0,1.0,40.0,2.0,1.0,True
9,45317,63.0,1.0,9.0,1.0,8000.0,303.0,0.0,40.0,1.0,1.0,False
10,45318,52.0,1.0,16.0,2.0,9620.0,48.0,2.0,20.0,1.0,1.0,False
11,45319,46.0,2.0,19.0,1.0,5820.0,48.0,0.0,40.0,2.0,1.0,False
12,45320,43.0,1.0,10.0,1.0,9600.0,303.0,0.0,60.0,1.0,1.0,False
13,45321,26.0,1.0,21.0,1.0,7700.0,39.0,0.0,50.0,2.0,1.0,True
14,45322,50.0,2.0,22.0,2.0,2050.0,13.0,17.0,50.0,2.0,1.0,False
15,45323,60.0,1.0,19.0,1.0,120.0,48.0,0.0,40.0,2.0,2.0,True
16,45324,50.0,1.0,12.0,2.0,9130.0,48.0,0.0,40.0,1.0,5.0,False
17,45325,21.0,1.0,19.0,2.0,4220.0,48.0,12.0,15.0,2.0,5.0,False
18,45326,53.0,6.0,16.0,1.0,9130.0,48.0,0.0,50.0,1.0,1.0,False
19,45327,50.0,1.0,21.0,1.0,350.0,303.0,1.0,40.0,1.0,1.0,True
20,45328,65.0,1.0,21.0,1.0,1065.0,48.0,1.0,40.0,1.0,1.0,True
21,45329,53.0,1.0,16.0,1.0,4850.0,215.0,0.0,40.0,1.0,1.0,True
22,45330,26.0,1.0,18.0,2.0,4720.0,12.0,0.0,30.0,1.0,5.0,False
23,45331,26.0,1.0,21.0,2.0,860.0,12.0,13.0,40.0,2.0,1.0,False
24,45332,52.0,1.0,16.0,2.0,9640.0,48.0,0.0,40.0,2.0,1.0,False
25,45333,68.0,1.0,17.0,1.0,4200.0,120.0,0.0,80.0,1.0,1.0,True
26,45334,69.0,4.0,22.0,1.0,10.0,48.0,0.0,10.0,1.0,1.0,False
27,45335,54.0,1.0,21.0,1.0,5740.0,48.0,0.0,60.0,2.0,1.0,True
28,45336,36.0,1.0,16.0,1.0,52.0,48.0,1.0,50.0,1.0,1.0,True
29,45337,29.0,1.0,16.0,1.0,2721.0,45.0,11.0,40.0,1.0,1.0,False
30,45338,17.0,1.0,18.0,2.0,4030.0,48.0,2.0,30.0,2.0,1.0,False
31,45339,18.0,1.0,16.0,2.0,4110.0,48.0,2.0,30.0,1.0,1.0,False
32,45340,45.0,1.0,18.0,2.0,8320.0,48.0,0.0,40.0,2.0,1.0,False
33,45341,76.0,3.0,18.0,1.0,9121.0,48.0,0.0,40.0,1.0,1.0,False
34,45342,65.0,6.0,21.0,1.0,4810.0,48.0,0.0,50.0,1.0,1.0,True
35,45343,36.0,2.0,16.0,1.0,2016.0,48.0,1.0,35.0,2.0,1.0,False
36,45344,20.0,2.0,18.0,2.0,5240.0,48.0,17.0,20.0,2.0,1.0,False
37,45345,29.0,2.0,20.0,2.0,5610.0,28.0,0.0,40.0,1.0,2.0,False
38,45346,33.0,1.0,12.0,1.0,6230.0,303.0,10.0,40.0,1.0,1.0,False
39,45347,62.0,2.0,22.0,1.0,2050.0,40.0,1.0,20.0,1.0,1.0,False
40,45348,38.0,2.0,22.0,1.0,4600.0,48.0,1.0,15.0,2.0,1.0,False
41,45349,18.0,1.0,16.0,1.0,4700.0,48.0,1.0,50.0,2.0,5.0,False
42,45350,38.0,6.0,19.0,1.0,5940.0,48.0,0.0,3.0,2.0,1.0,False
