,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,30763,49.0,2.0,18.0,1.0,2300.0,126.0,1.0,20.0,2.0,1.0,False
1,30764,48.0,1.0,22.0,2.0,710.0,51.0,0.0,42.0,2.0,1.0,True
2,30765,27.0,1.0,16.0,2.0,4220.0,51.0,17.0,8.0,2.0,2.0,False
3,30766,32.0,4.0,17.0,2.0,4220.0,51.0,16.0,30.0,1.0,1.0,False
4,30767,40.0,6.0,16.0,2.0,4840.0,51.0,13.0,10.0,2.0,1.0,False
5,30768,56.0,1.0,16.0,2.0,8320.0,51.0,0.0,44.0,1.0,1.0,False
6,30769,64.0,6.0,21.0,1.0,2360.0,36.0,0.0,40.0,1.0,1.0,False
7,30770,61.0,2.0,21.0,1.0,4920.0,51.0,0.0,40.0,2.0,1.0,False
8,30771,31.0,1.0,22.0,1.0,1031.0,39.0,0.0,40.0,1.0,1.0,True
9,30772,35.0,2.0,23.0,2.0,1006.0,48.0,0.0,40.0,2.0,1.0,True
10,30773,18.0,1.0,19.0,2.0,4720.0,51.0,2.0,6.0,2.0,1.0,False
11,30774,30.0,1.0,20.0,2.0,630.0,39.0,13.0,40.0,2.0,1.0,False
12,30775,64.0,3.0,22.0,1.0,2330.0,138.0,0.0,46.0,1.0,1.0,True
13,30776,47.0,1.0,19.0,1.0,2360.0,51.0,1.0,40.0,1.0,1.0,False
14,30777,60.0,1.0,17.0,1.0,7330.0,51.0,0.0,40.0,1.0,2.0,False
15,30778,41.0,5.0,22.0,1.0,9830.0,30.0,0.0,60.0,1.0,1.0,False
16,30779,51.0,1.0,16.0,1.0,5740.0,12.0,1.0,40.0,2.0,1.0,False
17,30780,20.0,1.0,16.0,2.0,6260.0,51.0,17.0,40.0,1.0,2.0,False
18,30781,35.0,5.0,21.0,1.0,9800.0,42.0,0.0,50.0,1.0,1.0,True
19,30782,48.0,2.0,19.0,1.0,230.0,37.0,1.0,40.0,1.0,1.0,True
20,30783,20.0,3.0,16.0,2.0,4220.0,51.0,2.0,30.0,1.0,5.0,False
21,30784,75.0,1.0,21.0,1.0,850.0,51.0,0.0,45.0,1.0,1.0,True
22,30785,40.0,3.0,22.0,1.0,2310.0,42.0,0.0,50.0,2.0,1.0,True
23,30786,46.0,5.0,20.0,1.0,3930.0,17.0,1.0,40.0,2.0,5.0,True
24,30787,54.0,2.0,18.0,1.0,3960.0,51.0,0.0,36.0,2.0,1.0,False
25,30788,47.0,1.0,18.0,1.0,20.0,51.0,0.0,50.0,1.0,1.0,True
26,30789,61.0,1.0,16.0,2.0,3645.0,303.0,0.0,40.0,2.0,5.0,False
27,30790,18.0,1.0,14.0,2.0,4760.0,51.0,2.0,15.0,1.0,1.0,False
28,30791,20.0,1.0,16.0,2.0,5240.0,51.0,3.0,40.0,2.0,1.0,False
29,30792,62.0,1.0,20.0,1.0,9130.0,51.0,5.0,40.0,2.0,2.0,False
30,30793,42.0,3.0,21.0,1.0,1970.0,51.0,1.0,37.0,1.0,1.0,False
31,30794,20.0,1.0,19.0,2.0,4622.0,51.0,12.0,35.0,1.0,1.0,False
32,30795,19.0,1.0,15.0,2.0,4720.0,51.0,0.0,30.0,2.0,2.0,False
33,30796,46.0,1.0,19.0,1.0,3930.0,51.0,1.0,41.0,1.0,2.0,False
34,30797,18.0,2.0,18.0,2.0,3960.0,51.0,17.0,12.0,2.0,1.0,False
35,30798,47.0,7.0,16.0,1.0,6200.0,22.0,0.0,40.0,1.0,1.0,True
36,30799,18.0,1.0,16.0,2.0,5260.0,51.0,2.0,10.0,2.0,1.0,False
37,30800,21.0,1.0,16.0,1.0,5240.0,51.0,2.0,10.0,2.0,1.0,False
38,30801,31.0,1.0,21.0,1.0,600.0,51.0,1.0,50.0,1.0,1.0,True
39,30802,47.0,1.0,21.0,1.0,4110.0,303.0,0.0,88.0,1.0,1.0,False
40,30803,32.0,1.0,20.0,1.0,4700.0,164.0,0.0,40.0,1.0,1.0,False
41,30804,57.0,5.0,18.0,1.0,9122.0,26.0,1.0,40.0,1.0,2.0,False
