,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,0,38.0,4.0,20.0,2.0,9130.0,50.0,13.0,45.0,1.0,1.0,False
1,1,56.0,1.0,21.0,1.0,10.0,50.0,0.0,50.0,1.0,1.0,True
2,2,24.0,1.0,20.0,2.0,6230.0,36.0,17.0,45.0,1.0,1.0,False
3,3,55.0,1.0,16.0,2.0,6230.0,50.0,0.0,40.0,1.0,1.0,False
4,4,24.0,1.0,21.0,1.0,1021.0,50.0,0.0,40.0,1.0,1.0,True
5,5,40.0,7.0,21.0,1.0,6230.0,23.0,0.0,55.0,1.0,1.0,True
6,6,47.0,1.0,19.0,1.0,4700.0,50.0,1.0,55.0,1.0,1.0,True
7,7,48.0,1.0,18.0,1.0,7220.0,50.0,0.0,40.0,1.0,1.0,True
8,8,26.0,1.0,18.0,2.0,9620.0,50.0,0.0,45.0,2.0,1.0,False
9,9,58.0,1.0,16.0,1.0,7340.0,50.0,0.0,42.0,1.0,1.0,True
10,10,34.0,2.0,21.0,1.0,120.0,50.0,1.0,40.0,1.0,1.0,True
11,11,32.0,1.0,16.0,2.0,6730.0,50.0,10.0,20.0,1.0,1.0,False
12,12,52.0,1.0,17.0,2.0,5240.0,50.0,13.0,41.0,2.0,1.0,True
13,13,44.0,1.0,21.0,1.0,3160.0,50.0,1.0,22.0,2.0,1.0,False
14,14,52.0,1.0,20.0,1.0,1430.0,51.0,0.0,40.0,1.0,1.0,True
15,15,26.0,3.0,21.0,1.0,3422.0,50.0,0.0,38.0,2.0,1.0,False
16,16,49.0,6.0,20.0,1.0,51.0,26.0,0.0,20.0,2.0,1.0,False
17,17,33.0,1.0,16.0,2.0,8030.0,36.0,0.0,52.0,1.0,1.0,False
18,18,28.0,2.0,16.0,2.0,4130.0,33.0,0.0,40.0,2.0,1.0,False
19,19,52.0,1.0,19.0,1.0,9645.0,8.0,1.0,4.0,2.0,1.0,False
20,20,61.0,6.0,19.0,1.0,6520.0,50.0,1.0,50.0,1.0,1.0,True
21,21,67.0,1.0,23.0,2.0,5120.0,36.0,0.0,20.0,2.0,1.0,False
22,22,20.0,1.0,18.0,2.0,4760.0,44.0,17.0,12.0,2.0,1.0,False
23,23,62.0,1.0,16.0,2.0,4120.0,50.0,0.0,30.0,2.0,1.0,False
24,24,69.0,7.0,23.0,1.0,2100.0,42.0,1.0,40.0,1.0,1.0,True
25,25,78.0,4.0,22.0,2.0,2861.0,53.0,0.0,7.0,2.0,1.0,False
26,26,43.0,2.0,18.0,1.0,5860.0,6.0,1.0,60.0,2.0,1.0,True
27,27,60.0,5.0,16.0,1.0,5550.0,50.0,0.0,40.0,1.0,1.0,True
