,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,26630,39.0,1.0,9.0,1.0,4230.0,312.0,1.0,5.0,2.0,5.0,False
1,26631,52.0,1.0,21.0,1.0,565.0,41.0,0.0,45.0,2.0,1.0,True
2,26632,29.0,1.0,13.0,2.0,6230.0,53.0,0.0,40.0,1.0,1.0,False
3,26633,25.0,1.0,16.0,2.0,9600.0,53.0,2.0,28.0,2.0,1.0,False
4,26634,55.0,1.0,22.0,1.0,1545.0,217.0,1.0,40.0,1.0,3.0,True
5,26635,51.0,1.0,17.0,1.0,7810.0,53.0,1.0,40.0,1.0,1.0,False
6,26636,34.0,1.0,20.0,2.0,5860.0,303.0,0.0,40.0,2.0,1.0,False
7,26637,52.0,4.0,24.0,1.0,2205.0,42.0,1.0,50.0,1.0,1.0,True
8,26638,34.0,1.0,22.0,1.0,3655.0,53.0,1.0,40.0,1.0,1.0,False
9,26639,17.0,1.0,16.0,2.0,4230.0,53.0,4.0,35.0,2.0,1.0,False
10,26640,23.0,1.0,21.0,2.0,2145.0,53.0,2.0,40.0,2.0,1.0,False
11,26641,33.0,7.0,11.0,1.0,9130.0,20.0,0.0,60.0,1.0,1.0,False
12,26642,28.0,5.0,16.0,1.0,5000.0,29.0,0.0,50.0,1.0,1.0,True
13,26643,23.0,4.0,21.0,2.0,2310.0,53.0,2.0,40.0,2.0,1.0,False
14,26644,43.0,4.0,16.0,1.0,630.0,110.0,0.0,45.0,1.0,1.0,True
15,26645,24.0,1.0,22.0,1.0,2310.0,53.0,1.0,20.0,2.0,1.0,False
16,26646,40.0,1.0,19.0,2.0,1021.0,26.0,0.0,45.0,1.0,1.0,True
17,26647,68.0,2.0,19.0,2.0,5120.0,53.0,0.0,32.0,2.0,1.0,True
18,26648,59.0,3.0,18.0,1.0,9430.0,53.0,0.0,40.0,1.0,4.0,True
19,26649,49.0,3.0,22.0,1.0,2300.0,53.0,1.0,50.0,2.0,1.0,False
20,26650,36.0,1.0,21.0,2.0,4710.0,6.0,0.0,50.0,1.0,1.0,False
21,26651,47.0,1.0,19.0,1.0,230.0,39.0,0.0,45.0,2.0,2.0,True
22,26652,54.0,3.0,21.0,1.0,2310.0,53.0,1.0,30.0,2.0,1.0,False
23,26653,40.0,1.0,19.0,1.0,1021.0,49.0,0.0,50.0,1.0,1.0,True
24,26654,52.0,1.0,13.0,2.0,3602.0,41.0,10.0,28.0,2.0,1.0,False
25,26655,54.0,6.0,16.0,1.0,4340.0,53.0,1.0,30.0,2.0,1.0,False
26,26656,50.0,4.0,21.0,2.0,2205.0,53.0,0.0,40.0,2.0,1.0,True
27,26657,60.0,1.0,18.0,2.0,7020.0,6.0,0.0,40.0,1.0,1.0,True
28,26658,24.0,1.0,19.0,1.0,5400.0,53.0,0.0,42.0,2.0,1.0,False
