,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,10897,26.0,1.0,21.0,2.0,735.0,210.0,13.0,40.0,2.0,3.0,True
1,10898,70.0,6.0,16.0,1.0,4240.0,55.0,0.0,8.0,1.0,1.0,False
2,10899,28.0,1.0,22.0,1.0,1021.0,210.0,0.0,40.0,1.0,3.0,True
3,10900,44.0,1.0,15.0,2.0,7700.0,42.0,0.0,55.0,1.0,1.0,True
4,10901,55.0,1.0,16.0,2.0,4720.0,55.0,2.0,40.0,2.0,1.0,False
5,10902,47.0,3.0,20.0,1.0,5940.0,55.0,0.0,40.0,2.0,1.0,False
6,10903,28.0,1.0,20.0,2.0,7200.0,34.0,2.0,60.0,1.0,1.0,True
7,10904,18.0,3.0,16.0,2.0,4600.0,55.0,2.0,25.0,2.0,1.0,False
8,10905,27.0,5.0,19.0,2.0,4720.0,55.0,4.0,20.0,2.0,4.0,False
9,10906,52.0,1.0,19.0,1.0,8990.0,17.0,1.0,40.0,1.0,1.0,True
10,10907,65.0,6.0,16.0,1.0,6230.0,55.0,0.0,20.0,1.0,1.0,False
11,10908,19.0,1.0,19.0,2.0,4020.0,27.0,12.0,30.0,2.0,3.0,False
12,10909,42.0,1.0,20.0,1.0,2360.0,55.0,1.0,3.0,2.0,1.0,False
13,10910,47.0,1.0,15.0,2.0,8225.0,55.0,15.0,40.0,1.0,1.0,False
14,10911,52.0,6.0,16.0,1.0,6230.0,55.0,1.0,20.0,1.0,1.0,False
15,10912,50.0,2.0,21.0,1.0,5740.0,19.0,0.0,10.0,2.0,1.0,False
16,10913,74.0,1.0,16.0,2.0,8990.0,26.0,0.0,10.0,1.0,1.0,False
17,10914,27.0,1.0,18.0,2.0,5610.0,55.0,0.0,40.0,1.0,1.0,False
18,10915,43.0,1.0,21.0,1.0,110.0,55.0,1.0,65.0,1.0,1.0,True
19,10916,27.0,1.0,16.0,2.0,4010.0,24.0,0.0,60.0,1.0,1.0,False
20,10917,32.0,1.0,18.0,2.0,5160.0,17.0,2.0,40.0,2.0,1.0,False
21,10918,45.0,1.0,20.0,1.0,3602.0,55.0,1.0,30.0,2.0,1.0,False
22,10919,38.0,7.0,19.0,1.0,140.0,55.0,1.0,50.0,1.0,1.0,True
23,10920,37.0,1.0,20.0,1.0,1460.0,215.0,1.0,48.0,1.0,1.0,True
24,10921,55.0,6.0,15.0,1.0,440.0,72.0,1.0,40.0,1.0,1.0,False
25,10922,40.0,1.0,18.0,2.0,8225.0,55.0,0.0,24.0,1.0,1.0,False
26,10923,50.0,1.0,16.0,1.0,440.0,55.0,1.0,43.0,1.0,1.0,True
27,10924,22.0,3.0,21.0,2.0,4435.0,17.0,13.0,30.0,1.0,1.0,False
28,10925,55.0,3.0,21.0,1.0,2330.0,18.0,1.0,45.0,2.0,1.0,True
29,10926,39.0,1.0,20.0,1.0,3630.0,55.0,0.0,30.0,2.0,1.0,False
30,10927,56.0,1.0,16.0,1.0,8810.0,55.0,1.0,40.0,1.0,1.0,False
31,10928,49.0,1.0,18.0,1.0,5240.0,55.0,0.0,37.0,2.0,1.0,False
32,10929,61.0,2.0,16.0,1.0,5120.0,55.0,1.0,40.0,2.0,1.0,False
33,10930,64.0,1.0,20.0,1.0,3515.0,55.0,0.0,35.0,2.0,1.0,False
34,10931,26.0,4.0,21.0,2.0,2310.0,55.0,2.0,40.0,1.0,1.0,False
35,10932,56.0,1.0,19.0,1.0,860.0,55.0,0.0,38.0,2.0,1.0,True
36,10933,51.0,1.0,14.0,2.0,52.0,55.0,0.0,50.0,1.0,1.0,True
37,10934,59.0,1.0,19.0,1.0,8140.0,55.0,1.0,43.0,1.0,1.0,False
38,10935,30.0,1.0,16.0,1.0,8990.0,55.0,0.0,40.0,2.0,1.0,False
39,10936,63.0,4.0,24.0,1.0,3090.0,41.0,1.0,60.0,2.0,1.0,True
40,10937,61.0,6.0,16.0,1.0,205.0,17.0,1.0,70.0,2.0,1.0,False
41,10938,58.0,1.0,16.0,2.0,7220.0,55.0,0.0,50.0,1.0,1.0,False
42,10939,29.0,3.0,18.0,2.0,3802.0,55.0,0.0,40.0,1.0,1.0,False
43,10940,41.0,1.0,21.0,1.0,3324.0,55.0,1.0,40.0,2.0,1.0,True
44,10941,31.0,1.0,19.0,2.0,9620.0,55.0,0.0,44.0,1.0,1.0,False
45,10942,36.0,1.0,19.0,1.0,1007.0,55.0,0.0,40.0,2.0,1.0,True
46,10943,35.0,2.0,22.0,1.0,420.0,55.0,0.0,35.0,2.0,1.0,False
47,10944,34.0,3.0,21.0,2.0,2545.0,55.0,0.0,30.0,2.0,1.0,False
48,10945,54.0,1.0,16.0,1.0,6200.0,55.0,0.0,55.0,1.0,1.0,True
49,10946,44.0,4.0,20.0,1.0,2545.0,55.0,0.0,35.0,2.0,1.0,False
50,10947,42.0,1.0,21.0,1.0,4710.0,55.0,0.0,50.0,1.0,1.0,True
51,10948,45.0,1.0,21.0,1.0,850.0,55.0,1.0,40.0,1.0,1.0,True
52,10949,41.0,1.0,19.0,1.0,1530.0,303.0,0.0,40.0,1.0,5.0,False
53,10950,32.0,3.0,19.0,1.0,3870.0,303.0,1.0,30.0,1.0,1.0,False
54,10951,20.0,1.0,19.0,2.0,4540.0,55.0,0.0,25.0,2.0,1.0,False
55,10952,57.0,4.0,21.0,1.0,5400.0,233.0,1.0,40.0,2.0,3.0,False
56,10953,31.0,4.0,21.0,2.0,1105.0,55.0,13.0,40.0,2.0,1.0,True
57,10954,38.0,1.0,16.0,2.0,9640.0,303.0,0.0,45.0,1.0,5.0,False
58,10955,65.0,1.0,16.0,1.0,4760.0,55.0,1.0,24.0,2.0,1.0,False
59,10956,38.0,1.0,22.0,1.0,710.0,210.0,0.0,40.0,2.0,3.0,True
60,10957,48.0,1.0,21.0,2.0,4710.0,55.0,0.0,40.0,2.0,1.0,True
61,10958,43.0,1.0,18.0,1.0,8990.0,55.0,0.0,40.0,1.0,1.0,True
62,10959,36.0,3.0,22.0,1.0,350.0,55.0,0.0,45.0,2.0,1.0,False
63,10960,60.0,2.0,22.0,1.0,600.0,55.0,1.0,55.0,1.0,1.0,True
64,10961,28.0,1.0,19.0,2.0,4020.0,55.0,2.0,35.0,1.0,1.0,False
65,10962,70.0,3.0,16.0,2.0,9141.0,17.0,0.0,16.0,2.0,1.0,False
66,10963,50.0,1.0,20.0,1.0,120.0,55.0,0.0,48.0,2.0,1.0,True
67,10964,56.0,6.0,16.0,2.0,9130.0,55.0,0.0,60.0,1.0,1.0,True
68,10965,29.0,2.0,20.0,2.0,8990.0,27.0,13.0,40.0,1.0,1.0,False
69,10966,69.0,1.0,22.0,1.0,1305.0,19.0,1.0,40.0,1.0,1.0,True
70,10967,60.0,1.0,16.0,1.0,9610.0,55.0,1.0,40.0,2.0,1.0,False
71,10968,35.0,1.0,19.0,2.0,440.0,17.0,0.0,40.0,1.0,1.0,True
72,10969,63.0,3.0,16.0,1.0,3500.0,55.0,1.0,42.0,2.0,1.0,False
73,10970,37.0,4.0,20.0,2.0,6355.0,18.0,13.0,40.0,1.0,1.0,False
74,10971,23.0,1.0,15.0,2.0,4020.0,55.0,2.0,30.0,1.0,1.0,False
75,10972,60.0,1.0,16.0,2.0,3940.0,28.0,17.0,35.0,1.0,2.0,False
76,10973,66.0,3.0,16.0,1.0,440.0,55.0,1.0,40.0,1.0,1.0,True
77,10974,80.0,7.0,16.0,1.0,5120.0,55.0,0.0,40.0,2.0,1.0,True
78,10975,28.0,1.0,21.0,1.0,3030.0,55.0,1.0,40.0,2.0,1.0,False
79,10976,57.0,1.0,16.0,1.0,4220.0,55.0,0.0,40.0,1.0,1.0,True
80,10977,68.0,1.0,23.0,2.0,2850.0,55.0,0.0,45.0,1.0,1.0,False
81,10978,59.0,1.0,21.0,1.0,440.0,26.0,0.0,52.0,1.0,1.0,True
82,10979,53.0,3.0,18.0,1.0,3603.0,55.0,1.0,40.0,2.0,1.0,True
83,10980,17.0,1.0,14.0,2.0,4120.0,39.0,7.0,20.0,2.0,1.0,False
84,10981,64.0,1.0,19.0,1.0,7540.0,55.0,1.0,45.0,1.0,1.0,False
85,10982,60.0,1.0,16.0,2.0,630.0,55.0,0.0,55.0,2.0,1.0,True
86,10983,27.0,1.0,16.0,2.0,5610.0,27.0,2.0,40.0,1.0,1.0,False
87,10984,41.0,2.0,16.0,2.0,9620.0,55.0,17.0,15.0,2.0,1.0,False
88,10985,25.0,1.0,20.0,2.0,3655.0,55.0,2.0,40.0,2.0,1.0,False
89,10986,19.0,1.0,19.0,2.0,8300.0,13.0,17.0,47.0,2.0,1.0,False
90,10987,22.0,2.0,16.0,2.0,5400.0,17.0,17.0,8.0,1.0,3.0,False
91,10988,61.0,1.0,21.0,1.0,2310.0,27.0,1.0,50.0,2.0,1.0,True
92,10989,51.0,1.0,16.0,1.0,8990.0,55.0,1.0,40.0,2.0,1.0,False
93,10990,49.0,3.0,18.0,1.0,140.0,55.0,0.0,40.0,1.0,1.0,True
94,10991,55.0,1.0,19.0,1.0,7905.0,55.0,1.0,40.0,1.0,1.0,False
95,10992,35.0,1.0,21.0,1.0,440.0,55.0,0.0,47.0,1.0,1.0,True
96,10993,46.0,1.0,20.0,2.0,1530.0,55.0,0.0,40.0,2.0,1.0,True
97,10994,27.0,2.0,19.0,2.0,230.0,55.0,0.0,20.0,2.0,1.0,False
98,10995,57.0,6.0,19.0,1.0,6230.0,8.0,0.0,50.0,1.0,1.0,False
