,Unnamed: 0,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
0,0,62.0,1.0,21.0,1.0,2840.0,54.0,0.0,45.0,2.0,1.0,False,2212
1,1,57.0,1.0,16.0,1.0,9600.0,54.0,1.0,50.0,2.0,1.0,False,7097
2,2,68.0,1.0,18.0,2.0,4800.0,51.0,0.0,24.0,2.0,1.0,False,970
3,3,50.0,5.0,21.0,2.0,5740.0,42.0,0.0,40.0,2.0,1.0,True,6383
4,4,19.0,1.0,17.0,2.0,4055.0,54.0,2.0,35.0,1.0,1.0,False,7201
5,5,66.0,1.0,19.0,1.0,9130.0,54.0,1.0,39.0,1.0,1.0,True,4621
6,6,51.0,1.0,21.0,1.0,4720.0,37.0,0.0,30.0,2.0,1.0,True,911
7,7,76.0,7.0,19.0,2.0,440.0,54.0,0.0,84.0,2.0,1.0,False,1013
8,8,40.0,2.0,20.0,1.0,350.0,39.0,1.0,34.0,2.0,1.0,False,7254
9,9,62.0,1.0,16.0,1.0,9645.0,54.0,0.0,40.0,1.0,1.0,False,2941
10,10,32.0,2.0,16.0,1.0,350.0,54.0,0.0,35.0,2.0,1.0,False,3120
11,11,29.0,2.0,23.0,2.0,3090.0,21.0,0.0,80.0,2.0,1.0,True,5498
12,12,18.0,1.0,16.0,2.0,4720.0,54.0,2.0,25.0,2.0,1.0,False,322
13,13,61.0,2.0,16.0,1.0,4760.0,21.0,0.0,40.0,1.0,1.0,True,7307
14,14,45.0,2.0,18.0,2.0,3602.0,6.0,0.0,25.0,2.0,1.0,False,2899
15,15,26.0,2.0,24.0,1.0,3620.0,54.0,1.0,30.0,2.0,1.0,False,2981
16,16,48.0,1.0,17.0,2.0,8990.0,54.0,0.0,50.0,1.0,1.0,False,426
17,17,21.0,3.0,16.0,2.0,4130.0,54.0,2.0,30.0,2.0,1.0,False,1096
18,18,55.0,1.0,17.0,1.0,7330.0,54.0,0.0,40.0,1.0,1.0,False,7124
