model,accuracy,value_DP_SEX,DP_SEX,value_DP_RACE,DP_RACE,value_DP_MAR,DP_MAR,dataset
LogisticRegression,0.7858585858585858,1.0_2.0,0.08502454991816694,4.0_5.0,0.34285714285714286,1.0_2.0,0.15519037469108213,AL_0
XGBoost,0.7845117845117845,1.0_2.0,0.12967812329514458,3.0_5.0,0.19047619047619047,1.0_2.0,0.18567396741077857,AL_0
LogisticRegression,0.7548821548821549,1.0_2.0,0.052166644814474916,4.0_5.0,0.2948717948717948,1.0_2.0,0.18114774258203534,AL_2
XGBoost,0.7878787878787878,1.0_2.0,0.1252513002054106,3.0_5.0,0.3846153846153846,1.0_2.0,0.18991751494972706,AL_2
LogisticRegression,0.7900172117039587,1.0_2.0,0.04620320855614973,3.0_4.0,0.3389450056116723,1.0_2.0,0.20942917447292905,NM_0
XGBoost,0.7796901893287436,1.0_2.0,0.060653594771241826,2.0_4.0,0.3135802469135803,1.0_2.0,0.24085185097351008,NM_0
LogisticRegression,0.7308868501529052,1.0_2.0,0.02919161676646706,3.0_2.0,0.16666666666666666,1.0_2.0,0.0968529571351058,SD_1
XGBoost,0.7247706422018348,1.0_2.0,0.12997754491017965,1.0_2.0,0.1806020066889632,1.0_2.0,0.1342144019843423,SD_1
LogisticRegression,0.7553516819571865,1.0_2.0,0.1197530864197531,1.0_2.0,0.15384615384615385,1.0_2.0,0.08361344537815127,SD_2
XGBoost,0.7859327217125383,1.0_2.0,0.11863075196408532,1.0_2.0,0.2140468227424749,1.0_2.0,0.1281130634071811,SD_2
LogisticRegression,0.7831775700934579,1.0_2.0,0.0241852535077422,1.0_4.0,0.32795698924731187,1.0_2.0,0.29622268847413347,MA_0
XGBoost,0.8067289719626168,1.0_2.0,0.10720554530717202,3.0_4.0,0.35098039215686283,1.0_2.0,0.3250927160317091,MA_0
LogisticRegression,0.7708779443254818,1.0_2.0,0.10528188625533758,1.0_5.0,0.1350275077875136,1.0_2.0,0.1797179252109543,IN_0
XGBoost,0.8004282655246253,1.0_2.0,0.17432420087287345,1.0_5.0,0.1706662226569817,1.0_2.0,0.2351514755287045,IN_0
LogisticRegression,0.7430406852248393,1.0_2.0,0.0652583658629533,3.0_5.0,0.3362282878411911,1.0_2.0,0.16021070006506954,IN_2
XGBoost,0.7940042826552463,1.0_2.0,0.1436399136597919,3.0_5.0,0.39991728701406115,1.0_2.0,0.22809871472661822,IN_2
LogisticRegression,0.7203703703703703,1.0_2.0,0.03567698542006101,3.0_5.0,1.0,1.0_2.0,0.1032380359593159,WV_0
XGBoost,0.7277777777777777,1.0_2.0,0.1396164932948991,3.0_5.0,0.9,1.0_2.0,0.22144261645754057,WV_0
LogisticRegression,0.7574074074074074,1.0_2.0,0.12621520106053913,3.0_1.0,0.3226120857699805,1.0_2.0,0.16475433951162108,WV_2
XGBoost,0.7703703703703704,1.0_2.0,0.2133782589482987,3.0_1.0,0.4420077972709552,1.0_2.0,0.18379355272559156,WV_2
LogisticRegression,0.7748294162244125,1.0_2.0,0.04813243595814287,1.0_5.0,0.16369365567635397,1.0_2.0,0.16883866657451566,FL_0
XGBoost,0.8107657316148598,1.0_2.0,0.10393245338111573,3.0_5.0,0.1971557853910795,1.0_2.0,0.19970972423802613,FL_0
LogisticRegression,0.762076749435666,1.0_2.0,0.02531855674823552,1.0_5.0,0.23158679026143364,1.0_2.0,0.20349239451654033,AZ_0
XGBoost,0.7905191873589165,1.0_2.0,0.0817577202587701,3.0_5.0,0.3405038357868546,1.0_2.0,0.20188794554757172,AZ_0
LogisticRegression,0.7796839729119639,1.0_2.0,0.07293842939658349,3.0_5.0,0.16995481927710845,1.0_2.0,0.18642852827403553,AZ_1
XGBoost,0.8076749435665914,1.0_2.0,0.12491499733726596,3.0_5.0,0.30828313253012046,1.0_2.0,0.1922178842194126,AZ_1
LogisticRegression,0.7715575620767494,1.0_2.0,0.03804817556649509,3.0_5.0,0.3129672225416906,1.0_2.0,0.16097516003283058,AZ_2
XGBoost,0.7968397291196389,1.0_2.0,0.10727338972278544,3.0_5.0,0.2564692351926395,1.0_2.0,0.19343371793428332,AZ_2
LogisticRegression,0.7707509881422925,1.0_2.0,0.06310075019240036,3.0_5.0,0.18441881501582996,1.0_2.0,0.22828917634224266,PA_0
XGBoost,0.8054457619675011,1.0_2.0,0.13384961968943637,3.0_5.0,0.22274988692899142,1.0_2.0,0.2672551235097016,PA_0
LogisticRegression,0.7753623188405797,1.0_2.0,0.06030347093065386,1.0_5.0,0.147119321162475,1.0_2.0,0.23614369616288178,PA_2
XGBoost,0.8072024593763725,1.0_2.0,0.13842544866066037,3.0_5.0,0.24151824817518247,1.0_2.0,0.256628817541112,PA_2
LogisticRegression,0.7603726888921241,1.0_2.0,0.030082526557518585,1.0_4.0,0.2588532586683572,1.0_2.0,0.2327540582808979,NY_0
XGBoost,0.7967680885136119,1.0_2.0,0.09118105400620802,1.0_4.0,0.22124782080405728,1.0_2.0,0.22373931858089074,NY_0
LogisticRegression,0.7559697146185207,1.0_2.0,0.029324551988370084,1.0_5.0,0.2517887392829496,1.0_2.0,0.21024744284378394,NY_1
XGBoost,0.7983401281304601,1.0_2.0,0.08767373612488621,1.0_5.0,0.22975380339900953,1.0_2.0,0.2230944502925109,NY_1
LogisticRegression,0.7556785090273733,1.0_2.0,0.006207839711636742,1.0_5.0,0.21195331555330765,1.0_2.0,0.21852216033397937,NY_2
XGBoost,0.7986313337216074,1.0_2.0,0.07291915680568084,1.0_5.0,0.21549375007802082,1.0_2.0,0.22356958084287443,NY_2
LogisticRegression,0.7186147186147186,2.0_1.0,0.07936507936507936,1.0_3.0,0.2846879209699147,1.0_2.0,0.20410832435759346,AK_0
XGBoost,0.7445887445887446,1.0_2.0,0.0444444444444444,1.0_3.0,0.32510103277952407,1.0_2.0,0.3214340667795045,AK_0
LogisticRegression,0.7359307359307359,1.0_2.0,0.050615595075239384,2.0_4.0,0.31236897274633124,1.0_2.0,0.20183901115465783,AK_1
XGBoost,0.7662337662337663,1.0_2.0,0.012995896032831744,1.0_4.0,0.3606781514902926,1.0_2.0,0.15126620440156768,AK_1
LogisticRegression,0.7619047619047619,1.0_2.0,0.05719814241486065,1.0_4.0,0.3782465552981344,1.0_2.0,0.25184238231312983,AK_2
XGBoost,0.7272727272727273,1.0_2.0,0.022291021671826616,1.0_4.0,0.5293256919887818,1.0_2.0,0.24522484584147997,AK_2
LogisticRegression,0.7579545454545454,1.0_2.0,0.06985780423280424,1.0_4.0,0.17200674536256325,1.0_2.0,0.11920245012691154,MS_0
XGBoost,0.7840909090909091,1.0_2.0,0.06481481481481483,1.0_4.0,0.25126475548060706,1.0_2.0,0.17176060917538966,MS_0
LogisticRegression,0.7736063708759955,1.0_2.0,0.06081214067436683,3.0_4.0,0.23076923076923078,1.0_2.0,0.1220959595959596,MS_1
XGBoost,0.7838452787258248,1.0_2.0,0.060087015072253586,3.0_4.0,0.38461538461538464,1.0_2.0,0.1482165404040404,MS_1
LogisticRegression,0.7655529953917051,1.0_2.0,0.049305458768873406,3.0_5.0,0.26588996763754047,1.0_2.0,0.22622494220631245,NC_0
XGBoost,0.7934907834101382,1.0_2.0,0.09538675958188153,3.0_5.0,0.39818770226537215,1.0_2.0,0.23845243644206632,NC_0
LogisticRegression,0.7828341013824884,1.0_2.0,0.03539501765163455,3.0_5.0,0.2945998698763826,1.0_2.0,0.2393724071678894,NC_1
XGBoost,0.8018433179723502,1.0_2.0,0.08035449534940925,3.0_5.0,0.3947299934938191,1.0_2.0,0.23241167599594273,NC_1
LogisticRegression,0.7752808988764045,1.0_2.0,0.05241902974955839,3.0_5.0,0.2515711412770236,1.0_2.0,0.17736941448798796,NC_2
XGBoost,0.8147507922788821,1.0_2.0,0.11046994694265638,3.0_5.0,0.3827300150829563,1.0_2.0,0.19343840928511935,NC_2
LogisticRegression,0.7645478961504029,1.0_2.0,0.01671167977368959,3.0_4.0,0.37028301886792453,1.0_2.0,0.22869295031415995,IL_0
XGBoost,0.8052820053715309,1.0_2.0,0.11499841537024713,3.0_4.0,0.38443396226415094,1.0_2.0,0.23644052610539784,IL_0
LogisticRegression,0.7719337511190689,1.0_2.0,0.06224787558120892,3.0_4.0,0.3338228095937347,1.0_2.0,0.2226494453474592,IL_1
XGBoost,0.8108773500447628,1.0_2.0,0.1554537437870771,3.0_4.0,0.4581497797356828,1.0_2.0,0.23624620356039658,IL_1
LogisticRegression,0.7810437912417516,1.0_2.0,0.03145080082289564,3.0_2.0,0.3154191743663643,1.0_2.0,0.19066198309032273,MI_1
XGBoost,0.7987402519496101,1.0_2.0,0.12761086153020507,3.0_2.0,0.36729677036534714,1.0_2.0,0.23846177659049483,MI_1
LogisticRegression,0.7756448710257948,1.0_2.0,0.04258020218811265,3.0_4.0,0.21773288439955105,1.0_2.0,0.22922021658557507,MI_2
XGBoost,0.8128374325134973,1.0_2.0,0.13342355608958434,3.0_4.0,0.30415263748597077,1.0_2.0,0.23797608111671684,MI_2
LogisticRegression,0.7823269513991163,1.0_2.0,0.01981529633282525,4.0_5.0,0.17165354330708663,1.0_2.0,0.2500756889799648,GA_0
XGBoost,0.7970544918998528,1.0_2.0,0.06788037007458625,4.0_5.0,0.2346456692913386,1.0_2.0,0.2456899330853351,GA_0
LogisticRegression,0.774079528718704,1.0_2.0,0.030872094921177984,3.0_4.0,0.3829787234042553,1.0_2.0,0.20516689356914458,GA_1
XGBoost,0.8008836524300442,1.0_2.0,0.09213669194165985,3.0_4.0,0.2684903748733536,1.0_2.0,0.21363164561109266,GA_1
LogisticRegression,0.7893961708394698,1.0_2.0,0.039503686555313666,3.0_4.0,0.3611111111111111,1.0_2.0,0.21603817083818597,GA_2
XGBoost,0.8179675994108984,1.0_2.0,0.09625091580070783,3.0_4.0,0.35138888888888886,1.0_2.0,0.23293972634609106,GA_2
LogisticRegression,0.753968253968254,1.0_2.0,0.028787878787878807,1.0_2.0,0.2946058091286307,1.0_2.0,0.14082248027202154,VT_0
XGBoost,0.7142857142857143,1.0_2.0,0.12954545454545452,1.0_2.0,0.4107883817427386,1.0_2.0,0.2881247193173799,VT_0
LogisticRegression,0.8015873015873016,1.0_2.0,0.023809523809523808,2.0_3.0,1.0,1.0_2.0,0.2047766475011057,VT_1
XGBoost,0.7619047619047619,1.0_2.0,0.08730158730158732,2.0_3.0,1.0,1.0_2.0,0.2737726669615214,VT_1
LogisticRegression,0.7920433996383364,1.0_2.0,0.046249562376006526,1.0_5.0,0.2397094430992736,1.0_2.0,0.22309589840899136,SC_1
XGBoost,0.8167570825798673,1.0_2.0,0.08909441008285685,1.0_5.0,0.21415119720204467,1.0_2.0,0.2535148153554226,SC_1
LogisticRegression,0.7727546714888487,1.0_2.0,0.09236512664192392,3.0_4.0,0.2571428571428571,1.0_2.0,0.19432639432114043,SC_2
XGBoost,0.7872212176009644,1.0_2.0,0.14244307803283265,1.0_4.0,0.324582338902148,1.0_2.0,0.24735992574517515,SC_2
LogisticRegression,0.7607960946301164,1.0_2.0,0.0998294046948825,3.0_5.0,0.26427552569824686,1.0_2.0,0.30982900139916236,WA_1
XGBoost,0.7957191137814494,1.0_2.0,0.17219930878316614,3.0_5.0,0.2795288271292504,1.0_2.0,0.29503183436105673,WA_1
LogisticRegression,0.7765677806984603,1.0_2.0,0.03604801855262263,3.0_5.0,0.22611182726393814,1.0_2.0,0.2547260352322123,WA_2
