AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
50.0,1.0,20.0,1.0,5000.0,1.0,1.0,36.0,2.0,1.0,False,5162
41.0,1.0,19.0,1.0,8740.0,1.0,0.0,40.0,2.0,2.0,False,3491
66.0,1.0,21.0,1.0,1021.0,22.0,0.0,40.0,1.0,1.0,True,11627
47.0,1.0,21.0,1.0,2300.0,42.0,1.0,19.0,2.0,1.0,False,2492
60.0,1.0,20.0,2.0,4810.0,1.0,0.0,40.0,2.0,1.0,True,17516
38.0,6.0,16.0,1.0,205.0,1.0,0.0,99.0,1.0,1.0,True,5275
33.0,1.0,21.0,1.0,4850.0,1.0,0.0,40.0,2.0,1.0,False,17784
51.0,1.0,16.0,2.0,7905.0,1.0,0.0,40.0,1.0,1.0,False,3044
18.0,1.0,18.0,2.0,2722.0,1.0,17.0,10.0,2.0,1.0,False,250
28.0,1.0,16.0,2.0,9620.0,1.0,13.0,40.0,1.0,2.0,False,4677
67.0,1.0,18.0,2.0,2310.0,1.0,0.0,40.0,2.0,2.0,False,7624
29.0,1.0,16.0,2.0,3601.0,1.0,0.0,30.0,1.0,2.0,False,17928
77.0,1.0,16.0,1.0,726.0,25.0,0.0,30.0,1.0,1.0,False,12596
69.0,1.0,21.0,1.0,440.0,1.0,0.0,40.0,1.0,1.0,True,14365
59.0,1.0,20.0,1.0,440.0,28.0,1.0,40.0,1.0,1.0,True,11347
26.0,5.0,16.0,2.0,4020.0,1.0,2.0,50.0,1.0,1.0,False,10877
52.0,1.0,19.0,2.0,5240.0,48.0,0.0,20.0,2.0,1.0,False,17947
29.0,1.0,16.0,2.0,9620.0,1.0,7.0,36.0,1.0,2.0,False,4958
40.0,4.0,18.0,1.0,3870.0,1.0,0.0,40.0,1.0,1.0,True,12715
56.0,1.0,21.0,1.0,2810.0,1.0,0.0,50.0,1.0,1.0,False,2482
41.0,7.0,21.0,1.0,5600.0,1.0,1.0,40.0,2.0,1.0,True,16761
31.0,1.0,21.0,2.0,1460.0,312.0,0.0,40.0,1.0,1.0,True,5647
49.0,3.0,23.0,1.0,2310.0,1.0,0.0,60.0,2.0,1.0,False,9894
59.0,1.0,22.0,1.0,1220.0,39.0,0.0,40.0,1.0,1.0,True,19114
50.0,6.0,19.0,1.0,9130.0,28.0,1.0,80.0,1.0,1.0,True,2846
42.0,1.0,16.0,1.0,7000.0,13.0,1.0,60.0,1.0,1.0,True,7686
26.0,1.0,20.0,2.0,5160.0,1.0,2.0,20.0,2.0,1.0,False,7123
55.0,1.0,15.0,1.0,9620.0,233.0,0.0,40.0,2.0,2.0,False,22139
65.0,1.0,21.0,1.0,4760.0,17.0,0.0,40.0,1.0,1.0,False,13020
46.0,4.0,24.0,2.0,2205.0,13.0,0.0,40.0,1.0,1.0,True,3900
59.0,1.0,20.0,2.0,5400.0,1.0,0.0,40.0,2.0,1.0,True,18455
48.0,7.0,13.0,1.0,4020.0,247.0,0.0,35.0,2.0,2.0,False,7189
41.0,2.0,20.0,1.0,5940.0,12.0,1.0,3.0,2.0,1.0,False,20238
36.0,1.0,21.0,1.0,9240.0,1.0,1.0,50.0,1.0,2.0,True,21202
22.0,1.0,19.0,2.0,9645.0,1.0,3.0,30.0,2.0,2.0,False,6805
55.0,2.0,21.0,1.0,3255.0,1.0,1.0,40.0,2.0,1.0,True,8204
20.0,1.0,16.0,2.0,9620.0,1.0,2.0,40.0,1.0,1.0,False,10029
47.0,1.0,16.0,2.0,4965.0,45.0,0.0,30.0,2.0,1.0,False,11559
36.0,1.0,16.0,1.0,4760.0,28.0,1.0,35.0,2.0,1.0,False,9158
48.0,1.0,21.0,1.0,4850.0,1.0,0.0,45.0,1.0,1.0,True,20279
32.0,1.0,22.0,1.0,2600.0,42.0,1.0,43.0,1.0,1.0,False,4191
42.0,1.0,21.0,1.0,800.0,1.0,1.0,20.0,2.0,1.0,False,7172
40.0,4.0,21.0,1.0,2600.0,1.0,1.0,40.0,2.0,1.0,False,8572
21.0,1.0,12.0,1.0,9640.0,1.0,0.0,40.0,2.0,1.0,False,11605
40.0,5.0,22.0,2.0,2145.0,6.0,13.0,40.0,1.0,1.0,False,4773
74.0,1.0,16.0,1.0,4760.0,53.0,0.0,40.0,1.0,1.0,False,7053
37.0,1.0,16.0,2.0,4760.0,1.0,0.0,40.0,2.0,2.0,False,20551
20.0,1.0,19.0,2.0,4720.0,1.0,17.0,30.0,1.0,2.0,False,150
39.0,1.0,22.0,1.0,4621.0,1.0,1.0,30.0,2.0,1.0,False,4178
25.0,1.0,19.0,2.0,9365.0,1.0,0.0,50.0,1.0,1.0,False,16267
63.0,1.0,22.0,1.0,910.0,48.0,0.0,40.0,1.0,1.0,True,12709
53.0,1.0,19.0,1.0,5740.0,13.0,1.0,40.0,2.0,1.0,False,10116
22.0,1.0,18.0,2.0,8740.0,21.0,0.0,55.0,1.0,1.0,True,13821
78.0,1.0,18.0,2.0,4760.0,8.0,0.0,20.0,2.0,1.0,True,4055
56.0,4.0,22.0,2.0,2310.0,1.0,0.0,35.0,2.0,1.0,True,19484
24.0,1.0,12.0,2.0,8650.0,1.0,16.0,40.0,2.0,1.0,False,458
43.0,1.0,21.0,1.0,3050.0,1.0,1.0,50.0,2.0,2.0,False,5426
23.0,4.0,21.0,2.0,2320.0,1.0,2.0,45.0,2.0,1.0,False,8630
31.0,3.0,22.0,1.0,2320.0,22.0,1.0,50.0,2.0,1.0,False,6327
17.0,1.0,14.0,2.0,4020.0,1.0,2.0,30.0,1.0,1.0,False,1594
37.0,1.0,21.0,2.0,705.0,22.0,2.0,50.0,2.0,1.0,True,8582
54.0,6.0,17.0,2.0,6260.0,1.0,16.0,15.0,1.0,2.0,False,238
32.0,2.0,22.0,2.0,1760.0,207.0,0.0,40.0,1.0,2.0,False,9983
61.0,1.0,19.0,1.0,5740.0,47.0,1.0,50.0,2.0,1.0,True,18360
25.0,6.0,21.0,2.0,2360.0,1.0,12.0,30.0,1.0,1.0,False,11199
17.0,1.0,13.0,2.0,4020.0,1.0,2.0,20.0,1.0,1.0,False,1877
69.0,1.0,20.0,1.0,4810.0,1.0,0.0,40.0,1.0,2.0,False,10375
49.0,1.0,16.0,1.0,9130.0,212.0,0.0,60.0,1.0,1.0,False,8791
29.0,1.0,16.0,1.0,6230.0,1.0,1.0,40.0,1.0,1.0,False,19120
26.0,1.0,16.0,1.0,8990.0,1.0,0.0,45.0,1.0,1.0,True,20564
60.0,1.0,16.0,1.0,4020.0,1.0,1.0,40.0,2.0,2.0,False,19859
50.0,1.0,21.0,1.0,7210.0,1.0,1.0,40.0,2.0,1.0,False,2706
21.0,3.0,19.0,2.0,4840.0,1.0,17.0,16.0,2.0,1.0,False,653
44.0,1.0,20.0,1.0,8990.0,1.0,0.0,64.0,2.0,2.0,True,16291
37.0,3.0,18.0,1.0,3655.0,6.0,0.0,35.0,2.0,1.0,False,20478
33.0,1.0,17.0,2.0,8740.0,1.0,17.0,40.0,1.0,1.0,False,153
