AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
23.0,1.0,17.0,2.0,4220.0,5.0,0.0,35.0,1.0,1.0,False,5415
42.0,1.0,16.0,2.0,5240.0,5.0,0.0,40.0,2.0,1.0,False,3069
44.0,1.0,16.0,2.0,5400.0,5.0,0.0,40.0,2.0,1.0,False,2465
40.0,1.0,19.0,1.0,3421.0,5.0,1.0,40.0,2.0,1.0,False,3302
41.0,7.0,19.0,1.0,3603.0,5.0,0.0,40.0,1.0,1.0,False,12097
73.0,1.0,16.0,1.0,4810.0,40.0,1.0,10.0,1.0,1.0,False,1170
73.0,3.0,16.0,2.0,5860.0,5.0,0.0,12.0,2.0,1.0,False,1118
38.0,1.0,16.0,1.0,3603.0,5.0,0.0,35.0,2.0,1.0,False,7030
65.0,1.0,18.0,1.0,5240.0,5.0,0.0,40.0,1.0,1.0,True,10968
42.0,1.0,21.0,1.0,2310.0,5.0,1.0,14.0,2.0,1.0,False,6652
80.0,3.0,1.0,2.0,4220.0,5.0,0.0,7.0,2.0,2.0,False,11629
27.0,1.0,21.0,1.0,1460.0,20.0,0.0,40.0,1.0,1.0,False,1322
55.0,1.0,17.0,2.0,3648.0,5.0,0.0,40.0,2.0,1.0,False,4466
19.0,6.0,18.0,2.0,4600.0,48.0,17.0,20.0,2.0,1.0,False,303
41.0,1.0,16.0,1.0,2014.0,5.0,0.0,25.0,2.0,1.0,False,8870
33.0,6.0,13.0,1.0,4230.0,303.0,1.0,15.0,2.0,1.0,False,12306
58.0,4.0,16.0,2.0,3430.0,5.0,0.0,42.0,2.0,2.0,False,9953
47.0,3.0,22.0,1.0,2310.0,5.0,0.0,50.0,2.0,2.0,True,4442
36.0,4.0,24.0,1.0,2205.0,5.0,0.0,40.0,1.0,1.0,False,13283
30.0,1.0,21.0,2.0,845.0,5.0,0.0,45.0,1.0,1.0,True,480
18.0,1.0,18.0,2.0,9620.0,48.0,7.0,2.0,1.0,2.0,False,5012
45.0,1.0,19.0,1.0,120.0,5.0,0.0,43.0,2.0,1.0,False,6806
32.0,1.0,21.0,1.0,2310.0,5.0,1.0,40.0,2.0,1.0,False,6835
52.0,3.0,19.0,1.0,6305.0,5.0,0.0,40.0,1.0,1.0,False,9713
27.0,1.0,21.0,1.0,7700.0,29.0,1.0,45.0,1.0,1.0,True,1801
31.0,1.0,19.0,2.0,9130.0,5.0,0.0,40.0,2.0,1.0,False,2679
36.0,1.0,22.0,1.0,1010.0,210.0,1.0,55.0,1.0,2.0,True,8877
59.0,4.0,19.0,1.0,3910.0,6.0,0.0,40.0,1.0,1.0,False,5760
48.0,1.0,21.0,1.0,7340.0,53.0,1.0,80.0,1.0,2.0,True,8497
32.0,1.0,20.0,1.0,7140.0,5.0,0.0,40.0,1.0,1.0,True,8477
50.0,1.0,19.0,1.0,3500.0,48.0,0.0,40.0,1.0,1.0,False,12234
53.0,2.0,21.0,2.0,5120.0,5.0,0.0,5.0,2.0,1.0,False,6409
39.0,1.0,20.0,1.0,4850.0,20.0,1.0,27.0,2.0,1.0,False,6080
59.0,1.0,20.0,1.0,8225.0,5.0,0.0,40.0,1.0,2.0,False,13208
34.0,1.0,22.0,2.0,120.0,5.0,0.0,40.0,2.0,1.0,True,7591
44.0,6.0,20.0,1.0,205.0,5.0,1.0,40.0,1.0,1.0,True,1481
48.0,4.0,21.0,1.0,2310.0,5.0,1.0,47.0,2.0,1.0,False,6676
44.0,1.0,19.0,1.0,2170.0,48.0,9.0,40.0,2.0,2.0,False,2225
39.0,1.0,17.0,1.0,9240.0,5.0,1.0,40.0,1.0,1.0,True,11240
27.0,1.0,7.0,2.0,6600.0,312.0,5.0,50.0,1.0,1.0,False,4663
56.0,6.0,21.0,1.0,4920.0,22.0,0.0,50.0,1.0,1.0,False,6135
62.0,4.0,19.0,1.0,4220.0,5.0,1.0,65.0,1.0,1.0,False,7616
43.0,1.0,20.0,1.0,3255.0,5.0,1.0,24.0,2.0,1.0,False,960
49.0,1.0,19.0,2.0,2016.0,5.0,0.0,40.0,2.0,2.0,False,10013
26.0,1.0,20.0,1.0,5240.0,5.0,0.0,40.0,2.0,1.0,False,3170
47.0,1.0,21.0,1.0,8640.0,5.0,0.0,40.0,1.0,1.0,True,4852
29.0,1.0,19.0,2.0,8225.0,5.0,0.0,60.0,1.0,1.0,False,5231
37.0,3.0,21.0,1.0,2310.0,5.0,1.0,45.0,2.0,1.0,False,5895
62.0,1.0,16.0,1.0,3500.0,5.0,1.0,36.0,2.0,1.0,False,9213
20.0,1.0,20.0,1.0,7220.0,5.0,2.0,45.0,1.0,1.0,False,5866
57.0,4.0,16.0,1.0,7340.0,48.0,0.0,40.0,1.0,1.0,False,4846
25.0,1.0,17.0,2.0,4720.0,5.0,0.0,40.0,1.0,2.0,False,12913
34.0,1.0,20.0,1.0,4720.0,5.0,0.0,32.0,2.0,1.0,False,5205
71.0,1.0,18.0,2.0,5120.0,5.0,0.0,40.0,2.0,1.0,False,3958
27.0,4.0,16.0,2.0,6260.0,5.0,12.0,40.0,1.0,1.0,False,7435
56.0,1.0,12.0,1.0,7210.0,48.0,1.0,40.0,1.0,1.0,True,9954
60.0,1.0,17.0,2.0,3930.0,25.0,2.0,40.0,2.0,1.0,False,8895
54.0,6.0,19.0,1.0,2600.0,22.0,0.0,5.0,2.0,1.0,False,7166
69.0,1.0,21.0,2.0,5860.0,5.0,0.0,40.0,2.0,1.0,False,11376
74.0,1.0,16.0,2.0,8730.0,2.0,0.0,40.0,1.0,2.0,False,1703
20.0,1.0,19.0,2.0,8140.0,5.0,2.0,20.0,1.0,2.0,False,13714
51.0,6.0,15.0,1.0,4230.0,5.0,0.0,28.0,2.0,1.0,False,7032
30.0,1.0,16.0,2.0,9610.0,22.0,0.0,2.0,2.0,1.0,False,6752
54.0,7.0,19.0,1.0,800.0,20.0,0.0,40.0,2.0,1.0,True,6393
18.0,1.0,16.0,2.0,4110.0,5.0,2.0,15.0,1.0,2.0,False,2112
