AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
36.0,1.0,21.0,1.0,850.0,10.0,0.0,60.0,1.0,1.0,True,2181
70.0,1.0,21.0,1.0,5400.0,10.0,1.0,15.0,1.0,1.0,False,1495
42.0,1.0,16.0,2.0,7200.0,10.0,0.0,40.0,1.0,1.0,False,813
79.0,1.0,21.0,1.0,5300.0,37.0,1.0,24.0,2.0,1.0,False,3368
43.0,1.0,21.0,2.0,440.0,10.0,0.0,45.0,1.0,1.0,True,2880
39.0,3.0,21.0,1.0,705.0,11.0,0.0,40.0,1.0,1.0,True,3417
47.0,1.0,16.0,2.0,5400.0,36.0,13.0,40.0,2.0,1.0,False,4332
53.0,1.0,12.0,1.0,5160.0,10.0,1.0,20.0,2.0,1.0,False,2307
29.0,2.0,24.0,2.0,3050.0,10.0,2.0,45.0,2.0,1.0,True,1201
58.0,2.0,18.0,2.0,5000.0,10.0,12.0,45.0,1.0,1.0,False,2893
26.0,1.0,16.0,2.0,4020.0,24.0,10.0,33.0,1.0,2.0,False,958
57.0,4.0,19.0,1.0,3802.0,39.0,0.0,48.0,1.0,1.0,True,1682
53.0,1.0,19.0,2.0,6260.0,10.0,16.0,40.0,1.0,2.0,False,8
29.0,1.0,19.0,1.0,5120.0,10.0,1.0,40.0,2.0,1.0,False,1045
37.0,1.0,20.0,2.0,310.0,10.0,2.0,53.0,1.0,2.0,False,182
29.0,1.0,22.0,1.0,2012.0,10.0,0.0,40.0,2.0,1.0,True,3438
56.0,1.0,16.0,2.0,5740.0,10.0,5.0,40.0,2.0,2.0,False,1534
45.0,1.0,21.0,1.0,2145.0,10.0,0.0,35.0,2.0,1.0,True,790
20.0,1.0,19.0,2.0,4760.0,26.0,0.0,24.0,2.0,1.0,False,468
20.0,1.0,20.0,2.0,1360.0,34.0,2.0,40.0,1.0,1.0,False,963
72.0,8.0,18.0,1.0,5820.0,45.0,0.0,24.0,1.0,1.0,True,3210
41.0,1.0,16.0,1.0,7855.0,332.0,0.0,40.0,1.0,2.0,False,715
67.0,7.0,22.0,1.0,810.0,42.0,0.0,28.0,1.0,1.0,True,2887
60.0,1.0,16.0,2.0,5140.0,42.0,0.0,36.0,2.0,1.0,True,737
46.0,7.0,14.0,1.0,4710.0,10.0,0.0,50.0,1.0,1.0,True,3696
