AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP,__index_level_0__
20.0,7.0,19.0,2.0,440.0,24.0,0.0,40.0,1.0,2.0,False,31230
23.0,1.0,21.0,2.0,5260.0,45.0,17.0,20.0,1.0,1.0,False,642
47.0,1.0,17.0,1.0,7410.0,13.0,0.0,40.0,1.0,1.0,True,3152
45.0,1.0,11.0,1.0,4000.0,207.0,1.0,30.0,1.0,2.0,False,12844
29.0,7.0,21.0,2.0,4920.0,13.0,0.0,60.0,2.0,1.0,False,12961
24.0,5.0,16.0,1.0,3402.0,20.0,0.0,16.0,1.0,1.0,False,3148
66.0,1.0,17.0,2.0,5110.0,13.0,0.0,28.0,2.0,2.0,False,31759
56.0,1.0,21.0,1.0,1006.0,29.0,1.0,50.0,2.0,1.0,True,41357
26.0,1.0,21.0,2.0,2640.0,13.0,0.0,45.0,2.0,1.0,False,14309
29.0,1.0,16.0,2.0,7200.0,13.0,7.0,35.0,1.0,2.0,False,37606
51.0,1.0,12.0,2.0,4220.0,303.0,0.0,30.0,2.0,1.0,False,44257
46.0,1.0,20.0,2.0,3255.0,13.0,0.0,48.0,2.0,1.0,True,32652
53.0,1.0,18.0,1.0,6520.0,13.0,1.0,40.0,1.0,1.0,False,23568
31.0,5.0,21.0,2.0,9830.0,22.0,0.0,35.0,1.0,1.0,False,25845
19.0,1.0,16.0,2.0,4055.0,13.0,12.0,40.0,1.0,1.0,False,16015
49.0,4.0,21.0,1.0,3710.0,13.0,0.0,40.0,1.0,1.0,True,6750
41.0,1.0,19.0,1.0,5240.0,13.0,0.0,58.0,2.0,1.0,True,9265
27.0,4.0,21.0,2.0,5740.0,13.0,2.0,40.0,2.0,1.0,False,33370
17.0,1.0,14.0,2.0,4760.0,13.0,2.0,20.0,1.0,2.0,False,30413
21.0,1.0,19.0,2.0,5510.0,21.0,17.0,20.0,2.0,1.0,False,1240
29.0,3.0,22.0,2.0,2310.0,13.0,0.0,40.0,2.0,2.0,False,1979
64.0,1.0,16.0,1.0,9720.0,13.0,0.0,12.0,1.0,2.0,False,24119
35.0,1.0,21.0,1.0,1021.0,210.0,0.0,40.0,1.0,2.0,True,10292
60.0,1.0,22.0,2.0,3255.0,26.0,0.0,40.0,2.0,1.0,False,11234
30.0,1.0,16.0,2.0,4655.0,12.0,0.0,47.0,2.0,1.0,False,17697
39.0,3.0,20.0,1.0,3740.0,13.0,0.0,40.0,1.0,1.0,True,47326
64.0,3.0,19.0,1.0,9130.0,13.0,0.0,37.0,1.0,2.0,True,30331
54.0,2.0,19.0,1.0,1460.0,13.0,0.0,65.0,1.0,2.0,True,22613
27.0,6.0,18.0,2.0,2740.0,53.0,12.0,9.0,2.0,1.0,False,14732
46.0,3.0,22.0,1.0,136.0,13.0,0.0,40.0,2.0,2.0,True,14930
67.0,5.0,21.0,2.0,5350.0,13.0,0.0,40.0,2.0,1.0,True,14873
34.0,2.0,21.0,1.0,2040.0,5.0,0.0,40.0,1.0,1.0,False,23195
66.0,2.0,22.0,2.0,2360.0,37.0,0.0,10.0,1.0,1.0,True,7514
33.0,1.0,12.0,2.0,9130.0,13.0,2.0,50.0,1.0,1.0,False,27692
54.0,1.0,19.0,1.0,6260.0,313.0,0.0,32.0,1.0,1.0,False,24964
28.0,3.0,21.0,1.0,2545.0,13.0,1.0,40.0,2.0,1.0,False,28048
46.0,4.0,22.0,2.0,230.0,11.0,0.0,50.0,2.0,2.0,True,13462
17.0,1.0,12.0,2.0,4020.0,42.0,0.0,77.0,1.0,2.0,False,21802
24.0,2.0,21.0,2.0,5120.0,13.0,12.0,40.0,1.0,1.0,False,34019
47.0,6.0,19.0,2.0,205.0,13.0,0.0,20.0,1.0,1.0,True,47342
58.0,1.0,22.0,1.0,2004.0,13.0,0.0,40.0,2.0,1.0,True,8963
68.0,2.0,23.0,1.0,3050.0,18.0,1.0,40.0,1.0,1.0,True,5857
39.0,3.0,17.0,1.0,4220.0,13.0,1.0,40.0,1.0,1.0,False,34191
23.0,5.0,16.0,2.0,7140.0,13.0,2.0,40.0,1.0,1.0,False,37737
36.0,2.0,20.0,1.0,3255.0,13.0,1.0,40.0,1.0,1.0,True,37369
63.0,1.0,21.0,1.0,4840.0,138.0,1.0,28.0,2.0,1.0,False,44366
27.0,1.0,13.0,1.0,4020.0,13.0,0.0,40.0,2.0,2.0,False,33636
64.0,2.0,21.0,1.0,3030.0,25.0,0.0,24.0,2.0,1.0,False,5652
56.0,1.0,21.0,1.0,1530.0,13.0,1.0,45.0,1.0,1.0,True,48976
58.0,1.0,16.0,1.0,8320.0,13.0,0.0,40.0,1.0,2.0,False,25672
48.0,1.0,21.0,2.0,2600.0,39.0,0.0,42.0,2.0,1.0,True,27965
50.0,7.0,8.0,2.0,6200.0,48.0,0.0,80.0,1.0,1.0,True,24944
23.0,1.0,16.0,1.0,9130.0,13.0,2.0,40.0,1.0,1.0,False,2715
38.0,1.0,21.0,1.0,2310.0,45.0,0.0,50.0,2.0,2.0,False,50356
60.0,4.0,21.0,2.0,2555.0,333.0,0.0,15.0,2.0,2.0,False,2379
63.0,1.0,21.0,1.0,3255.0,51.0,1.0,40.0,2.0,1.0,True,4494
39.0,1.0,19.0,1.0,120.0,13.0,0.0,40.0,2.0,1.0,False,37672
61.0,1.0,17.0,1.0,7140.0,23.0,1.0,55.0,1.0,1.0,True,37638
26.0,1.0,19.0,2.0,7420.0,1.0,15.0,50.0,1.0,2.0,True,16375
38.0,6.0,21.0,1.0,4920.0,17.0,0.0,50.0,1.0,1.0,True,17089
24.0,1.0,14.0,2.0,3500.0,303.0,2.0,24.0,2.0,1.0,False,5538
36.0,1.0,23.0,1.0,2100.0,12.0,0.0,50.0,1.0,1.0,True,19829
33.0,6.0,20.0,1.0,2640.0,47.0,16.0,45.0,1.0,1.0,False,758
46.0,6.0,19.0,1.0,4350.0,13.0,0.0,50.0,2.0,1.0,False,47570
70.0,1.0,18.0,1.0,7200.0,13.0,0.0,40.0,1.0,1.0,False,23117
50.0,1.0,22.0,1.0,4920.0,132.0,1.0,40.0,2.0,1.0,False,49473
38.0,1.0,17.0,2.0,9620.0,24.0,2.0,48.0,1.0,1.0,False,26585
57.0,4.0,21.0,1.0,8630.0,13.0,0.0,50.0,1.0,2.0,True,39992
58.0,6.0,16.0,1.0,205.0,13.0,1.0,40.0,1.0,1.0,False,31999
37.0,1.0,22.0,1.0,440.0,254.0,1.0,60.0,1.0,2.0,False,19944
27.0,5.0,16.0,2.0,9620.0,6.0,0.0,40.0,2.0,1.0,False,40393
18.0,1.0,16.0,2.0,7200.0,13.0,2.0,30.0,1.0,1.0,False,19201
58.0,1.0,20.0,1.0,350.0,13.0,0.0,45.0,2.0,1.0,True,2209
54.0,3.0,21.0,1.0,2310.0,13.0,1.0,40.0,2.0,2.0,False,36217
36.0,1.0,21.0,1.0,4760.0,315.0,1.0,40.0,1.0,1.0,False,26141
61.0,1.0,16.0,2.0,520.0,42.0,0.0,30.0,2.0,1.0,False,39015
60.0,1.0,21.0,1.0,5740.0,333.0,10.0,20.0,2.0,2.0,False,45182
41.0,1.0,19.0,2.0,9050.0,27.0,0.0,40.0,1.0,1.0,True,10758
47.0,1.0,20.0,1.0,10.0,6.0,0.0,50.0,1.0,1.0,True,7970
29.0,8.0,21.0,2.0,500.0,36.0,0.0,5.0,2.0,2.0,False,49624
27.0,1.0,21.0,2.0,1006.0,210.0,0.0,40.0,2.0,2.0,False,28032
43.0,7.0,23.0,1.0,3090.0,13.0,0.0,40.0,1.0,1.0,True,10102
61.0,1.0,19.0,2.0,9645.0,25.0,0.0,40.0,1.0,1.0,False,33270
49.0,1.0,21.0,1.0,440.0,12.0,0.0,50.0,1.0,1.0,True,27445
44.0,1.0,16.0,2.0,4700.0,20.0,13.0,38.0,1.0,2.0,False,41841
63.0,1.0,19.0,2.0,4700.0,12.0,0.0,70.0,2.0,1.0,True,20561
51.0,1.0,14.0,2.0,4110.0,13.0,0.0,30.0,2.0,2.0,False,43139
53.0,1.0,16.0,1.0,5240.0,13.0,1.0,40.0,2.0,2.0,False,15785
20.0,2.0,16.0,2.0,3655.0,303.0,5.0,20.0,1.0,1.0,False,15432
50.0,1.0,20.0,1.0,20.0,313.0,0.0,48.0,1.0,1.0,True,42720
46.0,1.0,12.0,1.0,7750.0,303.0,1.0,45.0,2.0,1.0,False,49248
34.0,4.0,21.0,2.0,2006.0,13.0,0.0,48.0,2.0,2.0,True,32578
18.0,1.0,16.0,2.0,4030.0,6.0,13.0,30.0,1.0,2.0,False,46286
29.0,4.0,21.0,2.0,2310.0,45.0,2.0,40.0,1.0,2.0,False,31129
25.0,1.0,16.0,2.0,4700.0,72.0,13.0,40.0,1.0,2.0,False,16080
63.0,4.0,22.0,1.0,2320.0,21.0,0.0,50.0,1.0,1.0,True,12573
18.0,1.0,16.0,2.0,310.0,13.0,2.0,40.0,2.0,1.0,False,39043
61.0,1.0,21.0,1.0,1021.0,12.0,0.0,48.0,2.0,1.0,True,34139
42.0,4.0,21.0,1.0,2205.0,12.0,1.0,40.0,2.0,2.0,True,38791
48.0,2.0,24.0,1.0,2205.0,436.0,0.0,50.0,1.0,1.0,True,15447
42.0,3.0,19.0,1.0,3870.0,13.0,1.0,48.0,1.0,1.0,True,40163
32.0,1.0,14.0,1.0,6260.0,303.0,1.0,48.0,1.0,2.0,False,3909
23.0,1.0,13.0,2.0,7200.0,13.0,16.0,32.0,1.0,2.0,False,3
42.0,1.0,20.0,1.0,3645.0,72.0,1.0,40.0,1.0,1.0,False,9431
39.0,7.0,19.0,1.0,4920.0,13.0,0.0,52.0,2.0,1.0,False,32473
33.0,1.0,21.0,1.0,1108.0,427.0,0.0,40.0,1.0,2.0,False,8737
46.0,3.0,21.0,1.0,2545.0,13.0,0.0,37.0,2.0,1.0,False,18351
39.0,1.0,17.0,1.0,9600.0,13.0,1.0,40.0,1.0,2.0,False,25948
63.0,1.0,22.0,2.0,110.0,36.0,0.0,20.0,2.0,1.0,False,7432
17.0,1.0,14.0,2.0,4720.0,12.0,15.0,16.0,2.0,1.0,False,27143
72.0,4.0,18.0,1.0,5310.0,13.0,1.0,40.0,2.0,1.0,False,10311
63.0,1.0,22.0,2.0,3255.0,39.0,0.0,40.0,2.0,1.0,True,14714
18.0,1.0,16.0,2.0,4622.0,29.0,10.0,30.0,2.0,2.0,False,40843
17.0,7.0,13.0,2.0,4030.0,13.0,2.0,20.0,1.0,1.0,False,33512
28.0,1.0,16.0,2.0,3603.0,13.0,2.0,40.0,2.0,2.0,True,25679
43.0,4.0,24.0,2.0,2205.0,449.0,0.0,50.0,2.0,2.0,True,23968
50.0,1.0,21.0,1.0,4030.0,303.0,0.0,24.0,2.0,2.0,False,24370
55.0,2.0,23.0,1.0,4760.0,242.0,1.0,40.0,2.0,2.0,False,39739
25.0,1.0,21.0,1.0,2320.0,1.0,0.0,40.0,2.0,1.0,False,19757
33.0,1.0,21.0,2.0,4810.0,13.0,2.0,40.0,1.0,1.0,True,19610
59.0,1.0,16.0,1.0,5400.0,329.0,1.0,40.0,2.0,2.0,False,41085
24.0,1.0,17.0,1.0,6260.0,13.0,1.0,60.0,1.0,1.0,False,42633
28.0,1.0,20.0,1.0,800.0,13.0,0.0,40.0,2.0,1.0,False,41902
28.0,1.0,20.0,1.0,4251.0,45.0,1.0,40.0,1.0,1.0,False,9764
56.0,3.0,22.0,1.0,3930.0,13.0,0.0,48.0,1.0,2.0,True,42948
59.0,1.0,16.0,2.0,4850.0,44.0,0.0,40.0,1.0,1.0,False,12276
20.0,1.0,19.0,2.0,4720.0,21.0,2.0,32.0,1.0,1.0,False,8796
61.0,1.0,19.0,2.0,9640.0,36.0,0.0,40.0,2.0,2.0,False,23231
57.0,1.0,19.0,1.0,7810.0,13.0,1.0,45.0,1.0,1.0,False,30322
29.0,1.0,16.0,1.0,9130.0,13.0,0.0,40.0,1.0,1.0,False,25124
21.0,1.0,19.0,2.0,5240.0,12.0,0.0,40.0,1.0,1.0,False,43253
53.0,2.0,22.0,2.0,137.0,12.0,0.0,40.0,2.0,1.0,True,23407
58.0,1.0,16.0,1.0,9130.0,13.0,1.0,50.0,1.0,1.0,False,2279
37.0,1.0,22.0,1.0,3258.0,13.0,1.0,38.0,2.0,1.0,True,7402
51.0,1.0,20.0,2.0,3401.0,41.0,4.0,65.0,2.0,1.0,False,42358
75.0,2.0,16.0,1.0,5740.0,13.0,0.0,40.0,2.0,1.0,True,25668
70.0,1.0,22.0,1.0,4810.0,13.0,1.0,40.0,1.0,1.0,True,4838
47.0,1.0,17.0,1.0,7200.0,13.0,2.0,40.0,1.0,1.0,False,36929
53.0,1.0,3.0,2.0,7750.0,13.0,2.0,40.0,1.0,2.0,False,24165
53.0,1.0,1.0,2.0,710.0,29.0,0.0,20.0,2.0,2.0,False,29059
52.0,4.0,24.0,2.0,2545.0,72.0,0.0,50.0,2.0,2.0,False,8060
38.0,1.0,21.0,2.0,4840.0,421.0,0.0,40.0,1.0,2.0,True,43336
61.0,1.0,22.0,1.0,10.0,13.0,1.0,40.0,1.0,1.0,False,2050
29.0,1.0,21.0,1.0,1720.0,24.0,1.0,40.0,1.0,1.0,True,26418
27.0,1.0,19.0,2.0,6355.0,13.0,0.0,50.0,1.0,1.0,False,8174
28.0,1.0,21.0,1.0,4030.0,13.0,1.0,20.0,2.0,2.0,False,37217
25.0,1.0,21.0,1.0,3421.0,13.0,1.0,40.0,2.0,1.0,False,32687
33.0,1.0,16.0,2.0,9130.0,13.0,0.0,55.0,1.0,1.0,False,5973
41.0,1.0,13.0,1.0,5165.0,13.0,1.0,60.0,1.0,1.0,True,50342
34.0,1.0,22.0,1.0,1021.0,210.0,1.0,40.0,2.0,2.0,True,16926
40.0,3.0,21.0,1.0,2310.0,13.0,0.0,50.0,2.0,2.0,True,46937
61.0,2.0,22.0,1.0,420.0,17.0,1.0,40.0,2.0,1.0,True,25154
52.0,6.0,16.0,1.0,205.0,13.0,0.0,50.0,1.0,1.0,False,29842
80.0,7.0,18.0,1.0,4710.0,17.0,0.0,40.0,1.0,1.0,False,36106
45.0,1.0,18.0,2.0,5330.0,13.0,0.0,40.0,2.0,2.0,False,45050
32.0,4.0,22.0,1.0,2310.0,13.0,0.0,50.0,2.0,1.0,False,11562
27.0,1.0,17.0,2.0,7020.0,13.0,0.0,50.0,1.0,1.0,False,11183
53.0,1.0,18.0,1.0,120.0,42.0,1.0,50.0,2.0,1.0,True,50053
61.0,1.0,20.0,2.0,3255.0,13.0,0.0,36.0,2.0,1.0,False,26898
32.0,1.0,17.0,2.0,8140.0,13.0,5.0,40.0,1.0,1.0,False,34388
